"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"uncultured"	"G"	25444	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Phormidium IAM M-71"	"G"	25439	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Nostocaceae"	"F"	25335	56	7	NA	6	NA	3	NA	NA	NA	NA	NA	56	NA	0.06833	0.003612	NA	0.003799	NA	0.00166	NA	NA	NA	NA	NA	0.06833	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Nodularia PCC-9350"	"G"	25380	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.006101	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006101	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-73102"	"G"	25384	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006331	0.0005159	NA	0.0006331	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-7524"	"G"	25385	4	1	NA	3	NA	2	NA	NA	NA	NA	NA	4	NA	0.004881	0.0005159	NA	0.001899	NA	0.001107	NA	NA	NA	NA	NA	0.004881	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-8976"	"G"	25386	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00244	0.0005159	NA	0.0006331	NA	NA	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Fischerella PCC-9339"	"G"	25369	3	1	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003661	0.0005159	NA	0.0006331	NA	NA	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Coleofasciculaceae"	"F"	25287	7	7	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	0.003612	0.003612	NA	0.003166	NA	0.002213	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Coleofasciculus PCC-7420"	"G"	25289	5	5	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	0.003166	0.00258	NA	0.003166	NA	0.002213	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Wilmottia Ant-Ph58"	"G"	25298	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Symploca PCC-8002"	"G"	25296	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Cyanobacteriaceae"	"F"	25300	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002064	0.002064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001548	0.001548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Cyanobacterium CLg1"	"G"	25303	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Gloeocapsaceae"	"F"	25315	3	2	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01421	0.001032	0.01421	0.001899	NA	0.001107	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	3	2	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01421	0.001032	0.01421	0.001899	NA	0.001107	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Xenococcaceae"	"F"	25451	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	0.0006331	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Rubidibacteraceae"	"F"	25447	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Dactylococcopsis PCC-8305"	"G"	25448	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Rubidibacteraceae"
"Oscillatoriaceae"	"F"	25415	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	0.0006331	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Oscillatoria PCC-6304"	"G"	25417	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Nostocales Incertae Sedis"	"F"	25405	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Roseofilum AO1-A"	"G"	25413	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocales&nbsp;Incertae&nbsp;Sedis"
"Chroococcidiopsaceae"	"F"	25276	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001266	0.0005159	NA	0.001266	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25286	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006331	0.0005159	NA	0.0006331	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Synechococcales"	"O"	25510	7	7	NA	6	NA	2	NA	NA	NA	NA	NA	6	NA	0.007321	0.003612	NA	0.003799	NA	0.001107	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Cyanobiaceae"	"F"	25511	7	7	NA	5	NA	2	NA	NA	NA	NA	NA	6	NA	0.007321	0.003612	NA	0.003166	NA	0.001107	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Synechococcus CC9902"	"G"	25514	3	3	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001548	0.001548	NA	0.001266	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Prochlorococcus MIT9313"	"G"	25513	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001032	0.001032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Cyanobium PCC-6307"	"G"	25512	5	2	NA	3	NA	2	NA	NA	NA	NA	NA	5	NA	0.006101	0.001032	NA	0.001899	NA	0.001107	NA	NA	NA	NA	NA	0.006101	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Oxyphotobacteria Incertae Sedis"	"O"	25462	10	4	NA	3	NA	1	NA	NA	NA	NA	NA	10	NA	0.0122	0.002064	NA	0.001899	NA	0.0005533	NA	NA	NA	NA	NA	0.0122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Unknown Family"	"F"	25463	10	4	NA	3	NA	1	NA	NA	NA	NA	NA	10	NA	0.0122	0.002064	NA	0.001899	NA	0.0005533	NA	NA	NA	NA	NA	0.0122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis"
"uncultured"	"G"	25482	3	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001548	0.001548	NA	0.001266	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Leptolyngbyales"	"O"	25243	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.00166	0.001548	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.00166	0.001548	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"uncultured"	"G"	25266	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001548	0.001548	NA	NA	NA	0.001107	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"Phormidesmiales"	"O"	25483	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidesmiaceae"	"F"	25492	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales"
"Phormidesmis ANT.LACV5.1"	"G"	25494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales>Phormidesmiaceae"
"SepB-3"	"O"	25509	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004881	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004881	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Melainabacteria"	"C"	1589	11	8	NA	7	NA	7	NA	NA	NA	NA	NA	11	NA	0.01342	0.004128	NA	0.004432	NA	0.003873	NA	NA	NA	NA	NA	0.01342	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	10	5	NA	6	NA	6	NA	NA	NA	NA	NA	10	NA	0.0122	0.00258	NA	0.003799	NA	0.00332	NA	NA	NA	NA	NA	0.0122	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	3	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001548	0.001548	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	3	3	NA	2	NA	1	NA	NA	NA	NA	NA	2	NA	0.00244	0.001548	NA	0.001266	NA	0.0005533	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Cyanobacteria"
"Proteobacteria"	"P"	2375	105950	15794	2044	6056	13	67681	23	13	105954	31	6	47580	11	60.21	8.149	29.05	3.834	8.228	37.44	16.08	14.44	60.21	28.97	10.71	58.06	6.145	"Bacteria"
"Gammaproteobacteria"	"C"	3303	105880	8962	1225	3663	11	55990	18	7	105883	30	5	39268	10	60.17	4.624	17.41	2.319	6.962	30.98	12.59	7.778	60.17	28.04	8.929	47.92	5.587	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	53935	8126	1167	3008	4	53935	14	5	253	2	3	36529	7	44.57	4.193	16.58	1.904	2.532	29.84	9.79	5.556	0.1438	1.869	5.357	44.57	3.911	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	52553	7602	1140	2549	4	52553	12	5	234	2	3	34577	6	42.19	3.922	16.2	1.614	2.532	29.08	8.392	5.556	0.133	1.869	5.357	42.19	3.352	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	8271	1037	159	286	NA	8271	3	1	39	NA	NA	4523	NA	5.519	0.535	2.259	0.1811	NA	4.576	2.098	1.111	0.02216	NA	NA	5.519	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	7804	969	164	274	NA	7804	1	2	27	NA	NA	4797	1	5.853	0.4999	2.331	0.1735	NA	4.318	0.6993	2.222	0.01534	NA	NA	5.853	0.5587	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	6762	950	133	240	NA	6762	NA	1	22	NA	1	3983	NA	4.86	0.4901	1.89	0.1519	NA	3.741	NA	1.111	0.0125	NA	1.786	4.86	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	3909	489	99	169	NA	3909	NA	NA	12	NA	NA	2493	1	3.042	0.2523	1.407	0.107	NA	2.163	NA	NA	0.006819	NA	NA	3.042	0.5587	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	1809	305	40	155	NA	1809	1	NA	13	NA	NA	1440	1	1.757	0.1574	0.5684	0.09813	NA	1.001	0.6993	NA	0.007388	NA	NA	1.757	0.5587	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	1595	234	40	68	1	1595	1	1	2	NA	NA	932	NA	1.137	0.1207	0.5684	0.04305	0.6329	0.8824	0.6993	1.111	0.001137	NA	NA	1.137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	1288	215	25	87	1	1288	1	NA	7	NA	NA	881	NA	1.075	0.1109	0.3553	0.05508	0.6329	0.7126	0.6993	NA	0.003978	NA	NA	1.075	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	1193	198	32	75	1	1193	NA	NA	7	NA	NA	773	NA	0.9432	0.1022	0.4547	0.04748	0.6329	0.66	NA	NA	0.003978	NA	NA	0.9432	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	1580	197	17	51	NA	1580	1	NA	4	NA	NA	916	NA	1.118	0.1016	0.2416	0.03229	NA	0.8741	0.6993	NA	0.002273	NA	NA	1.118	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	971	170	28	48	NA	971	NA	NA	4	NA	NA	607	1	0.7407	0.08771	0.3979	0.03039	NA	0.5372	NA	NA	0.002273	NA	NA	0.7407	0.5587	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1155	169	29	48	NA	1155	NA	NA	4	NA	NA	776	NA	0.9469	0.08719	0.4121	0.03039	NA	0.639	NA	NA	0.002273	NA	NA	0.9469	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	1275	167	22	46	NA	1275	NA	NA	12	NA	NA	728	NA	0.8883	0.08616	0.3126	0.02912	NA	0.7054	NA	NA	0.006819	NA	NA	0.8883	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	1756	156	15	98	NA	845	NA	NA	9	NA	NA	1756	1	2.143	0.08049	0.2132	0.06204	NA	0.4675	NA	NA	0.005114	NA	NA	2.143	0.5587	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	700	133	10	53	NA	420	NA	NA	3	NA	NA	700	NA	0.8541	0.06862	0.1421	0.03355	NA	0.2324	NA	NA	0.001705	NA	NA	0.8541	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	737	124	21	32	NA	737	1	NA	2	NA	1	425	NA	1.786	0.06398	0.2984	0.02026	NA	0.4077	0.6993	NA	0.001137	NA	1.786	0.5186	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	927	119	23	30	NA	927	NA	NA	7	NA	1	493	NA	1.786	0.0614	0.3268	0.01899	NA	0.5129	NA	NA	0.003978	NA	1.786	0.6016	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	701	118	19	54	NA	701	NA	NA	4	NA	NA	676	NA	0.8249	0.06088	0.27	0.03419	NA	0.3878	NA	NA	0.002273	NA	NA	0.8249	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	425	82	15	22	NA	425	NA	NA	1	2	NA	302	NA	1.869	0.04231	0.2132	0.01393	NA	0.2351	NA	NA	0.0005683	1.869	NA	0.3685	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	434	76	9	23	NA	434	NA	NA	NA	NA	NA	213	NA	0.2599	0.03921	0.1279	0.01456	NA	0.2401	NA	NA	NA	NA	NA	0.2599	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	261	44	5	15	NA	261	NA	NA	2	NA	NA	181	NA	0.2209	0.0227	0.07105	0.009497	NA	0.1444	NA	NA	0.001137	NA	NA	0.2209	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	179	41	5	21	NA	179	NA	NA	2	NA	NA	161	NA	0.1965	0.02115	0.07105	0.0133	NA	0.09903	NA	NA	0.001137	NA	NA	0.1965	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	110	39	3	13	NA	110	NA	NA	2	NA	NA	84	NA	0.1025	0.02012	0.04263	0.00823	NA	0.06086	NA	NA	0.001137	NA	NA	0.1025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	340	35	6	17	NA	340	NA	NA	3	NA	NA	226	NA	0.2758	0.01806	0.08526	0.01076	NA	0.1881	NA	NA	0.001705	NA	NA	0.2758	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	134	34	2	20	NA	134	NA	NA	2	NA	NA	116	NA	0.1415	0.01754	0.02842	0.01266	NA	0.07414	NA	NA	0.001137	NA	NA	0.1415	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	347	33	9	12	NA	347	NA	NA	2	NA	NA	167	NA	0.2038	0.01703	0.1279	0.007597	NA	0.192	NA	NA	0.001137	NA	NA	0.2038	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	244	33	3	6	NA	244	NA	NA	NA	NA	NA	137	NA	0.1672	0.01703	0.04263	0.003799	NA	0.135	NA	NA	NA	NA	NA	0.1672	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	101	33	2	27	NA	101	1	NA	1	NA	NA	46	NA	0.6993	0.01703	0.02842	0.01709	NA	0.05588	0.6993	NA	0.0005683	NA	NA	0.05613	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	313	32	6	14	NA	313	NA	NA	2	NA	NA	234	NA	0.2855	0.01651	0.08526	0.008864	NA	0.1732	NA	NA	0.001137	NA	NA	0.2855	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	202	31	4	17	NA	202	NA	NA	1	NA	NA	171	NA	0.2087	0.01599	0.05684	0.01076	NA	0.1118	NA	NA	0.0005683	NA	NA	0.2087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
