"name"	"taxRank"	"taxID"	"Max"	"BC01.txt.cladeReads"	"BC02.txt.cladeReads"	"BC03.txt.cladeReads"	"BC04.txt.cladeReads"	"BC05.txt.cladeReads"	"BC06.txt.cladeReads"	"BC07.txt.cladeReads"	"BC08.txt.cladeReads"	"BC09.txt.cladeReads"	"BC10.txt.cladeReads"	"BC11.txt.cladeReads"	"BC12.txt.cladeReads"	"Max.1"	"BC01.txt.cladeReads.."	"BC02.txt.cladeReads.."	"BC03.txt.cladeReads.."	"BC04.txt.cladeReads.."	"BC05.txt.cladeReads.."	"BC06.txt.cladeReads.."	"BC07.txt.cladeReads.."	"BC08.txt.cladeReads.."	"BC09.txt.cladeReads.."	"BC10.txt.cladeReads.."	"BC11.txt.cladeReads.."	"BC12.txt.cladeReads.."	"lineage"
"Synechococcus sp. PCC 7502"	"S"	1173263	19179	19179	508	16778	1	12563	NA	NA	29	NA	NA	850	1	10.56	9.776	6.918	10.56	0.6289	6.644	NA	NA	0.01629	NA	NA	0.9586	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	2850	2850	61	2469	NA	1917	NA	NA	3	NA	NA	110	NA	1.553	1.453	0.8307	1.553	NA	1.014	NA	NA	0.001685	NA	NA	0.1241	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	732	732	24	614	NA	511	NA	NA	2	NA	NA	40	NA	0.3863	0.3731	0.3268	0.3863	NA	0.2703	NA	NA	0.001124	NA	NA	0.04511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	117	93	8	117	NA	45	NA	NA	5	NA	NA	10	NA	0.1089	0.04741	0.1089	0.07361	NA	0.0238	NA	NA	0.002809	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	71	71	1	51	NA	40	NA	NA	5	NA	NA	4	NA	0.03619	0.03619	0.01362	0.03208	NA	0.02116	NA	NA	0.002809	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. NIES-970"	"S"	1827144	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002039	0.002039	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-100"	"S"	1280380	3	3	NA	3	NA	2	NA	NA	NA	NA	NA	1	NA	0.001887	0.001529	NA	0.001887	NA	0.001058	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	4	2	NA	4	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002516	0.001019	NA	0.002516	NA	0.002116	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9902"	"S"	316279	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Dactylococcopsis"	"G"	13034	11	5	1	11	NA	3	NA	NA	NA	NA	NA	2	NA	0.01362	0.002549	0.01362	0.00692	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Dactylococcopsis salina"	"S"	292566	11	5	1	11	NA	3	NA	NA	NA	NA	NA	2	NA	0.01362	0.002549	0.01362	0.00692	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis"
"Cyanobium"	"G"	167375	3	2	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	0.9259	0.001019	NA	NA	NA	NA	NA	NA	NA	0.9259	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	3	1	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	0.9259	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.9259	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Cyanobium sp. NIES-981"	"S"	1851505	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Pseudanabaenaceae"	"F"	1890436	208	208	8	208	NA	159	NA	NA	NA	NA	NA	10	NA	0.1309	0.106	0.1089	0.1309	NA	0.08409	NA	NA	NA	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	208	208	8	208	NA	159	NA	NA	NA	NA	NA	10	NA	0.1309	0.106	0.1089	0.1309	NA	0.08409	NA	NA	NA	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. PCC 7367"	"S"	82654	208	208	8	208	NA	159	NA	NA	NA	NA	NA	10	NA	0.1309	0.106	0.1089	0.1309	NA	0.08409	NA	NA	NA	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Prochloraceae"	"F"	1213	134	134	3	113	NA	80	NA	NA	1	NA	NA	12	1	0.5495	0.0683	0.04086	0.07109	NA	0.04231	NA	NA	0.0005618	NA	NA	0.01353	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	134	134	3	113	NA	80	NA	NA	1	NA	NA	12	1	0.5495	0.0683	0.04086	0.07109	NA	0.04231	NA	NA	0.0005618	NA	NA	0.01353	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	131	131	3	111	NA	80	NA	NA	NA	NA	NA	9	1	0.5495	0.06678	0.04086	0.06983	NA	0.04231	NA	NA	NA	NA	NA	0.01015	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbyaceae"	"F"	1890438	90	90	3	73	NA	59	NA	NA	2	NA	NA	10	NA	0.04592	0.04588	0.04086	0.04592	NA	0.0312	NA	NA	0.001124	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	85	85	3	72	NA	58	NA	NA	2	NA	NA	9	NA	0.0453	0.04333	0.04086	0.0453	NA	0.03068	NA	NA	0.001124	NA	NA	0.01015	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	50	50	3	45	NA	28	NA	NA	NA	NA	NA	NA	NA	0.04086	0.02549	0.04086	0.02831	NA	0.01481	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	16	16	NA	14	NA	12	NA	NA	1	NA	NA	3	NA	0.008807	0.008156	NA	0.008807	NA	0.006347	NA	NA	0.0005618	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	14	13	NA	10	NA	14	NA	NA	NA	NA	NA	NA	NA	0.007404	0.006627	NA	0.006291	NA	0.007404	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Halomicronema"	"G"	170610	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.002549	0.002549	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Halomicronema hongdechloris"	"S"	1209493	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.002549	0.002549	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Halomicronema"
"Merismopediaceae"	"F"	1890428	29	29	1	26	NA	16	NA	NA	NA	NA	NA	7	NA	0.01636	0.01478	0.01362	0.01636	NA	0.008462	NA	NA	NA	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	29	29	1	26	NA	16	NA	NA	NA	NA	NA	7	NA	0.01636	0.01478	0.01362	0.01636	NA	0.008462	NA	NA	NA	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Nostocales"	"O"	1161	4117	4117	94	3712	NA	2464	1	NA	7	NA	NA	263	1	2.335	2.099	1.28	2.335	NA	1.303	0.6849	NA	0.003933	NA	NA	0.2966	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	3943	3943	85	3470	NA	2244	1	NA	2	NA	NA	123	NA	2.183	2.01	1.158	2.183	NA	1.187	0.6849	NA	0.001124	NA	NA	0.1387	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	3942	3942	85	3466	NA	2241	1	NA	2	NA	NA	121	NA	2.18	2.009	1.158	2.18	NA	1.185	0.6849	NA	0.001124	NA	NA	0.1365	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. NIES-3974"	"S"	2005462	3641	3641	73	3214	NA	2038	1	NA	2	NA	NA	98	NA	2.022	1.856	0.9941	2.022	NA	1.078	0.6849	NA	0.001124	NA	NA	0.1105	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	242	242	10	202	NA	157	NA	NA	NA	NA	NA	11	NA	0.1362	0.1234	0.1362	0.1271	NA	0.08303	NA	NA	NA	NA	NA	0.01241	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4071"	"S"	2005469	30	30	2	27	NA	19	NA	NA	NA	NA	NA	3	NA	0.02724	0.01529	0.02724	0.01699	NA	0.01005	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 7507"	"S"	99598	15	15	NA	9	NA	8	NA	NA	NA	NA	NA	2	NA	0.007646	0.007646	NA	0.005662	NA	0.004231	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-2098"	"S"	1954171	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001529	0.001529	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. 336/3"	"S"	1337936	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Nostocaceae"	"F"	1162	220	153	8	220	NA	200	NA	NA	5	NA	NA	128	1	0.5495	0.07799	0.1089	0.1384	NA	0.1058	NA	NA	0.002809	NA	NA	0.1444	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Anabaena"	"G"	1163	172	100	5	172	NA	150	NA	NA	1	NA	NA	119	1	0.5495	0.05097	0.06809	0.1082	NA	0.07933	NA	NA	0.0005618	NA	NA	0.1342	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Anabaena cylindrica"	"S"	1165	33	33	NA	26	NA	23	NA	NA	NA	NA	NA	2	1	0.5495	0.01682	NA	0.01636	NA	0.01216	NA	NA	NA	NA	NA	0.002255	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. WA102"	"S"	1647413	54	5	NA	3	NA	9	NA	NA	NA	NA	NA	54	NA	0.0609	0.002549	NA	0.001887	NA	0.00476	NA	NA	NA	NA	NA	0.0609	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. 90"	"S"	46234	9	2	NA	3	NA	9	NA	NA	NA	NA	NA	5	NA	0.005639	0.001019	NA	0.001887	NA	0.00476	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Nostoc"	"G"	1177	36	29	3	36	NA	28	NA	NA	4	NA	NA	2	NA	0.04086	0.01478	0.04086	0.02265	NA	0.01481	NA	NA	0.002247	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Nostoc flagelliforme"	"S"	1306274	23	23	2	16	NA	15	NA	NA	NA	NA	NA	NA	NA	0.02724	0.01172	0.02724	0.01007	NA	0.007933	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. 'Peltigera membranacea cyanobiont N6'"	"S"	1261031	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'"	"S"	1618022	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Trichormus"	"G"	264688	19	19	NA	9	NA	17	NA	NA	NA	NA	NA	6	NA	0.009685	0.009685	NA	0.005662	NA	0.008991	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Trichormus azollae"	"S"	1164	19	19	NA	9	NA	17	NA	NA	NA	NA	NA	5	NA	0.009685	0.009685	NA	0.005662	NA	0.008991	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Trichormus"
"Hapalosiphonaceae"	"F"	1892263	11	3	1	11	NA	6	NA	NA	NA	NA	NA	6	NA	0.01362	0.001529	0.01362	0.00692	NA	0.003173	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Fischerella"	"G"	1190	11	3	1	11	NA	6	NA	NA	NA	NA	NA	6	NA	0.01362	0.001529	0.01362	0.00692	NA	0.003173	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae"
"Fischerella sp. NIES-3754"	"S"	1752063	11	3	1	11	NA	6	NA	NA	NA	NA	NA	6	NA	0.01362	0.001529	0.01362	0.00692	NA	0.003173	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae>Fischerella"
"Oscillatoriophycideae"	"-"	1301283	4002	4002	126	3594	NA	2586	1	1	25	NA	1	352	NA	2.261	2.04	1.716	2.261	NA	1.368	0.6849	1.087	0.01404	NA	1.786	0.397	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	2670	2670	72	2410	NA	1715	1	1	12	NA	NA	162	NA	1.516	1.361	0.9805	1.516	NA	0.907	0.6849	1.087	0.006741	NA	NA	0.1827	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Oscillatoriaceae"	"F"	1892254	1683	1683	51	1500	NA	1070	NA	NA	3	NA	NA	80	NA	0.9437	0.8579	0.6945	0.9437	NA	0.5659	NA	NA	0.001685	NA	NA	0.09022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Oscillatoria"	"G"	1158	1622	1622	50	1455	NA	1027	NA	NA	3	NA	NA	75	NA	0.9153	0.8268	0.6809	0.9153	NA	0.5432	NA	NA	0.001685	NA	NA	0.08458	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Oscillatoria acuminata"	"S"	118323	1516	1516	48	1369	NA	972	NA	NA	2	NA	NA	61	NA	0.8612	0.7728	0.6537	0.8612	NA	0.5141	NA	NA	0.001124	NA	NA	0.06879	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Oscillatoria nigro-viridis"	"S"	482564	98	98	2	78	NA	54	NA	NA	1	NA	NA	14	NA	0.04995	0.04995	0.02724	0.04907	NA	0.02856	NA	NA	0.0005618	NA	NA	0.01579	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Moorea"	"G"	1155738	61	61	1	45	NA	43	NA	NA	NA	NA	NA	5	NA	0.03109	0.03109	0.01362	0.02831	NA	0.02274	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
