"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	15	5	1	3	15	NA	5	NA	NA	9	NA	0.01362	0.002549	0.01362	0.001887	0.007933	NA	0.002809	NA	NA	0.01015	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	13	3	NA	NA	13	NA	1	NA	NA	6	NA	0.006875	0.001529	NA	NA	0.006875	NA	0.0005618	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	8	2	NA	1	4	NA	NA	NA	NA	8	NA	0.009022	0.001019	NA	0.0006291	0.002116	NA	NA	NA	NA	0.009022	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	20	2	3	1	8	NA	NA	NA	NA	20	NA	0.04086	0.001019	0.04086	0.0006291	0.004231	NA	NA	NA	NA	0.02255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	7	1	1	1	5	NA	5	NA	NA	7	NA	0.01362	0.0005097	0.01362	0.0006291	0.002644	NA	0.002809	NA	NA	0.007894	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	2	1	NA	NA	2	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	0.001058	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	31	1	1	2	31	NA	NA	NA	NA	24	NA	0.02707	0.0005097	0.01362	0.001258	0.0164	NA	NA	NA	NA	0.02707	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	4	1	NA	1	3	NA	4	NA	NA	2	NA	0.002255	0.0005097	NA	0.0006291	0.001587	NA	0.002247	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	1	1	NA	1	1	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	2	1	NA	NA	1	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1	1	NA	1	1	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	3	1	NA	NA	2	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	NA	0.001058	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	0.01362	0.0005097	0.01362	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodocyclaceae"	"F"	26555	17	6	NA	3	17	NA	4	NA	NA	13	NA	0.01466	0.003058	NA	0.001887	0.008991	NA	0.002247	NA	NA	0.01466	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Azonexus"	"G"	26557	3	2	NA	NA	NA	NA	3	NA	NA	1	NA	0.001685	0.001019	NA	NA	NA	NA	0.001685	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Candidatus Accumulibacter"	"G"	26561	3	1	NA	1	3	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	0.0006291	0.001587	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Quatrionicoccus"	"G"	26572	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"uncultured"	"G"	26581	2	1	NA	1	2	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	0.0006291	0.001058	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Methylophilaceae"	"F"	26515	10	4	NA	NA	10	NA	2	NA	NA	6	NA	0.006766	0.002039	NA	NA	0.005289	NA	0.001124	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"OM43 clade"	"G"	26523	5	3	NA	NA	5	NA	NA	NA	NA	4	NA	0.004511	0.001529	NA	NA	0.002644	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Methylotenera"	"G"	26521	2	1	NA	NA	2	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	0.001058	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"A21b"	"F"	26342	10	2	NA	NA	5	NA	NA	NA	NA	10	NA	0.01128	0.001019	NA	NA	0.002644	NA	NA	NA	NA	0.01128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"B1-7BS"	"F"	26348	2	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Chitinibacteraceae"	"F"	26472	5	1	NA	NA	1	NA	NA	NA	NA	5	NA	0.005639	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	0.005639	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Amantichitinum"	"G"	26473	5	1	NA	NA	1	NA	NA	NA	NA	5	NA	0.005639	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	0.005639	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Chitinibacteraceae"
"Hydrogenophilaceae"	"F"	26503	4	1	NA	1	1	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Thiobacillus"	"G"	26509	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Hydrogenophilaceae"
"Neisseriaceae"	"F"	26526	32	1	2	NA	32	NA	3	NA	NA	26	NA	0.02932	0.0005097	0.02724	NA	0.01692	NA	0.001685	NA	NA	0.02932	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Neisseria"	"G"	26532	6	1	NA	NA	3	NA	3	NA	NA	6	NA	0.006766	0.0005097	NA	NA	0.001587	NA	0.001685	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Nitrosomonadaceae"	"F"	26539	19	1	NA	4	19	NA	11	NA	NA	15	NA	0.01692	0.0005097	NA	0.002516	0.01005	NA	0.00618	NA	NA	0.01692	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"MND1"	"G"	26545	6	1	NA	NA	6	NA	5	NA	NA	NA	NA	0.003173	0.0005097	NA	NA	0.003173	NA	0.002809	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Xanthomonadales"	"O"	3786	72	59	3	51	72	NA	54	NA	NA	29	NA	0.04086	0.03007	0.04086	0.03208	0.03808	NA	0.03034	NA	NA	0.0327	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Rhodanobacteraceae"	"F"	26864	50	50	3	38	43	NA	42	NA	NA	14	NA	0.04086	0.02549	0.04086	0.02391	0.02274	NA	0.0236	NA	NA	0.01579	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Rhodanobacter"	"G"	26877	49	49	3	35	41	NA	42	NA	NA	10	NA	0.04086	0.02498	0.04086	0.02202	0.02168	NA	0.0236	NA	NA	0.01128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"uncultured"	"G"	26880	2	1	NA	2	1	NA	NA	NA	NA	1	NA	0.001258	0.0005097	NA	0.001258	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Xanthomonadaceae"	"F"	3799	29	8	NA	12	29	NA	12	NA	NA	15	NA	0.01692	0.004078	NA	0.007549	0.01534	NA	0.006741	NA	NA	0.01692	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Stenotrophomonas"	"G"	3818	12	5	NA	5	12	NA	9	NA	NA	6	NA	0.006766	0.002549	NA	0.003146	0.006347	NA	0.005056	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Arenimonas"	"G"	3801	2	2	NA	1	1	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Pseudoxanthomonas"	"G"	3813	3	1	NA	2	2	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	0.001258	0.001058	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Pseudomonadales"	"O"	3709	145	54	NA	36	47	NA	145	NA	NA	36	NA	0.08146	0.02753	NA	0.02265	0.02486	NA	0.08146	NA	NA	0.0406	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudomonadaceae"	"F"	3718	136	43	NA	33	36	NA	136	NA	NA	28	NA	0.0764	0.02192	NA	0.02076	0.01904	NA	0.0764	NA	NA	0.03158	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Pseudomonas"	"G"	3723	136	42	NA	33	36	NA	136	NA	NA	27	NA	0.0764	0.02141	NA	0.02076	0.01904	NA	0.0764	NA	NA	0.03045	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Thiopseudomonas"	"G"	14683	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Moraxellaceae"	"F"	3710	11	11	NA	3	11	NA	9	NA	NA	8	NA	0.009022	0.005607	NA	0.001887	0.005818	NA	0.005056	NA	NA	0.009022	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Acinetobacter"	"G"	3711	8	8	NA	2	8	NA	6	NA	NA	3	NA	0.004231	0.004078	NA	0.001258	0.004231	NA	0.003371	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"[Agitococcus] lubricus group"	"G"	14681	4	2	NA	NA	1	NA	1	NA	NA	4	NA	0.004511	0.001019	NA	NA	0.0005289	NA	0.0005618	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Psychrobacter"	"G"	3716	2	1	NA	NA	1	NA	2	NA	NA	NA	NA	0.001124	0.0005097	NA	NA	0.0005289	NA	0.001124	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Enterobacteriales"	"O"	3468	3106	30	2	19	44	NA	3106	1	NA	26	NA	1.745	0.01529	0.02724	0.01195	0.02327	NA	1.745	0.9259	NA	0.02932	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Enterobacteriaceae"	"F"	3469	3106	30	2	19	44	NA	3106	1	NA	26	NA	1.745	0.01529	0.02724	0.01195	0.02327	NA	1.745	0.9259	NA	0.02932	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales"
"Escherichia-Shigella"	"G"	3504	962	6	1	6	8	NA	962	NA	NA	1	NA	0.5404	0.003058	0.01362	0.003775	0.004231	NA	0.5404	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Enterobacter"	"G"	3502	98	5	NA	4	18	NA	98	NA	NA	9	NA	0.05506	0.002549	NA	0.002516	0.00952	NA	0.05506	NA	NA	0.01015	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Buchnera"	"G"	3473	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Arsenophonus"	"G"	3470	6	2	NA	3	2	NA	NA	NA	NA	6	NA	0.006766	0.001019	NA	0.001887	0.001058	NA	NA	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"endosymbionts2"	"G"	14647	2	2	NA	1	NA	NA	1	NA	NA	NA	NA	0.001019	0.001019	NA	0.0006291	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Candidatus Moranella"	"G"	3484	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Klebsiella"	"G"	3507	29	1	NA	NA	NA	NA	29	NA	NA	NA	NA	0.01629	0.0005097	NA	NA	NA	NA	0.01629	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Pantoea"	"G"	3513	37	1	1	NA	1	NA	37	NA	NA	1	NA	0.02079	0.0005097	0.01362	NA	0.0005289	NA	0.02079	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Sodalis"	"G"	3525	10	1	NA	NA	NA	NA	10	NA	NA	NA	NA	0.005618	0.0005097	NA	NA	NA	NA	0.005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Vibrionales"	"O"	3775	15	15	NA	7	7	NA	15	NA	NA	NA	NA	0.008427	0.007646	NA	0.004404	0.003702	NA	0.008427	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Vibrionaceae"	"F"	3776	15	15	NA	7	7	NA	15	NA	NA	NA	NA	0.008427	0.007646	NA	0.004404	0.003702	NA	0.008427	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales"
"Vibrio"	"G"	3783	15	15	NA	7	7	NA	13	NA	NA	NA	NA	0.007646	0.007646	NA	0.004404	0.003702	NA	0.007303	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Alteromonadales"	"O"	3333	13	6	1	2	3	NA	13	NA	NA	3	NA	0.01362	0.003058	0.01362	0.001258	0.001587	NA	0.007303	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Alteromonadaceae"	"F"	3334	3	3	NA	1	1	NA	2	NA	NA	1	NA	0.001529	0.001529	NA	0.0006291	0.0005289	NA	0.001124	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Alteromonas"	"G"	3339	3	3	NA	1	NA	NA	1	NA	NA	1	NA	0.001529	0.001529	NA	0.0006291	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae"
"Marinobacteraceae"	"F"	26313	2	2	1	NA	1	NA	1	NA	NA	2	NA	0.01362	0.001019	0.01362	NA	0.0005289	NA	0.0005618	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Marinobacter"	"G"	26314	2	2	1	NA	1	NA	1	NA	NA	2	NA	0.01362	0.001019	0.01362	NA	0.0005289	NA	0.0005618	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Marinobacteraceae"
"Colwelliaceae"	"F"	3378	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Colwellia"	"G"	3379	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae"
"Acidithiobacillales"	"O"	3307	26	4	1	NA	26	NA	1	NA	NA	13	NA	0.01466	0.002039	0.01362	NA	0.01375	NA	0.0005618	NA	NA	0.01466	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillaceae"	"F"	3309	26	4	1	NA	26	NA	1	NA	NA	13	NA	0.01466	0.002039	0.01362	NA	0.01375	NA	0.0005618	NA	NA	0.01466	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales"
"Acidithiobacillus"	"G"	3310	26	4	1	NA	26	NA	1	NA	NA	13	NA	0.01466	0.002039	0.01362	NA	0.01375	NA	0.0005618	NA	NA	0.01466	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"Aeromonadales"	"O"	3316	27	4	NA	2	6	NA	20	NA	NA	27	NA	0.03045	0.002039	NA	0.001258	0.003173	NA	0.01124	NA	NA	0.03045	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Aeromonadaceae"	"F"	3317	27	4	NA	2	3	NA	16	NA	NA	27	NA	0.03045	0.002039	NA	0.001258	0.001587	NA	0.008989	NA	NA	0.03045	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
"Tolumonas"	"G"	3321	25	3	NA	NA	1	NA	1	NA	NA	25	NA	0.02819	0.001529	NA	NA	0.0005289	NA	0.0005618	NA	NA	0.02819	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Aeromonas"	"G"	3318	15	1	NA	2	2	NA	15	NA	NA	2	NA	0.008427	0.0005097	NA	0.001258	0.001058	NA	0.008427	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Pasteurellales"	"O"	3688	22	4	1	2	5	NA	22	NA	NA	5	NA	0.01362	0.002039	0.01362	0.001258	0.002644	NA	0.01236	NA	NA	0.005639	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pasteurellaceae"	"F"	3689	22	4	1	2	5	NA	22	NA	NA	5	NA	0.01362	0.002039	0.01362	0.001258	0.002644	NA	0.01236	NA	NA	0.005639	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales"
"Aggregatibacter"	"G"	3691	3	1	1	NA	1	NA	1	NA	NA	3	NA	0.01362	0.0005097	0.01362	NA	0.0005289	NA	0.0005618	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Haemophilus"	"G"	3698	16	1	NA	2	4	NA	16	NA	NA	1	NA	0.008989	0.0005097	NA	0.001258	0.002116	NA	0.008989	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Muribacter"	"G"	14676	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Cellvibrionales"	"O"	11512	4	4	NA	4	1	NA	NA	NA	NA	3	NA	0.003383	0.002039	NA	0.002516	0.0005289	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Porticoccaceae"	"F"	11538	4	4	NA	3	NA	NA	NA	NA	NA	1	NA	0.002039	0.002039	NA	0.001887	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"Porticoccus"	"G"	11540	3	3	NA	3	NA	NA	NA	NA	NA	1	NA	0.001887	0.001529	NA	0.001887	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"SAR92 clade"	"G"	11541	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
