"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Synechococcus sp. PCC 7502"	"S"	1173263	19415	19415	510	17030	NA	12419	NA	NA	5	NA	NA	794	NA	10.94	10.14	7.282	10.94	NA	6.696	NA	NA	0.002812	NA	NA	0.9489	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	421	396	14	421	NA	279	NA	NA	NA	NA	NA	21	NA	0.2706	0.2068	0.1999	0.2706	NA	0.1504	NA	NA	NA	NA	NA	0.0251	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	444	444	8	395	NA	319	NA	NA	NA	NA	NA	34	NA	0.2539	0.2319	0.1142	0.2539	NA	0.172	NA	NA	NA	NA	NA	0.04063	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	100	90	5	100	NA	94	NA	NA	1	NA	NA	11	NA	0.07139	0.047	0.07139	0.06427	NA	0.05068	NA	NA	0.0005623	NA	NA	0.01315	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	41	39	1	41	NA	29	NA	NA	NA	NA	NA	6	NA	0.02635	0.02037	0.01428	0.02635	NA	0.01564	NA	NA	NA	NA	NA	0.00717	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	36	36	1	31	NA	23	NA	NA	NA	NA	NA	3	NA	0.01992	0.0188	0.01428	0.01992	NA	0.0124	NA	NA	NA	NA	NA	0.003585	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	19	17	NA	19	NA	16	NA	NA	NA	NA	NA	2	NA	0.01221	0.008878	NA	0.01221	NA	0.008627	NA	NA	NA	NA	NA	0.00239	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	10	5	NA	10	NA	6	NA	NA	NA	NA	NA	2	NA	0.006427	0.002611	NA	0.006427	NA	0.003235	NA	NA	NA	NA	NA	0.00239	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-52"	"S"	585425	5	3	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	0.002696	0.001567	NA	0.001928	NA	0.002696	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-49"	"S"	585423	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005223	0.0005223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9311"	"S"	64471	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005392	0.0005223	NA	NA	NA	0.0005392	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	5	2	1	5	NA	4	NA	NA	NA	NA	NA	4	NA	0.01428	0.001045	0.01428	0.003213	NA	0.002157	NA	NA	NA	NA	NA	0.00478	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	4	2	1	4	NA	3	NA	NA	NA	NA	NA	4	NA	0.01428	0.001045	0.01428	0.002571	NA	0.001617	NA	NA	NA	NA	NA	0.00478	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Prochloraceae"	"F"	1213	13314	13314	355	11895	1	8942	NA	1	5	NA	1	575	NA	7.645	6.953	5.069	7.645	0.6623	4.821	NA	1.235	0.002812	NA	1.818	0.6871	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	13314	13314	355	11895	1	8942	NA	1	5	NA	1	575	NA	7.645	6.953	5.069	7.645	0.6623	4.821	NA	1.235	0.002812	NA	1.818	0.6871	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	8807	8006	246	8807	NA	5574	NA	NA	NA	NA	NA	344	NA	5.66	4.181	3.512	5.66	NA	3.005	NA	NA	NA	NA	NA	0.4111	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	5307	5307	108	3087	NA	3367	NA	NA	NA	NA	NA	230	NA	2.772	2.772	1.542	1.984	NA	1.815	NA	NA	NA	NA	NA	0.2749	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbyaceae"	"F"	1890438	695	695	16	618	NA	431	NA	NA	NA	NA	NA	47	NA	0.3972	0.363	0.2284	0.3972	NA	0.2324	NA	NA	NA	NA	NA	0.05617	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	695	695	16	618	NA	431	NA	NA	NA	NA	NA	47	NA	0.3972	0.363	0.2284	0.3972	NA	0.2324	NA	NA	NA	NA	NA	0.05617	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	589	589	12	507	NA	349	NA	NA	NA	NA	NA	24	NA	0.3258	0.3076	0.1713	0.3258	NA	0.1882	NA	NA	NA	NA	NA	0.02868	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	64	64	3	46	NA	29	NA	NA	NA	NA	NA	3	NA	0.04283	0.03342	0.04283	0.02956	NA	0.01564	NA	NA	NA	NA	NA	0.003585	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	63	41	1	63	NA	51	NA	NA	NA	NA	NA	19	NA	0.04049	0.02141	0.01428	0.04049	NA	0.0275	NA	NA	NA	NA	NA	0.02271	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005223	NA	0.0006427	NA	0.0005392	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08291	0.07364	0.05711	0.08291	NA	0.04044	NA	NA	NA	NA	NA	0.00956	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08291	0.07364	0.05711	0.08291	NA	0.04044	NA	NA	NA	NA	NA	0.00956	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08291	0.07364	0.05711	0.08291	NA	0.04044	NA	NA	NA	NA	NA	0.00956	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Chamaesiphonaceae"	"F"	1890431	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002089	0.002089	NA	0.001928	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002089	0.002089	NA	0.001928	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002089	0.002089	NA	0.001928	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Pseudanabaenaceae"	"F"	1890436	3	2	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003585	0.001045	NA	0.0006427	NA	NA	NA	NA	NA	NA	NA	0.003585	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	3	2	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003585	0.001045	NA	0.0006427	NA	NA	NA	NA	NA	NA	NA	0.003585	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. PCC 7367"	"S"	82654	3	2	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003585	0.001045	NA	0.0006427	NA	NA	NA	NA	NA	NA	NA	0.003585	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Merismopediaceae"	"F"	1890428	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001195	0.001045	NA	NA	NA	0.0005392	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001195	0.001045	NA	NA	NA	0.0005392	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Synechocystis sp. PCC 6714"	"S"	1147	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005392	0.0005223	NA	NA	NA	0.0005392	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Synechocystis"
"Oscillatoriophycideae"	"-"	1301283	10038	10038	265	8681	NA	6421	NA	2	2	1	2	470	NA	5.579	5.242	3.784	5.579	NA	3.462	NA	2.469	0.001125	0.9901	3.636	0.5617	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	8273	8273	219	7122	NA	5195	NA	1	1	1	NA	396	NA	4.577	4.321	3.127	4.577	NA	2.801	NA	1.235	0.0005623	0.9901	NA	0.4732	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Microcoleaceae"	"F"	1892252	6407	6407	161	5426	NA	4041	NA	1	NA	1	NA	277	NA	3.487	3.346	2.299	3.487	NA	2.179	NA	1.235	NA	0.9901	NA	0.331	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Planktothrix"	"G"	54304	6336	6336	159	5364	NA	3979	NA	1	NA	1	NA	274	NA	3.447	3.309	2.27	3.447	NA	2.145	NA	1.235	NA	0.9901	NA	0.3274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Planktothrix agardhii"	"S"	1160	6336	6336	159	5364	NA	3979	NA	1	NA	1	NA	274	NA	3.447	3.309	2.27	3.447	NA	2.145	NA	1.235	NA	0.9901	NA	0.3274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Planktothrix"
"Microcoleus"	"G"	44471	35	35	2	30	NA	33	NA	NA	NA	NA	NA	1	NA	0.02856	0.01828	0.02856	0.01928	NA	0.01779	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Microcoleus sp. PCC 7113"	"S"	1173027	35	35	2	30	NA	33	NA	NA	NA	NA	NA	1	NA	0.02856	0.01828	0.02856	0.01928	NA	0.01779	NA	NA	NA	NA	NA	0.001195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Microcoleus"
"Arthrospira"	"G"	35823	34	34	NA	30	NA	26	NA	NA	NA	NA	NA	2	NA	0.01928	0.01776	NA	0.01928	NA	0.01402	NA	NA	NA	NA	NA	0.00239	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium"	"G"	1205	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001045	0.001045	NA	0.0006427	NA	0.0005392	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium erythraeum"	"S"	1206	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001045	0.001045	NA	0.0006427	NA	0.0005392	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium"
"Gomontiellaceae"	"F"	1892255	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6234	0.574	0.4997	0.6234	NA	0.3445	NA	NA	0.0005623	NA	NA	0.06334	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Crinalium"	"G"	241421	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6234	0.574	0.4997	0.6234	NA	0.3445	NA	NA	0.0005623	NA	NA	0.06334	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae"
"Crinalium epipsammum"	"S"	241425	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6234	0.574	0.4997	0.6234	NA	0.3445	NA	NA	0.0005623	NA	NA	0.06334	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium"
"Coleofasciculaceae"	"F"	1892251	475	475	17	445	NA	314	NA	NA	NA	NA	NA	27	NA	0.286	0.2481	0.2427	0.286	NA	0.1693	NA	NA	NA	NA	NA	0.03227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Geitlerinema"	"G"	63132	475	475	17	445	NA	314	NA	NA	NA	NA	NA	27	NA	0.286	0.2481	0.2427	0.286	NA	0.1693	NA	NA	NA	NA	NA	0.03227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae"
"Geitlerinema sp. PCC 7407"	"S"	1173025	475	475	17	445	NA	314	NA	NA	NA	NA	NA	27	NA	0.286	0.2481	0.2427	0.286	NA	0.1693	NA	NA	NA	NA	NA	0.03227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Geitlerinema"
"Cyanothecaceae"	"F"	1892249	198	198	2	182	NA	146	NA	NA	NA	NA	NA	15	NA	0.117	0.1034	0.02856	0.117	NA	0.07872	NA	NA	NA	NA	NA	0.01793	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Cyanothece"	"G"	43988	198	198	2	182	NA	146	NA	NA	NA	NA	NA	15	NA	0.117	0.1034	0.02856	0.117	NA	0.07872	NA	NA	NA	NA	NA	0.01793	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae"
"Cyanothece sp. PCC 7822"	"S"	497965	171	171	NA	136	NA	119	NA	NA	NA	NA	NA	9	NA	0.08931	0.08931	NA	0.0874	NA	0.06416	NA	NA	NA	NA	NA	0.01076	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Oscillatoriaceae"	"F"	1892254	73	73	3	73	NA	41	NA	NA	NA	NA	NA	19	NA	0.04692	0.03813	0.04283	0.04692	NA	0.02211	NA	NA	NA	NA	NA	0.02271	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Oscillatoria"	"G"	1158	55	41	2	55	NA	25	NA	NA	NA	NA	NA	19	NA	0.03535	0.02141	0.02856	0.03535	NA	0.01348	NA	NA	NA	NA	NA	0.02271	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Oscillatoria acuminata"	"S"	118323	46	32	2	46	NA	24	NA	NA	NA	NA	NA	11	NA	0.02956	0.01671	0.02856	0.02956	NA	0.01294	NA	NA	NA	NA	NA	0.01315	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
