"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.kreport.cladeReads"	"kraken2_classification_june_BC02.kreport.cladeReads"	"kraken2_classification_june_BC03.kreport.cladeReads"	"kraken2_classification_june_BC04.kreport.cladeReads"	"kraken2_classification_june_BC05.kreport.cladeReads"	"kraken2_classification_june_BC06.kreport.cladeReads"	"kraken2_classification_june_BC07.kreport.cladeReads"	"kraken2_classification_june_BC08.kreport.cladeReads"	"kraken2_classification_june_BC09.kreport.cladeReads"	"kraken2_classification_june_BC10.kreport.cladeReads"	"kraken2_classification_june_BC11.kreport.cladeReads"	"kraken2_classification_june_BC12.kreport.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.kreport.cladeReads.."	"kraken2_classification_june_BC02.kreport.cladeReads.."	"kraken2_classification_june_BC03.kreport.cladeReads.."	"kraken2_classification_june_BC04.kreport.cladeReads.."	"kraken2_classification_june_BC05.kreport.cladeReads.."	"kraken2_classification_june_BC06.kreport.cladeReads.."	"kraken2_classification_june_BC07.kreport.cladeReads.."	"kraken2_classification_june_BC08.kreport.cladeReads.."	"kraken2_classification_june_BC09.kreport.cladeReads.."	"kraken2_classification_june_BC10.kreport.cladeReads.."	"kraken2_classification_june_BC11.kreport.cladeReads.."	"kraken2_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Prochloraceae"	"F"	1213	13314	13314	355	11895	1	8942	NA	1	5	NA	1	575	NA	7.483	6.787	4.835	7.483	0.6289	4.729	NA	1.087	0.002809	NA	1.786	0.6484	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	13314	13314	355	11895	1	8942	NA	1	5	NA	1	575	NA	7.483	6.787	4.835	7.483	0.6289	4.729	NA	1.087	0.002809	NA	1.786	0.6484	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	639	639	10	618	NA	445	NA	NA	NA	NA	NA	32	NA	0.3888	0.3257	0.1362	0.3888	NA	0.2354	NA	NA	NA	NA	NA	0.03609	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus marinus subsp. marinus"	"-"	142554	513	513	6	470	NA	352	NA	NA	NA	NA	NA	27	NA	0.2957	0.2615	0.08171	0.2957	NA	0.1862	NA	NA	NA	NA	NA	0.03045	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus str. CCMP1375"	"-"	167539	513	513	6	470	NA	352	NA	NA	NA	NA	NA	27	NA	0.2957	0.2615	0.08171	0.2957	NA	0.1862	NA	NA	NA	NA	NA	0.03045	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;marinus"
"Prochlorococcus marinus str. NATL1A"	"-"	167555	137	119	4	137	NA	90	NA	NA	NA	NA	NA	5	NA	0.08619	0.06066	0.05447	0.08619	NA	0.0476	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	93	93	2	56	NA	64	NA	NA	NA	NA	NA	4	NA	0.04741	0.04741	0.02724	0.03523	NA	0.03385	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbyaceae"	"F"	1890438	695	695	16	618	NA	431	NA	NA	NA	NA	NA	47	NA	0.3888	0.3543	0.2179	0.3888	NA	0.2279	NA	NA	NA	NA	NA	0.053	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	695	695	16	618	NA	431	NA	NA	NA	NA	NA	47	NA	0.3888	0.3543	0.2179	0.3888	NA	0.2279	NA	NA	NA	NA	NA	0.053	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	589	589	12	507	NA	349	NA	NA	NA	NA	NA	24	NA	0.319	0.3002	0.1634	0.319	NA	0.1846	NA	NA	NA	NA	NA	0.02707	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	64	64	3	46	NA	29	NA	NA	NA	NA	NA	3	NA	0.04086	0.03262	0.04086	0.02894	NA	0.01534	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	63	41	1	63	NA	51	NA	NA	NA	NA	NA	19	NA	0.03963	0.0209	0.01362	0.03963	NA	0.02697	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08115	0.07187	0.05447	0.08115	NA	0.03967	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08115	0.07187	0.05447	0.08115	NA	0.03967	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08115	0.07187	0.05447	0.08115	NA	0.03967	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Halomicronema hongdechloris C2206"	"-"	1641165	141	141	4	129	NA	75	NA	NA	NA	NA	NA	8	NA	0.08115	0.07187	0.05447	0.08115	NA	0.03967	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema>Halomicronema&nbsp;hongdechloris"
"Chamaesiphonaceae"	"F"	1890431	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002039	0.002039	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002039	0.002039	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002039	0.002039	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Chamaesiphon minutus PCC 6605"	"-"	1173020	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002039	0.002039	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon>Chamaesiphon&nbsp;minutus"
"Merismopediaceae"	"F"	1890428	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.001019	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.001019	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Synechocystis sp. PCC 6714"	"S"	1147	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Synechocystis"
"Pseudanabaenaceae"	"F"	1890436	3	2	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.001019	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	3	2	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.001019	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. PCC 7367"	"S"	82654	3	2	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.001019	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Oscillatoriophycideae"	"-"	1301283	10038	10038	265	8681	NA	6421	NA	2	2	1	2	470	NA	5.461	5.117	3.609	5.461	NA	3.396	NA	2.174	0.001124	0.9259	3.571	0.53	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	8273	8273	219	7122	NA	5195	NA	1	1	1	NA	396	NA	4.48	4.217	2.982	4.48	NA	2.748	NA	1.087	0.0005618	0.9259	NA	0.4466	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Microcoleaceae"	"F"	1892252	6407	6407	161	5426	NA	4041	NA	1	NA	1	NA	277	NA	3.414	3.266	2.193	3.414	NA	2.137	NA	1.087	NA	0.9259	NA	0.3124	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Planktothrix"	"G"	54304	6336	6336	159	5364	NA	3979	NA	1	NA	1	NA	274	NA	3.375	3.23	2.165	3.375	NA	2.104	NA	1.087	NA	0.9259	NA	0.309	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Planktothrix agardhii"	"S"	1160	6336	6336	159	5364	NA	3979	NA	1	NA	1	NA	274	NA	3.375	3.23	2.165	3.375	NA	2.104	NA	1.087	NA	0.9259	NA	0.309	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Planktothrix"
"Planktothrix agardhii NIVA-CYA 126/8"	"-"	388467	6336	6336	159	5364	NA	3979	NA	1	NA	1	NA	274	NA	3.375	3.23	2.165	3.375	NA	2.104	NA	1.087	NA	0.9259	NA	0.309	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Planktothrix>Planktothrix&nbsp;agardhii"
"Microcoleus"	"G"	44471	35	35	2	30	NA	33	NA	NA	NA	NA	NA	1	NA	0.02724	0.01784	0.02724	0.01887	NA	0.01745	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Microcoleus sp. PCC 7113"	"S"	1173027	35	35	2	30	NA	33	NA	NA	NA	NA	NA	1	NA	0.02724	0.01784	0.02724	0.01887	NA	0.01745	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Microcoleus"
"Arthrospira"	"G"	35823	34	34	NA	30	NA	26	NA	NA	NA	NA	NA	2	NA	0.01887	0.01733	NA	0.01887	NA	0.01375	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium"	"G"	1205	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium erythraeum"	"S"	1206	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium"
"Trichodesmium erythraeum IMS101"	"-"	203124	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium>Trichodesmium&nbsp;erythraeum"
"Gomontiellaceae"	"F"	1892255	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6102	0.5602	0.4766	0.6102	NA	0.338	NA	NA	0.0005618	NA	NA	0.05977	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
