"name"	"taxRank"	"taxID"	"Max"	"BC01.txt.cladeReads"	"BC02.txt.cladeReads"	"BC03.txt.cladeReads"	"BC04.txt.cladeReads"	"BC05.txt.cladeReads"	"BC06.txt.cladeReads"	"BC07.txt.cladeReads"	"BC08.txt.cladeReads"	"BC09.txt.cladeReads"	"BC10.txt.cladeReads"	"BC11.txt.cladeReads"	"BC12.txt.cladeReads"	"Max.1"	"BC01.txt.cladeReads.."	"BC02.txt.cladeReads.."	"BC03.txt.cladeReads.."	"BC04.txt.cladeReads.."	"BC05.txt.cladeReads.."	"BC06.txt.cladeReads.."	"BC07.txt.cladeReads.."	"BC08.txt.cladeReads.."	"BC09.txt.cladeReads.."	"BC10.txt.cladeReads.."	"BC11.txt.cladeReads.."	"BC12.txt.cladeReads.."	"lineage"
"Calothrix sp. 336/3"	"S"	1337936	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000802	0.000802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Anabaena cylindrica"	"S"	1165	33	33	NA	26	NA	23	NA	NA	NA	NA	NA	2	1	1.176	0.02647	NA	0.02619	NA	0.01728	NA	NA	NA	NA	NA	0.002823	1.176	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. WA102"	"S"	1647413	54	5	NA	3	NA	9	NA	NA	NA	NA	NA	54	NA	0.07623	0.00401	NA	0.003022	NA	0.006763	NA	NA	NA	NA	NA	0.07623	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. 90"	"S"	46234	9	2	NA	3	NA	9	NA	NA	NA	NA	NA	5	NA	0.007059	0.001604	NA	0.003022	NA	0.006763	NA	NA	NA	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Nostoc flagelliforme"	"S"	1306274	23	23	2	16	NA	15	NA	NA	NA	NA	NA	NA	NA	0.0405	0.01845	0.0405	0.01612	NA	0.01127	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. 'Peltigera membranacea cyanobiont N6'"	"S"	1261031	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000802	0.000802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'"	"S"	1618022	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000802	0.000802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Trichormus azollae"	"S"	1164	19	19	NA	9	NA	17	NA	NA	NA	NA	NA	5	NA	0.01524	0.01524	NA	0.009066	NA	0.01277	NA	NA	NA	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Trichormus"
"Fischerella sp. NIES-3754"	"S"	1752063	11	3	1	11	NA	6	NA	NA	NA	NA	NA	6	NA	0.02025	0.002406	0.02025	0.01108	NA	0.004508	NA	NA	NA	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae>Fischerella"
"Oscillatoria acuminata"	"S"	118323	1516	1516	48	1369	NA	972	NA	NA	2	NA	NA	61	NA	1.379	1.216	0.9721	1.379	NA	0.7304	NA	NA	0.001144	NA	NA	0.08612	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Oscillatoria nigro-viridis"	"S"	482564	98	98	2	78	NA	54	NA	NA	1	NA	NA	14	NA	0.0786	0.0786	0.0405	0.07857	NA	0.04058	NA	NA	0.0005718	NA	NA	0.01976	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Moorea producens"	"S"	1155739	61	61	1	45	NA	43	NA	NA	NA	NA	NA	5	NA	0.04892	0.04892	0.02025	0.04533	NA	0.03231	NA	NA	NA	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Moorea"
"Microcoleus sp. PCC 7113"	"S"	1173027	564	564	11	483	NA	363	NA	1	1	NA	NA	26	NA	2.273	0.4523	0.2228	0.4865	NA	0.2728	NA	2.273	0.0005718	NA	NA	0.03671	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Microcoleus"
"Trichodesmium erythraeum"	"S"	1206	75	32	2	75	NA	35	NA	NA	3	NA	NA	20	NA	0.07555	0.02566	0.0405	0.07555	NA	0.0263	NA	NA	0.001715	NA	NA	0.02823	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium"
"Geitlerinema sp. PCC 7407"	"S"	1173025	176	176	6	161	NA	127	NA	NA	4	NA	NA	12	NA	0.1622	0.1412	0.1215	0.1622	NA	0.09543	NA	NA	0.002287	NA	NA	0.01694	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Geitlerinema"
"Crinalium epipsammum"	"S"	241425	104	101	NA	104	NA	46	NA	NA	1	NA	NA	10	NA	0.1048	0.081	NA	0.1048	NA	0.03456	NA	NA	0.0005718	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium"
"Cyanothece sp. PCC 7822"	"S"	497965	6	6	NA	2	NA	1	NA	NA	NA	NA	NA	1	NA	0.004812	0.004812	NA	0.002015	NA	0.0007514	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Cyanothece sp. ATCC 51142"	"S"	43989	5	4	NA	5	NA	1	1	NA	NA	NA	NA	NA	NA	1.333	0.003208	NA	0.005036	NA	0.0007514	1.333	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Cyanothece sp. PCC 7425"	"S"	395961	4	2	NA	4	NA	2	NA	NA	NA	NA	NA	NA	NA	0.004029	0.001604	NA	0.004029	NA	0.001503	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Gloeocapsa sp. PCC 7428"	"S"	1173026	352	352	9	310	NA	236	NA	NA	NA	NA	NA	137	NA	0.3123	0.2823	0.1823	0.3123	NA	0.1773	NA	NA	NA	NA	NA	0.1934	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsa"
"Chondrocystis sp. NIES-4102"	"S"	2005460	225	225	13	196	NA	141	NA	NA	NA	NA	NA	10	NA	0.2633	0.1805	0.2633	0.1974	NA	0.1059	NA	NA	NA	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Chondrocystis"
"Geminocystis sp. NIES-3709"	"S"	1617448	20	20	1	16	NA	20	NA	NA	NA	NA	NA	1	NA	0.02025	0.01604	0.02025	0.01612	NA	0.01503	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Geminocystis sp. NIES-3708"	"S"	1615909	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001604	0.001604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Microcystis aeruginosa"	"S"	1126	173	173	8	162	NA	127	NA	NA	1	NA	1	5	NA	4.762	0.1387	0.162	0.1632	NA	0.09543	NA	NA	0.0005718	NA	4.762	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis sp. MC19"	"S"	1967666	93	90	6	93	NA	65	NA	NA	2	NA	NA	4	NA	0.1215	0.07218	0.1215	0.09368	NA	0.04884	NA	NA	0.001144	NA	NA	0.005647	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Candidatus Atelocyanobacterium thalassa"	"S"	713887	240	240	9	209	NA	150	NA	NA	2	NA	NA	16	NA	0.2105	0.1925	0.1823	0.2105	NA	0.1127	NA	NA	0.001144	NA	NA	0.02259	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium"
"Halothece sp. PCC 7418"	"S"	65093	4	2	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004029	0.001604	NA	0.004029	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster>Halothece"
"Cyanobacterium aponinum"	"S"	379064	88	88	2	68	NA	55	NA	NA	6	NA	NA	6	NA	0.07058	0.07058	0.0405	0.0685	NA	0.04133	NA	NA	0.003431	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae>Cyanobacterium"
"Gloeobacter violaceus"	"S"	33072	17	10	NA	14	NA	17	NA	NA	NA	NA	NA	1	NA	0.0141	0.00802	NA	0.0141	NA	0.01277	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria>Gloeobacterales>Gloeobacteraceae>Gloeobacter"
"Gloeobacter kilaueensis"	"S"	1416614	19	9	2	19	NA	9	NA	NA	NA	NA	NA	1	NA	0.0405	0.007218	0.0405	0.01914	NA	0.006763	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria>Gloeobacterales>Gloeobacteraceae>Gloeobacter"
"Pleurocapsa minor"	"S"	54308	9	9	NA	9	NA	5	NA	NA	1	NA	NA	6	NA	0.009066	0.007218	NA	0.009066	NA	0.003757	NA	NA	0.0005718	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Hyellaceae>Pleurocapsa"
"Stanieria cyanosphaera"	"S"	102116	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001604	0.001604	NA	0.001007	NA	0.001503	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Dermocarpellaceae>Stanieria"
"cyanobacterium endosymbiont of Epithemia turgida"	"S"	718217	4	4	NA	1	NA	2	NA	NA	NA	NA	NA	4	NA	0.005647	0.003208	NA	0.001007	NA	0.001503	NA	NA	NA	NA	NA	0.005647	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>unclassified&nbsp;Cyanobacteria>unclassified&nbsp;Cyanobacteria&nbsp;(miscellaneous)"
"Chroococcidiopsis thermalis"	"S"	54299	5	4	NA	2	NA	5	NA	NA	NA	NA	NA	2	NA	0.003757	0.003208	NA	0.002015	NA	0.003757	NA	NA	NA	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Chroococcidiopsidales>Chroococcidiopsidaceae>Chroococcidiopsis"
"Candidatus Desulforudis audaxviator"	"S"	471827	12668	12668	331	11324	NA	8446	NA	1	18	NA	1	495	1	11.41	10.16	6.703	11.41	NA	6.346	NA	2.273	0.01029	NA	4.762	0.6988	1.176	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Candidatus&nbsp;Desulforudis"
"Desulfotomaculum nigrificans"	"S"	1565	148	148	3	132	NA	90	NA	NA	46	NA	NA	9	NA	0.133	0.1187	0.06075	0.133	NA	0.06763	NA	NA	0.0263	NA	NA	0.01271	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum reducens"	"S"	59610	92	92	2	65	NA	58	NA	NA	12	NA	NA	6	NA	0.07379	0.07379	0.0405	0.06547	NA	0.04358	NA	NA	0.006861	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum acetoxidans"	"S"	58138	58	28	NA	12	NA	17	NA	NA	58	NA	NA	1	NA	0.03316	0.02246	NA	0.01209	NA	0.01277	NA	NA	0.03316	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum gibsoniae"	"S"	102134	13	5	NA	2	NA	6	NA	NA	13	NA	NA	1	NA	0.007433	0.00401	NA	0.002015	NA	0.004508	NA	NA	0.007433	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfosporosinus acidiphilus"	"S"	885581	20	20	NA	6	NA	10	NA	NA	NA	NA	NA	1	NA	0.01604	0.01604	NA	0.006044	NA	0.007514	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfosporosinus"
