"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Phormidesmiaceae"	"F"	25492	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales"
"Phormidesmis ANT.LACV5.1"	"G"	25494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales>Phormidesmiaceae"
"Melainabacteria"	"C"	1589	11	8	NA	7	NA	7	NA	NA	NA	NA	NA	11	NA	0.01241	0.004078	NA	0.004404	NA	0.003702	NA	NA	NA	NA	NA	0.01241	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	10	5	NA	6	NA	6	NA	NA	NA	NA	NA	10	NA	0.01128	0.002549	NA	0.003775	NA	0.003173	NA	NA	NA	NA	NA	0.01128	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	3	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	3	3	NA	2	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.001529	NA	0.001258	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Cyanobacteria"
"Proteobacteria"	"P"	2375	105950	15793	2044	6056	13	67681	23	13	105954	31	6	47580	11	59.52	8.05	27.84	3.81	8.176	35.8	15.75	14.13	59.52	28.7	10.71	53.66	6.044	"Bacteria"
"Gammaproteobacteria"	"C"	3303	105880	8961	1225	3663	11	55990	18	7	105883	30	5	39268	10	59.48	4.568	16.68	2.304	6.918	29.61	12.33	7.609	59.48	27.78	8.929	44.28	5.495	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	53935	8126	1167	3008	4	53935	14	5	253	2	3	36529	7	41.2	4.142	15.89	1.892	2.516	28.53	9.589	5.435	0.1421	1.852	5.357	41.2	3.846	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	52553	7602	1140	2549	4	52553	12	5	234	2	3	34577	6	38.99	3.875	15.52	1.604	2.516	27.79	8.219	5.435	0.1315	1.852	5.357	38.99	3.297	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	8271	1037	159	286	NA	8271	3	1	39	NA	NA	4523	NA	5.101	0.5286	2.165	0.1799	NA	4.374	2.055	1.087	0.02191	NA	NA	5.101	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	7804	969	164	274	NA	7804	1	2	27	NA	NA	4797	1	5.41	0.4939	2.233	0.1724	NA	4.127	0.6849	2.174	0.01517	NA	NA	5.41	0.5495	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	6762	950	133	240	NA	6762	NA	1	22	NA	1	3983	NA	4.492	0.4842	1.811	0.151	NA	3.576	NA	1.087	0.01236	NA	1.786	4.492	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	3909	489	99	169	NA	3909	NA	NA	12	NA	NA	2493	1	2.811	0.2493	1.348	0.1063	NA	2.067	NA	NA	0.006741	NA	NA	2.811	0.5495	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	1809	305	40	155	NA	1809	1	NA	13	NA	NA	1440	1	1.624	0.1555	0.5447	0.09751	NA	0.9567	0.6849	NA	0.007303	NA	NA	1.624	0.5495	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	1595	234	40	68	1	1595	1	1	2	NA	NA	932	NA	1.087	0.1193	0.5447	0.04278	0.6289	0.8436	0.6849	1.087	0.001124	NA	NA	1.051	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	1288	215	25	87	1	1288	1	NA	7	NA	NA	881	NA	0.9935	0.1096	0.3405	0.05473	0.6289	0.6812	0.6849	NA	0.003933	NA	NA	0.9935	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	1193	198	32	75	1	1193	NA	NA	7	NA	NA	773	NA	0.8717	0.1009	0.4358	0.04718	0.6289	0.631	NA	NA	0.003933	NA	NA	0.8717	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	1580	197	17	51	NA	1580	1	NA	4	NA	NA	916	NA	1.033	0.1004	0.2315	0.03208	NA	0.8356	0.6849	NA	0.002247	NA	NA	1.033	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	971	170	28	48	NA	971	NA	NA	4	NA	NA	607	1	0.6845	0.08666	0.3813	0.0302	NA	0.5135	NA	NA	0.002247	NA	NA	0.6845	0.5495	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1155	169	29	48	NA	1155	NA	NA	4	NA	NA	776	NA	0.8751	0.08615	0.3949	0.0302	NA	0.6109	NA	NA	0.002247	NA	NA	0.8751	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	1275	167	22	46	NA	1275	NA	NA	12	NA	NA	728	NA	0.821	0.08513	0.2996	0.02894	NA	0.6743	NA	NA	0.006741	NA	NA	0.821	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	1756	156	15	98	NA	845	NA	NA	9	NA	NA	1756	1	1.98	0.07952	0.2043	0.06165	NA	0.4469	NA	NA	0.005056	NA	NA	1.98	0.5495	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	700	133	10	53	NA	420	NA	NA	3	NA	NA	700	NA	0.7894	0.06779	0.1362	0.03334	NA	0.2221	NA	NA	0.001685	NA	NA	0.7894	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	737	124	21	32	NA	737	1	NA	2	NA	1	425	NA	1.786	0.06321	0.286	0.02013	NA	0.3898	0.6849	NA	0.001124	NA	1.786	0.4793	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	927	119	23	30	NA	927	NA	NA	7	NA	1	493	NA	1.786	0.06066	0.3132	0.01887	NA	0.4903	NA	NA	0.003933	NA	1.786	0.556	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	701	118	19	54	NA	701	NA	NA	4	NA	NA	676	NA	0.7624	0.06015	0.2587	0.03397	NA	0.3707	NA	NA	0.002247	NA	NA	0.7624	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	425	82	15	22	NA	425	NA	NA	1	2	NA	302	NA	1.852	0.0418	0.2043	0.01384	NA	0.2248	NA	NA	0.0005618	1.852	NA	0.3406	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	434	76	9	23	NA	434	NA	NA	NA	NA	NA	213	NA	0.2402	0.03874	0.1226	0.01447	NA	0.2295	NA	NA	NA	NA	NA	0.2402	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	261	44	5	15	NA	261	NA	NA	2	NA	NA	181	NA	0.2041	0.02243	0.06809	0.009437	NA	0.138	NA	NA	0.001124	NA	NA	0.2041	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	179	41	5	21	NA	179	NA	NA	2	NA	NA	161	NA	0.1816	0.0209	0.06809	0.01321	NA	0.09467	NA	NA	0.001124	NA	NA	0.1816	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	110	39	3	13	NA	110	NA	NA	2	NA	NA	84	NA	0.09473	0.01988	0.04086	0.008178	NA	0.05818	NA	NA	0.001124	NA	NA	0.09473	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	340	35	6	17	NA	340	NA	NA	3	NA	NA	226	NA	0.2549	0.01784	0.08171	0.01069	NA	0.1798	NA	NA	0.001685	NA	NA	0.2549	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	134	34	2	20	NA	134	NA	NA	2	NA	NA	116	NA	0.1308	0.01733	0.02724	0.01258	NA	0.07087	NA	NA	0.001124	NA	NA	0.1308	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	101	33	2	27	NA	101	1	NA	1	NA	NA	46	NA	0.6849	0.01682	0.02724	0.01699	NA	0.05342	0.6849	NA	0.0005618	NA	NA	0.05188	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	244	33	3	6	NA	244	NA	NA	NA	NA	NA	137	NA	0.1545	0.01682	0.04086	0.003775	NA	0.129	NA	NA	NA	NA	NA	0.1545	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	347	33	9	12	NA	347	NA	NA	2	NA	NA	167	NA	0.1883	0.01682	0.1226	0.007549	NA	0.1835	NA	NA	0.001124	NA	NA	0.1883	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	313	32	6	14	NA	313	NA	NA	2	NA	NA	234	NA	0.2639	0.01631	0.08171	0.008807	NA	0.1655	NA	NA	0.001124	NA	NA	0.2639	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
