	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
Acidaminococcus	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
Acidibacter	0.0	1.0	2.0	5.0	0.0	0.0	1.0	5.0	0.0	1.0	1.0	0.0	3.0	5.0	1.0	0.0	0.0	0.0	0.0	15.0
Acidiphilium	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	1003.0	580.0	715.0	2059.0	479.0	755.0	1115.0	810.0	1030.0	820.0	769.0	1121.0	393.0	867.0	214.0	338.0	4.0	3.0	5.0	351.0
Acinetobacter	13.0	24.0	36.0	13.0	4.0	3.0	11.0	5.0	8.0	4.0	9.0	3.0	243.0	43.0	7.0	6.0	0.0	0.0	0.0	3.0
Actibacter	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actibacterium	0.0	5.0	12.0	6.0	14.0	1.0	8.0	20.0	5.0	7.0	10.0	14.0	18.0	16.0	16.0	12.0	0.0	0.0	0.0	0.0
Actimicrobium	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomadura	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Actinoplanes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adhaeribacter	1.0	2.0	0.0	0.0	3.0	5.0	4.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0
Advenella	4.0	2.0	0.0	6.0	0.0	0.0	4.0	1.0	0.0	2.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeribacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromicrobium	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonas	42.0	37.0	122.0	72.0	12.0	12.0	35.0	43.0	20.0	8.0	16.0	28.0	69.0	98.0	29.0	29.0	0.0	0.0	0.0	73.0
Aestuariivita	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Aetherobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Afifella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afipia	0.0	1.0	0.0	0.0	4.0	0.0	2.0	4.0	0.0	0.0	1.0	0.0	15.0	7.0	3.0	0.0	0.0	0.0	0.0	19.0
Agathobacter	6.0	0.0	0.0	10.0	1.0	9.0	5.0	2.0	8.0	2.0	2.0	0.0	2.0	11.0	4.0	0.0	0.0	0.0	0.0	2.0
Agreia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agrococcus	0.0	11.0	7.0	2.0	8.0	4.0	1.0	6.0	0.0	4.0	5.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	5.0
Agromyces	3.0	24.0	38.0	1.0	30.0	3.0	1.0	10.0	2.0	8.0	13.0	2.0	2.0	3.0	9.0	8.0	0.0	0.0	0.0	35.0
Ahrensia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansia	3.0	0.0	0.0	4.0	0.0	0.0	1.0	2.0	3.0	10.0	4.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Albidovulum	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	3.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
Albimonas	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Albirhodobacter	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Alcaligenes	47.0	16.0	41.0	62.0	17.0	32.0	35.0	43.0	44.0	34.0	45.0	40.0	30.0	62.0	33.0	44.0	0.0	0.0	0.0	25.0
Alcanivorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algibacter	2.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algoriphagus	39.0	10.0	0.0	8.0	6.0	58.0	23.0	13.0	30.0	12.0	14.0	4.0	17.0	13.0	77.0	101.0	0.0	0.0	0.0	13.0
Alicycliphilus	11.0	7.0	3.0	17.0	4.0	7.0	8.0	2.0	6.0	4.0	9.0	11.0	3.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0
Aliidiomarina	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliihoeflea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliiroseovarius	0.0	1.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	4.0	2.0	0.0	6.0	2.0	5.0	8.0	0.0	0.0	0.0	0.0
Alishewanella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	5.0	0.0	0.0	1.0	2.0	11.0	3.0	1.0	5.0	2.0	2.0	0.0	2.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0
Aliterella CENA595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliflexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanibacter	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanindiges	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	32.0	29.0	51.0	105.0	88.0	16.0	67.0	171.0	27.0	36.0	39.0	59.0	360.0	68.0	26.0	37.0	0.0	0.0	0.0	12.0
Alsobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	6.0	0.0	0.0	0.0	47.0	22.0	0.0	0.0	0.0	0.0
Altererythrobacter	22.0	14.0	26.0	36.0	40.0	14.0	24.0	27.0	21.0	18.0	31.0	30.0	143.0	24.0	66.0	64.0	0.0	0.0	0.0	8.0
Alterococcus	3.0	2.0	0.0	4.0	0.0	1.0	6.0	2.0	9.0	6.0	1.0	8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonas	0.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alysiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amantichitinum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amaricoccus	3.0	5.0	9.0	9.0	19.0	5.0	6.0	12.0	3.0	4.0	7.0	21.0	30.0	64.0	26.0	38.0	0.0	0.0	0.0	0.0
Aminobacter	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Amnibacterium	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amoebophilaceae (uncultured)	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Amphiplicatus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ampullimonas	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amylibacter	0.0	2.0	4.0	1.0	13.0	4.0	0.0	11.0	0.0	3.0	7.0	9.0	10.0	13.0	11.0	12.0	0.0	0.0	0.0	0.0
Anaerobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobiospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocella	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocolumna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerofilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae (uncultured)	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Anaeromyxobacter	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosporomusa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	3.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerovorax	1.0	1.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	1.0	1.0	0.0	3.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
Ancalomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ancylobacter	0.0	0.0	0.0	4.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anoxybacillus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Aphanizomenon NIES81	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium	663.0	282.0	786.0	1247.0	219.0	522.0	558.0	486.0	754.0	429.0	380.0	392.0	345.0	608.0	121.0	188.0	4.0	0.0	1.0	237.0
Aquamicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillum	0.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	10.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0
Aquibacter	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquicella	5.0	2.0	0.0	14.0	2.0	2.0	2.0	4.0	1.0	2.0	3.0	0.0	28.0	16.0	7.0	0.0	0.0	0.0	0.0	0.0
Aquiflexum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquimonas	0.0	1.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquipuribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquisphaera	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquitalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcicella	51.0	49.0	39.0	14.0	45.0	58.0	35.0	12.0	27.0	16.0	19.0	15.0	14.0	17.0	20.0	14.0	0.0	0.0	0.0	71.0
Arcobacter	2394.0	213.0	147.0	296.0	140.0	3477.0	1070.0	162.0	3160.0	520.0	325.0	16.0	434.0	4055.0	4219.0	5544.0	1.0	3.0	0.0	937.0
Ardenticatenaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenimonas	60.0	73.0	66.0	253.0	45.0	42.0	86.0	132.0	201.0	106.0	130.0	124.0	80.0	80.0	53.0	61.0	0.0	0.0	0.0	55.0
Armatimonas	4.0	7.0	6.0	12.0	7.0	5.0	2.0	182.0	10.0	349.0	566.0	169.0	7.0	5.0	646.0	444.0	0.0	2.0	2.0	128.0
Arsenicitalea	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arsenophonus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Arthrobacter	0.0	2.0	9.0	4.0	4.0	1.0	1.0	4.0	2.0	5.0	0.0	0.0	0.0	4.0	18.0	11.0	0.0	0.0	0.0	0.0
Arthrospira PCC-7345	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascidiaceihabitans	2.0	1.0	2.0	6.0	8.0	0.0	3.0	5.0	0.0	5.0	2.0	5.0	11.0	13.0	7.0	3.0	0.0	0.0	0.0	0.0
Asticcacaulis	3.0	1.0	0.0	7.0	10.0	1.0	6.0	11.0	7.0	0.0	1.0	0.0	27.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
Atlantibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Aurantimicrobium	0.0	10.0	21.0	2.0	18.0	0.0	1.0	16.0	0.0	12.0	6.0	3.0	0.0	0.0	5.0	7.0	0.0	0.0	0.0	21.0
Aurantimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aureimonas	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	8.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Azoarcus	3.0	4.0	3.0	5.0	0.0	1.0	1.0	4.0	1.0	0.0	1.0	0.0	8.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Azohydromonas	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azonexus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Azorhizobium	0.0	0.0	0.0	1.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospira	2.0	4.0	6.0	10.0	3.0	1.0	2.0	0.0	7.0	3.0	0.0	0.0	16.0	23.0	2.0	0.0	0.0	0.0	0.0	0.0
Azospirillaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillum	0.0	1.0	6.0	0.0	7.0	0.0	0.0	16.0	1.0	4.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azotobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azovibrio	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
B48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BD1-7 clade	11.0	11.0	10.0	5.0	5.0	1.0	15.0	18.0	4.0	2.0	1.0	6.0	115.0	8.0	1.0	0.0	0.0	0.0	0.0	187.0
BIyi10	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV13	1.0	2.0	0.0	1.0	0.0	2.0	4.0	5.0	3.0	1.0	4.0	0.0	3.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
Bacillus	31.0	22.0	28.0	59.0	26.0	46.0	45.0	79.0	62.0	68.0	63.0	45.0	33.0	173.0	33.0	38.0	5421.0	5156.0	5138.0	44.0
Bact-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovoracaceae (uncultured)	6.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	5.0	2.0	3.0	0.0	50.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovorax	21.0	2.0	0.0	4.0	0.0	24.0	14.0	2.0	42.0	3.0	2.0	0.0	262.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	28.0	11.0	4.0	11.0	2.0	25.0	11.0	4.0	18.0	5.0	8.0	0.0	4.0	8.0	11.0	20.0	0.0	0.0	0.0	0.0
Barnesiella	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bartonella	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Bauldia	0.0	0.0	3.0	4.0	3.0	2.0	3.0	16.0	3.0	1.0	5.0	4.0	14.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0
