	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
Alterococcus	0.0	5.0	0.0	2.0	3.0	3.0	2.0	2.0	6.0	2.0	2.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonas	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Alysiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amantichitinum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amaricoccus	4.0	4.0	7.0	12.0	15.0	3.0	7.0	18.0	2.0	4.0	9.0	29.0	27.0	67.0	19.0	35.0	0.0	0.0	0.0	0.0
Aminobacter	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amnibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amoebophilaceae (uncultured)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Amphiplicatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ampullimonas	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amylibacter	2.0	3.0	4.0	6.0	2.0	2.0	4.0	12.0	0.0	1.0	7.0	8.0	14.0	8.0	10.0	9.0	0.0	0.0	0.0	0.0
Anaerobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Anaerobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobiospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocella	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocolumna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerofilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae (uncultured)	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaeromyxobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosporobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosporomusa	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Anaerovorax	1.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	1.0	3.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
Ancalomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ancylobacter	0.0	0.0	0.0	2.0	13.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anoxybacillus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Aphanizomenon NIES81	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium	744.0	315.0	797.0	1191.0	200.0	533.0	553.0	443.0	758.0	380.0	382.0	390.0	314.0	646.0	111.0	194.0	1.0	1.0	2.0	252.0
Aquamicrobium	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillum	0.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	5.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0
Aquibacter	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquicella	4.0	2.0	0.0	9.0	3.0	2.0	0.0	3.0	1.0	3.0	2.0	0.0	22.0	8.0	6.0	0.0	0.0	0.0	0.0	0.0
Aquiflexum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquimonas	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquipuribacter	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquisphaera	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquitalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcicella	56.0	44.0	44.0	13.0	36.0	58.0	28.0	11.0	29.0	18.0	16.0	27.0	8.0	22.0	31.0	28.0	0.0	0.0	0.0	45.0
Arcobacter	2371.0	195.0	146.0	243.0	109.0	3445.0	1117.0	173.0	3154.0	485.0	340.0	20.0	476.0	4120.0	4135.0	5314.0	0.0	4.0	0.0	903.0
Ardenticatenaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenimonas	57.0	86.0	51.0	234.0	55.0	43.0	100.0	144.0	188.0	88.0	119.0	149.0	73.0	84.0	63.0	57.0	0.0	1.0	0.0	68.0
Armatimonas	4.0	3.0	5.0	14.0	7.0	3.0	5.0	165.0	4.0	380.0	483.0	162.0	6.0	6.0	622.0	418.0	0.0	0.0	0.0	134.0
Arsenicitalea	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arsenophonus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter	0.0	7.0	10.0	1.0	9.0	2.0	1.0	3.0	3.0	6.0	8.0	0.0	0.0	10.0	10.0	15.0	0.0	0.0	0.0	0.0
Arthrospira PCC-7345	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascidiaceihabitans	0.0	0.0	0.0	4.0	7.0	0.0	1.0	5.0	0.0	5.0	5.0	4.0	14.0	8.0	5.0	10.0	0.0	0.0	0.0	0.0
Asticcacaulis	4.0	5.0	0.0	6.0	6.0	2.0	2.0	12.0	4.0	0.0	1.0	0.0	35.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
Atlantibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aurantimicrobium	2.0	7.0	30.0	1.0	14.0	0.0	2.0	10.0	0.0	17.0	5.0	6.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	29.0
Aurantimonas	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aureimonas	0.0	1.0	0.0	4.0	1.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Azoarcus	4.0	5.0	2.0	6.0	0.0	1.0	1.0	2.0	4.0	2.0	1.0	0.0	9.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0
Azohydromonas	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Azonexus	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
Azorhizobium	0.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospira	4.0	2.0	2.0	10.0	2.0	6.0	4.0	4.0	7.0	0.0	2.0	2.0	19.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillum	2.0	1.0	11.0	1.0	9.0	0.0	0.0	11.0	1.0	3.0	1.0	0.0	13.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0
Azotobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azovibrio	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
B48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BD1-7 clade	5.0	12.0	4.0	1.0	2.0	0.0	13.0	15.0	8.0	2.0	2.0	4.0	122.0	6.0	4.0	0.0	0.0	0.0	0.0	167.0
BIyi10	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV13	1.0	6.0	0.0	0.0	0.0	1.0	3.0	7.0	9.0	2.0	3.0	0.0	3.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
Bacillus	34.0	24.0	40.0	51.0	25.0	37.0	34.0	65.0	44.0	67.0	49.0	44.0	35.0	185.0	21.0	28.0	5341.0	5022.0	5231.0	45.0
Bact-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovoracaceae (uncultured)	7.0	0.0	0.0	0.0	1.0	3.0	1.0	2.0	9.0	2.0	4.0	0.0	52.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovorax	24.0	0.0	0.0	7.0	0.0	26.0	14.0	5.0	40.0	2.0	2.0	0.0	250.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	35.0	8.0	3.0	13.0	4.0	35.0	8.0	4.0	18.0	6.0	4.0	0.0	2.0	3.0	9.0	15.0	0.0	0.0	0.0	0.0
Barnesiella	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bartonella	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Bauldia	0.0	3.0	1.0	4.0	5.0	1.0	0.0	8.0	2.0	1.0	1.0	6.0	16.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
