"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"Leadbetterella"	"G"	319458	265	44	3	NA	NA	118	179	265	1	NA	12	125	53	0.1213	0.01452	0.006751	NA	NA	0.01368	0.02065	0.03688	5.981e-05	NA	0.009168	0.01473	0.1213	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	265	44	3	NA	NA	118	179	265	1	NA	12	125	53	0.1213	0.01452	0.006751	NA	NA	0.01368	0.02065	0.03688	5.981e-05	NA	0.009168	0.01473	0.1213	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Leadbetterella byssophila DSM 17132"	"-"	649349	265	44	3	NA	NA	118	179	265	1	NA	12	125	53	0.1213	0.01452	0.006751	NA	NA	0.01368	0.02065	0.03688	5.981e-05	NA	0.009168	0.01473	0.1213	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella>Leadbetterella&nbsp;byssophila"
"Runella"	"G"	105	181	30	4	NA	NA	181	114	28	2	NA	55	55	26	0.05948	0.009897	0.009001	NA	NA	0.02098	0.01315	0.003897	0.0001196	NA	0.04202	0.006482	0.05948	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella slithyformis"	"S"	106	48	10	1	NA	NA	48	21	2	NA	NA	23	16	6	0.01757	0.003299	0.00225	NA	NA	0.005565	0.002422	0.0002783	NA	NA	0.01757	0.001886	0.01373	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella slithyformis DSM 19594"	"-"	761193	48	10	1	NA	NA	48	21	2	NA	NA	23	16	6	0.01757	0.003299	0.00225	NA	NA	0.005565	0.002422	0.0002783	NA	NA	0.01757	0.001886	0.01373	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella>Runella&nbsp;slithyformis"
"Runella sp. SP2"	"S"	2268026	102	9	3	NA	NA	102	63	3	1	NA	27	11	19	0.04347	0.002969	0.006751	NA	NA	0.01183	0.007267	0.0004175	5.981e-05	NA	0.02063	0.001296	0.04347	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. HYN0085"	"S"	2259595	15	1	NA	NA	NA	10	4	3	1	NA	3	15	NA	0.002292	0.0003299	NA	NA	NA	0.001159	0.0004614	0.0004175	5.981e-05	NA	0.002292	0.001768	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Arcticibacterium"	"G"	2173039	76	16	4	NA	NA	40	76	20	NA	NA	3	17	1	0.009001	0.005279	0.009001	NA	NA	0.004637	0.008766	0.002783	NA	NA	0.002292	0.002004	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Arcticibacterium luteifluviistationis"	"S"	1784714	76	16	4	NA	NA	40	76	20	NA	NA	3	17	1	0.009001	0.005279	0.009001	NA	NA	0.004637	0.008766	0.002783	NA	NA	0.002292	0.002004	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcticibacterium"
"Dyadobacter"	"G"	120831	22	8	1	NA	1	19	22	7	NA	NA	3	15	3	0.3096	0.002639	0.00225	NA	0.3096	0.002203	0.002538	0.0009742	NA	NA	0.002292	0.001768	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Dyadobacter fermentans"	"S"	94254	22	8	1	NA	1	19	22	7	NA	NA	3	15	3	0.3096	0.002639	0.00225	NA	0.3096	0.002203	0.002538	0.0009742	NA	NA	0.002292	0.001768	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter"
"Dyadobacter fermentans DSM 18053"	"-"	471854	22	8	1	NA	1	19	22	7	NA	NA	3	15	3	0.3096	0.002639	0.00225	NA	0.3096	0.002203	0.002538	0.0009742	NA	NA	0.002292	0.001768	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter>Dyadobacter&nbsp;fermentans"
"Flammeovirgaceae"	"F"	200667	13549	5832	607	NA	1	10470	13549	4940	6	NA	556	3928	370	1.924	1.924	1.366	NA	0.3096	1.214	1.563	0.6875	0.0003588	NA	0.4248	0.4629	0.8465	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Flammeovirga"	"G"	59739	12901	5611	584	NA	1	10101	12901	4649	5	NA	539	3758	353	1.851	1.851	1.314	NA	0.3096	1.171	1.488	0.647	0.000299	NA	0.4118	0.4429	0.8076	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirga sp. MY04"	"S"	1191459	12901	5611	584	NA	1	10101	12901	4649	5	NA	539	3758	353	1.851	1.851	1.314	NA	0.3096	1.171	1.488	0.647	0.000299	NA	0.4118	0.4429	0.8076	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"unclassified Flammeovirgaceae"	"-"	340671	497	202	20	NA	NA	264	497	209	1	NA	12	128	17	0.06664	0.06664	0.045	NA	NA	0.03061	0.05733	0.02909	5.981e-05	NA	0.009168	0.01509	0.03889	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirgaceae bacterium 311"	"S"	1257021	497	202	20	NA	NA	264	497	209	1	NA	12	128	17	0.06664	0.06664	0.045	NA	NA	0.03061	0.05733	0.02909	5.981e-05	NA	0.009168	0.01509	0.03889	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>unclassified&nbsp;Flammeovirgaceae"
"Marivirga"	"G"	869806	123	10	2	NA	NA	85	123	74	NA	NA	5	36	NA	0.01419	0.003299	0.0045	NA	NA	0.009855	0.01419	0.0103	NA	NA	0.00382	0.004243	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Marivirga tractuosa"	"S"	1006	123	10	2	NA	NA	85	123	74	NA	NA	5	36	NA	0.01419	0.003299	0.0045	NA	NA	0.009855	0.01419	0.0103	NA	NA	0.00382	0.004243	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga"
"Marivirga tractuosa DSM 4126"	"-"	643867	123	10	2	NA	NA	85	123	74	NA	NA	5	36	NA	0.01419	0.003299	0.0045	NA	NA	0.009855	0.01419	0.0103	NA	NA	0.00382	0.004243	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga>Marivirga&nbsp;tractuosa"
"Amoebophilaceae"	"F"	1501348	17203	4531	540	2	3	11791	17203	5822	10	2	497	3758	461	1.984	1.495	1.215	0.939	0.9288	1.367	1.984	0.8102	0.0005981	0.8368	0.3797	0.4429	1.055	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Candidatus Cardinium"	"G"	273135	3625	1331	121	NA	1	2812	3625	1323	2	NA	129	987	76	0.4391	0.4391	0.2723	NA	0.3096	0.326	0.4181	0.1841	0.0001196	NA	0.09855	0.1163	0.1739	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Cardinium endosymbiont of Sogatella furcifera"	"S"	650378	2767	1012	88	NA	1	2125	2767	1029	2	NA	101	721	53	0.3339	0.3339	0.198	NA	0.3096	0.2464	0.3192	0.1432	0.0001196	NA	0.07716	0.08497	0.1213	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont of Encarsia pergandiella"	"S"	249402	818	311	33	NA	NA	661	818	286	NA	NA	25	252	22	0.1026	0.1026	0.07426	NA	NA	0.07663	0.09435	0.0398	NA	NA	0.0191	0.0297	0.05033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont cEper1 of Encarsia pergandiella"	"-"	1231626	818	311	33	NA	NA	661	818	286	NA	NA	25	252	22	0.1026	0.1026	0.07426	NA	NA	0.07663	0.09435	0.0398	NA	NA	0.0191	0.0297	0.05033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium>Cardinium&nbsp;endosymbiont&nbsp;of&nbsp;Encarsia&nbsp;pergandiella"
"Candidatus Cardinium hertigii"	"S"	247481	10	1	NA	NA	NA	7	10	4	NA	NA	1	6	NA	0.001153	0.0003299	NA	NA	NA	0.0008116	0.001153	0.0005567	NA	NA	0.000764	0.0007071	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Candidatus Amoebophilus"	"G"	281119	5480	612	115	NA	NA	3407	5480	1832	4	1	143	1037	224	0.6321	0.2019	0.2588	NA	NA	0.395	0.6321	0.255	0.0002392	0.4184	0.1093	0.1222	0.5125	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Candidatus Amoebophilus asiaticus"	"S"	281120	5480	612	115	NA	NA	3407	5480	1832	4	1	143	1037	224	0.6321	0.2019	0.2588	NA	NA	0.395	0.6321	0.255	0.0002392	0.4184	0.1093	0.1222	0.5125	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus"
"Candidatus Amoebophilus asiaticus 5a2"	"-"	452471	5480	612	115	NA	NA	3407	5480	1832	4	1	143	1037	224	0.6321	0.2019	0.2588	NA	NA	0.395	0.6321	0.255	0.0002392	0.4184	0.1093	0.1222	0.5125	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus>Candidatus&nbsp;Amoebophilus&nbsp;asiaticus"
"Cyclobacteriaceae"	"F"	563798	1136	704	135	2	NA	860	1136	541	2	NA	44	318	36	0.939	0.2323	0.3038	0.939	NA	0.09971	0.131	0.07529	0.0001196	NA	0.03362	0.03748	0.08236	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Algoriphagus"	"G"	246875	558	558	119	2	NA	266	228	205	1	NA	17	56	4	0.939	0.1841	0.2678	0.939	NA	0.03084	0.0263	0.02853	5.981e-05	NA	0.01299	0.0066	0.009151	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Algoriphagus sp. M8-2"	"S"	1727163	490	490	104	1	NA	238	196	171	1	NA	15	43	3	0.4695	0.1617	0.234	0.4695	NA	0.02759	0.02261	0.0238	5.981e-05	NA	0.01146	0.005068	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Algoriphagus machipongonensis"	"S"	388413	56	56	15	1	NA	27	32	33	NA	NA	2	13	1	0.4695	0.01848	0.03375	0.4695	NA	0.00313	0.003691	0.004593	NA	NA	0.001528	0.001532	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Belliella"	"G"	232244	135	49	5	NA	NA	85	135	53	NA	NA	4	35	3	0.01617	0.01617	0.01125	NA	NA	0.009855	0.01557	0.007376	NA	NA	0.003056	0.004125	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Belliella baltica"	"S"	232259	135	49	5	NA	NA	85	135	53	NA	NA	4	35	3	0.01617	0.01617	0.01125	NA	NA	0.009855	0.01557	0.007376	NA	NA	0.003056	0.004125	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Belliella"
"Belliella baltica DSM 15883"	"-"	866536	135	49	5	NA	NA	85	135	53	NA	NA	4	35	3	0.01617	0.01617	0.01125	NA	NA	0.009855	0.01557	0.007376	NA	NA	0.003056	0.004125	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Belliella>Belliella&nbsp;baltica"
"Cyclobacterium"	"G"	68288	554	31	4	NA	NA	371	554	194	1	NA	18	155	26	0.0639	0.01023	0.009001	NA	NA	0.04301	0.0639	0.027	5.981e-05	NA	0.01375	0.01827	0.05948	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium amurskyense"	"S"	320787	534	30	4	NA	NA	358	534	186	1	NA	17	148	24	0.06159	0.009897	0.009001	NA	NA	0.04151	0.06159	0.02589	5.981e-05	NA	0.01299	0.01744	0.05491	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium"
"Aquiflexum"	"G"	280472	7	3	NA	NA	NA	4	5	7	NA	NA	2	2	NA	0.001528	0.0009897	NA	NA	NA	0.0004637	0.0005767	0.0009742	NA	NA	0.001528	0.0002357	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
