"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"Arcticibacterium"	"G"	2173039	822	326	34	2	NA	639	822	366	1	NA	28	256	34	0.939	0.1076	0.07651	0.939	NA	0.07408	0.09481	0.05094	5.981e-05	NA	0.02139	0.03017	0.07779	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Arcticibacterium luteifluviistationis"	"S"	1784714	822	326	34	2	NA	639	822	366	1	NA	28	256	34	0.939	0.1076	0.07651	0.939	NA	0.07408	0.09481	0.05094	5.981e-05	NA	0.02139	0.03017	0.07779	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcticibacterium"
"Spirosoma"	"G"	107	429	135	22	NA	1	365	429	301	3	NA	35	197	9	0.3096	0.04454	0.0495	NA	0.3096	0.04232	0.04948	0.04189	0.0001794	NA	0.02674	0.02322	0.02059	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma montaniterrae"	"S"	1178516	173	57	7	NA	NA	116	173	116	1	NA	9	41	6	0.01995	0.0188	0.01575	NA	NA	0.01345	0.01995	0.01614	5.981e-05	NA	0.006876	0.004832	0.01373	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	65	25	4	NA	NA	65	42	31	NA	NA	2	19	NA	0.009001	0.008248	0.009001	NA	NA	0.007536	0.004845	0.004314	NA	NA	0.001528	0.002239	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aerolatum"	"S"	1211326	21	3	NA	NA	NA	5	4	21	NA	NA	NA	2	NA	0.002923	0.0009897	NA	NA	NA	0.0005797	0.0004614	0.002923	NA	NA	NA	0.0002357	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Leadbetterella"	"G"	319458	253	52	2	NA	NA	145	209	253	9	NA	17	172	45	0.103	0.01716	0.0045	NA	NA	0.01681	0.02411	0.03521	0.0005383	NA	0.01299	0.02027	0.103	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	253	52	2	NA	NA	145	209	253	9	NA	17	172	45	0.103	0.01716	0.0045	NA	NA	0.01681	0.02411	0.03521	0.0005383	NA	0.01299	0.02027	0.103	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Leadbetterella byssophila DSM 17132"	"-"	649349	253	52	2	NA	NA	145	209	253	9	NA	17	172	45	0.103	0.01716	0.0045	NA	NA	0.01681	0.02411	0.03521	0.0005383	NA	0.01299	0.02027	0.103	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella>Leadbetterella&nbsp;byssophila"
"Fibrella"	"G"	861914	256	51	4	1	NA	174	238	61	4	NA	22	256	8	0.4695	0.01683	0.009001	0.4695	NA	0.02017	0.02745	0.008489	0.0002392	NA	0.01681	0.03017	0.0183	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	256	51	4	1	NA	174	238	61	4	NA	22	256	8	0.4695	0.01683	0.009001	0.4695	NA	0.02017	0.02745	0.008489	0.0002392	NA	0.01681	0.03017	0.0183	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Runella"	"G"	105	218	38	8	NA	NA	218	194	94	5	NA	67	134	29	0.06635	0.01254	0.018	NA	NA	0.02527	0.02238	0.01308	0.000299	NA	0.05119	0.01579	0.06635	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella sp. HYN0085"	"S"	2259595	156	25	7	NA	NA	156	116	65	2	NA	47	72	22	0.05033	0.008248	0.01575	NA	NA	0.01809	0.01338	0.009046	0.0001196	NA	0.03591	0.008485	0.05033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. SP2"	"S"	2268026	45	5	1	NA	NA	45	39	20	2	NA	18	35	7	0.01602	0.00165	0.00225	NA	NA	0.005217	0.004499	0.002783	0.0001196	NA	0.01375	0.004125	0.01602	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Dyadobacter"	"G"	120831	26	14	1	NA	NA	26	14	24	NA	NA	8	12	NA	0.006112	0.004619	0.00225	NA	NA	0.003014	0.001615	0.00334	NA	NA	0.006112	0.001414	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Dyadobacter fermentans"	"S"	94254	26	14	1	NA	NA	26	14	24	NA	NA	8	12	NA	0.006112	0.004619	0.00225	NA	NA	0.003014	0.001615	0.00334	NA	NA	0.006112	0.001414	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter"
"Dyadobacter fermentans DSM 18053"	"-"	471854	26	14	1	NA	NA	26	14	24	NA	NA	8	12	NA	0.006112	0.004619	0.00225	NA	NA	0.003014	0.001615	0.00334	NA	NA	0.006112	0.001414	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter>Dyadobacter&nbsp;fermentans"
"Persicobacteraceae"	"F"	1853234	24842	10100	1057	2	4	19078	24842	8799	21	NA	995	7155	687	3.332	3.332	2.378	0.939	1.238	2.212	2.865	1.225	0.001256	NA	0.7602	0.8432	1.572	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Persicobacter"	"G"	59740	24842	10100	1057	2	4	19078	24842	8799	21	NA	995	7155	687	3.332	3.332	2.378	0.939	1.238	2.212	2.865	1.225	0.001256	NA	0.7602	0.8432	1.572	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Persicobacteraceae"
"Persicobacter sp. JZB09"	"S"	1085624	24842	10100	1057	2	4	19078	24842	8799	21	NA	995	7155	687	3.332	3.332	2.378	0.939	1.238	2.212	2.865	1.225	0.001256	NA	0.7602	0.8432	1.572	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Persicobacteraceae>Persicobacter"
"Flammeovirgaceae"	"F"	200667	18444	6492	755	2	2	13438	18444	6658	27	NA	688	4951	480	2.142	2.142	1.699	0.939	0.6192	1.558	2.127	0.9266	0.001615	NA	0.5256	0.5835	1.098	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Marivirga"	"G"	869806	12662	4370	517	1	1	9128	12662	4498	11	NA	469	3370	341	1.461	1.442	1.163	0.4695	0.3096	1.058	1.461	0.626	0.0006579	NA	0.3583	0.3972	0.7802	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Marivirga tractuosa"	"S"	1006	12662	4370	517	1	1	9128	12662	4498	11	NA	469	3370	341	1.461	1.442	1.163	0.4695	0.3096	1.058	1.461	0.626	0.0006579	NA	0.3583	0.3972	0.7802	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga"
"Marivirga tractuosa DSM 4126"	"-"	643867	12662	4370	517	1	1	9128	12662	4498	11	NA	469	3370	341	1.461	1.442	1.163	0.4695	0.3096	1.058	1.461	0.626	0.0006579	NA	0.3583	0.3972	0.7802	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga>Marivirga&nbsp;tractuosa"
"unclassified Flammeovirgaceae"	"-"	340671	4855	1892	215	1	1	3749	4855	1851	9	NA	182	1360	115	0.6242	0.6242	0.4838	0.4695	0.3096	0.4346	0.56	0.2576	0.0005383	NA	0.139	0.1603	0.2631	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirgaceae bacterium 311"	"S"	1257021	4855	1892	215	1	1	3749	4855	1851	9	NA	182	1360	115	0.6242	0.6242	0.4838	0.4695	0.3096	0.4346	0.56	0.2576	0.0005383	NA	0.139	0.1603	0.2631	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>unclassified&nbsp;Flammeovirgaceae"
"Flammeovirga"	"G"	59739	863	209	19	NA	NA	527	863	278	7	NA	30	188	22	0.09954	0.06895	0.04275	NA	NA	0.0611	0.09954	0.03869	0.0004187	NA	0.02292	0.02216	0.05033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirga sp. MY04"	"S"	1191459	162	34	6	NA	NA	90	162	61	1	NA	8	68	14	0.03203	0.01122	0.0135	NA	NA	0.01043	0.01869	0.008489	5.981e-05	NA	0.006112	0.008014	0.03203	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"Flammeovirga sp. L12M1"	"S"	2494373	17	2	NA	NA	NA	10	8	1	NA	NA	NA	17	NA	0.002004	0.0006598	NA	NA	NA	0.001159	0.0009228	0.0001392	NA	NA	NA	0.002004	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"Cyclobacteriaceae"	"F"	563798	2019	1124	173	2	NA	1526	2019	933	7	2	74	582	51	0.939	0.3708	0.3893	0.939	NA	0.1769	0.2329	0.1298	0.0004187	0.8368	0.05654	0.06859	0.1167	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Algoriphagus"	"G"	246875	1921	1094	171	2	NA	1459	1921	806	6	1	68	502	50	0.939	0.3609	0.3848	0.939	NA	0.1692	0.2216	0.1122	0.0003588	0.4184	0.05195	0.05916	0.1144	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Algoriphagus sp. M8-2"	"S"	1727163	1921	1094	171	2	NA	1459	1921	806	6	1	68	502	50	0.939	0.3609	0.3848	0.939	NA	0.1692	0.2216	0.1122	0.0003588	0.4184	0.05195	0.05916	0.1144	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Belliella"	"G"	232244	29	11	NA	NA	NA	12	27	21	NA	NA	1	29	1	0.003629	0.003629	NA	NA	NA	0.001391	0.003114	0.002923	NA	NA	0.000764	0.003418	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Belliella baltica"	"S"	232259	29	11	NA	NA	NA	12	27	21	NA	NA	1	29	1	0.003629	0.003629	NA	NA	NA	0.001391	0.003114	0.002923	NA	NA	0.000764	0.003418	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Belliella"
"Belliella baltica DSM 15883"	"-"	866536	29	11	NA	NA	NA	12	27	21	NA	NA	1	29	1	0.003629	0.003629	NA	NA	NA	0.001391	0.003114	0.002923	NA	NA	0.000764	0.003418	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Belliella>Belliella&nbsp;baltica"
"Echinicola"	"G"	390846	57	8	2	NA	NA	26	41	57	NA	NA	4	21	NA	0.007933	0.002639	0.0045	NA	NA	0.003014	0.004729	0.007933	NA	NA	0.003056	0.002475	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Echinicola strongylocentroti"	"S"	1795355	7	2	NA	NA	NA	NA	2	7	NA	NA	NA	2	NA	0.0009742	0.0006598	NA	NA	NA	NA	0.0002307	0.0009742	NA	NA	NA	0.0002357	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Echinicola"
"Cyclobacterium"	"G"	68288	30	6	NA	NA	NA	19	10	30	1	NA	NA	19	NA	0.004175	0.001979	NA	NA	NA	0.002203	0.001153	0.004175	5.981e-05	NA	NA	0.002239	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium marinum"	"S"	104	10	1	NA	NA	NA	2	2	9	1	NA	NA	10	NA	0.001253	0.0003299	NA	NA	NA	0.0002319	0.0002307	0.001253	5.981e-05	NA	NA	0.001179	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium"
"Cyclobacterium marinum DSM 745"	"-"	880070	10	1	NA	NA	NA	2	2	9	1	NA	NA	10	NA	0.001253	0.0003299	NA	NA	NA	0.0002319	0.0002307	0.001253	5.981e-05	NA	NA	0.001179	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium>Cyclobacterium&nbsp;marinum"
"Cyclobacterium amurskyense"	"S"	320787	18	1	NA	NA	NA	8	7	18	NA	NA	NA	5	NA	0.002505	0.0003299	NA	NA	NA	0.0009275	0.0008074	0.002505	NA	NA	NA	0.0005893	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium"
"Hymenobacteraceae"	"F"	1853232	1123	429	48	NA	NA	856	1123	410	36	NA	55	393	41	0.1415	0.1415	0.108	NA	NA	0.09924	0.1295	0.05706	0.002153	NA	0.04202	0.04632	0.0938	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pontibacter"	"G"	323449	691	220	27	NA	NA	517	691	255	6	NA	34	198	22	0.0797	0.07258	0.06075	NA	NA	0.05994	0.0797	0.03549	0.0003588	NA	0.02598	0.02333	0.05033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
"Pontibacter korlensis"	"S"	400092	201	71	11	NA	NA	146	201	74	NA	NA	8	57	1	0.02475	0.02342	0.02475	NA	NA	0.01693	0.02318	0.0103	NA	NA	0.006112	0.006718	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Pontibacter"
"Pontibacter akesuensis"	"S"	388950	40	13	5	NA	NA	29	40	20	NA	NA	7	16	4	0.01125	0.004289	0.01125	NA	NA	0.003362	0.004614	0.002783	NA	NA	0.005348	0.001886	0.009151	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Pontibacter"
"Rufibacter"	"G"	1379908	247	135	15	NA	NA	201	247	89	1	NA	7	100	14	0.04454	0.04454	0.03375	NA	NA	0.0233	0.02849	0.01239	5.981e-05	NA	0.005348	0.01179	0.03203	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
"Rufibacter tibetensis"	"S"	512763	18	9	1	NA	NA	17	18	5	1	NA	NA	14	2	0.004576	0.002969	0.00225	NA	NA	0.001971	0.002076	0.0006958	5.981e-05	NA	NA	0.00165	0.004576	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Rufibacter"
"Rufibacter sp. DG31D"	"S"	1379910	8	5	1	NA	NA	5	8	4	NA	NA	NA	5	2	0.004576	0.00165	0.00225	NA	NA	0.0005797	0.0009228	0.0005567	NA	NA	NA	0.0005893	0.004576	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Rufibacter"
"Rufibacter sp. DG15C"	"S"	1379909	8	2	NA	NA	NA	3	8	1	NA	NA	NA	5	5	0.01144	0.0006598	NA	NA	NA	0.0003478	0.0009228	0.0001392	NA	NA	NA	0.0005893	0.01144	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Rufibacter"
"Hymenobacter"	"G"	89966	86	32	4	NA	NA	71	86	34	29	NA	5	42	3	0.01056	0.01056	0.009001	NA	NA	0.008231	0.00992	0.004732	0.001734	NA	0.00382	0.00495	0.006864	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
