"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"Cupriavidus"	"G"	26386	895	41	44	667	460	6	288	492	1	327	895	421	NA	0.6472	0.358	0.3813	0.3014	0.1518	0.6472	0.144	0.2128	0.0002766	0.1414	0.291	0.2102	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1512	40	50	890	473	1	416	703	1	389	1512	517	NA	0.4916	0.3493	0.4333	0.4022	0.1561	0.1079	0.208	0.304	0.0002766	0.1682	0.4916	0.2581	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	869	36	47	489	217	NA	231	438	NA	277	869	284	1	0.4367	0.3143	0.4073	0.221	0.07163	NA	0.1155	0.1894	NA	0.1198	0.2825	0.1418	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1002	32	47	399	367	1	295	479	1	344	1002	502	NA	0.4073	0.2794	0.4073	0.1803	0.1211	0.1079	0.1475	0.2072	0.0002766	0.1488	0.3258	0.2506	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	847	32	41	361	218	NA	277	533	NA	254	847	349	NA	0.3553	0.2794	0.3553	0.1631	0.07196	NA	0.1385	0.2305	NA	0.1099	0.2754	0.1742	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	686	31	30	557	423	NA	247	379	2	211	686	438	NA	0.2707	0.2707	0.26	0.2517	0.1396	NA	0.1235	0.1639	0.0005531	0.09126	0.223	0.2187	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	956	29	57	325	309	1	297	611	1	368	956	370	NA	0.4939	0.2532	0.4939	0.1469	0.102	0.1079	0.1485	0.2642	0.0002766	0.1592	0.3108	0.1847	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	656	23	14	312	318	NA	236	405	NA	279	656	386	NA	0.2133	0.2008	0.1213	0.141	0.105	NA	0.118	0.1752	NA	0.1207	0.2133	0.1927	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	527	23	29	296	301	3	335	390	1	270	527	365	1	0.4367	0.2008	0.2513	0.1338	0.09936	0.3236	0.1675	0.1687	0.0002766	0.1168	0.1713	0.1822	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	502	22	17	309	254	NA	187	247	3	176	502	274	NA	0.1921	0.1921	0.1473	0.1396	0.08384	NA	0.0935	0.1068	0.0008297	0.07612	0.1632	0.1368	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	623	20	25	185	138	1	158	308	NA	156	623	211	NA	0.2166	0.1746	0.2166	0.08361	0.04555	0.1079	0.079	0.1332	NA	0.06747	0.2026	0.1053	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	1140	20	52	454	333	1	366	583	2	392	1140	461	NA	0.4506	0.1746	0.4506	0.2052	0.1099	0.1079	0.183	0.2521	0.0005531	0.1695	0.3706	0.2301	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	363	19	14	135	173	NA	108	237	1	143	363	227	NA	0.1659	0.1659	0.1213	0.06101	0.05711	NA	0.054	0.1025	0.0002766	0.06185	0.118	0.1133	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	741	19	26	346	232	2	200	451	NA	241	741	280	2	0.8734	0.1659	0.2253	0.1564	0.07658	0.2157	0.1	0.195	NA	0.1042	0.2409	0.1398	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	772	19	47	312	239	3	257	442	1	296	772	289	NA	0.4073	0.1659	0.4073	0.141	0.07889	0.3236	0.1285	0.1912	0.0002766	0.128	0.251	0.1443	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	363	17	13	363	156	NA	104	105	1	82	291	114	NA	0.1641	0.1484	0.1127	0.1641	0.05149	NA	0.052	0.04541	0.0002766	0.03546	0.09461	0.05691	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	475	16	16	296	213	1	141	171	1	154	475	221	NA	0.1544	0.1397	0.1386	0.1338	0.07031	0.1079	0.0705	0.07395	0.0002766	0.0666	0.1544	0.1103	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	579	16	16	308	187	NA	157	261	NA	186	579	201	NA	0.1882	0.1397	0.1386	0.1392	0.06173	NA	0.0785	0.1129	NA	0.08044	0.1882	0.1003	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	481	13	25	174	162	NA	123	294	NA	168	481	180	NA	0.2166	0.1135	0.2166	0.07864	0.05347	NA	0.0615	0.1271	NA	0.07266	0.1564	0.08986	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	373	12	12	254	99	1	99	181	NA	112	373	122	NA	0.1213	0.1048	0.104	0.1148	0.03268	0.1079	0.0495	0.07828	NA	0.04844	0.1213	0.06091	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	379	10	11	182	166	1	128	164	NA	151	379	217	NA	0.1232	0.08731	0.09532	0.08225	0.05479	0.1079	0.064	0.07093	NA	0.06531	0.1232	0.1083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	221	9	7	221	133	NA	68	80	1	63	188	85	NA	0.09988	0.07858	0.06066	0.09988	0.0439	NA	0.034	0.0346	0.0002766	0.02725	0.06112	0.04243	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	221	8	5	202	63	1	47	68	NA	47	221	55	NA	0.1079	0.06985	0.04333	0.09129	0.0208	0.1079	0.0235	0.02941	NA	0.02033	0.07185	0.02746	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	173	8	7	72	97	NA	72	113	NA	76	173	102	NA	0.06985	0.06985	0.06066	0.03254	0.03202	NA	0.036	0.04887	NA	0.03287	0.05625	0.05092	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	417	7	4	417	41	NA	47	26	NA	19	110	22	NA	0.1885	0.06112	0.03466	0.1885	0.01353	NA	0.0235	0.01124	NA	0.008217	0.03576	0.01098	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	251	7	16	251	90	NA	77	127	NA	76	247	93	NA	0.1386	0.06112	0.1386	0.1134	0.02971	NA	0.0385	0.05493	NA	0.03287	0.08031	0.04643	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	223	6	11	69	50	1	55	100	NA	53	223	69	NA	0.1079	0.05239	0.09532	0.03118	0.0165	0.1079	0.0275	0.04325	NA	0.02292	0.0725	0.03445	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	168	6	6	99	76	NA	50	70	NA	47	168	66	NA	0.05462	0.05239	0.05199	0.04474	0.02509	NA	0.025	0.03027	NA	0.02033	0.05462	0.03295	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	280	6	16	163	72	NA	80	149	NA	80	280	111	NA	0.1386	0.05239	0.1386	0.07366	0.02377	NA	0.04	0.06444	NA	0.0346	0.09103	0.05541	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	175	5	4	57	42	1	49	104	NA	49	175	65	NA	0.1079	0.04366	0.03466	0.02576	0.01386	0.1079	0.0245	0.04498	NA	0.02119	0.0569	0.03245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	220	5	10	220	125	NA	56	91	NA	46	173	75	NA	0.09942	0.04366	0.08666	0.09942	0.04126	NA	0.028	0.03936	NA	0.01989	0.05625	0.03744	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	106	5	3	106	29	NA	15	20	NA	16	65	19	NA	0.0479	0.04366	0.026	0.0479	0.009573	NA	0.0075	0.00865	NA	0.00692	0.02113	0.009485	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	172	5	8	65	27	1	38	86	NA	58	172	55	NA	0.1079	0.04366	0.06932	0.02938	0.008912	0.1079	0.019	0.03719	NA	0.02508	0.05592	0.02746	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	65	4	2	51	39	1	26	42	NA	31	65	31	NA	0.1079	0.03493	0.01733	0.02305	0.01287	0.1079	0.013	0.01816	NA	0.01341	0.02113	0.01548	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	529	4	5	199	187	NA	149	87	NA	121	529	307	1	0.4367	0.03493	0.04333	0.08993	0.06173	NA	0.0745	0.03763	NA	0.05233	0.172	0.1533	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alicycliphilus"	"G"	26359	147	4	5	56	28	NA	28	75	NA	33	147	46	NA	0.04779	0.03493	0.04333	0.02531	0.009243	NA	0.014	0.03244	NA	0.01427	0.04779	0.02296	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	124	4	3	124	72	NA	33	44	NA	31	111	54	NA	0.05604	0.03493	0.026	0.05604	0.02377	NA	0.0165	0.01903	NA	0.01341	0.03609	0.02696	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	108	3	2	32	35	NA	22	53	NA	30	108	37	NA	0.03511	0.02619	0.01733	0.01446	0.01155	NA	0.011	0.02292	NA	0.01297	0.03511	0.01847	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	73	3	1	40	18	NA	23	27	NA	20	73	15	NA	0.02619	0.02619	0.008666	0.01808	0.005942	NA	0.0115	0.01168	NA	0.00865	0.02373	0.007489	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xenophilus"	"G"	26465	64	3	3	45	27	NA	19	28	NA	25	64	30	NA	0.02619	0.02619	0.026	0.02034	0.008912	NA	0.0095	0.01211	NA	0.01081	0.02081	0.01498	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	93	3	5	28	27	NA	22	53	NA	34	93	42	NA	0.04333	0.02619	0.04333	0.01265	0.008912	NA	0.011	0.02292	NA	0.0147	0.03024	0.02097	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	36	3	1	36	30	1	11	7	NA	5	34	16	1	0.4367	0.02619	0.008666	0.01627	0.009903	0.1079	0.0055	0.003027	NA	0.002162	0.01105	0.007988	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	43	2	1	20	12	NA	13	13	NA	9	43	12	NA	0.01746	0.01746	0.008666	0.009039	0.003961	NA	0.0065	0.005622	NA	0.003892	0.01398	0.005991	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	68	2	1	14	30	NA	35	33	NA	10	68	11	NA	0.02211	0.01746	0.008666	0.006327	0.009903	NA	0.0175	0.01427	NA	0.004325	0.02211	0.005492	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	68	2	4	52	35	NA	18	27	3	20	68	19	NA	0.03466	0.01746	0.03466	0.0235	0.01155	NA	0.009	0.01168	0.0008297	0.00865	0.02211	0.009485	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Actimicrobium"	"G"	26356	11	2	NA	5	7	NA	3	11	NA	6	9	11	NA	0.01746	0.01746	NA	0.00226	0.002311	NA	0.0015	0.004757	NA	0.002595	0.002926	0.005492	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	118	2	3	35	18	NA	39	67	NA	43	118	38	NA	0.03836	0.01746	0.026	0.01582	0.005942	NA	0.0195	0.02898	NA	0.0186	0.03836	0.01897	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	97	2	5	70	36	NA	30	40	NA	22	97	43	NA	0.04333	0.01746	0.04333	0.03164	0.01188	NA	0.015	0.0173	NA	0.009515	0.03154	0.02147	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	44	2	1	23	16	NA	11	18	NA	18	44	22	NA	0.01746	0.01746	0.008666	0.01039	0.005281	NA	0.0055	0.007785	NA	0.007785	0.01431	0.01098	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	30	2	1	7	6	NA	11	12	NA	6	30	6	NA	0.01746	0.01746	0.008666	0.003164	0.001981	NA	0.0055	0.00519	NA	0.002595	0.009754	0.002995	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	90	2	4	50	27	NA	22	36	NA	25	90	27	NA	0.03466	0.01746	0.03466	0.0226	0.008912	NA	0.011	0.01557	NA	0.01081	0.02926	0.01348	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	64	2	2	37	25	NA	15	23	NA	22	64	21	NA	0.02081	0.01746	0.01733	0.01672	0.008252	NA	0.0075	0.009947	NA	0.009515	0.02081	0.01048	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caldimonas"	"G"	26371	9	2	1	6	9	NA	5	8	NA	4	8	9	NA	0.01746	0.01746	0.008666	0.002712	0.002971	NA	0.0025	0.00346	NA	0.00173	0.002601	0.004493	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucimonas"	"G"	26431	2	1	NA	2	NA	NA	NA	NA	NA	NA	1	1	NA	0.008731	0.008731	NA	0.0009039	NA	NA	NA	NA	NA	NA	0.0003251	0.0004992	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"RS62 marine group"	"G"	26442	63	1	3	39	37	NA	22	38	NA	29	63	29	NA	0.026	0.008731	0.026	0.01763	0.01221	NA	0.011	0.01643	NA	0.01254	0.02048	0.01448	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	27	1	NA	27	22	NA	10	12	NA	8	15	9	NA	0.0122	0.008731	NA	0.0122	0.007262	NA	0.005	0.00519	NA	0.00346	0.004877	0.004493	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	49	1	1	49	8	NA	6	14	NA	10	46	9	NA	0.02214	0.008731	0.008666	0.02214	0.002641	NA	0.003	0.006055	NA	0.004325	0.01496	0.004493	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hylemonella"	"G"	26400	20	1	1	5	4	NA	1	3	NA	2	20	6	NA	0.008731	0.008731	0.008666	0.00226	0.00132	NA	5e-04	0.001297	NA	0.000865	0.006502	0.002995	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pigmentiphaga"	"G"	26434	15	1	NA	12	7	NA	9	10	NA	3	15	6	NA	0.008731	0.008731	NA	0.005423	0.002311	NA	0.0045	0.004325	NA	0.001297	0.004877	0.002995	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
