"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_loman_loman.kreport.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_loman_loman.kreport.cladeReads.."	"lineage"
"Lautropia"	"G"	26407	83	83	0.06558	0.06558	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	80	80	0.06321	0.06321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	79	79	0.06242	0.06242	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	76	76	0.06005	0.06005	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	69	69	0.05452	0.05452	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	64	64	0.05057	0.05057	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	64	64	0.05057	0.05057	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	59	59	0.04662	0.04662	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	55	55	0.04346	0.04346	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	50	50	0.03951	0.03951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	42	42	0.03318	0.03318	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	38	38	0.03002	0.03002	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	37	37	0.02923	0.02923	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	36	36	0.02844	0.02844	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	34	34	0.02686	0.02686	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	34	34	0.02686	0.02686	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	34	34	0.02686	0.02686	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	32	32	0.02528	0.02528	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	31	31	0.02449	0.02449	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	30	30	0.0237	0.0237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	28	28	0.02212	0.02212	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	27	27	0.02133	0.02133	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	27	27	0.02133	0.02133	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	24	24	0.01896	0.01896	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	23	23	0.01817	0.01817	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	22	22	0.01738	0.01738	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	21	21	0.01659	0.01659	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	20	20	0.0158	0.0158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Kinetoplastibacterium"	"G"	26373	20	20	0.0158	0.0158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	17	17	0.01343	0.01343	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	15	15	0.01185	0.01185	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	15	15	0.01185	0.01185	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	13	13	0.01027	0.01027	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	12	12	0.009481	0.009481	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paenalcaligenes"	"G"	26424	12	12	0.009481	0.009481	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"RS62 marine group"	"G"	26442	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alicycliphilus"	"G"	26359	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kerstersia"	"G"	26404	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xenophilus"	"G"	26465	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidimonas"	"G"	26381	9	9	0.007111	0.007111	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Azohydromonas"	"G"	26363	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Methylibium"	"G"	26415	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rivibacter"	"G"	26447	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Profftella"	"G"	26375	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caldimonas"	"G"	26371	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Corticibacter"	"G"	26385	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Schlegelella"	"G"	26451	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Piscinibacter"	"G"	26435	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pigmentiphaga"	"G"	26434	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oligella"	"G"	26419	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mycoavidus"	"G"	26417	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Glaciimonas"	"G"	26396	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Actimicrobium"	"G"	26356	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidicella"	"G"	26457	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelistega"	"G"	26432	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hylemonella"	"G"	26400	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Glomeribacter"	"G"	26372	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Protistobacter"	"G"	26376	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Basilea"	"G"	26364	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Orrella"	"G"	26420	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Taylorella"	"G"	26455	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"s3t2d-1089"	"G"	26470	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Derxia"	"G"	26389	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Eoetvoesia"	"G"	26392	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ampullimonas"	"G"	26360	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudoduganella"	"G"	26439	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paralcaligenes"	"G"	26427	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucimonas"	"G"	26431	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Neisseriaceae"	"F"	26526	501	501	0.3958	0.3958	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Neisseria"	"G"	26532	365	365	0.2884	0.2884	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"uncultured"	"G"	26538	80	80	0.06321	0.06321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Kingella"	"G"	26531	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Conchiformibius"	"G"	26529	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Eikenella"	"G"	26530	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Alysiella"	"G"	26527	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Snodgrassella"	"G"	26534	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Uruburuella"	"G"	26536	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Simonsiella"	"G"	26533	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Stenoxybacter"	"G"	26535	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Nitrosomonadaceae"	"F"	26539	214	214	0.1691	0.1691	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Nitrosomonas"	"G"	26546	98	98	0.07743	0.07743	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"MND1"	"G"	26545	34	34	0.02686	0.02686	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Ellin6067"	"G"	26542	30	30	0.0237	0.0237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"mle1-7"	"G"	26550	17	17	0.01343	0.01343	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"IS-44"	"G"	26544	9	9	0.007111	0.007111	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"oc32"	"G"	26551	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"966-1"	"G"	26540	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"GOUTA6"	"G"	26543	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Nitrosospira"	"G"	26547	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"DSSD61"	"G"	26541	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"P3OB-51"	"G"	26548	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Rhodocyclaceae"	"F"	26555	182	182	0.1438	0.1438	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Dechloromonas"	"G"	26563	41	41	0.03239	0.03239	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"uncultured"	"G"	26581	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Zoogloea"	"G"	26580	15	15	0.01185	0.01185	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Thauera"	"G"	26577	14	14	0.01106	0.01106	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Sulfuritalea"	"G"	26576	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azonexus"	"G"	26557	9	9	0.007111	0.007111	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Candidatus Accumulibacter"	"G"	26561	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azoarcus"	"G"	26556	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Propionivibrio"	"G"	26571	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Methyloversatilis"	"G"	26569	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azospira"	"G"	26558	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Denitromonas"	"G"	26566	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Uliginosibacterium"	"G"	26578	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Denitratisoma"	"G"	26565	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Z-35"	"G"	26579	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Dechlorobacter"	"G"	26562	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"C39"	"G"	26560	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Sterolibacterium"	"G"	26574	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Ferribacterium"	"G"	26567	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Dechlorosoma"	"G"	26564	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Methylophilaceae"	"F"	26515	101	101	0.0798	0.0798	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Methylophilus"	"G"	26520	29	29	0.02291	0.02291	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"OM43 clade"	"G"	26523	22	22	0.01738	0.01738	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Methylotenera"	"G"	26521	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Candidatus Methylopumilus"	"G"	26516	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"MM2"	"G"	26518	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"UBA6140"	"G"	26524	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
