"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Thalassiosira gravida"	"S"	420259	137	137	4	110	NA	74	NA	NA	NA	NA	NA	3	NA	0.07959	0.07959	0.07117	0.07825	NA	0.04377	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Thalassiosira"
"Thalassiosira eccentrica"	"S"	49261	109	98	5	109	NA	40	NA	NA	NA	NA	NA	NA	NA	0.08897	0.05694	0.08897	0.07754	NA	0.02366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Thalassiosira"
"Thalassiosira nordenskioeldii"	"S"	83372	45	43	2	45	NA	39	NA	NA	NA	NA	NA	NA	NA	0.03559	0.02498	0.03559	0.03201	NA	0.02307	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Thalassiosira"
"Thalassiosira oceanica"	"S"	159749	26	18	NA	26	NA	12	NA	NA	NA	NA	NA	1	NA	0.0185	0.01046	NA	0.0185	NA	0.007098	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Thalassiosira"
"Thalassiosira oceanica CCMP1005"	"-"	637379	26	18	NA	26	NA	12	NA	NA	NA	NA	NA	1	NA	0.0185	0.01046	NA	0.0185	NA	0.007098	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Thalassiosira>Thalassiosira&nbsp;oceanica"
"Roundia"	"G"	1403801	168	164	3	168	NA	101	NA	NA	NA	NA	NA	5	NA	0.1195	0.09528	0.05338	0.1195	NA	0.05974	NA	NA	NA	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae"
"Roundia cardiophora"	"S"	1403802	168	164	3	168	NA	101	NA	NA	NA	NA	NA	5	NA	0.1195	0.09528	0.05338	0.1195	NA	0.05974	NA	NA	NA	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Roundia"
"Detonula"	"G"	83370	91	91	3	85	NA	59	NA	NA	1	NA	NA	3	NA	0.06047	0.05287	0.05338	0.06047	NA	0.0349	NA	NA	0.0005905	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae"
"Detonula confervacea"	"S"	83371	91	91	3	85	NA	59	NA	NA	1	NA	NA	3	NA	0.06047	0.05287	0.05338	0.06047	NA	0.0349	NA	NA	0.0005905	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Detonula"
"Stephanodiscaceae"	"F"	1365474	5915	5915	183	4534	NA	1271	NA	1	7	NA	NA	55	NA	4.167	3.436	3.256	3.226	NA	0.7517	NA	4.167	0.004133	NA	NA	0.06849	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales"
"Stephanodiscus"	"G"	29206	4674	4674	135	3588	NA	496	NA	NA	6	NA	NA	9	NA	2.715	2.715	2.402	2.553	NA	0.2934	NA	NA	0.003543	NA	NA	0.01121	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Stephanodiscaceae"
"Stephanodiscus minutulus"	"S"	222884	4674	4674	135	3588	NA	496	NA	NA	6	NA	NA	9	NA	2.715	2.715	2.402	2.553	NA	0.2934	NA	NA	0.003543	NA	NA	0.01121	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Stephanodiscaceae>Stephanodiscus"
"Cyclotella"	"G"	29203	1240	1240	48	946	NA	775	NA	1	1	NA	NA	46	NA	4.167	0.7204	0.8541	0.673	NA	0.4584	NA	4.167	0.0005905	NA	NA	0.05729	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Stephanodiscaceae"
"Cyclotella sp. L04_2"	"S"	1549163	1154	1154	44	865	NA	731	NA	1	1	NA	NA	46	NA	4.167	0.6704	0.7829	0.6154	NA	0.4324	NA	4.167	0.0005905	NA	NA	0.05729	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Stephanodiscaceae>Cyclotella"
"Cyclotella cryptica"	"S"	29204	83	83	4	77	NA	43	NA	NA	NA	NA	NA	NA	NA	0.07117	0.04822	0.07117	0.05478	NA	0.02543	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Stephanodiscaceae>Cyclotella"
"Lauderiaceae"	"F"	49253	89	89	2	73	NA	50	NA	NA	NA	NA	NA	4	NA	0.05193	0.05171	0.03559	0.05193	NA	0.02957	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales"
"Lauderia"	"G"	49254	89	89	2	73	NA	50	NA	NA	NA	NA	NA	4	NA	0.05193	0.05171	0.03559	0.05193	NA	0.02957	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Lauderiaceae"
"Lauderia borealis"	"S"	49255	71	71	2	54	NA	42	NA	NA	NA	NA	NA	2	NA	0.04125	0.04125	0.03559	0.03842	NA	0.02484	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Lauderiaceae>Lauderia"
"Lauderia annulata"	"S"	382366	17	10	NA	17	NA	5	NA	NA	NA	NA	NA	1	NA	0.01209	0.00581	NA	0.01209	NA	0.002957	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Lauderiaceae>Lauderia"
"Skeletonemataceae"	"F"	33848	22	22	1	16	NA	18	NA	NA	NA	NA	NA	NA	NA	0.01779	0.01278	0.01779	0.01138	NA	0.01065	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales"
"Skeletonema"	"G"	2842	22	22	1	16	NA	18	NA	NA	NA	NA	NA	NA	NA	0.01779	0.01278	0.01779	0.01138	NA	0.01065	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Skeletonemataceae"
"Skeletonema pseudocostatum"	"S"	41457	22	22	1	16	NA	18	NA	NA	NA	NA	NA	NA	NA	0.01779	0.01278	0.01779	0.01138	NA	0.01065	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Skeletonemataceae>Skeletonema"
"Coscinodiscophycidae"	"-"	33840	50	44	1	50	NA	35	NA	NA	NA	NA	NA	2	NA	0.03557	0.02556	0.01779	0.03557	NA	0.0207	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae"
"Coscinodiscales"	"O"	216785	25	20	NA	25	NA	13	NA	NA	NA	NA	NA	NA	NA	0.01779	0.01162	NA	0.01779	NA	0.007689	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae"
"Coscinodiscaceae"	"F"	38747	25	20	NA	25	NA	13	NA	NA	NA	NA	NA	NA	NA	0.01779	0.01162	NA	0.01779	NA	0.007689	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Coscinodiscales"
"Stellarima"	"G"	188540	24	20	NA	24	NA	12	NA	NA	NA	NA	NA	NA	NA	0.01707	0.01162	NA	0.01707	NA	0.007098	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Coscinodiscales>Coscinodiscaceae"
"Stellarima microtrias"	"S"	188541	24	20	NA	24	NA	12	NA	NA	NA	NA	NA	NA	NA	0.01707	0.01162	NA	0.01707	NA	0.007098	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Coscinodiscales>Coscinodiscaceae>Stellarima"
"Aulacoseiraceae"	"F"	49232	17	14	1	15	NA	17	NA	NA	NA	NA	NA	2	NA	0.01779	0.008134	0.01779	0.01067	NA	0.01005	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae"
"Aulacoseira"	"G"	49233	17	14	1	15	NA	17	NA	NA	NA	NA	NA	2	NA	0.01779	0.008134	0.01779	0.01067	NA	0.01005	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Aulacoseiraceae"
"Aulacoseira ambigua"	"S"	49234	15	12	1	14	NA	15	NA	NA	NA	NA	NA	2	NA	0.01779	0.006972	0.01779	0.00996	NA	0.008872	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Aulacoseiraceae>Aulacoseira"
"Aulacoseira granulata"	"S"	285082	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.001162	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Aulacoseiraceae>Aulacoseira"
"Aulacoseira granulata var. angustissima"	"-"	555748	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.001162	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Aulacoseiraceae>Aulacoseira>Aulacoseira&nbsp;granulata"
"Melosirales"	"O"	33841	10	10	NA	10	NA	4	NA	NA	NA	NA	NA	NA	NA	0.007114	0.00581	NA	0.007114	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae"
"Melosiraceae"	"F"	35123	8	8	NA	8	NA	3	NA	NA	NA	NA	NA	NA	NA	0.005691	0.004648	NA	0.005691	NA	0.001774	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales"
"Melosira"	"G"	35124	8	8	NA	8	NA	3	NA	NA	NA	NA	NA	NA	NA	0.005691	0.004648	NA	0.005691	NA	0.001774	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales>Melosiraceae"
"Melosira varians"	"S"	49256	6	6	NA	6	NA	1	NA	NA	NA	NA	NA	NA	NA	0.004268	0.003486	NA	0.004268	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales>Melosiraceae>Melosira"
"Melosira cf. octogona"	"S"	265562	2	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001423	0.001162	NA	0.001423	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales>Melosiraceae>Melosira"
"Stephanopyxidaceae"	"F"	33842	2	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	0.001162	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales"
"Stephanopyxis"	"G"	3006	2	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	0.001162	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales>Stephanopyxidaceae"
"Stephanopyxis nipponica"	"S"	218683	2	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	0.001162	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales>Stephanopyxidaceae>Stephanopyxis"
"Chaetocerotophycidae"	"-"	420266	24	24	1	20	NA	21	NA	NA	NA	NA	NA	2	NA	0.01779	0.01394	0.01779	0.01423	NA	0.01242	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae"
"Chaetocerotales"	"O"	265576	23	23	1	20	NA	19	NA	NA	NA	NA	NA	2	NA	0.01779	0.01336	0.01779	0.01423	NA	0.01124	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae"
"Chaetocerotaceae"	"F"	49236	20	20	1	18	NA	16	NA	NA	NA	NA	NA	1	NA	0.01779	0.01162	0.01779	0.01281	NA	0.009463	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales"
"Chaetoceros"	"G"	49237	20	20	1	18	NA	16	NA	NA	NA	NA	NA	1	NA	0.01779	0.01162	0.01779	0.01281	NA	0.009463	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae"
"Chaetoceros calcitrans"	"S"	265524	10	10	1	3	NA	6	NA	NA	NA	NA	NA	1	NA	0.01779	0.00581	0.01779	0.002134	NA	0.003549	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros"
"Chaetoceros simplex"	"S"	156587	7	2	NA	7	NA	4	NA	NA	NA	NA	NA	NA	NA	0.00498	0.001162	NA	0.00498	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros"
"Chaetoceros socialis"	"S"	163503	2	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	0.001162	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros"
"Chaetoceros muellerii"	"S"	265525	4	2	NA	3	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002366	0.001162	NA	0.002134	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros"
"Chaetoceros affinis"	"S"	426623	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros"
"unclassified Chaetoceros"	"-"	1082658	3	2	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002134	0.001162	NA	0.002134	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros"
"Chaetoceros sp. C134"	"S"	555832	3	2	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002134	0.001162	NA	0.002134	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae>Chaetoceros>unclassified&nbsp;Chaetoceros"
"Attheyaceae"	"F"	265577	3	3	NA	2	NA	3	NA	NA	NA	NA	NA	1	NA	0.001774	0.001743	NA	0.001423	NA	0.001774	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales"
"Attheya"	"G"	265578	3	3	NA	2	NA	3	NA	NA	NA	NA	NA	1	NA	0.001774	0.001743	NA	0.001423	NA	0.001774	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Attheyaceae"
"Attheya septentrionalis"	"S"	420275	2	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001423	0.000581	NA	0.001423	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Attheyaceae>Attheya"
"Leptocylindrales"	"O"	163513	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae"
"Leptocylindraceae"	"F"	163514	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Leptocylindrales"
"Leptocylindrus"	"G"	163515	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Leptocylindrales>Leptocylindraceae"
"Leptocylindrus danicus"	"S"	163516	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Leptocylindrales>Leptocylindraceae>Leptocylindrus"
"Rhizosoleniophycidae"	"-"	33843	7	5	NA	7	NA	3	NA	NA	NA	NA	NA	1	NA	0.00498	0.002905	NA	0.00498	NA	0.001774	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae"
