"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"Ohtaekwangia"	"G"	24790	6	1	NA	NA	NA	1	1	2	NA	NA	NA	6	NA	0.0007071	0.0003299	NA	NA	NA	0.0001159	0.0001153	0.0002783	NA	NA	NA	0.0007071	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Hymenobacteraceae"	"F"	24776	214	41	4	NA	NA	43	70	40	NA	NA	32	214	14	0.03203	0.01353	0.009001	NA	NA	0.004985	0.008074	0.005567	NA	NA	0.02445	0.02522	0.03203	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	111	20	1	NA	NA	19	29	23	NA	NA	22	111	4	0.01681	0.006598	0.00225	NA	NA	0.002203	0.003345	0.003201	NA	NA	0.01681	0.01308	0.009151	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Adhaeribacter"	"G"	24777	33	9	1	NA	NA	10	15	4	NA	NA	5	33	9	0.02059	0.002969	0.00225	NA	NA	0.001159	0.00173	0.0005567	NA	NA	0.00382	0.003889	0.02059	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Nibribacter"	"G"	24779	38	6	1	NA	NA	11	10	8	NA	NA	2	38	1	0.004478	0.001979	0.00225	NA	NA	0.001275	0.001153	0.001113	NA	NA	0.001528	0.004478	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	24780	20	6	1	NA	NA	1	13	5	NA	NA	1	20	NA	0.002357	0.001979	0.00225	NA	NA	0.0001159	0.0015	0.0006958	NA	NA	0.000764	0.002357	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Cytophagaceae"	"F"	24761	170	23	3	NA	NA	32	61	170	NA	NA	7	158	NA	0.02366	0.007588	0.006751	NA	NA	0.00371	0.007036	0.02366	NA	NA	0.005348	0.01862	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Cytophaga"	"G"	24762	149	19	3	NA	NA	22	48	149	NA	NA	5	137	NA	0.02074	0.006268	0.006751	NA	NA	0.002551	0.005537	0.02074	NA	NA	0.00382	0.01615	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Sporocytophaga"	"G"	24764	14	4	NA	NA	NA	9	6	9	NA	NA	2	14	NA	0.00165	0.00132	NA	NA	NA	0.001043	0.0006921	0.001253	NA	NA	0.001528	0.00165	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Amoebophilaceae"	"F"	24715	56	17	1	NA	NA	21	22	17	NA	NA	3	56	2	0.0066	0.005608	0.00225	NA	NA	0.002435	0.002538	0.002366	NA	NA	0.002292	0.0066	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Candidatus Amoebophilus"	"G"	24716	30	9	NA	NA	NA	16	14	13	NA	NA	1	30	1	0.003536	0.002969	NA	NA	NA	0.001855	0.001615	0.001809	NA	NA	0.000764	0.003536	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"uncultured"	"G"	24719	14	6	NA	NA	NA	2	5	2	NA	NA	1	14	1	0.002288	0.001979	NA	NA	NA	0.0002319	0.0005767	0.0002783	NA	NA	0.000764	0.00165	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Cardinium"	"G"	24717	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0003299	0.0003299	NA	NA	NA	NA	0.0001153	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Flammeovirgaceae"	"F"	24766	25	5	1	NA	NA	10	8	4	NA	NA	4	25	NA	0.003056	0.00165	0.00225	NA	NA	0.001159	0.0009228	0.0005567	NA	NA	0.003056	0.002946	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Flammeovirga"	"G"	24768	11	3	NA	NA	NA	4	3	2	NA	NA	1	11	NA	0.001296	0.0009897	NA	NA	NA	0.0004637	0.000346	0.0002783	NA	NA	0.000764	0.001296	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Flexithrix"	"G"	24769	1	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	0.0003299	0.0003299	NA	NA	NA	NA	0.0001153	0.0001392	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Sediminitomix"	"G"	24774	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003299	0.0003299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Sphingobacteriales"	"O"	25002	161820	53975	6129	34	20	116525	161817	54100	397	11	5889	51115	4498	18.66	17.81	13.79	15.96	6.192	13.51	18.66	7.529	0.02374	4.603	4.499	6.024	10.29	"Bacteria>Bacteroidetes>Bacteroidia"
"NS11-12 marine group"	"F"	25015	160860	53593	6053	34	20	115810	160859	53669	388	9	5659	49993	4460	18.55	17.68	13.62	15.96	6.192	13.43	18.55	7.469	0.02321	3.766	4.323	5.892	10.2	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Sphingobacteriaceae"	"F"	25020	722	180	32	NA	NA	233	371	243	6	NA	181	722	28	0.1383	0.05938	0.07201	NA	NA	0.02701	0.04279	0.03382	0.0003588	NA	0.1383	0.08509	0.06406	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Pedobacter"	"G"	25027	234	75	22	NA	NA	95	105	45	1	NA	40	234	8	0.0495	0.02474	0.0495	NA	NA	0.01101	0.01211	0.006263	5.981e-05	NA	0.03056	0.02758	0.0183	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Solitalea"	"G"	25031	318	70	6	NA	NA	65	131	127	1	NA	110	318	17	0.08404	0.02309	0.0135	NA	NA	0.007536	0.01511	0.01767	5.981e-05	NA	0.08404	0.03748	0.03889	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	25023	107	13	2	NA	NA	29	51	49	1	NA	18	107	NA	0.01375	0.004289	0.0045	NA	NA	0.003362	0.005883	0.006819	5.981e-05	NA	0.01375	0.01261	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	25032	27	9	1	NA	NA	18	26	10	NA	NA	2	27	1	0.003182	0.002969	0.00225	NA	NA	0.002087	0.002999	0.001392	NA	NA	0.001528	0.003182	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Nubsella"	"G"	25024	34	5	NA	NA	NA	15	34	5	1	NA	1	10	1	0.003922	0.00165	NA	NA	NA	0.001739	0.003922	0.0006958	5.981e-05	NA	0.000764	0.001179	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"uncultured"	"G"	25033	12	3	1	NA	NA	4	12	3	1	NA	5	6	NA	0.00382	0.0009897	0.00225	NA	NA	0.0004637	0.001384	0.0004175	5.981e-05	NA	0.00382	0.0007071	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Anseongella"	"G"	25021	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0003299	0.0003299	NA	NA	NA	NA	0.0001153	NA	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"env.OPS 17"	"F"	25035	95	71	12	NA	NA	89	95	17	2	1	8	40	1	0.4184	0.02342	0.027	NA	NA	0.01032	0.01096	0.002366	0.0001196	0.4184	0.006112	0.004714	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobiaceae"	"F"	25012	112	42	7	NA	NA	71	112	32	NA	NA	10	83	1	0.01575	0.01386	0.01575	NA	NA	0.008231	0.01292	0.004453	NA	NA	0.00764	0.009782	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobium"	"G"	25013	25	14	1	NA	NA	13	25	8	NA	NA	1	17	NA	0.004619	0.004619	0.00225	NA	NA	0.001507	0.002884	0.001113	NA	NA	0.000764	0.002004	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Lentimicrobiaceae"
"AKYH767"	"F"	25004	166	24	13	NA	NA	166	131	77	NA	NA	22	127	2	0.02925	0.007918	0.02925	NA	NA	0.01925	0.01511	0.01072	NA	NA	0.01681	0.01497	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"LiUU-11-161"	"F"	25014	23	6	3	NA	NA	14	23	10	NA	NA	1	12	NA	0.006751	0.001979	0.006751	NA	NA	0.001623	0.002653	0.001392	NA	NA	0.000764	0.001414	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"KD1-131"	"F"	25010	11	3	NA	NA	NA	3	6	1	NA	NA	NA	11	3	0.006864	0.0009897	NA	NA	NA	0.0003478	0.0006921	0.0001392	NA	NA	NA	0.001296	0.006864	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"GWF2-29-10"	"F"	25009	2	2	NA	NA	NA	1	2	1	NA	NA	NA	1	NA	0.0006598	0.0006598	NA	NA	NA	0.0001159	0.0002307	0.0001392	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"S15A-MN91"	"F"	25017	7	2	NA	NA	NA	1	7	1	NA	NA	NA	7	NA	0.000825	0.0006598	NA	NA	NA	0.0001159	0.0008074	0.0001392	NA	NA	NA	0.000825	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"uncultured"	"F"	25037	2	2	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0006598	0.0006598	NA	NA	NA	NA	0.0001153	NA	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"KD3-93"	"F"	25011	15	1	1	NA	NA	3	7	2	NA	NA	NA	15	NA	0.00225	0.0003299	0.00225	NA	NA	0.0003478	0.0008074	0.0002783	NA	NA	NA	0.001768	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"E6aC02"	"F"	25007	5	1	NA	NA	NA	3	5	2	NA	NA	NA	2	NA	0.0005767	0.0003299	NA	NA	NA	0.0003478	0.0005767	0.0002783	NA	NA	NA	0.0002357	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"ST-12K33"	"F"	25019	8	1	NA	NA	NA	1	3	NA	NA	NA	NA	8	NA	0.0009428	0.0003299	NA	NA	NA	0.0001159	0.000346	NA	NA	NA	NA	0.0009428	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Flavobacteriales"	"O"	24819	22294	3954	706	4	3	4822	6252	5610	88	15	5026	22294	2312	6.276	1.304	1.589	1.878	0.9288	0.559	0.7211	0.7807	0.005263	6.276	3.84	2.627	5.29	"Bacteria>Bacteroidetes>Bacteroidia"
"Flavobacteriaceae"	"F"	24841	17056	1968	451	4	3	3280	3502	3992	62	13	3763	17056	2027	5.439	0.6493	1.015	1.878	0.9288	0.3803	0.4039	0.5556	0.003708	5.439	2.875	2.01	4.637	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales"
"Flavobacterium"	"G"	24881	16798	1911	447	3	3	3181	3374	3946	60	13	3730	16798	2012	5.439	0.6305	1.006	1.408	0.9288	0.3688	0.3892	0.5492	0.003588	5.439	2.85	1.98	4.603	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Pseudofulvibacter"	"G"	24938	16	6	1	1	NA	7	12	3	NA	NA	5	16	1	0.4695	0.001979	0.00225	0.4695	NA	0.0008116	0.001384	0.0004175	NA	NA	0.00382	0.001886	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Maritimimonas"	"G"	24914	5	5	NA	NA	NA	NA	5	1	NA	NA	1	2	NA	0.00165	0.00165	NA	NA	NA	NA	0.0005767	0.0001392	NA	NA	0.000764	0.0002357	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Capnocytophaga"	"G"	24863	15	5	NA	NA	NA	7	8	5	NA	NA	2	15	1	0.002288	0.00165	NA	NA	NA	0.0008116	0.0009228	0.0006958	NA	NA	0.001528	0.001768	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"uncultured"	"G"	24976	26	3	NA	NA	NA	5	6	3	NA	NA	3	26	3	0.006864	0.0009897	NA	NA	NA	0.0005797	0.0006921	0.0004175	NA	NA	0.002292	0.003064	0.006864	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"NS5 marine group"	"G"	24925	11	3	NA	NA	NA	1	2	3	1	NA	NA	11	NA	0.001296	0.0009897	NA	NA	NA	0.0001159	0.0002307	0.0004175	5.981e-05	NA	NA	0.001296	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Algibacter"	"G"	24846	9	3	NA	NA	NA	1	2	2	NA	NA	2	9	NA	0.001528	0.0009897	NA	NA	NA	0.0001159	0.0002307	0.0002783	NA	NA	0.001528	0.001061	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Aquibacter"	"G"	24849	4	2	NA	NA	NA	NA	4	1	NA	NA	1	3	NA	0.000764	0.0006598	NA	NA	NA	NA	0.0004614	0.0001392	NA	NA	0.000764	0.0003536	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
