"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"Rhodoferax"	"G"	28065	13445	458	757	4723	3544	18	4318	9190	8	4077	13445	5552	3	6.56	3.999	6.56	2.134	1.17	1.942	2.159	3.975	0.002212	1.763	4.371	2.772	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax ferrireducens"	"S"	192843	4226	124	182	1198	1145	5	1290	3054	3	1272	4226	1780	2	1.577	1.083	1.577	0.5414	0.378	0.5394	0.645	1.321	0.0008297	0.5501	1.374	0.8886	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	4226	124	182	1198	1145	5	1290	3054	3	1272	4226	1780	2	1.577	1.083	1.577	0.5414	0.378	0.5394	0.645	1.321	0.0008297	0.5501	1.374	0.8886	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax antarcticus"	"S"	81479	3261	100	134	1097	768	3	826	1511	2	880	3261	1192	NA	1.161	0.8731	1.161	0.4958	0.2535	0.3236	0.413	0.6535	0.0005531	0.3806	1.06	0.5951	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	256	12	15	174	71	1	79	103	NA	58	256	71	NA	0.13	0.1048	0.13	0.07864	0.02344	0.1079	0.0395	0.04455	NA	0.02508	0.08323	0.03545	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	119	6	11	54	39	NA	44	105	1	53	119	51	NA	0.09532	0.05239	0.09532	0.0244	0.01287	NA	0.022	0.04541	0.0002766	0.02292	0.03869	0.02546	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	14292	390	854	3960	4827	30	4524	10060	6	5520	14292	5755	6	7.4	3.405	7.4	1.79	1.593	3.236	2.262	4.351	0.001659	2.387	4.647	2.873	2.62	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	6603	198	437	1624	1680	13	1976	4574	2	1881	6603	2558	2	3.787	1.729	3.787	0.7339	0.5546	1.402	0.988	1.978	0.0005531	0.8135	2.147	1.277	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	6603	198	437	1624	1680	13	1976	4574	2	1881	6603	2558	2	3.787	1.729	3.787	0.7339	0.5546	1.402	0.988	1.978	0.0005531	0.8135	2.147	1.277	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Polaromonas sp. SP1"	"S"	2268087	2895	71	125	878	1262	5	911	2080	NA	1355	2895	1222	3	1.31	0.6199	1.083	0.3968	0.4166	0.5394	0.4555	0.8996	NA	0.586	0.9412	0.6101	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	241	5	15	89	126	NA	103	207	NA	141	241	109	NA	0.13	0.04366	0.13	0.04022	0.04159	NA	0.0515	0.08952	NA	0.06098	0.07835	0.05442	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	10712	316	534	4712	2708	18	3074	5977	6	3208	10712	3970	3	4.627	2.759	4.627	2.129	0.8939	1.942	1.537	2.585	0.001659	1.387	3.483	1.982	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	9342	260	453	3657	2359	16	2658	5210	6	2800	9342	3474	3	3.925	2.27	3.925	1.653	0.7787	1.726	1.329	2.253	0.001659	1.211	3.037	1.734	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HW608"	"S"	1034889	369	9	15	81	82	1	97	210	NA	115	369	137	NA	0.13	0.07858	0.13	0.03661	0.02707	0.1079	0.0485	0.09082	NA	0.04974	0.12	0.0684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	417	9	14	417	40	NA	45	57	NA	24	91	41	NA	0.1885	0.07858	0.1213	0.1885	0.0132	NA	0.0225	0.02465	NA	0.01038	0.02959	0.02047	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	134	7	4	134	20	NA	36	43	NA	20	93	38	NA	0.06112	0.06112	0.03466	0.06056	0.006602	NA	0.018	0.0186	NA	0.00865	0.03024	0.01897	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus B4"	"-"	1246301	134	7	4	134	20	NA	36	42	NA	20	92	38	NA	0.06112	0.06112	0.03466	0.06056	0.006602	NA	0.018	0.01816	NA	0.00865	0.02991	0.01897	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax sp. PMC12"	"S"	2126319	72	7	9	29	19	NA	26	55	NA	33	72	36	NA	0.07799	0.06112	0.07799	0.01311	0.006272	NA	0.013	0.02379	NA	0.01427	0.02341	0.01797	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Serpentinomonas"	"G"	2490452	6344	217	300	1656	1392	7	2016	3237	3	1929	6344	1992	1	2.6	1.895	2.6	0.7484	0.4595	0.7551	1.008	1.4	0.0008297	0.8343	2.063	0.9945	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	2374	90	76	226	404	2	729	852	1	611	2374	621	NA	0.7858	0.7858	0.6586	0.1021	0.1334	0.2157	0.3645	0.3685	0.0002766	0.2643	0.7718	0.31	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	29	1	1	8	11	NA	14	14	NA	11	29	11	NA	0.009429	0.008731	0.008666	0.003615	0.003631	NA	0.007	0.006055	NA	0.004757	0.009429	0.005492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Hydrogenophaga"	"G"	47420	4480	136	215	1259	1053	5	1185	1940	2	1224	4480	1488	2	1.863	1.187	1.863	0.569	0.3476	0.5394	0.5925	0.839	0.0005531	0.5294	1.457	0.7429	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. PBC"	"S"	795665	1909	60	107	541	403	4	486	776	NA	520	1909	586	1	0.9272	0.5239	0.9272	0.2445	0.133	0.4315	0.243	0.3356	NA	0.2249	0.6207	0.2926	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	524	11	14	144	160	NA	137	281	NA	156	524	186	NA	0.1704	0.09604	0.1213	0.06508	0.05281	NA	0.0685	0.1215	NA	0.06747	0.1704	0.09286	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	461	11	28	169	111	NA	113	255	NA	125	461	182	NA	0.2426	0.09604	0.2426	0.07638	0.03664	NA	0.0565	0.1103	NA	0.05406	0.1499	0.09086	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Curvibacter"	"G"	281915	2602	88	151	896	770	5	946	1812	1	977	2602	1121	NA	1.308	0.7684	1.308	0.4049	0.2542	0.5394	0.473	0.7837	0.0002766	0.4225	0.846	0.5596	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Curvibacter sp. AEP1-3"	"S"	1844971	2602	88	151	896	770	5	946	1812	1	977	2602	1121	NA	1.308	0.7684	1.308	0.4049	0.2542	0.5394	0.473	0.7837	0.0002766	0.4225	0.846	0.5596	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Ramlibacter"	"G"	174951	2067	62	97	821	537	4	623	1155	1	644	2067	759	1	0.8406	0.5413	0.8406	0.371	0.1773	0.4315	0.3115	0.4995	0.0002766	0.2785	0.672	0.3789	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	2067	62	97	821	537	4	623	1155	1	644	2067	759	1	0.8406	0.5413	0.8406	0.371	0.1773	0.4315	0.3115	0.4995	0.0002766	0.2785	0.672	0.3789	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ramlibacter tataouinensis TTB310"	"-"	365046	365	11	10	165	82	1	113	208	NA	87	365	123	1	0.4367	0.09604	0.08666	0.07457	0.02707	0.1079	0.0565	0.08996	NA	0.03763	0.1187	0.06141	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter>Ramlibacter&nbsp;tataouinensis"
"Simplicispira"	"G"	352450	2437	60	54	2001	313	1	383	393	3	282	2437	411	NA	0.9043	0.5239	0.4679	0.9043	0.1033	0.1079	0.1915	0.17	0.0008297	0.122	0.7923	0.2052	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	2437	60	54	2001	313	1	383	393	3	282	2437	411	NA	0.9043	0.5239	0.4679	0.9043	0.1033	0.1079	0.1915	0.17	0.0008297	0.122	0.7923	0.2052	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Candidatus Symbiobacter"	"G"	1436289	1869	54	112	655	481	2	587	1047	1	581	1869	683	NA	0.9705	0.4715	0.9705	0.296	0.1588	0.2157	0.2935	0.4528	0.0002766	0.2513	0.6077	0.341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	1869	54	112	655	481	2	587	1047	1	581	1869	683	NA	0.9705	0.4715	0.9705	0.296	0.1588	0.2157	0.2935	0.4528	0.0002766	0.2513	0.6077	0.341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Candidatus Symbiobacter mobilis CR"	"-"	946483	1869	54	112	655	481	2	587	1047	1	581	1869	683	NA	0.9705	0.4715	0.9705	0.296	0.1588	0.2157	0.2935	0.4528	0.0002766	0.2513	0.6077	0.341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter>Candidatus&nbsp;Symbiobacter&nbsp;mobilis"
"Delftia"	"G"	80865	1578	41	80	466	394	2	438	804	2	495	1578	510	NA	0.6932	0.358	0.6932	0.2106	0.1301	0.2157	0.219	0.3477	0.0005531	0.2141	0.513	0.2546	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. Cs1-4"	"S"	742013	261	13	18	102	87	NA	97	135	NA	88	261	97	NA	0.156	0.1135	0.156	0.0461	0.02872	NA	0.0485	0.05839	NA	0.03806	0.08486	0.04843	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Ottowia"	"G"	219181	1397	36	38	549	424	1	368	489	1	300	1397	375	NA	0.4542	0.3143	0.3293	0.2481	0.14	0.1079	0.184	0.2115	0.0002766	0.1297	0.4542	0.1872	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia sp. oral taxon 894"	"S"	1658672	768	20	18	363	250	NA	186	258	NA	126	768	145	NA	0.2497	0.1746	0.156	0.1641	0.08252	NA	0.093	0.1116	NA	0.05449	0.2497	0.07239	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia oryzae"	"S"	2109914	624	15	20	178	173	1	179	230	1	171	624	228	NA	0.2029	0.131	0.1733	0.08044	0.05711	0.1079	0.0895	0.09947	0.0002766	0.07396	0.2029	0.1138	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Comamonas"	"G"	283	1035	33	40	410	186	3	176	364	NA	222	1035	288	NA	0.3466	0.2881	0.3466	0.1853	0.0614	0.3236	0.088	0.1574	NA	0.09601	0.3365	0.1438	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	710	19	29	287	93	3	96	218	NA	136	710	193	NA	0.3236	0.1659	0.2513	0.1297	0.0307	0.3236	0.048	0.09428	NA	0.05882	0.2308	0.09635	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni TK102"	"-"	1392005	288	8	11	108	40	1	49	107	NA	61	288	86	NA	0.1079	0.06985	0.09532	0.04881	0.0132	0.1079	0.0245	0.04628	NA	0.02638	0.09364	0.04293	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>Comamonas&nbsp;testosteroni"
"Comamonas kerstersii"	"S"	225992	158	6	4	60	41	NA	44	80	NA	37	158	45	NA	0.05239	0.05239	0.03466	0.02712	0.01353	NA	0.022	0.0346	NA	0.016	0.05137	0.02247	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Verminephrobacter"	"G"	364316	924	23	52	373	246	NA	282	465	NA	283	924	309	NA	0.4506	0.2008	0.4506	0.1686	0.0812	NA	0.141	0.2011	NA	0.1224	0.3004	0.1543	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	924	23	52	373	246	NA	282	465	NA	283	924	309	NA	0.4506	0.2008	0.4506	0.1686	0.0812	NA	0.141	0.2011	NA	0.1224	0.3004	0.1543	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Verminephrobacter eiseniae EF01-2"	"-"	391735	924	23	52	373	246	NA	282	465	NA	283	924	309	NA	0.4506	0.2008	0.4506	0.1686	0.0812	NA	0.141	0.2011	NA	0.1224	0.3004	0.1543	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>Verminephrobacter&nbsp;eiseniae"
"Melaminivora"	"G"	1649468	234	14	14	105	61	NA	66	121	NA	76	234	73	NA	0.1222	0.1222	0.1213	0.04745	0.02014	NA	0.033	0.05233	NA	0.03287	0.07608	0.03644	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-9"	"S"	2109913	118	6	6	50	31	NA	26	52	NA	23	118	28	NA	0.05239	0.05239	0.05199	0.0226	0.01023	NA	0.013	0.02249	NA	0.009947	0.03836	0.01398	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-7"	"S"	2116657	98	5	6	39	30	NA	35	59	NA	37	98	39	NA	0.05199	0.04366	0.05199	0.01763	0.009903	NA	0.0175	0.02552	NA	0.016	0.03186	0.01947	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Alicycliphilus"	"G"	201096	102	1	3	22	16	NA	29	50	2	19	102	37	NA	0.03316	0.008731	0.026	0.009942	0.005281	NA	0.0145	0.02162	0.0005531	0.008217	0.03316	0.01847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	102	1	3	22	16	NA	29	50	2	19	102	37	NA	0.03316	0.008731	0.026	0.009942	0.005281	NA	0.0145	0.02162	0.0005531	0.008217	0.03316	0.01847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Burkholderiaceae"	"F"	119060	6877	340	147	6877	3840	18	2436	3087	5	1966	5863	3436	4	3.108	2.969	1.274	3.108	1.268	1.942	1.218	1.335	0.001383	0.8503	1.906	1.715	1.747	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderia"	"G"	32008	4208	188	71	4208	2150	10	1205	1347	1	909	3005	1378	4	1.902	1.641	0.6153	1.902	0.7097	1.079	0.6025	0.5826	0.0002766	0.3931	0.977	0.6879	1.747	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"pseudomallei group"	"-"	111527	1230	73	25	1230	765	4	405	494	1	295	1183	524	2	0.8734	0.6374	0.2166	0.5559	0.2525	0.4315	0.2025	0.2136	0.0002766	0.1276	0.3846	0.2616	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia pseudomallei"	"S"	28450	695	41	8	695	385	1	187	205	NA	108	612	198	1	0.4367	0.358	0.06932	0.3141	0.1271	0.1079	0.0935	0.08866	NA	0.04671	0.199	0.09885	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia pseudomallei MSHR491"	"-"	1249473	209	12	1	209	78	1	53	51	NA	31	161	51	NA	0.1079	0.1048	0.008666	0.09445	0.02575	0.1079	0.0265	0.02206	NA	0.01341	0.05234	0.02546	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group>Burkholderia&nbsp;pseudomallei"
