"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_april_BC01.cladeReads"	"centrifuge_classification_april_BC02.cladeReads"	"centrifuge_classification_april_BC03.cladeReads"	"centrifuge_classification_april_BC04.cladeReads"	"centrifuge_classification_april_BC05.cladeReads"	"centrifuge_classification_april_BC06.cladeReads"	"centrifuge_classification_april_BC07.cladeReads"	"centrifuge_classification_april_BC08.cladeReads"	"centrifuge_classification_april_BC09.cladeReads"	"centrifuge_classification_april_BC10.cladeReads"	"centrifuge_classification_april_BC11.cladeReads"	"centrifuge_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_classification_april_BC01.cladeReads.."	"centrifuge_classification_april_BC02.cladeReads.."	"centrifuge_classification_april_BC03.cladeReads.."	"centrifuge_classification_april_BC04.cladeReads.."	"centrifuge_classification_april_BC05.cladeReads.."	"centrifuge_classification_april_BC06.cladeReads.."	"centrifuge_classification_april_BC07.cladeReads.."	"centrifuge_classification_april_BC08.cladeReads.."	"centrifuge_classification_april_BC09.cladeReads.."	"centrifuge_classification_april_BC10.cladeReads.."	"centrifuge_classification_april_BC11.cladeReads.."	"centrifuge_classification_april_BC12.cladeReads.."	"lineage"
"Acidovorax sp. KKS102"	"S"	358220	1364	64	81	522	397	3	403	729	1	466	1364	553	2	0.8734	0.5588	0.7019	0.2359	0.131	0.3236	0.2015	0.3153	0.0002766	0.2015	0.4435	0.2761	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. RAC01"	"S"	1842533	2468	50	130	810	526	3	579	1321	1	753	2468	813	1	1.127	0.4366	1.127	0.3661	0.1736	0.3236	0.2895	0.5713	0.0002766	0.3257	0.8024	0.4059	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. 1608163"	"S"	2478662	545	16	24	151	92	NA	115	197	NA	120	545	143	NA	0.208	0.1397	0.208	0.06824	0.03037	NA	0.0575	0.0852	NA	0.0519	0.1772	0.07139	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	18	2	NA	9	4	NA	1	4	NA	2	18	11	NA	0.01746	0.01746	NA	0.004067	0.00132	NA	5e-04	0.00173	NA	0.000865	0.005852	0.005492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	18	2	NA	9	4	NA	1	4	NA	2	18	11	NA	0.01746	0.01746	NA	0.004067	0.00132	NA	5e-04	0.00173	NA	0.000865	0.005852	0.005492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	18	2	NA	9	4	NA	1	4	NA	2	18	11	NA	0.01746	0.01746	NA	0.004067	0.00132	NA	5e-04	0.00173	NA	0.000865	0.005852	0.005492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
"Acidovorax citrulli"	"S"	80869	32	2	1	9	6	NA	7	12	NA	10	32	6	NA	0.01746	0.01746	0.008666	0.004067	0.001981	NA	0.0035	0.00519	NA	0.004325	0.0104	0.002995	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Variovorax"	"G"	34072	10862	294	645	4012	2788	16	3350	6601	17	3650	10862	4097	3	5.589	2.567	5.589	1.813	0.9203	1.726	1.675	2.855	0.004702	1.579	3.531	2.045	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	3555	92	177	1083	897	9	1090	2079	2	1079	3555	1276	1	1.534	0.8033	1.534	0.4894	0.2961	0.9709	0.545	0.8991	0.0005531	0.4667	1.156	0.637	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	1463	52	81	569	391	2	527	918	NA	510	1463	580	1	0.7019	0.454	0.7019	0.2571	0.1291	0.2157	0.2635	0.397	NA	0.2206	0.4757	0.2896	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus EPS"	"-"	595537	613	18	40	211	139	1	178	347	NA	204	613	220	NA	0.3466	0.1572	0.3466	0.09536	0.04588	0.1079	0.089	0.1501	NA	0.08823	0.1993	0.1098	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax paradoxus S110"	"-"	543728	59	1	NA	32	17	NA	28	46	NA	17	59	25	NA	0.01989	0.008731	NA	0.01446	0.005612	NA	0.014	0.01989	NA	0.007352	0.01918	0.01248	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax sp. PAMC 28711"	"S"	1795631	2068	39	145	897	484	1	619	1256	4	726	2068	733	NA	1.256	0.3405	1.256	0.4054	0.1598	0.1079	0.3095	0.5432	0.001106	0.314	0.6724	0.3659	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	158	7	14	72	38	NA	59	75	NA	58	158	43	NA	0.1213	0.06112	0.1213	0.03254	0.01254	NA	0.0295	0.03244	NA	0.02508	0.05137	0.02147	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Polaromonas"	"G"	52972	8561	203	360	2339	3290	17	2686	5717	4	3602	8561	3321	6	3.12	1.772	3.12	1.057	1.086	1.834	1.343	2.473	0.001106	1.558	2.783	1.658	2.62	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas sp. JS666"	"S"	296591	3792	91	149	1032	1633	10	1349	2771	2	1773	3792	1536	3	1.31	0.7946	1.291	0.4664	0.539	1.079	0.6745	1.198	0.0005531	0.7668	1.233	0.7668	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. SP1"	"S"	2268087	2360	66	99	751	1003	7	770	1704	1	1112	2360	994	2	0.8734	0.5763	0.8579	0.3394	0.3311	0.7551	0.385	0.737	0.0002766	0.4809	0.7673	0.4962	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans"	"S"	216465	2279	41	104	501	629	NA	531	1169	NA	656	2279	731	1	0.9012	0.358	0.9012	0.2264	0.2076	NA	0.2655	0.5056	NA	0.2837	0.741	0.3649	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	2279	41	104	501	629	NA	531	1169	NA	656	2279	731	1	0.9012	0.358	0.9012	0.2264	0.2076	NA	0.2655	0.5056	NA	0.2837	0.741	0.3649	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Hydrogenophaga"	"G"	47420	6331	185	261	1532	1471	5	1691	2684	6	1755	6331	2098	1	2.262	1.615	2.262	0.6924	0.4856	0.5394	0.8455	1.161	0.001659	0.759	2.058	1.047	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga crassostreae"	"S"	1763535	2844	99	135	614	663	1	809	1341	2	792	2844	968	NA	1.17	0.8644	1.17	0.2775	0.2188	0.1079	0.4045	0.58	0.0005531	0.3425	0.9247	0.4833	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	2600	62	102	693	607	2	713	1068	4	727	2600	874	1	0.8839	0.5413	0.8839	0.3132	0.2004	0.2157	0.3565	0.4619	0.001106	0.3144	0.8453	0.4363	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. PBC"	"S"	795665	840	24	22	209	192	1	161	257	NA	222	840	245	NA	0.2731	0.2096	0.1906	0.09445	0.06338	0.1079	0.0805	0.1111	NA	0.09601	0.2731	0.1223	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Serpentinomonas"	"G"	2490452	3456	113	107	446	661	3	933	1127	1	921	3456	965	NA	1.124	0.9866	0.9272	0.2016	0.2182	0.3236	0.4665	0.4874	0.0002766	0.3983	1.124	0.4818	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	2903	92	87	343	537	3	777	921	1	771	2903	795	NA	0.9438	0.8033	0.7539	0.155	0.1773	0.3236	0.3885	0.3983	0.0002766	0.3335	0.9438	0.3969	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	282	8	5	40	59	NA	85	109	NA	69	282	88	NA	0.09168	0.06985	0.04333	0.01808	0.01948	NA	0.0425	0.04714	NA	0.02984	0.09168	0.04393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Simplicispira"	"G"	352450	3165	81	105	2342	569	2	620	907	2	540	3165	716	1	1.058	0.7072	0.9099	1.058	0.1878	0.2157	0.31	0.3923	0.0005531	0.2335	1.029	0.3575	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	3165	81	105	2342	569	2	620	907	2	540	3165	716	1	1.058	0.7072	0.9099	1.058	0.1878	0.2157	0.31	0.3923	0.0005531	0.2335	1.029	0.3575	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Comamonas"	"G"	283	2468	72	112	779	528	3	630	1043	9	718	2468	780	2	0.9705	0.6287	0.9705	0.3521	0.1743	0.3236	0.315	0.4511	0.002489	0.3105	0.8024	0.3894	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas kerstersii"	"S"	225992	412	18	15	179	91	1	107	178	1	102	412	141	NA	0.1572	0.1572	0.13	0.0809	0.03004	0.1079	0.0535	0.07698	0.0002766	0.04411	0.134	0.07039	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	323	12	27	108	84	1	121	207	3	145	323	127	NA	0.234	0.1048	0.234	0.04881	0.02773	0.1079	0.0605	0.08952	0.0008297	0.06271	0.105	0.0634	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Ramlibacter"	"G"	174951	993	31	62	408	292	1	327	528	2	367	993	440	1	0.5373	0.2707	0.5373	0.1844	0.09639	0.1079	0.1635	0.2284	0.0005531	0.1587	0.3228	0.2197	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	993	31	62	408	292	1	327	528	2	367	993	440	1	0.5373	0.2707	0.5373	0.1844	0.09639	0.1079	0.1635	0.2284	0.0005531	0.1587	0.3228	0.2197	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ramlibacter tataouinensis TTB310"	"-"	365046	491	21	25	187	162	NA	175	268	1	191	491	236	NA	0.2166	0.1834	0.2166	0.08451	0.05347	NA	0.0875	0.1159	0.0002766	0.08261	0.1596	0.1178	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter>Ramlibacter&nbsp;tataouinensis"
"Ottowia"	"G"	219181	1051	31	46	396	306	2	320	503	NA	311	1051	370	NA	0.3986	0.2707	0.3986	0.179	0.101	0.2157	0.16	0.2175	NA	0.1345	0.3417	0.1847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia oryzae"	"S"	2109914	712	19	27	244	202	NA	202	319	NA	213	712	271	NA	0.234	0.1659	0.234	0.1103	0.06668	NA	0.101	0.138	NA	0.09212	0.2315	0.1353	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. oral taxon 894"	"S"	1658672	338	12	19	152	104	2	117	184	NA	98	338	99	NA	0.2157	0.1048	0.1646	0.06869	0.03433	0.2157	0.0585	0.07958	NA	0.04238	0.1099	0.04942	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Delftia"	"G"	80865	771	18	42	290	187	3	255	457	2	277	771	326	NA	0.364	0.1572	0.364	0.1311	0.06173	0.3236	0.1275	0.1976	0.0005531	0.1198	0.2507	0.1628	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia acidovorans"	"S"	80866	142	4	13	57	23	NA	60	88	1	46	142	60	NA	0.1127	0.03493	0.1127	0.02576	0.007592	NA	0.03	0.03806	0.0002766	0.01989	0.04617	0.02995	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia acidovorans SPH-1"	"-"	398578	142	4	13	57	23	NA	60	88	1	46	142	60	NA	0.1127	0.03493	0.1127	0.02576	0.007592	NA	0.03	0.03806	0.0002766	0.01989	0.04617	0.02995	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia>Delftia&nbsp;acidovorans"
"Delftia sp. Cs1-4"	"S"	742013	115	4	5	37	32	NA	42	77	1	39	115	45	NA	0.04333	0.03493	0.04333	0.01672	0.01056	NA	0.021	0.0333	0.0002766	0.01687	0.03739	0.02247	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	73	3	7	25	23	NA	19	60	NA	32	73	35	NA	0.06066	0.02619	0.06066	0.0113	0.007592	NA	0.0095	0.02595	NA	0.01384	0.02373	0.01747	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia sp. HK171"	"S"	1920191	21	2	NA	10	5	1	7	11	NA	10	21	3	NA	0.1079	0.01746	NA	0.004519	0.00165	0.1079	0.0035	0.004757	NA	0.004325	0.006828	0.001498	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Melaminivora"	"G"	1649468	304	12	22	159	82	NA	97	142	NA	92	304	101	NA	0.1906	0.1048	0.1906	0.07186	0.02707	NA	0.0485	0.06141	NA	0.03979	0.09884	0.05042	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	222	8	20	110	56	NA	70	120	NA	68	222	82	NA	0.1733	0.06985	0.1733	0.04971	0.01849	NA	0.035	0.0519	NA	0.02941	0.07218	0.04094	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	63	3	1	42	21	NA	20	18	NA	20	63	14	NA	0.02619	0.02619	0.008666	0.01898	0.006932	NA	0.01	0.007785	NA	0.00865	0.02048	0.006989	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Verminephrobacter"	"G"	364316	282	10	11	282	72	NA	52	80	NA	61	186	64	NA	0.1274	0.08731	0.09532	0.1274	0.02377	NA	0.026	0.0346	NA	0.02638	0.06047	0.03195	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	282	10	11	282	72	NA	52	80	NA	61	186	64	NA	0.1274	0.08731	0.09532	0.1274	0.02377	NA	0.026	0.0346	NA	0.02638	0.06047	0.03195	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Verminephrobacter eiseniae EF01-2"	"-"	391735	282	10	11	282	72	NA	52	80	NA	61	186	64	NA	0.1274	0.08731	0.09532	0.1274	0.02377	NA	0.026	0.0346	NA	0.02638	0.06047	0.03195	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>Verminephrobacter&nbsp;eiseniae"
"Alicycliphilus"	"G"	201096	166	6	6	79	25	NA	34	48	NA	33	166	40	NA	0.05397	0.05239	0.05199	0.0357	0.008252	NA	0.017	0.02076	NA	0.01427	0.05397	0.01997	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	166	6	6	79	25	NA	34	48	NA	33	166	40	NA	0.05397	0.05239	0.05199	0.0357	0.008252	NA	0.017	0.02076	NA	0.01427	0.05397	0.01997	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Alicycliphilus denitrificans K601"	"-"	596154	66	3	2	33	12	NA	15	18	NA	16	66	11	NA	0.02619	0.02619	0.01733	0.01491	0.003961	NA	0.0075	0.007785	NA	0.00692	0.02146	0.005492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus>Alicycliphilus&nbsp;denitrificans"
"Candidatus Symbiobacter"	"G"	1436289	165	5	4	54	45	NA	53	91	NA	40	165	68	NA	0.05365	0.04366	0.03466	0.0244	0.01485	NA	0.0265	0.03936	NA	0.0173	0.05365	0.03395	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	165	5	4	54	45	NA	53	91	NA	40	165	68	NA	0.05365	0.04366	0.03466	0.0244	0.01485	NA	0.0265	0.03936	NA	0.0173	0.05365	0.03395	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
