"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"Massilia"	"G"	26414	8189	237	307	3440	3104	9	2543	4253	8	2677	8189	3446	NA	3.391	2.506	3.391	1.876	1.222	1.144	1.425	2.176	0.002324	1.308	3.351	1.991	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	6660	198	335	2508	1771	17	1959	3938	6	2012	6660	2418	2	3.7	2.093	3.7	1.367	0.6971	2.16	1.098	2.015	0.001743	0.983	2.725	1.397	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	6544	162	224	2634	2000	10	1774	2744	7	1763	6544	2038	1	2.678	1.713	2.474	1.436	0.7872	1.271	0.9943	1.404	0.002033	0.8614	2.678	1.177	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	5986	161	271	2362	1766	8	1639	3308	7	1799	5986	2178	2	2.993	1.702	2.993	1.288	0.6951	1.017	0.9186	1.693	0.002033	0.879	2.449	1.258	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	4188	140	196	2183	1541	8	1222	2125	11	1301	4188	1569	NA	2.165	1.48	2.165	1.19	0.6065	1.017	0.6849	1.087	0.003195	0.6357	1.714	0.9065	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	4505	131	199	1715	1281	4	1288	2659	3	1388	4505	1637	NA	2.198	1.385	2.198	0.9351	0.5042	0.5083	0.7219	1.361	0.0008714	0.6782	1.843	0.9458	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	4960	130	219	1596	1570	4	1465	3070	3	1783	4960	1866	2	2.419	1.374	2.419	0.8702	0.618	0.5083	0.8211	1.571	0.0008714	0.8712	2.03	1.078	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	4001	95	174	1454	1049	3	985	1903	11	1077	4001	1347	1	1.922	1.004	1.922	0.7928	0.4129	0.3812	0.5521	0.9739	0.003195	0.5262	1.637	0.7782	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	2779	93	103	1582	1302	9	806	1324	12	912	2779	1121	NA	1.144	0.9832	1.138	0.8626	0.5125	1.144	0.4517	0.6776	0.003486	0.4456	1.137	0.6476	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	2335	87	103	1380	998	6	723	1211	12	729	2335	900	1	1.138	0.9198	1.138	0.7524	0.3928	0.7624	0.4052	0.6197	0.003486	0.3562	0.9555	0.52	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	1790	82	78	1021	1029	5	887	1465	5	865	1790	1556	NA	0.899	0.8669	0.8615	0.5567	0.405	0.6353	0.4971	0.7497	0.001452	0.4226	0.7325	0.899	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	2817	77	146	951	799	5	925	1670	1	887	2817	1072	1	1.613	0.814	1.613	0.5185	0.3145	0.6353	0.5184	0.8546	0.0002905	0.4334	1.153	0.6193	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	2231	74	102	877	654	2	621	1163	3	660	2231	821	NA	1.127	0.7823	1.127	0.4782	0.2574	0.2541	0.348	0.5952	0.0008714	0.3225	0.9129	0.4743	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	2453	64	101	743	619	4	699	1265	7	791	2453	873	NA	1.116	0.6766	1.116	0.4051	0.2436	0.5083	0.3918	0.6474	0.002033	0.3865	1.004	0.5044	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	1822	59	82	932	786	4	554	981	9	596	1822	703	NA	0.9057	0.6237	0.9057	0.5082	0.3094	0.5083	0.3105	0.502	0.002614	0.2912	0.7455	0.4061	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	2255	55	117	761	642	1	638	1254	NA	762	2255	856	1	1.292	0.5815	1.292	0.4149	0.2527	0.1271	0.3576	0.6417	NA	0.3723	0.9227	0.4945	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	2225	55	81	981	763	3	643	1140	5	655	2225	828	2	1.026	0.5815	0.8946	0.5349	0.3003	0.3812	0.3604	0.5834	0.001452	0.32	0.9105	0.4784	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1491	50	57	678	485	NA	407	844	NA	422	1491	570	1	0.6296	0.5286	0.6296	0.3697	0.1909	NA	0.2281	0.4319	NA	0.2062	0.6101	0.3293	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	1308	49	47	666	454	3	403	685	2	443	1308	533	NA	0.5352	0.518	0.5191	0.3631	0.1787	0.3812	0.2259	0.3505	0.0005809	0.2164	0.5352	0.3079	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1334	42	44	653	623	2	441	695	3	470	1334	695	1	0.5459	0.444	0.486	0.356	0.2452	0.2541	0.2472	0.3557	0.0008714	0.2296	0.5459	0.4015	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	1834	41	106	587	519	1	567	1099	3	646	1834	673	NA	1.171	0.4334	1.171	0.32	0.2043	0.1271	0.3178	0.5624	0.0008714	0.3156	0.7505	0.3888	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	930	38	49	435	301	1	244	495	1	248	930	329	NA	0.5412	0.4017	0.5412	0.2372	0.1185	0.1271	0.1368	0.2533	0.0002905	0.1212	0.3805	0.1901	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	1430	37	85	508	374	NA	398	823	2	450	1430	521	NA	0.9388	0.3912	0.9388	0.277	0.1472	NA	0.2231	0.4212	0.0005809	0.2199	0.5851	0.301	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alicycliphilus"	"G"	26359	735	32	21	426	262	NA	214	314	2	224	735	308	1	0.5128	0.3383	0.2319	0.2323	0.1031	NA	0.1199	0.1607	0.0005809	0.1094	0.3008	0.1779	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	1116	31	47	409	403	2	338	595	NA	382	1116	466	1	0.5191	0.3277	0.5191	0.223	0.1586	0.2541	0.1894	0.3045	NA	0.1866	0.4567	0.2692	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	745	26	32	302	210	NA	195	433	1	232	745	255	NA	0.3534	0.2749	0.3534	0.1647	0.08266	NA	0.1093	0.2216	0.0002905	0.1134	0.3048	0.1473	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	732	22	33	267	212	4	180	345	1	233	732	253	1	0.5128	0.2326	0.3645	0.1456	0.08344	0.5083	0.1009	0.1766	0.0002905	0.1138	0.2995	0.1462	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	483	21	25	276	201	2	162	237	1	157	483	191	NA	0.2761	0.222	0.2761	0.1505	0.07911	0.2541	0.09079	0.1213	0.0002905	0.07671	0.1976	0.1103	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	553	20	13	553	322	4	155	252	2	146	497	221	NA	0.5083	0.2114	0.1436	0.3015	0.1267	0.5083	0.08687	0.129	0.0005809	0.07133	0.2034	0.1277	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	657	20	25	305	297	2	251	377	2	277	657	336	NA	0.2761	0.2114	0.2761	0.1663	0.1169	0.2541	0.1407	0.1929	0.0005809	0.1353	0.2688	0.1941	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	569	20	37	291	307	NA	210	313	2	213	569	319	NA	0.4087	0.2114	0.4087	0.1587	0.1208	NA	0.1177	0.1602	0.0005809	0.1041	0.2328	0.1843	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	349	19	14	228	167	2	88	111	1	71	349	121	NA	0.2541	0.2009	0.1546	0.1243	0.06573	0.2541	0.04932	0.0568	0.0002905	0.03469	0.1428	0.06991	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	590	18	26	561	99	2	110	164	1	93	590	133	NA	0.3059	0.1903	0.2872	0.3059	0.03897	0.2541	0.06165	0.08393	0.0002905	0.04544	0.2414	0.07684	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	841	18	54	576	367	2	241	400	8	250	841	340	NA	0.5964	0.1903	0.5964	0.3141	0.1445	0.2541	0.1351	0.2047	0.002324	0.1221	0.3441	0.1964	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	389	16	14	209	190	1	135	192	3	127	389	167	NA	0.1692	0.1692	0.1546	0.114	0.07478	0.1271	0.07566	0.09826	0.0008714	0.06205	0.1592	0.09648	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	610	14	31	321	235	2	168	340	1	180	610	221	2	1.026	0.148	0.3424	0.175	0.0925	0.2541	0.09416	0.174	0.0002905	0.08795	0.2496	0.1277	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	686	13	24	321	249	1	189	323	NA	225	686	252	NA	0.2807	0.1374	0.2651	0.175	0.09801	0.1271	0.1059	0.1653	NA	0.1099	0.2807	0.1456	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Zinderia"	"G"	26380	215	10	13	124	132	NA	85	136	1	108	215	117	NA	0.1436	0.1057	0.1436	0.06761	0.05196	NA	0.04764	0.0696	0.0002905	0.05277	0.08798	0.0676	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	405	10	25	134	125	1	148	264	1	122	405	144	1	0.5128	0.1057	0.2761	0.07306	0.0492	0.1271	0.08295	0.1351	0.0002905	0.05961	0.1657	0.08319	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	230	9	11	193	93	NA	75	116	NA	76	230	68	NA	0.1215	0.09515	0.1215	0.1052	0.03661	NA	0.04203	0.05936	NA	0.03713	0.09411	0.03929	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	179	7	7	69	50	1	44	51	1	46	179	56	NA	0.1271	0.074	0.07731	0.03762	0.01968	0.1271	0.02466	0.0261	0.0002905	0.02248	0.07325	0.03235	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	233	7	4	121	97	NA	77	77	NA	66	233	132	NA	0.09534	0.074	0.04418	0.06597	0.03818	NA	0.04316	0.0394	NA	0.03225	0.09534	0.07626	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	195	7	12	120	87	NA	74	120	1	59	195	92	NA	0.1325	0.074	0.1325	0.06543	0.03424	NA	0.04147	0.06141	0.0002905	0.02883	0.07979	0.05315	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	228	7	4	182	57	NA	50	72	NA	39	228	50	NA	0.09923	0.074	0.04418	0.09923	0.02244	NA	0.02802	0.03685	NA	0.01905	0.0933	0.02889	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	179	6	12	66	66	NA	56	91	NA	49	179	50	NA	0.1325	0.06343	0.1325	0.03599	0.02598	NA	0.03139	0.04657	NA	0.02394	0.07325	0.02889	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	235	6	3	235	50	1	39	49	NA	28	117	34	NA	0.1281	0.06343	0.03313	0.1281	0.01968	0.1271	0.02186	0.02508	NA	0.01368	0.04788	0.01964	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	235	6	12	102	88	NA	69	105	1	81	235	78	NA	0.1325	0.06343	0.1325	0.05561	0.03464	NA	0.03867	0.05373	0.0002905	0.03958	0.09616	0.04506	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	169	6	7	102	84	NA	39	55	NA	42	169	67	NA	0.07731	0.06343	0.07731	0.05561	0.03306	NA	0.02186	0.02815	NA	0.02052	0.06915	0.03871	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	209	5	3	94	71	NA	66	108	NA	61	209	77	NA	0.08552	0.05286	0.03313	0.05125	0.02795	NA	0.03699	0.05527	NA	0.0298	0.08552	0.04449	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	158	5	3	72	61	NA	45	59	NA	50	158	71	NA	0.06465	0.05286	0.03313	0.03926	0.02401	NA	0.02522	0.03019	NA	0.02443	0.06465	0.04102	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	89	5	9	82	74	NA	33	53	4	28	89	39	NA	0.0994	0.05286	0.0994	0.04471	0.02913	NA	0.0185	0.02712	0.001162	0.01368	0.03642	0.02253	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	170	5	4	130	93	NA	61	76	NA	70	170	61	NA	0.07088	0.05286	0.04418	0.07088	0.03661	NA	0.03419	0.03889	NA	0.0342	0.06956	0.03524	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	63	4	1	35	28	NA	24	30	NA	17	63	25	NA	0.04229	0.04229	0.01104	0.01908	0.01102	NA	0.01345	0.01535	NA	0.008306	0.02578	0.01444	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	172	4	6	72	50	NA	69	112	NA	74	172	68	NA	0.07038	0.04229	0.06627	0.03926	0.01968	NA	0.03867	0.05732	NA	0.03616	0.07038	0.03929	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Kinetoplastibacterium"	"G"	26373	90	4	2	90	45	NA	22	19	NA	26	46	24	NA	0.04907	0.04229	0.02209	0.04907	0.01771	NA	0.01233	0.009723	NA	0.0127	0.01882	0.01387	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xenophilus"	"G"	26465	101	4	4	41	38	NA	20	49	1	35	101	38	NA	0.04418	0.04229	0.04418	0.02235	0.01496	NA	0.01121	0.02508	0.0002905	0.0171	0.04133	0.02195	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	17	4	NA	8	9	NA	5	17	NA	7	17	9	NA	0.04229	0.04229	NA	0.004362	0.003542	NA	0.002802	0.0087	NA	0.00342	0.006956	0.0052	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	201	4	12	69	45	NA	53	101	NA	60	201	81	NA	0.1325	0.04229	0.1325	0.03762	0.01771	NA	0.0297	0.05169	NA	0.02932	0.08225	0.0468	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	91	3	3	63	36	1	33	44	1	32	91	37	NA	0.1271	0.03172	0.03313	0.03435	0.01417	0.1271	0.0185	0.02252	0.0002905	0.01563	0.03724	0.02138	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	83	3	4	50	50	NA	35	56	1	43	83	82	NA	0.04737	0.03172	0.04418	0.02726	0.01968	NA	0.01962	0.02866	0.0002905	0.02101	0.03396	0.04737	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	48	3	2	23	24	NA	19	35	NA	18	48	23	NA	0.03172	0.03172	0.02209	0.01254	0.009446	NA	0.01065	0.01791	NA	0.008795	0.01964	0.01329	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidimonas"	"G"	26381	55	3	3	25	20	NA	19	25	NA	7	55	26	NA	0.03313	0.03172	0.03313	0.01363	0.007872	NA	0.01065	0.01279	NA	0.00342	0.02251	0.01502	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paenalcaligenes"	"G"	26424	254	3	6	59	83	1	78	146	1	79	254	89	NA	0.1271	0.03172	0.06627	0.03217	0.03267	0.1271	0.04372	0.07472	0.0002905	0.0386	0.1039	0.05142	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	67	3	1	44	19	NA	21	36	NA	18	67	26	NA	0.03172	0.03172	0.01104	0.02399	0.007478	NA	0.01177	0.01842	NA	0.008795	0.02742	0.01502	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Piscinibacter"	"G"	26435	180	3	5	133	44	NA	32	42	NA	36	180	53	1	0.5128	0.03172	0.05522	0.07252	0.01732	NA	0.01793	0.02149	NA	0.01759	0.07365	0.03062	0.5128	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pigmentiphaga"	"G"	26434	105	3	4	63	35	NA	27	63	NA	29	105	44	NA	0.04418	0.03172	0.04418	0.03435	0.01378	NA	0.01513	0.03224	NA	0.01417	0.04297	0.02542	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caldimonas"	"G"	26371	21	3	NA	19	16	NA	11	11	NA	9	21	12	NA	0.03172	0.03172	NA	0.01036	0.006298	NA	0.006165	0.005629	NA	0.004397	0.008593	0.006933	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"RS62 marine group"	"G"	26442	79	3	2	25	30	NA	17	27	NA	17	79	30	NA	0.03233	0.03172	0.02209	0.01363	0.01181	NA	0.009528	0.01382	NA	0.008306	0.03233	0.01733	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	159	3	5	76	58	NA	42	82	1	40	159	63	NA	0.06506	0.03172	0.05522	0.04144	0.02283	NA	0.02354	0.04196	0.0002905	0.01954	0.06506	0.0364	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	66	2	NA	51	37	NA	25	26	NA	18	66	11	NA	0.02781	0.02114	NA	0.02781	0.01456	NA	0.01401	0.01331	NA	0.008795	0.02701	0.006355	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Actimicrobium"	"G"	26356	15	2	3	13	4	NA	6	10	NA	13	15	13	NA	0.03313	0.02114	0.03313	0.007088	0.001574	NA	0.003363	0.005117	NA	0.006352	0.006138	0.007511	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Glomeribacter"	"G"	26372	34	2	3	34	32	NA	4	12	NA	4	28	5	NA	0.03313	0.02114	0.03313	0.01854	0.0126	NA	0.002242	0.006141	NA	0.001954	0.01146	0.002889	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
