"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"Synechococcus sp. PCC 7502"	"S"	1173263	22162	22162	599	19495	NA	14724	NA	1	15	NA	1	954	1	13.87	12.88	10.66	13.87	NA	8.709	NA	4.167	0.008857	NA	11.11	1.188	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	4464	4464	101	3796	NA	2980	NA	1	3	NA	NA	158	NA	4.167	2.593	1.797	2.7	NA	1.763	NA	4.167	0.001771	NA	NA	0.1968	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	978	978	36	880	NA	684	NA	NA	1	NA	NA	29	NA	0.6406	0.5682	0.6406	0.626	NA	0.4046	NA	NA	0.0005905	NA	NA	0.03611	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	935	935	30	836	NA	645	NA	NA	NA	NA	NA	44	NA	0.5947	0.5432	0.5338	0.5947	NA	0.3815	NA	NA	NA	NA	NA	0.05479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	23	23	NA	16	NA	13	NA	NA	NA	NA	NA	1	NA	0.01336	0.01336	NA	0.01138	NA	0.007689	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. NIES-970"	"S"	1827144	13	8	NA	13	NA	4	NA	NA	NA	NA	NA	NA	NA	0.009248	0.004648	NA	0.009248	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8101"	"S"	59932	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002491	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9311"	"S"	64471	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Dactylococcopsis"	"G"	13034	12	11	1	12	NA	11	NA	NA	NA	NA	NA	1	NA	0.01779	0.006391	0.01779	0.008537	NA	0.006506	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Dactylococcopsis salina"	"S"	292566	12	11	1	12	NA	11	NA	NA	NA	NA	NA	1	NA	0.01779	0.006391	0.01779	0.008537	NA	0.006506	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis"
"Dactylococcopsis salina PCC 8305"	"-"	13035	12	11	1	12	NA	11	NA	NA	NA	NA	NA	1	NA	0.01779	0.006391	0.01779	0.008537	NA	0.006506	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis>Dactylococcopsis&nbsp;salina"
"Pseudanabaenaceae"	"F"	1890436	4940	4940	111	4365	1	3212	NA	NA	7	NA	NA	243	NA	4.762	2.87	1.975	3.105	4.762	1.9	NA	NA	0.004133	NA	NA	0.3026	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	4940	4940	111	4365	1	3212	NA	NA	7	NA	NA	243	NA	4.762	2.87	1.975	3.105	4.762	1.9	NA	NA	0.004133	NA	NA	0.3026	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. ABRG5-3"	"S"	685565	4852	4852	110	4274	1	3135	NA	NA	7	NA	NA	236	NA	4.762	2.819	1.957	3.041	4.762	1.854	NA	NA	0.004133	NA	NA	0.2939	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Pseudanabaena sp. PCC 7367"	"S"	82654	91	88	1	91	NA	77	NA	NA	NA	NA	NA	7	NA	0.06474	0.05113	0.01779	0.06474	NA	0.04554	NA	NA	NA	NA	NA	0.008717	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Merismopediaceae"	"F"	1890428	351	351	8	304	NA	233	NA	NA	NA	NA	NA	14	NA	0.2163	0.2039	0.1423	0.2163	NA	0.1378	NA	NA	NA	NA	NA	0.01743	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	351	351	8	304	NA	233	NA	NA	NA	NA	NA	14	NA	0.2163	0.2039	0.1423	0.2163	NA	0.1378	NA	NA	NA	NA	NA	0.01743	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Leptolyngbyaceae"	"F"	1890438	158	158	1	120	NA	117	NA	NA	2	NA	NA	3	NA	0.09179	0.09179	0.01779	0.08537	NA	0.0692	NA	NA	0.001181	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	158	158	1	120	NA	117	NA	NA	2	NA	NA	3	NA	0.09179	0.09179	0.01779	0.08537	NA	0.0692	NA	NA	0.001181	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya boryana"	"S"	1184	73	73	NA	61	NA	42	NA	NA	1	NA	NA	1	NA	0.0434	0.04241	NA	0.0434	NA	0.02484	NA	NA	0.0005905	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	49	49	1	37	NA	41	NA	NA	NA	NA	NA	1	NA	0.02847	0.02847	0.01779	0.02632	NA	0.02425	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	24	20	NA	16	NA	24	NA	NA	NA	NA	NA	1	NA	0.0142	0.01162	NA	0.01138	NA	0.0142	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	2	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	0.0005905	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochloraceae"	"F"	1213	45	45	NA	32	NA	22	NA	NA	2	NA	NA	1	NA	0.02614	0.02614	NA	0.02276	NA	0.01301	NA	NA	0.001181	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	45	45	NA	32	NA	22	NA	NA	2	NA	NA	1	NA	0.02614	0.02614	NA	0.02276	NA	0.01301	NA	NA	0.001181	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	45	45	NA	32	NA	22	NA	NA	2	NA	NA	1	NA	0.02614	0.02614	NA	0.02276	NA	0.01301	NA	NA	0.001181	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus marinus str. NATL1A"	"-"	167555	15	15	NA	8	NA	2	NA	NA	2	NA	NA	1	NA	0.008715	0.008715	NA	0.005691	NA	0.001183	NA	NA	0.001181	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus"	"-"	142554	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0007114	0.000581	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus str. CCMP1375"	"-"	167539	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0007114	0.000581	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;marinus"
"Acaryochloridaceae"	"F"	1890429	8	8	NA	5	NA	4	NA	NA	NA	NA	NA	1	NA	0.004648	0.004648	NA	0.003557	NA	0.002366	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Acaryochloris"	"G"	155977	8	8	NA	5	NA	4	NA	NA	NA	NA	NA	1	NA	0.004648	0.004648	NA	0.003557	NA	0.002366	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae"
"Acaryochloris marina"	"S"	155978	8	8	NA	5	NA	4	NA	NA	NA	NA	NA	1	NA	0.004648	0.004648	NA	0.003557	NA	0.002366	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris"
"Acaryochloris marina MBIC11017"	"-"	329726	8	8	NA	5	NA	4	NA	NA	NA	NA	NA	1	NA	0.004648	0.004648	NA	0.003557	NA	0.002366	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris>Acaryochloris&nbsp;marina"
"Oscillatoriophycideae"	"-"	1301283	8187	8187	194	7115	NA	5522	NA	NA	6	NA	NA	420	NA	5.062	4.756	3.452	5.062	NA	3.266	NA	NA	0.003543	NA	NA	0.523	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Chroococcales"	"O"	1118	4240	4240	90	3657	NA	2900	NA	NA	4	NA	NA	196	NA	2.602	2.463	1.601	2.602	NA	1.715	NA	NA	0.002362	NA	NA	0.2441	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Microcystaceae"	"F"	1890449	1561	1561	31	1325	NA	1134	NA	NA	2	NA	NA	88	NA	0.9426	0.9069	0.5516	0.9426	NA	0.6707	NA	NA	0.001181	NA	NA	0.1096	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Microcystis"	"G"	1125	1561	1561	31	1325	NA	1134	NA	NA	2	NA	NA	88	NA	0.9426	0.9069	0.5516	0.9426	NA	0.6707	NA	NA	0.001181	NA	NA	0.1096	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae"
"Microcystis sp. MC19"	"S"	1967666	245	245	2	228	NA	172	NA	NA	1	NA	NA	15	NA	0.1622	0.1423	0.03559	0.1622	NA	0.1017	NA	NA	0.0005905	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis aeruginosa"	"S"	1126	20	20	NA	18	NA	8	NA	NA	NA	NA	NA	1	NA	0.01281	0.01162	NA	0.01281	NA	0.004732	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis viridis"	"S"	44822	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis viridis NIES-102"	"-"	213615	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis>Microcystis&nbsp;viridis"
"Aphanothecaceae"	"F"	1890450	1289	1289	26	1107	NA	794	NA	NA	1	NA	NA	60	NA	0.7875	0.7489	0.4626	0.7875	NA	0.4696	NA	NA	0.0005905	NA	NA	0.07472	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Candidatus Atelocyanobacterium"	"G"	1453359	1286	1286	26	1104	NA	793	NA	NA	1	NA	NA	60	NA	0.7854	0.7471	0.4626	0.7854	NA	0.469	NA	NA	0.0005905	NA	NA	0.07472	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Candidatus Atelocyanobacterium thalassa"	"S"	713887	1286	1286	26	1104	NA	793	NA	NA	1	NA	NA	60	NA	0.7854	0.7471	0.4626	0.7854	NA	0.469	NA	NA	0.0005905	NA	NA	0.07472	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium"
"Candidatus Atelocyanobacterium thalassa isolate ALOHA"	"-"	1453429	1286	1286	26	1104	NA	793	NA	NA	1	NA	NA	60	NA	0.7854	0.7471	0.4626	0.7854	NA	0.469	NA	NA	0.0005905	NA	NA	0.07472	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium>Candidatus&nbsp;Atelocyanobacterium&nbsp;thalassa"
"Halothece cluster"	"-"	92682	3	3	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002134	0.001743	NA	0.002134	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Halothece"	"G"	76023	3	3	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002134	0.001743	NA	0.002134	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster"
"Halothece sp. PCC 7418"	"S"	65093	3	3	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002134	0.001743	NA	0.002134	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster>Halothece"
"Chroococcaceae"	"F"	1890464	956	956	21	824	NA	669	NA	NA	NA	NA	NA	33	NA	0.5862	0.5554	0.3737	0.5862	NA	0.3957	NA	NA	NA	NA	NA	0.0411	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Gloeocapsa"	"G"	102231	670	670	14	573	NA	477	NA	NA	NA	NA	NA	22	NA	0.4076	0.3893	0.2491	0.4076	NA	0.2821	NA	NA	NA	NA	NA	0.0274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Gloeocapsa sp. PCC 7428"	"S"	1173026	670	670	14	573	NA	477	NA	NA	NA	NA	NA	22	NA	0.4076	0.3893	0.2491	0.4076	NA	0.2821	NA	NA	NA	NA	NA	0.0274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsa"
"Chondrocystis"	"G"	268175	271	271	6	237	NA	178	NA	NA	NA	NA	NA	11	NA	0.1686	0.1574	0.1068	0.1686	NA	0.1053	NA	NA	NA	NA	NA	0.0137	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Chondrocystis sp. NIES-4102"	"S"	2005460	271	271	6	237	NA	178	NA	NA	NA	NA	NA	11	NA	0.1686	0.1574	0.1068	0.1686	NA	0.1053	NA	NA	NA	NA	NA	0.0137	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Chondrocystis"
"Geminocystis"	"G"	669357	15	15	1	14	NA	13	NA	NA	NA	NA	NA	NA	NA	0.01779	0.008715	0.01779	0.00996	NA	0.007689	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Geminocystis sp. NIES-3709"	"S"	1617448	13	13	1	13	NA	11	NA	NA	NA	NA	NA	NA	NA	0.01779	0.007553	0.01779	0.009248	NA	0.006506	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Geminocystis sp. NIES-3708"	"S"	1615909	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
