"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"Huanghella"	"G"	24803	5	3	1	NA	NA	1	2	1	NA	NA	1	5	NA	0.00225	0.0009897	0.00225	NA	NA	0.0001159	0.0002307	0.0001392	NA	NA	0.000764	0.0005893	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fluviimonas"	"G"	24802	29	3	NA	NA	NA	29	25	8	NA	NA	1	10	NA	0.003362	0.0009897	NA	NA	NA	0.003362	0.002884	0.001113	NA	NA	0.000764	0.001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrisoma"	"G"	24800	30	3	2	NA	NA	1	6	5	1	NA	5	30	NA	0.0045	0.0009897	0.0045	NA	NA	0.0001159	0.0006921	0.0006958	5.981e-05	NA	0.00382	0.003536	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Taeseokella"	"G"	24814	26	3	1	NA	NA	6	8	5	NA	NA	2	26	1	0.003064	0.0009897	0.00225	NA	NA	0.0006956	0.0009228	0.0006958	NA	NA	0.001528	0.003064	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Rhabdobacter"	"G"	24810	10	1	NA	NA	NA	2	5	NA	NA	NA	1	10	NA	0.001179	0.0003299	NA	NA	NA	0.0002319	0.0005767	NA	NA	NA	0.000764	0.001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Cyclobacteriaceae"	"F"	24725	2640	1152	194	2	1	946	900	752	7	NA	336	2640	122	0.939	0.3801	0.4365	0.939	0.3096	0.1097	0.1038	0.1047	0.0004187	NA	0.2567	0.3111	0.2791	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Algoriphagus"	"G"	24726	1072	739	137	2	NA	488	406	358	4	NA	146	1072	46	0.939	0.2438	0.3083	0.939	NA	0.05658	0.04683	0.04982	0.0002392	NA	0.1115	0.1263	0.1052	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"uncultured"	"G"	24760	561	132	25	NA	NA	168	198	156	2	NA	79	561	26	0.06612	0.04355	0.05625	NA	NA	0.01948	0.02284	0.02171	0.0001196	NA	0.06036	0.06612	0.05948	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium"	"G"	24734	226	48	3	NA	NA	51	57	44	NA	NA	27	226	9	0.02663	0.01584	0.006751	NA	NA	0.005913	0.006575	0.006123	NA	NA	0.02063	0.02663	0.02059	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aquiflexum"	"G"	24728	117	31	3	NA	1	28	32	29	NA	NA	12	117	2	0.3096	0.01023	0.006751	NA	0.3096	0.003246	0.003691	0.004036	NA	NA	0.009168	0.01379	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marinoscillum"	"G"	24746	39	21	1	NA	NA	14	17	8	1	NA	5	39	1	0.006928	0.006928	0.00225	NA	NA	0.001623	0.001961	0.001113	5.981e-05	NA	0.00382	0.004596	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Echinicola"	"G"	24735	69	16	5	NA	NA	13	16	19	NA	NA	5	69	6	0.01373	0.005279	0.01125	NA	NA	0.001507	0.001846	0.002644	NA	NA	0.00382	0.008132	0.01373	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fulvivirga"	"G"	24740	30	12	1	NA	NA	15	11	3	NA	NA	3	30	1	0.003959	0.003959	0.00225	NA	NA	0.001739	0.001269	0.0004175	NA	NA	0.002292	0.003536	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Imperialibacter"	"G"	24741	14	11	1	NA	NA	9	5	6	NA	NA	2	14	NA	0.003629	0.003629	0.00225	NA	NA	0.001043	0.0005767	0.000835	NA	NA	0.001528	0.00165	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Tunicatimonas"	"G"	24759	36	10	2	NA	NA	11	18	5	NA	NA	3	36	2	0.004576	0.003299	0.0045	NA	NA	0.001275	0.002076	0.0006958	NA	NA	0.002292	0.004243	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Lunatimonas"	"G"	24744	36	10	1	NA	NA	10	8	7	NA	NA	5	36	3	0.006864	0.003299	0.00225	NA	NA	0.001159	0.0009228	0.0009742	NA	NA	0.00382	0.004243	0.006864	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Belliella"	"G"	24730	12	8	1	NA	NA	6	5	2	NA	NA	1	12	NA	0.002639	0.002639	0.00225	NA	NA	0.0006956	0.0005767	0.0002783	NA	NA	0.000764	0.001414	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fabibacter"	"G"	24737	24	8	NA	NA	NA	2	7	7	NA	NA	2	24	2	0.004576	0.002639	NA	NA	NA	0.0002319	0.0008074	0.0009742	NA	NA	0.001528	0.002828	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Catalinimonas"	"G"	24731	24	6	NA	NA	NA	10	9	7	NA	NA	4	24	3	0.006864	0.001979	NA	NA	NA	0.001159	0.001038	0.0009742	NA	NA	0.003056	0.002828	0.006864	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cesiribacter"	"G"	24733	3	3	1	NA	NA	1	2	3	NA	NA	2	3	NA	0.00225	0.0009897	0.00225	NA	NA	0.0001159	0.0002307	0.0004175	NA	NA	0.001528	0.0003536	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Roseivirga"	"G"	24757	10	3	NA	NA	NA	6	2	3	NA	NA	2	10	NA	0.001528	0.0009897	NA	NA	NA	0.0006956	0.0002307	0.0004175	NA	NA	0.001528	0.001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Reichenbachiella"	"G"	24755	17	3	1	NA	NA	8	6	4	NA	NA	1	17	2	0.004576	0.0009897	0.00225	NA	NA	0.0009275	0.0006921	0.0005567	NA	NA	0.000764	0.002004	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliicoccus"	"G"	24749	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003299	0.0003299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marivirga"	"G"	24747	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.00225	0.0003299	0.00225	NA	NA	0.0001159	NA	NA	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliitalea"	"G"	24750	2	1	NA	NA	NA	2	2	NA	NA	NA	NA	1	NA	0.0003299	0.0003299	NA	NA	NA	0.0002319	0.0002307	NA	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Nitritalea"	"G"	24753	4	1	NA	NA	NA	NA	2	NA	NA	NA	1	4	NA	0.000764	0.0003299	NA	NA	NA	NA	0.0002307	NA	NA	NA	0.000764	0.0004714	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mariniradius"	"G"	24745	6	1	NA	NA	NA	3	2	6	NA	NA	NA	5	1	0.002288	0.0003299	NA	NA	NA	0.0003478	0.0002307	0.000835	NA	NA	NA	0.0005893	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aureibacter"	"G"	24729	2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.0003299	0.0003299	NA	NA	NA	NA	0.0001153	NA	NA	NA	NA	0.0002357	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Hymenobacteraceae"	"F"	24776	1755	459	53	NA	NA	518	608	464	3	1	243	1755	77	0.4184	0.1514	0.1193	NA	NA	0.06006	0.07013	0.06457	0.0001794	0.4184	0.1856	0.2068	0.1762	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	1261	342	39	NA	NA	353	430	329	3	NA	185	1261	50	0.1486	0.1128	0.08776	NA	NA	0.04093	0.0496	0.04579	0.0001794	NA	0.1413	0.1486	0.1144	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Adhaeribacter"	"G"	24777	209	45	3	NA	NA	78	80	63	NA	1	28	209	16	0.4184	0.01485	0.006751	NA	NA	0.009043	0.009228	0.008768	NA	0.4184	0.02139	0.02463	0.03661	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	24780	143	25	6	NA	NA	44	57	40	NA	NA	21	143	5	0.01685	0.008248	0.0135	NA	NA	0.005101	0.006575	0.005567	NA	NA	0.01604	0.01685	0.01144	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Rufibacter"	"G"	24781	24	10	1	NA	NA	9	2	5	NA	NA	2	24	2	0.004576	0.003299	0.00225	NA	NA	0.001043	0.0002307	0.0006958	NA	NA	0.001528	0.002828	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Nibribacter"	"G"	24779	7	2	NA	NA	NA	2	4	1	NA	NA	NA	7	NA	0.000825	0.0006598	NA	NA	NA	0.0002319	0.0004614	0.0001392	NA	NA	NA	0.000825	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Microscillaceae"	"F"	24783	1371	317	42	1	NA	440	514	1070	14	NA	166	1371	55	0.4695	0.1046	0.09451	0.4695	NA	0.05101	0.05929	0.1489	0.0008373	NA	0.1268	0.1616	0.1258	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24793	982	221	31	1	NA	318	394	931	11	NA	130	982	40	0.4695	0.07291	0.06976	0.4695	NA	0.03687	0.04545	0.1296	0.0006579	NA	0.09932	0.1157	0.09151	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Siphonobacter"	"G"	24791	57	25	4	NA	NA	39	33	36	1	NA	6	57	1	0.009001	0.008248	0.009001	NA	NA	0.004522	0.003806	0.00501	5.981e-05	NA	0.004584	0.006718	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Ohtaekwangia"	"G"	24790	91	21	3	NA	NA	22	22	23	1	NA	9	91	5	0.01144	0.006928	0.006751	NA	NA	0.002551	0.002538	0.003201	5.981e-05	NA	0.006876	0.01072	0.01144	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Flexibacter"	"G"	24786	124	14	1	NA	NA	12	24	27	1	NA	9	124	5	0.01461	0.004619	0.00225	NA	NA	0.001391	0.002768	0.003758	5.981e-05	NA	0.006876	0.01461	0.01144	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"OLB12"	"G"	24789	21	8	1	NA	NA	17	10	21	NA	NA	8	19	1	0.006112	0.002639	0.00225	NA	NA	0.001971	0.001153	0.002923	NA	NA	0.006112	0.002239	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Chryseolinea"	"G"	24784	20	5	NA	NA	NA	11	5	6	NA	NA	1	20	NA	0.002357	0.00165	NA	NA	NA	0.001275	0.0005767	0.000835	NA	NA	0.000764	0.002357	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Mooreia"	"G"	24788	12	4	NA	NA	NA	4	2	NA	NA	NA	NA	12	NA	0.001414	0.00132	NA	NA	NA	0.0004637	0.0002307	NA	NA	NA	NA	0.001414	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Thermoflexibacter"	"G"	24792	12	2	NA	NA	NA	4	2	2	NA	NA	1	12	NA	0.001414	0.0006598	NA	NA	NA	0.0004637	0.0002307	0.0002783	NA	NA	0.000764	0.001414	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Flammeovirgaceae"	"F"	24766	542	154	8	NA	NA	174	164	142	1	NA	89	542	27	0.06799	0.05081	0.018	NA	NA	0.02017	0.01892	0.01976	5.981e-05	NA	0.06799	0.06388	0.06177	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Flammeovirga"	"G"	24768	278	69	4	NA	NA	84	81	68	NA	NA	52	278	7	0.03973	0.02276	0.009001	NA	NA	0.009739	0.009343	0.009463	NA	NA	0.03973	0.03276	0.01602	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Flexithrix"	"G"	24769	207	65	4	NA	NA	69	64	61	1	NA	32	207	19	0.04347	0.02144	0.009001	NA	NA	0.008	0.007382	0.008489	5.981e-05	NA	0.02445	0.0244	0.04347	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"uncultured"	"G"	24775	14	7	NA	NA	NA	6	5	5	NA	NA	2	14	NA	0.002309	0.002309	NA	NA	NA	0.0006956	0.0005767	0.0006958	NA	NA	0.001528	0.00165	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Rapidithrix"	"G"	24773	16	5	NA	NA	NA	3	2	1	NA	NA	1	16	NA	0.001886	0.00165	NA	NA	NA	0.0003478	0.0002307	0.0001392	NA	NA	0.000764	0.001886	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Algivirga"	"G"	24767	5	3	NA	NA	NA	1	5	NA	NA	NA	NA	5	NA	0.0009897	0.0009897	NA	NA	NA	0.0001159	0.0005767	NA	NA	NA	NA	0.0005893	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Luteivirga"	"G"	24771	11	3	NA	NA	NA	8	6	5	NA	NA	1	11	NA	0.001296	0.0009897	NA	NA	NA	0.0009275	0.0006921	0.0006958	NA	NA	0.000764	0.001296	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Cytophagaceae"	"F"	24761	628	140	18	NA	NA	177	196	240	1	NA	82	628	23	0.07401	0.04619	0.0405	NA	NA	0.02052	0.02261	0.0334	5.981e-05	NA	0.06265	0.07401	0.05262	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Cytophaga"	"G"	24762	330	64	9	NA	NA	106	114	135	NA	NA	40	330	12	0.03889	0.02111	0.02025	NA	NA	0.01229	0.01315	0.01879	NA	NA	0.03056	0.03889	0.02745	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Sporocytophaga"	"G"	24764	134	33	6	NA	NA	33	35	62	1	NA	20	134	6	0.01579	0.01089	0.0135	NA	NA	0.003826	0.004037	0.008628	5.981e-05	NA	0.01528	0.01579	0.01373	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Rhodocytophaga"	"G"	24763	90	22	3	NA	NA	20	26	28	NA	NA	14	90	3	0.0107	0.007258	0.006751	NA	NA	0.002319	0.002999	0.003897	NA	NA	0.0107	0.01061	0.006864	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"uncultured"	"G"	24765	66	20	NA	NA	NA	18	19	11	NA	NA	8	66	2	0.007778	0.006598	NA	NA	NA	0.002087	0.002192	0.001531	NA	NA	0.006112	0.007778	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Amoebophilaceae"	"F"	24715	529	126	12	NA	NA	158	173	133	2	NA	63	529	13	0.06234	0.04157	0.027	NA	NA	0.01832	0.01995	0.01851	0.0001196	NA	0.04813	0.06234	0.02974	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Candidatus Amoebophilus"	"G"	24716	268	62	6	NA	NA	79	78	73	2	NA	38	268	9	0.03158	0.02045	0.0135	NA	NA	0.009159	0.008997	0.01016	0.0001196	NA	0.02903	0.03158	0.02059	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"uncultured"	"G"	24719	235	61	6	NA	NA	73	86	52	NA	NA	19	235	4	0.0277	0.02012	0.0135	NA	NA	0.008463	0.00992	0.007237	NA	NA	0.01452	0.0277	0.009151	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Paenicardinium"	"G"	24718	2	1	NA	NA	NA	2	NA	1	NA	NA	1	1	NA	0.000764	0.0003299	NA	NA	NA	0.0002319	NA	0.0001392	NA	NA	0.000764	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"MWH-CFBk5"	"F"	24782	108	25	4	NA	NA	42	36	38	NA	NA	25	108	6	0.0191	0.008248	0.009001	NA	NA	0.004869	0.004152	0.005288	NA	NA	0.0191	0.01273	0.01373	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Bernardetiaceae"	"F"	24720	16	5	NA	NA	NA	3	2	13	NA	NA	1	16	NA	0.001886	0.00165	NA	NA	NA	0.0003478	0.0002307	0.001809	NA	NA	0.000764	0.001886	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hugenholtzia"	"G"	24723	9	2	NA	NA	NA	1	1	9	NA	NA	NA	7	NA	0.001253	0.0006598	NA	NA	NA	0.0001159	0.0001153	0.001253	NA	NA	NA	0.000825	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Bernardetiaceae"
"Bernardetia"	"G"	24721	4	1	NA	NA	NA	1	NA	NA	NA	NA	NA	4	NA	0.0004714	0.0003299	NA	NA	NA	0.0001159	NA	NA	NA	NA	NA	0.0004714	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Bernardetiaceae"
"Garritya"	"G"	24722	2	1	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	0.0003299	0.0003299	NA	NA	NA	NA	NA	0.0001392	NA	NA	NA	0.0002357	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Bernardetiaceae"
"uncultured"	"G"	24724	3	1	NA	NA	NA	1	1	3	NA	NA	1	3	NA	0.000764	0.0003299	NA	NA	NA	0.0001159	0.0001153	0.0004175	NA	NA	0.000764	0.0003536	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Bernardetiaceae"
