"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"Runella"	"G"	24812	260	49	6	NA	NA	195	163	47	2	NA	78	260	35	0.08246	0.01661	0.01393	NA	NA	0.0237	0.01961	0.006893	0.0001207	NA	0.06255	0.03216	0.08246	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Lacihabitans"	"G"	24804	268	45	3	NA	NA	112	181	268	1	NA	14	149	52	0.1225	0.01525	0.006967	NA	NA	0.01361	0.02177	0.03931	6.037e-05	NA	0.01123	0.01843	0.1225	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	139	30	3	NA	NA	36	43	24	NA	NA	23	139	5	0.01844	0.01017	0.006967	NA	NA	0.004375	0.005173	0.00352	NA	NA	0.01844	0.01719	0.01178	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	85	15	3	1	NA	30	35	81	2	NA	4	85	2	0.4808	0.005084	0.006967	0.4808	NA	0.003646	0.004211	0.01188	0.0001207	NA	0.003208	0.01051	0.004712	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	24	11	3	NA	NA	24	10	5	NA	NA	3	24	NA	0.006967	0.003728	0.006967	NA	NA	0.002917	0.001203	0.0007333	NA	NA	0.002406	0.002969	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	54	11	NA	NA	NA	8	13	15	NA	NA	9	54	2	0.007217	0.003728	NA	NA	NA	0.0009722	0.001564	0.0022	NA	NA	0.007217	0.00668	0.004712	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	55	10	NA	NA	NA	7	11	4	NA	NA	5	55	NA	0.006803	0.003389	NA	NA	NA	0.0008506	0.001323	0.0005866	NA	NA	0.00401	0.006803	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	18	6	2	NA	NA	4	2	4	NA	NA	4	18	2	0.004712	0.002034	0.004645	NA	NA	0.0004861	0.0002406	0.0005866	NA	NA	0.003208	0.002227	0.004712	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	7	1	1	NA	NA	1	2	3	NA	NA	NA	7	1	0.002356	0.0003389	0.002322	NA	NA	0.0001215	0.0002406	0.00044	NA	NA	NA	0.0008659	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	17	1	NA	NA	NA	5	5	2	NA	NA	1	17	NA	0.002103	0.0003389	NA	NA	NA	0.0006076	0.0006015	0.0002933	NA	NA	0.0008019	0.002103	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fluviimonas"	"G"	24802	17	1	NA	NA	NA	17	9	NA	NA	NA	NA	NA	NA	0.002066	0.0003389	NA	NA	NA	0.002066	0.001083	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Cyclobacteriaceae"	"F"	24725	621	621	120	2	NA	287	245	245	2	NA	40	404	17	0.9615	0.2105	0.2787	0.9615	NA	0.03488	0.02947	0.03593	0.0001207	NA	0.03208	0.04997	0.04005	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Algoriphagus"	"G"	24726	578	578	118	2	NA	242	158	135	1	NA	24	199	9	0.9615	0.1959	0.274	0.9615	NA	0.02941	0.01901	0.0198	6.037e-05	NA	0.01925	0.02462	0.0212	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"uncultured"	"G"	24760	68	13	2	NA	NA	17	40	47	NA	NA	6	68	1	0.008411	0.004406	0.004645	NA	NA	0.002066	0.004812	0.006893	NA	NA	0.004812	0.008411	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marinoscillum"	"G"	24746	25	7	NA	NA	NA	6	10	15	NA	NA	1	25	1	0.003092	0.002373	NA	NA	NA	0.0007291	0.001203	0.0022	NA	NA	0.0008019	0.003092	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Nitritalea"	"G"	24753	31	5	NA	NA	NA	2	8	9	NA	NA	2	31	2	0.004712	0.001695	NA	NA	NA	0.000243	0.0009624	0.00132	NA	NA	0.001604	0.003835	0.004712	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fulvivirga"	"G"	24740	8	3	NA	NA	NA	2	2	1	1	NA	1	8	1	0.002356	0.001017	NA	NA	NA	0.000243	0.0002406	0.0001467	6.037e-05	NA	0.0008019	0.0009896	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aquiflexum"	"G"	24728	16	3	NA	NA	NA	2	5	3	NA	NA	1	16	NA	0.001979	0.001017	NA	NA	NA	0.000243	0.0006015	0.00044	NA	NA	0.0008019	0.001979	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Belliella"	"G"	24730	2	2	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	0.0008019	0.0006779	NA	NA	NA	NA	0.0001203	0.0001467	NA	NA	0.0008019	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium"	"G"	24734	6	2	NA	NA	NA	2	3	5	NA	NA	1	6	NA	0.0008019	0.0006779	NA	NA	NA	0.000243	0.0003609	0.0007333	NA	NA	0.0008019	0.0007422	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Reichenbachiella"	"G"	24755	3	2	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	0.0006779	0.0006779	NA	NA	NA	NA	NA	0.00044	NA	NA	NA	0.0001237	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliitalea"	"G"	24750	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003389	0.0003389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Catalinimonas"	"G"	24731	3	1	NA	NA	NA	NA	1	NA	NA	NA	1	3	NA	0.0008019	0.0003389	NA	NA	NA	NA	0.0001203	NA	NA	NA	0.0008019	0.0003711	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cecembia"	"G"	24732	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0003389	0.0003389	NA	NA	NA	NA	0.0001203	NA	NA	NA	NA	0.0001237	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Microscillaceae"	"F"	24783	802	67	8	1	NA	159	186	802	3	NA	41	385	7	0.4808	0.02271	0.01858	0.4808	NA	0.01932	0.02238	0.1176	0.0001811	NA	0.03288	0.04762	0.01649	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24793	761	49	7	1	NA	104	151	761	3	NA	26	307	6	0.4808	0.01661	0.01626	0.4808	NA	0.01264	0.01817	0.1116	0.0001811	NA	0.02085	0.03797	0.01414	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Chryseolinea"	"G"	24784	22	6	1	NA	NA	10	7	1	NA	NA	NA	22	NA	0.002721	0.002034	0.002322	NA	NA	0.001215	0.0008421	0.0001467	NA	NA	NA	0.002721	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Siphonobacter"	"G"	24791	14	5	NA	NA	NA	14	6	9	NA	NA	4	11	NA	0.003208	0.001695	NA	NA	NA	0.001701	0.0007218	0.00132	NA	NA	0.003208	0.001361	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"OLB12"	"G"	24789	22	5	NA	NA	NA	19	15	22	NA	NA	8	9	NA	0.006415	0.001695	NA	NA	NA	0.002309	0.001805	0.003227	NA	NA	0.006415	0.001113	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Ohtaekwangia"	"G"	24790	6	1	NA	NA	NA	1	1	2	NA	NA	NA	6	NA	0.0007422	0.0003389	NA	NA	NA	0.0001215	0.0001203	0.0002933	NA	NA	NA	0.0007422	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Hymenobacteraceae"	"F"	24776	214	41	4	NA	NA	43	70	40	NA	NA	32	214	14	0.03298	0.0139	0.009289	NA	NA	0.005225	0.008421	0.005866	NA	NA	0.02566	0.02647	0.03298	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	111	20	1	NA	NA	19	29	23	NA	NA	22	111	4	0.01764	0.006779	0.002322	NA	NA	0.002309	0.003489	0.003373	NA	NA	0.01764	0.01373	0.009424	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Adhaeribacter"	"G"	24777	33	9	1	NA	NA	10	15	4	NA	NA	5	33	9	0.0212	0.003051	0.002322	NA	NA	0.001215	0.001805	0.0005866	NA	NA	0.00401	0.004082	0.0212	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	24780	20	6	1	NA	NA	1	13	5	NA	NA	1	20	NA	0.002474	0.002034	0.002322	NA	NA	0.0001215	0.001564	0.0007333	NA	NA	0.0008019	0.002474	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Nibribacter"	"G"	24779	38	6	1	NA	NA	11	10	8	NA	NA	2	38	1	0.0047	0.002034	0.002322	NA	NA	0.001337	0.001203	0.001173	NA	NA	0.001604	0.0047	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Cytophagaceae"	"F"	24761	170	23	3	NA	NA	32	61	170	NA	NA	7	158	NA	0.02493	0.007796	0.006967	NA	NA	0.003889	0.007338	0.02493	NA	NA	0.005613	0.01954	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Cytophaga"	"G"	24762	149	19	3	NA	NA	22	48	149	NA	NA	5	137	NA	0.02185	0.00644	0.006967	NA	NA	0.002673	0.005774	0.02185	NA	NA	0.00401	0.01695	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Sporocytophaga"	"G"	24764	14	4	NA	NA	NA	9	6	9	NA	NA	2	14	NA	0.001732	0.001356	NA	NA	NA	0.001094	0.0007218	0.00132	NA	NA	0.001604	0.001732	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Amoebophilaceae"	"F"	24715	56	17	1	NA	NA	21	22	17	NA	NA	3	56	2	0.006927	0.005762	0.002322	NA	NA	0.002552	0.002647	0.002493	NA	NA	0.002406	0.006927	0.004712	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Candidatus Amoebophilus"	"G"	24716	30	9	NA	NA	NA	16	14	13	NA	NA	1	30	1	0.003711	0.003051	NA	NA	NA	0.001944	0.001684	0.001907	NA	NA	0.0008019	0.003711	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"uncultured"	"G"	24719	14	6	NA	NA	NA	2	5	2	NA	NA	1	14	1	0.002356	0.002034	NA	NA	NA	0.000243	0.0006015	0.0002933	NA	NA	0.0008019	0.001732	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Cardinium"	"G"	24717	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0003389	0.0003389	NA	NA	NA	NA	0.0001203	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Flammeovirgaceae"	"F"	24766	25	5	1	NA	NA	10	8	4	NA	NA	4	25	NA	0.003208	0.001695	0.002322	NA	NA	0.001215	0.0009624	0.0005866	NA	NA	0.003208	0.003092	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Flammeovirga"	"G"	24768	11	3	NA	NA	NA	4	3	2	NA	NA	1	11	NA	0.001361	0.001017	NA	NA	NA	0.0004861	0.0003609	0.0002933	NA	NA	0.0008019	0.001361	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Sediminitomix"	"G"	24774	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003389	0.0003389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Flexithrix"	"G"	24769	1	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	0.0003389	0.0003389	NA	NA	NA	NA	0.0001203	0.0001467	NA	NA	NA	0.0001237	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Sphingobacteriales"	"O"	25002	161820	53975	6129	34	20	116525	161817	54100	397	11	5889	51115	4498	19.47	18.29	14.23	16.35	6.431	14.16	19.47	7.934	0.02397	4.762	4.722	6.323	10.6	"Bacteria>Bacteroidetes>Bacteroidia"
"NS11-12 marine group"	"F"	25015	160860	53593	6053	34	20	115810	160859	53669	388	9	5659	49993	4460	19.35	18.17	14.06	16.35	6.431	14.07	19.35	7.871	0.02342	3.896	4.538	6.184	10.51	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Sphingobacteriaceae"	"F"	25020	722	180	32	NA	NA	233	371	243	6	NA	181	722	28	0.1451	0.06101	0.07431	NA	NA	0.02831	0.04463	0.03564	0.0003622	NA	0.1451	0.08931	0.06597	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Pedobacter"	"G"	25027	234	75	22	NA	NA	95	105	45	1	NA	40	234	8	0.05109	0.02542	0.05109	NA	NA	0.01154	0.01263	0.0066	6.037e-05	NA	0.03208	0.02894	0.01885	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Solitalea"	"G"	25031	318	70	6	NA	NA	65	131	127	1	NA	110	318	17	0.08821	0.02373	0.01393	NA	NA	0.007899	0.01576	0.01863	6.037e-05	NA	0.08821	0.03933	0.04005	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	25023	107	13	2	NA	NA	29	51	49	1	NA	18	107	NA	0.01443	0.004406	0.004645	NA	NA	0.003524	0.006135	0.007186	6.037e-05	NA	0.01443	0.01324	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	25032	27	9	1	NA	NA	18	26	10	NA	NA	2	27	1	0.00334	0.003051	0.002322	NA	NA	0.002187	0.003128	0.001467	NA	NA	0.001604	0.00334	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Nubsella"	"G"	25024	34	5	NA	NA	NA	15	34	5	1	NA	1	10	1	0.00409	0.001695	NA	NA	NA	0.001823	0.00409	0.0007333	6.037e-05	NA	0.0008019	0.001237	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"uncultured"	"G"	25033	12	3	1	NA	NA	4	12	3	1	NA	5	6	NA	0.00401	0.001017	0.002322	NA	NA	0.0004861	0.001444	0.00044	6.037e-05	NA	0.00401	0.0007422	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Anseongella"	"G"	25021	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0003389	0.0003389	NA	NA	NA	NA	0.0001203	NA	NA	NA	NA	0.0001237	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"env.OPS 17"	"F"	25035	95	71	12	NA	NA	89	95	17	2	1	8	40	1	0.4329	0.02407	0.02787	NA	NA	0.01082	0.01143	0.002493	0.0001207	0.4329	0.006415	0.004948	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobiaceae"	"F"	25012	112	42	7	NA	NA	71	112	32	NA	NA	10	83	1	0.01626	0.01424	0.01626	NA	NA	0.008628	0.01347	0.004693	NA	NA	0.008019	0.01027	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobium"	"G"	25013	25	14	1	NA	NA	13	25	8	NA	NA	1	17	NA	0.004745	0.004745	0.002322	NA	NA	0.00158	0.003008	0.001173	NA	NA	0.0008019	0.002103	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Lentimicrobiaceae"
"AKYH767"	"F"	25004	166	24	13	NA	NA	166	131	77	NA	NA	22	127	2	0.03019	0.008135	0.03019	NA	NA	0.02017	0.01576	0.01129	NA	NA	0.01764	0.01571	0.004712	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"LiUU-11-161"	"F"	25014	23	6	3	NA	NA	14	23	10	NA	NA	1	12	NA	0.006967	0.002034	0.006967	NA	NA	0.001701	0.002767	0.001467	NA	NA	0.0008019	0.001484	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"KD1-131"	"F"	25010	11	3	NA	NA	NA	3	6	1	NA	NA	NA	11	3	0.007068	0.001017	NA	NA	NA	0.0003646	0.0007218	0.0001467	NA	NA	NA	0.001361	0.007068	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"uncultured"	"F"	25037	2	2	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0006779	0.0006779	NA	NA	NA	NA	0.0001203	NA	NA	NA	NA	0.0001237	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"S15A-MN91"	"F"	25017	7	2	NA	NA	NA	1	7	1	NA	NA	NA	7	NA	0.0008659	0.0006779	NA	NA	NA	0.0001215	0.0008421	0.0001467	NA	NA	NA	0.0008659	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"GWF2-29-10"	"F"	25009	2	2	NA	NA	NA	1	2	1	NA	NA	NA	1	NA	0.0006779	0.0006779	NA	NA	NA	0.0001215	0.0002406	0.0001467	NA	NA	NA	0.0001237	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"ST-12K33"	"F"	25019	8	1	NA	NA	NA	1	3	NA	NA	NA	NA	8	NA	0.0009896	0.0003389	NA	NA	NA	0.0001215	0.0003609	NA	NA	NA	NA	0.0009896	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"E6aC02"	"F"	25007	5	1	NA	NA	NA	3	5	2	NA	NA	NA	2	NA	0.0006015	0.0003389	NA	NA	NA	0.0003646	0.0006015	0.0002933	NA	NA	NA	0.0002474	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"KD3-93"	"F"	25011	15	1	1	NA	NA	3	7	2	NA	NA	NA	15	NA	0.002322	0.0003389	0.002322	NA	NA	0.0003646	0.0008421	0.0002933	NA	NA	NA	0.001855	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Flavobacteriales"	"O"	24819	22294	3954	706	4	3	4822	6252	5610	88	15	5026	22294	2312	6.494	1.34	1.64	1.923	0.9646	0.586	0.7521	0.8228	0.005313	6.494	4.03	2.758	5.447	"Bacteria>Bacteroidetes>Bacteroidia"
"Flavobacteriaceae"	"F"	24841	17056	1968	451	4	3	3280	3502	3992	62	13	3763	17056	2027	5.628	0.667	1.047	1.923	0.9646	0.3986	0.4213	0.5855	0.003743	5.628	3.018	2.11	4.776	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales"
"Flavobacterium"	"G"	24881	16798	1911	447	3	3	3181	3374	3946	60	13	3730	16798	2012	5.628	0.6477	1.038	1.442	0.9646	0.3866	0.4059	0.5787	0.003622	5.628	2.991	2.078	4.74	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Pseudofulvibacter"	"G"	24938	16	6	1	1	NA	7	12	3	NA	NA	5	16	1	0.4808	0.002034	0.002322	0.4808	NA	0.0008506	0.001444	0.00044	NA	NA	0.00401	0.001979	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Capnocytophaga"	"G"	24863	15	5	NA	NA	NA	7	8	5	NA	NA	2	15	1	0.002356	0.001695	NA	NA	NA	0.0008506	0.0009624	0.0007333	NA	NA	0.001604	0.001855	0.002356	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Maritimimonas"	"G"	24914	5	5	NA	NA	NA	NA	5	1	NA	NA	1	2	NA	0.001695	0.001695	NA	NA	NA	NA	0.0006015	0.0001467	NA	NA	0.0008019	0.0002474	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"Algibacter"	"G"	24846	9	3	NA	NA	NA	1	2	2	NA	NA	2	9	NA	0.001604	0.001017	NA	NA	NA	0.0001215	0.0002406	0.0002933	NA	NA	0.001604	0.001113	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"NS5 marine group"	"G"	24925	11	3	NA	NA	NA	1	2	3	1	NA	NA	11	NA	0.001361	0.001017	NA	NA	NA	0.0001215	0.0002406	0.00044	6.037e-05	NA	NA	0.001361	NA	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
"uncultured"	"G"	24976	26	3	NA	NA	NA	5	6	3	NA	NA	3	26	3	0.007068	0.001017	NA	NA	NA	0.0006076	0.0007218	0.00044	NA	NA	0.002406	0.003216	0.007068	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales>Flavobacteriaceae"
