"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads"	"Max.1"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads.."	"lineage"
"Clostridia"	"C"	1859	107	107	0.08482	0.08482	"Bacteria>Firmicutes"
"Clostridiales"	"O"	1863	104	104	0.08245	0.08245	"Bacteria>Firmicutes>Clostridia"
"Lachnospiraceae"	"F"	1987	41	41	0.0325	0.0325	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Blautia"	"G"	1992	9	9	0.007135	0.007135	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"uncultured"	"G"	2021	8	8	0.006342	0.006342	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella 3"	"G"	11335	4	4	0.003171	0.003171	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Roseburia"	"G"	2012	4	4	0.003171	0.003171	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoclostridium 5"	"G"	11312	3	3	0.002378	0.002378	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-008"	"G"	11328	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Anaerostipes"	"G"	1991	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Epulopiscium"	"G"	1998	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Catonella"	"G"	1994	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NK4A136 group"	"G"	11319	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-004"	"G"	11324	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Agathobacter"	"G"	25644	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] hallii group"	"G"	11338	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Stomatobaculum"	"G"	2015	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-003"	"G"	11323	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Ruminococcaceae"	"F"	2050	22	22	0.01744	0.01744	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Faecalibacterium"	"G"	2057	7	7	0.005549	0.005549	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 9"	"G"	11357	3	3	0.002378	0.002378	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae NK4A214 group"	"G"	11358	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Hydrogenoanaerobacterium"	"G"	2060	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Flavonifractor"	"G"	2059	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcus 2"	"G"	11374	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"uncultured"	"G"	2071	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-013"	"G"	11370	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 6"	"G"	11356	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-005"	"G"	11363	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"[Eubacterium] coprostanoligenes group"	"G"	11375	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Christensenellaceae"	"F"	1866	8	8	0.006342	0.006342	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Christensenellaceae R-7 group"	"G"	11283	7	7	0.005549	0.005549	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"uncultured"	"G"	1868	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"Family XI"	"F"	1936	6	6	0.004757	0.004757	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Anaerococcus"	"G"	1937	4	4	0.003171	0.003171	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Ezakiella"	"G"	11289	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Clostridiaceae 1"	"F"	1869	5	5	0.003964	0.003964	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Fonticella"	"G"	1893	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 18"	"G"	1882	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 13"	"G"	1877	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"uncultured"	"G"	1899	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 8"	"G"	1890	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Peptococcaceae"	"F"	2024	4	4	0.003171	0.003171	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Desulfotomaculum"	"G"	2033	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfosporosinus"	"G"	2032	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"uncultured"	"G"	2041	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Peptostreptococcaceae"	"F"	2042	4	4	0.003171	0.003171	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Romboutsia"	"G"	11347	4	4	0.003171	0.003171	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Family XIII"	"F"	1957	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Family XIII AD3011 group"	"G"	11293	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Anaerovorax"	"G"	1958	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Caldicoprobacteraceae"	"F"	1864	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Caldicoprobacter"	"G"	1865	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Clostridia>Clostridiales>Caldicoprobacteraceae"
"Family XII"	"F"	1952	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Fusibacter"	"G"	1954	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XII"
"Family XIV"	"F"	1962	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Proteinivorax"	"G"	11298	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIV"
"Family XVII"	"F"	1966	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"uncultured"	"G"	1969	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XVII"
"Family XVIII"	"F"	1970	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"uncultured"	"G"	1973	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XVIII"
"TSAC18"	"F"	2080	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Clostridiaceae 4"	"F"	1914	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Caminicella"	"G"	1915	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;4"
"Clostridiaceae 3"	"F"	1907	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Clostridiales vadinBB60 group"	"F"	11286	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"DTU014"	"O"	25673	3	3	0.002378	0.002378	"Bacteria>Firmicutes>Clostridia"
"Negativicutes"	"C"	2164	19	19	0.01506	0.01506	"Bacteria>Firmicutes"
"Selenomonadales"	"O"	2165	19	19	0.01506	0.01506	"Bacteria>Firmicutes>Negativicutes"
"Veillonellaceae"	"F"	2172	17	17	0.01348	0.01348	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"Anaerosinus"	"G"	2178	12	12	0.009513	0.009513	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Propionispira"	"G"	2190	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Dialister"	"G"	2183	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Megasphaera"	"G"	2185	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Anaerovibrio"	"G"	2180	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Acidaminococcaceae"	"F"	2166	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"Phascolarctobacterium"	"G"	2168	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Acidaminococcaceae"
"Acidaminococcus"	"G"	2167	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Acidaminococcaceae"
"Erysipelotrichia"	"C"	2147	8	8	0.006342	0.006342	"Bacteria>Firmicutes"
"Erysipelotrichales"	"O"	2148	8	8	0.006342	0.006342	"Bacteria>Firmicutes>Erysipelotrichia"
"Erysipelotrichaceae"	"F"	2149	8	8	0.006342	0.006342	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales"
"Faecalibaculum"	"G"	14396	3	3	0.002378	0.002378	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Holdemanella"	"G"	11393	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Erysipelatoclostridium"	"G"	11381	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Erysipelotrichaceae UCG-004"	"G"	11385	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Asteroleplasma"	"G"	2151	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Limnochordia"	"C"	14398	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes"
"Limnochordales"	"O"	14399	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Limnochordia"
"Limnochordaceae"	"F"	14400	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Limnochordia>Limnochordales"
"Proteobacteria"	"P"	2375	327	327	0.2592	0.2592	"Bacteria"
"Gammaproteobacteria"	"C"	3303	218	218	0.1728	0.1728	"Bacteria>Proteobacteria"
"Enterobacteriales"	"O"	3468	100	100	0.07928	0.07928	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Enterobacteriaceae"	"F"	3469	100	100	0.07928	0.07928	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales"
"Escherichia-Shigella"	"G"	3504	34	34	0.02695	0.02695	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Klebsiella"	"G"	3507	23	23	0.01823	0.01823	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Serratia"	"G"	3523	10	10	0.007928	0.007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Salmonella"	"G"	3522	7	7	0.005549	0.005549	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Enterobacter"	"G"	3502	4	4	0.003171	0.003171	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Pectobacterium"	"G"	3514	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Arsenophonus"	"G"	3470	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Pantoea"	"G"	3513	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Edwardsiella"	"G"	3501	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Erwinia"	"G"	3503	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Morganella"	"G"	3512	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Citrobacter"	"G"	3497	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Betaproteobacteriales"	"O"	26341	30	30	0.02378	0.02378	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	20	20	0.01586	0.01586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Candidatus Zinderia"	"G"	26380	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Nasuia"	"G"	26374	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Neisseriaceae"	"F"	26526	4	4	0.003171	0.003171	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Neisseria"	"G"	26532	3	3	0.002378	0.002378	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Rhodocyclaceae"	"F"	26555	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Dechloromonas"	"G"	26563	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Candidatus Accumulibacter"	"G"	26561	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"uncultured"	"F"	26590	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Gallionellaceae"	"F"	26497	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Gallionella"	"G"	26500	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Gallionellaceae"
"SC-I-84"	"F"	26582	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Pseudomonadales"	"O"	3709	28	28	0.0222	0.0222	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudomonadaceae"	"F"	3718	24	24	0.01903	0.01903	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Pseudomonas"	"G"	3723	24	24	0.01903	0.01903	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Moraxellaceae"	"F"	3710	4	4	0.003171	0.003171	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Moraxella"	"G"	3714	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Acinetobacter"	"G"	3711	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Beggiatoales"	"O"	26326	7	7	0.005549	0.005549	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Beggiatoaceae"	"F"	26327	7	7	0.005549	0.005549	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales"
"Thiomargarita"	"G"	26338	7	7	0.005549	0.005549	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Oceanospirillales"	"O"	3593	6	6	0.004757	0.004757	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halomonadaceae"	"F"	3610	3	3	0.002378	0.002378	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Halomonas"	"G"	3616	3	3	0.002378	0.002378	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Pseudohongiellaceae"	"F"	26780	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"BIyi10"	"G"	26781	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Pseudohongiellaceae"
"Nitrincolaceae"	"F"	26768	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Neptuniibacter"	"G"	26774	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Nitrincolaceae"
"Vibrionales"	"O"	3775	6	6	0.004757	0.004757	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Vibrionaceae"	"F"	3776	6	6	0.004757	0.004757	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales"
"Vibrio"	"G"	3783	4	4	0.003171	0.003171	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Photobacterium"	"G"	3781	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Xanthomonadales"	"O"	3786	5	5	0.003964	0.003964	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Xanthomonadaceae"	"F"	3799	4	4	0.003171	0.003171	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Xanthomonas"	"G"	3822	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Stenotrophomonas"	"G"	3818	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Lysobacter"	"G"	3809	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Rhodanobacteraceae"	"F"	26864	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Dyella"	"G"	26869	1	1	0.0007928	0.0007928	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Cellvibrionales"	"O"	11512	4	4	0.003171	0.003171	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halieaceae"	"F"	11528	2	2	0.001586	0.001586	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
