"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Melainabacteria"	"C"	1589	11	6	NA	7	NA	7	NA	NA	NA	NA	NA	11	NA	0.0137	0.003486	NA	0.00498	NA	0.00414	NA	NA	NA	NA	NA	0.0137	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	10	4	NA	4	NA	7	NA	NA	NA	NA	NA	10	NA	0.01245	0.002324	NA	0.002846	NA	0.00414	NA	NA	NA	NA	NA	0.01245	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	5	5	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003736	0.002905	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Cyanobacteria"
"Proteobacteria"	"P"	2375	100670	11995	1428	4606	8	60273	10	8	100674	12	1	42262	7	60	6.969	25.41	3.277	38.1	35.65	40	33.33	59.45	60	11.11	52.63	29.17	"Bacteria"
"Gammaproteobacteria"	"C"	3303	100610	8043	1032	3086	8	53284	8	5	100613	11	1	37274	7	59.41	4.673	18.36	2.195	38.1	31.52	32	20.83	59.41	55	11.11	46.42	29.17	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	51587	7501	1005	2686	5	51587	7	3	214	1	NA	34855	5	43.41	4.358	17.88	1.911	23.81	30.51	28	12.5	0.1264	5	NA	43.41	20.83	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	50143	6955	971	2217	5	50143	7	3	196	1	NA	32734	5	40.76	4.041	17.28	1.577	23.81	29.66	28	12.5	0.1157	5	NA	40.76	20.83	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Limnohabitans"	"G"	26410	10787	1266	233	337	1	10787	1	NA	33	NA	NA	6209	NA	7.732	0.7355	4.146	0.2397	4.762	6.38	4	NA	0.01949	NA	NA	7.732	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	8162	1033	156	261	NA	8162	1	2	19	NA	NA	4470	NA	8.333	0.6001	2.776	0.1857	NA	4.828	4	8.333	0.01122	NA	NA	5.567	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	5360	681	115	191	1	5360	1	NA	15	NA	NA	3056	1	4.762	0.3956	2.046	0.1359	4.762	3.17	4	NA	0.008857	NA	NA	3.806	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	2553	312	48	86	1	2553	NA	NA	8	NA	NA	1450	NA	4.762	0.1813	0.8541	0.06118	4.762	1.51	NA	NA	0.004724	NA	NA	1.806	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	2266	287	42	97	NA	2266	NA	NA	7	NA	NA	1540	NA	1.918	0.1667	0.7473	0.06901	NA	1.34	NA	NA	0.004133	NA	NA	1.918	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	1352	213	22	78	1	1352	NA	NA	7	NA	NA	887	NA	4.762	0.1237	0.3915	0.05549	4.762	0.7997	NA	NA	0.004133	NA	NA	1.105	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	997	194	18	63	NA	997	NA	NA	7	NA	NA	705	NA	0.878	0.1127	0.3203	0.04482	NA	0.5897	NA	NA	0.004133	NA	NA	0.878	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	984	194	14	96	1	984	NA	NA	6	NA	NA	829	1	4.762	0.1127	0.2491	0.06829	4.762	0.582	NA	NA	0.003543	NA	NA	1.032	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	1395	186	22	65	NA	1395	NA	NA	NA	NA	NA	899	NA	1.12	0.1081	0.3915	0.04624	NA	0.8251	NA	NA	NA	NA	NA	1.12	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	1347	177	23	44	NA	1347	NA	NA	6	NA	NA	726	NA	0.9041	0.1028	0.4093	0.0313	NA	0.7967	NA	NA	0.003543	NA	NA	0.9041	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1321	167	25	45	NA	1321	1	NA	4	NA	NA	774	NA	4	0.09702	0.4448	0.03201	NA	0.7813	4	NA	0.002362	NA	NA	0.9639	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	839	155	11	69	NA	482	1	NA	9	NA	NA	839	NA	4	0.09005	0.1957	0.04909	NA	0.2851	4	NA	0.005314	NA	NA	1.045	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	1754	154	16	65	NA	780	1	NA	7	NA	NA	1754	1	4.167	0.08947	0.2847	0.04624	NA	0.4613	4	NA	0.004133	NA	NA	2.184	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	828	153	31	38	NA	828	1	NA	6	NA	NA	610	1	4.167	0.08889	0.5516	0.02703	NA	0.4897	4	NA	0.003543	NA	NA	0.7597	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	790	146	15	65	NA	790	NA	NA	4	NA	NA	723	1	4.167	0.08482	0.2669	0.04624	NA	0.4673	NA	NA	0.002362	NA	NA	0.9004	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	819	96	15	26	NA	819	NA	NA	6	NA	NA	425	NA	0.5293	0.05577	0.2669	0.0185	NA	0.4844	NA	NA	0.003543	NA	NA	0.5293	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	619	77	9	22	NA	619	NA	NA	4	NA	NA	345	NA	0.4296	0.04473	0.1601	0.01565	NA	0.3661	NA	NA	0.002362	NA	NA	0.4296	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	354	50	5	12	NA	354	NA	NA	1	NA	NA	216	NA	0.269	0.02905	0.08897	0.008537	NA	0.2094	NA	NA	0.0005905	NA	NA	0.269	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	129	50	3	36	NA	129	NA	NA	3	NA	NA	68	NA	0.08468	0.02905	0.05338	0.02561	NA	0.0763	NA	NA	0.001771	NA	NA	0.08468	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	225	46	7	20	NA	225	NA	NA	NA	NA	NA	132	NA	0.1644	0.02672	0.1246	0.01423	NA	0.1331	NA	NA	NA	NA	NA	0.1644	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	361	43	5	14	NA	361	NA	NA	1	NA	NA	284	NA	0.3537	0.02498	0.08897	0.00996	NA	0.2135	NA	NA	0.0005905	NA	NA	0.3537	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	329	39	6	19	NA	329	NA	NA	2	NA	NA	230	NA	0.2864	0.02266	0.1068	0.01352	NA	0.1946	NA	NA	0.001181	NA	NA	0.2864	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	182	33	2	11	NA	182	NA	NA	1	NA	NA	134	NA	0.1669	0.01917	0.03559	0.007825	NA	0.1076	NA	NA	0.0005905	NA	NA	0.1669	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	244	33	2	19	NA	138	NA	NA	2	NA	NA	244	NA	0.3039	0.01917	0.03559	0.01352	NA	0.08162	NA	NA	0.001181	NA	NA	0.3039	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	198	32	5	19	NA	198	NA	NA	NA	1	NA	196	NA	5	0.01859	0.08897	0.01352	NA	0.1171	NA	NA	NA	5	NA	0.2441	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	159	27	3	10	NA	159	NA	NA	NA	NA	NA	122	NA	0.1519	0.01569	0.05338	0.007114	NA	0.09404	NA	NA	NA	NA	NA	0.1519	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	99	27	3	5	NA	99	NA	NA	NA	NA	NA	59	NA	0.07347	0.01569	0.05338	0.003557	NA	0.05855	NA	NA	NA	NA	NA	0.07347	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	226	27	5	11	NA	226	NA	NA	NA	NA	NA	161	NA	0.2005	0.01569	0.08897	0.007825	NA	0.1337	NA	NA	NA	NA	NA	0.2005	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	180	27	2	18	NA	180	NA	NA	3	NA	NA	115	NA	0.1432	0.01569	0.03559	0.01281	NA	0.1065	NA	NA	0.001771	NA	NA	0.1432	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	258	27	1	20	NA	258	NA	NA	1	NA	NA	151	NA	0.188	0.01569	0.01779	0.01423	NA	0.1526	NA	NA	0.0005905	NA	NA	0.188	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	159	24	1	11	NA	159	NA	NA	NA	NA	NA	146	NA	0.1818	0.01394	0.01779	0.007825	NA	0.09404	NA	NA	NA	NA	NA	0.1818	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	86	23	4	9	NA	86	NA	NA	NA	NA	NA	56	NA	0.07117	0.01336	0.07117	0.006403	NA	0.05087	NA	NA	NA	NA	NA	0.06974	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	92	23	NA	6	NA	92	NA	NA	NA	NA	NA	83	NA	0.1034	0.01336	NA	0.004268	NA	0.05441	NA	NA	NA	NA	NA	0.1034	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	102	21	1	13	NA	94	NA	NA	NA	NA	NA	102	NA	0.127	0.0122	0.01779	0.009248	NA	0.0556	NA	NA	NA	NA	NA	0.127	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	84	18	2	7	NA	84	NA	NA	NA	NA	NA	64	NA	0.0797	0.01046	0.03559	0.00498	NA	0.04968	NA	NA	NA	NA	NA	0.0797	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	171	18	2	3	NA	171	NA	NA	2	NA	NA	93	NA	0.1158	0.01046	0.03559	0.002134	NA	0.1011	NA	NA	0.001181	NA	NA	0.1158	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	131	14	1	4	NA	131	NA	NA	NA	NA	NA	92	NA	0.1146	0.008134	0.01779	0.002846	NA	0.07748	NA	NA	NA	NA	NA	0.1146	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	48	11	NA	3	NA	48	NA	NA	NA	NA	NA	42	NA	0.0523	0.006391	NA	0.002134	NA	0.02839	NA	NA	NA	NA	NA	0.0523	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	37	11	NA	2	NA	37	NA	NA	NA	NA	NA	33	NA	0.0411	0.006391	NA	0.001423	NA	0.02188	NA	NA	NA	NA	NA	0.0411	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	48	10	NA	3	NA	48	NA	NA	NA	NA	NA	26	NA	0.03238	0.00581	NA	0.002134	NA	0.02839	NA	NA	NA	NA	NA	0.03238	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	39	9	NA	3	NA	39	NA	NA	NA	NA	NA	26	NA	0.03238	0.005229	NA	0.002134	NA	0.02307	NA	NA	NA	NA	NA	0.03238	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
