"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"Fibrella"	"G"	24799	57	10	4	NA	NA	17	19	8	1	NA	7	57	3	0.008183	0.003102	0.008183	NA	NA	0.001936	0.002173	0.001115	5.909e-05	NA	0.005036	0.006661	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	32	7	1	NA	NA	14	9	8	NA	NA	5	32	1	0.003739	0.002171	0.002046	NA	NA	0.001594	0.001029	0.001115	NA	NA	0.003597	0.003739	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Taeseokella"	"G"	24814	26	2	NA	NA	NA	5	8	8	NA	NA	2	26	2	0.00433	0.0006203	NA	NA	NA	0.0005694	0.0009149	0.001115	NA	NA	0.001439	0.003038	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	13	1	1	NA	NA	5	8	NA	NA	NA	2	13	NA	0.002046	0.0003102	0.002046	NA	NA	0.0005694	0.0009149	NA	NA	NA	0.001439	0.001519	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Cyclobacteriaceae"	"F"	24725	2263	944	166	2	1	705	775	575	7	NA	280	2263	71	0.3396	0.2928	0.3396	0.2478	0.07716	0.08029	0.08863	0.08015	0.0004136	NA	0.2015	0.2644	0.1537	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Algoriphagus"	"G"	24726	1190	723	145	2	1	449	411	310	4	NA	157	1190	38	0.2966	0.2243	0.2966	0.2478	0.07716	0.05114	0.047	0.04321	0.0002363	NA	0.113	0.1391	0.08227	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"uncultured"	"G"	24760	335	65	8	NA	NA	94	114	94	1	NA	42	335	12	0.03915	0.02016	0.01637	NA	NA	0.01071	0.01304	0.0131	5.909e-05	NA	0.03022	0.03915	0.02598	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marinoscillum"	"G"	24746	122	32	1	NA	NA	31	39	29	NA	NA	12	122	4	0.01426	0.009925	0.002046	NA	NA	0.003531	0.00446	0.004042	NA	NA	0.008634	0.01426	0.00866	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fulvivirga"	"G"	24740	43	24	1	NA	NA	15	24	9	NA	NA	6	43	4	0.00866	0.007444	0.002046	NA	NA	0.001708	0.002745	0.001255	NA	NA	0.004317	0.005025	0.00866	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Nitritalea"	"G"	24753	133	17	3	NA	NA	17	40	30	NA	NA	12	133	2	0.01554	0.005273	0.006137	NA	NA	0.001936	0.004574	0.004182	NA	NA	0.008634	0.01554	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Reichenbachiella"	"G"	24755	61	15	2	NA	NA	6	13	9	NA	NA	7	61	1	0.007128	0.004653	0.004091	NA	NA	0.0006833	0.001487	0.001255	NA	NA	0.005036	0.007128	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Ekhidna"	"G"	24736	54	13	2	NA	NA	19	43	34	NA	NA	7	54	1	0.00631	0.004032	0.004091	NA	NA	0.002164	0.004917	0.004739	NA	NA	0.005036	0.00631	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aquiflexum"	"G"	24728	87	10	NA	NA	NA	15	16	12	NA	NA	14	87	4	0.01017	0.003102	NA	NA	NA	0.001708	0.00183	0.001673	NA	NA	0.01007	0.01017	0.00866	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium"	"G"	24734	47	9	NA	NA	NA	11	10	11	NA	NA	2	47	NA	0.005492	0.002792	NA	NA	NA	0.001253	0.001144	0.001533	NA	NA	0.001439	0.005492	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Tunicatimonas"	"G"	24759	24	7	1	NA	NA	9	9	3	NA	NA	5	24	2	0.00433	0.002171	0.002046	NA	NA	0.001025	0.001029	0.0004182	NA	NA	0.003597	0.002805	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Catalinimonas"	"G"	24731	33	5	NA	NA	NA	6	10	3	NA	NA	1	33	1	0.003856	0.001551	NA	NA	NA	0.0006833	0.001144	0.0004182	NA	NA	0.0007195	0.003856	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Rhodonellum"	"G"	24756	10	4	NA	NA	NA	2	3	1	1	NA	1	10	NA	0.001241	0.001241	NA	NA	NA	0.0002278	0.0003431	0.0001394	5.909e-05	NA	0.0007195	0.001169	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Indibacter"	"G"	24742	3	2	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.0006203	0.0006203	NA	NA	NA	NA	0.0001144	NA	NA	NA	NA	0.0003506	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliitalea"	"G"	24750	13	2	NA	NA	NA	4	5	NA	NA	NA	4	13	NA	0.002878	0.0006203	NA	NA	NA	0.0004556	0.0005718	NA	NA	NA	0.002878	0.001519	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Echinicola"	"G"	24735	4	1	NA	NA	NA	1	1	NA	NA	NA	NA	4	NA	0.0004674	0.0003102	NA	NA	NA	0.0001139	0.0001144	NA	NA	NA	NA	0.0004674	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fabibacter"	"G"	24737	6	1	NA	NA	NA	2	1	NA	NA	NA	1	6	NA	0.0007195	0.0003102	NA	NA	NA	0.0002278	0.0001144	NA	NA	NA	0.0007195	0.0007011	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marivirga"	"G"	24747	3	1	NA	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.0003431	0.0003102	NA	NA	NA	NA	0.0003431	NA	NA	NA	NA	0.0001169	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliicoccus"	"G"	24749	1	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0003102	0.0003102	NA	NA	NA	NA	0.0001144	0.0001394	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Hymenobacteraceae"	"F"	24776	1272	231	22	1	2	269	322	245	2	NA	131	1272	61	0.1543	0.07165	0.04501	0.1239	0.1543	0.03064	0.03682	0.03415	0.0001182	NA	0.09425	0.1486	0.1321	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	503	83	9	1	2	111	124	92	NA	NA	54	503	25	0.1543	0.02574	0.01841	0.1239	0.1543	0.01264	0.01418	0.01282	NA	NA	0.03885	0.05878	0.05412	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Nibribacter"	"G"	24779	309	59	7	NA	NA	60	69	65	NA	NA	22	309	15	0.03611	0.0183	0.01432	NA	NA	0.006833	0.007891	0.009061	NA	NA	0.01583	0.03611	0.03247	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Adhaeribacter"	"G"	24777	294	51	6	NA	NA	55	78	57	1	NA	36	294	17	0.0368	0.01582	0.01227	NA	NA	0.006264	0.00892	0.007945	5.909e-05	NA	0.0259	0.03436	0.0368	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	24780	139	28	NA	NA	NA	34	41	29	1	NA	17	139	3	0.01624	0.008685	NA	NA	NA	0.003872	0.004689	0.004042	5.909e-05	NA	0.01223	0.01624	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Rufibacter"	"G"	24781	4	2	NA	NA	NA	4	1	NA	NA	NA	1	4	NA	0.0007195	0.0006203	NA	NA	NA	0.0004556	0.0001144	NA	NA	NA	0.0007195	0.0004674	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Microscillaceae"	"F"	24783	1143	215	25	1	NA	373	475	980	6	NA	123	1143	40	0.1366	0.06669	0.05114	0.1239	NA	0.04248	0.05432	0.1366	0.0003545	NA	0.0885	0.1336	0.0866	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24793	964	183	20	1	NA	309	407	916	6	NA	102	964	35	0.1277	0.05676	0.04091	0.1239	NA	0.03519	0.04654	0.1277	0.0003545	NA	0.07339	0.1126	0.07577	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Chryseolinea"	"G"	24784	63	16	3	NA	NA	24	20	11	NA	NA	8	63	3	0.007362	0.004963	0.006137	NA	NA	0.002733	0.002287	0.001533	NA	NA	0.005756	0.007362	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"OLB12"	"G"	24789	22	6	NA	NA	NA	15	16	22	NA	NA	6	10	1	0.004317	0.001861	NA	NA	NA	0.001708	0.00183	0.003067	NA	NA	0.004317	0.001169	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Siphonobacter"	"G"	24791	37	4	1	NA	NA	9	8	12	NA	NA	4	37	NA	0.004324	0.001241	0.002046	NA	NA	0.001025	0.0009149	0.001673	NA	NA	0.002878	0.004324	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Mooreia"	"G"	24788	5	2	NA	NA	NA	4	NA	1	NA	NA	NA	5	NA	0.0006203	0.0006203	NA	NA	NA	0.0004556	NA	0.0001394	NA	NA	NA	0.0005843	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Thermoflexibacter"	"G"	24792	11	1	NA	NA	NA	2	6	2	NA	NA	NA	11	NA	0.001285	0.0003102	NA	NA	NA	0.0002278	0.0006862	0.0002788	NA	NA	NA	0.001285	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Amoebophilaceae"	"F"	24715	364	88	12	NA	NA	141	184	80	3	NA	45	364	7	0.04254	0.0273	0.02455	NA	NA	0.01606	0.02104	0.01115	0.0001773	NA	0.03238	0.04254	0.01515	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Candidatus Amoebophilus"	"G"	24716	278	73	10	NA	NA	120	159	62	3	NA	36	278	6	0.03249	0.02264	0.02046	NA	NA	0.01367	0.01818	0.008642	0.0001773	NA	0.0259	0.03249	0.01299	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"uncultured"	"G"	24719	45	7	NA	NA	NA	10	13	8	NA	NA	4	45	NA	0.005259	0.002171	NA	NA	NA	0.001139	0.001487	0.001115	NA	NA	0.002878	0.005259	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Paenicardinium"	"G"	24718	4	2	NA	NA	NA	1	1	2	NA	NA	2	4	NA	0.001439	0.0006203	NA	NA	NA	0.0001139	0.0001144	0.0002788	NA	NA	0.001439	0.0004674	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Cardinium"	"G"	24717	2	1	NA	NA	NA	1	2	1	NA	NA	NA	1	NA	0.0003102	0.0003102	NA	NA	NA	0.0001139	0.0002287	0.0001394	NA	NA	NA	0.0001169	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Cytophagaceae"	"F"	24761	438	65	9	NA	NA	89	105	188	2	NA	39	438	11	0.05118	0.02016	0.01841	NA	NA	0.01014	0.01201	0.02621	0.0001182	NA	0.02806	0.05118	0.02381	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Cytophaga"	"G"	24762	355	51	8	NA	NA	59	75	143	2	NA	26	355	9	0.04148	0.01582	0.01637	NA	NA	0.006719	0.008577	0.01993	0.0001182	NA	0.01871	0.04148	0.01948	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Sporocytophaga"	"G"	24764	61	9	NA	NA	NA	17	14	16	NA	NA	10	61	2	0.007195	0.002792	NA	NA	NA	0.001936	0.001601	0.00223	NA	NA	0.007195	0.007128	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Rhodocytophaga"	"G"	24763	14	5	NA	NA	NA	12	14	6	NA	NA	2	13	NA	0.001601	0.001551	NA	NA	NA	0.001367	0.001601	0.0008364	NA	NA	0.001439	0.001519	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Flammeovirgaceae"	"F"	24766	138	25	4	NA	NA	32	31	28	NA	NA	14	138	5	0.01613	0.007754	0.008183	NA	NA	0.003644	0.003545	0.003903	NA	NA	0.01007	0.01613	0.01082	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Flammeovirga"	"G"	24768	99	17	3	NA	NA	21	20	13	NA	NA	13	99	4	0.01157	0.005273	0.006137	NA	NA	0.002392	0.002287	0.001812	NA	NA	0.009353	0.01157	0.00866	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Perexilibacter"	"G"	24772	28	3	NA	NA	NA	3	3	5	NA	NA	NA	28	1	0.003272	0.0009305	NA	NA	NA	0.0003417	0.0003431	0.000697	NA	NA	NA	0.003272	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"uncultured"	"G"	24775	4	2	1	NA	NA	3	3	4	NA	NA	NA	2	NA	0.002046	0.0006203	0.002046	NA	NA	0.0003417	0.0003431	0.0005576	NA	NA	NA	0.0002337	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Rapidithrix"	"G"	24773	7	2	NA	NA	NA	2	2	1	NA	NA	NA	7	NA	0.000818	0.0006203	NA	NA	NA	0.0002278	0.0002287	0.0001394	NA	NA	NA	0.000818	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Luteivirga"	"G"	24771	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0003102	0.0003102	NA	NA	NA	NA	0.0001144	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"MWH-CFBk5"	"F"	24782	6	1	NA	NA	NA	2	NA	1	NA	NA	1	6	NA	0.0007195	0.0003102	NA	NA	NA	0.0002278	NA	0.0001394	NA	NA	0.0007195	0.0007011	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Sphingobacteriales"	"O"	25002	164270	54548	6254	124	54	117795	164267	54423	528	17	6102	54076	4589	18.79	16.92	12.79	15.37	4.167	13.42	18.79	7.586	0.0312	2.125	4.39	6.319	9.935	"Bacteria>Bacteroidetes>Bacteroidia"
"NS11-12 marine group"	"F"	25015	161750	53567	6113	116	54	115930	161750	53396	514	14	5670	51210	4473	18.5	16.61	12.51	14.37	4.167	13.2	18.5	7.443	0.03037	1.75	4.079	5.984	9.684	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Sphingobacteriaceae"	"F"	25020	1957	472	65	1	NA	706	943	572	5	2	331	1957	80	0.25	0.1464	0.133	0.1239	NA	0.08041	0.1078	0.07973	0.0002954	0.25	0.2381	0.2287	0.1732	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Pedobacter"	"G"	25027	1283	297	45	1	NA	430	514	331	3	1	195	1283	48	0.1499	0.09212	0.09206	0.1239	NA	0.04897	0.05878	0.04614	0.0001773	0.125	0.1403	0.1499	0.1039	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Solitalea"	"G"	25031	219	56	5	NA	NA	67	114	84	1	1	70	219	16	0.125	0.01737	0.01023	NA	NA	0.007631	0.01304	0.01171	5.909e-05	0.125	0.05036	0.02559	0.03464	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	25023	181	33	4	NA	NA	52	73	63	NA	NA	20	181	3	0.02115	0.01024	0.008183	NA	NA	0.005922	0.008348	0.008782	NA	NA	0.01439	0.02115	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	25032	136	32	5	NA	NA	55	98	43	1	NA	23	136	3	0.01655	0.009925	0.01023	NA	NA	0.006264	0.01121	0.005994	5.909e-05	NA	0.01655	0.01589	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Nubsella"	"G"	25024	90	28	NA	NA	NA	66	90	19	NA	NA	7	43	3	0.01029	0.008685	NA	NA	NA	0.007517	0.01029	0.002648	NA	NA	0.005036	0.005025	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"uncultured"	"G"	25033	14	4	1	NA	NA	9	14	6	NA	NA	2	12	2	0.00433	0.001241	0.002046	NA	NA	0.001025	0.001601	0.0008364	NA	NA	0.001439	0.001402	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Anseongella"	"G"	25021	3	3	NA	NA	NA	NA	3	NA	NA	NA	2	3	NA	0.001439	0.0009305	NA	NA	NA	NA	0.0003431	NA	NA	NA	0.001439	0.0003506	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Parapedobacter"	"G"	25026	3	2	NA	NA	NA	3	2	2	NA	NA	NA	2	NA	0.0006203	0.0006203	NA	NA	NA	0.0003417	0.0002287	0.0002788	NA	NA	NA	0.0002337	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Olivibacter"	"G"	25025	2	1	2	NA	NA	2	2	2	NA	NA	1	1	1	0.004091	0.0003102	0.004091	NA	NA	0.0002278	0.0002287	0.0002788	NA	NA	0.0007195	0.0001169	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Arcticibacter"	"G"	25022	3	1	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.0003506	0.0003102	NA	NA	NA	NA	0.0001144	NA	NA	NA	NA	0.0003506	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Lentimicrobiaceae"	"F"	25012	267	97	13	NA	NA	182	267	75	2	NA	22	190	10	0.03053	0.03009	0.02659	NA	NA	0.02073	0.03053	0.01045	0.0001182	NA	0.01583	0.0222	0.02165	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobium"	"G"	25013	49	21	2	NA	NA	35	49	15	NA	NA	3	30	2	0.006514	0.006514	0.004091	NA	NA	0.003986	0.005604	0.002091	NA	NA	0.002158	0.003506	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Lentimicrobiaceae"
"env.OPS 17"	"F"	25035	134	92	14	NA	NA	129	134	43	1	1	13	83	3	0.125	0.02854	0.02864	NA	NA	0.01469	0.01532	0.005994	5.909e-05	0.125	0.009353	0.009699	0.006495	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"LiUU-11-161"	"F"	25014	182	47	5	1	NA	108	182	48	1	NA	7	71	1	0.1239	0.01458	0.01023	0.1239	NA	0.0123	0.02081	0.006691	5.909e-05	NA	0.005036	0.008297	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"AKYH767"	"F"	25004	173	28	15	NA	NA	173	140	86	NA	NA	23	156	1	0.03069	0.008685	0.03069	NA	NA	0.0197	0.01601	0.01199	NA	NA	0.01655	0.01823	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"KD1-131"	"F"	25010	23	10	NA	NA	NA	9	11	6	NA	NA	1	23	4	0.00866	0.003102	NA	NA	NA	0.001025	0.001258	0.0008364	NA	NA	0.0007195	0.002688	0.00866	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
