"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"Lacihabitans"	"G"	24804	280	61	5	NA	NA	138	218	280	NA	NA	27	256	54	0.1117	0.01793	0.009659	NA	NA	0.01467	0.02331	0.03607	NA	NA	0.01805	0.02783	0.1117	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	166	37	4	NA	NA	36	40	33	NA	NA	21	166	7	0.01805	0.01087	0.007727	NA	NA	0.003827	0.004277	0.004251	NA	NA	0.01404	0.01805	0.01447	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	218	30	5	NA	NA	65	54	98	NA	NA	20	218	2	0.0237	0.008816	0.009659	NA	NA	0.006909	0.005774	0.01262	NA	NA	0.01337	0.0237	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	167	30	7	NA	NA	36	35	36	NA	NA	23	167	10	0.02068	0.008816	0.01352	NA	NA	0.003827	0.003743	0.004637	NA	NA	0.01537	0.01816	0.02068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	51	17	2	NA	NA	26	22	12	NA	NA	5	51	1	0.005545	0.004996	0.003864	NA	NA	0.002764	0.002353	0.001546	NA	NA	0.003342	0.005545	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	57	10	4	NA	NA	17	19	8	1	NA	7	57	3	0.007727	0.002939	0.007727	NA	NA	0.001807	0.002032	0.001031	5.848e-05	NA	0.004679	0.006197	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	32	7	1	NA	NA	14	9	8	NA	NA	5	32	1	0.003479	0.002057	0.001932	NA	NA	0.001488	0.0009624	0.001031	NA	NA	0.003342	0.003479	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Taeseokella"	"G"	24814	26	2	NA	NA	NA	5	8	8	NA	NA	2	26	2	0.004135	0.0005878	NA	NA	NA	0.0005315	0.0008555	0.001031	NA	NA	0.001337	0.002827	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	13	1	1	NA	NA	5	8	NA	NA	NA	2	13	NA	0.001932	0.0002939	0.001932	NA	NA	0.0005315	0.0008555	NA	NA	NA	0.001337	0.001413	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Cyclobacteriaceae"	"F"	24725	2263	944	166	2	1	705	775	575	7	NA	280	2263	71	0.3207	0.2774	0.3207	0.2309	0.07364	0.07494	0.08287	0.07407	0.0004094	NA	0.1872	0.246	0.1468	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Algoriphagus"	"G"	24726	1190	723	145	2	1	449	411	310	4	NA	157	1190	38	0.2801	0.2125	0.2801	0.2309	0.07364	0.04773	0.04395	0.03993	0.0002339	NA	0.1049	0.1294	0.07857	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"uncultured"	"G"	24760	335	65	8	NA	NA	94	114	94	1	NA	42	335	12	0.03642	0.0191	0.01545	NA	NA	0.009992	0.01219	0.01211	5.848e-05	NA	0.02807	0.03642	0.02481	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marinoscillum"	"G"	24746	122	32	1	NA	NA	31	39	29	NA	NA	12	122	4	0.01326	0.009404	0.001932	NA	NA	0.003295	0.00417	0.003736	NA	NA	0.008021	0.01326	0.008271	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fulvivirga"	"G"	24740	43	24	1	NA	NA	15	24	9	NA	NA	6	43	4	0.008271	0.007053	0.001932	NA	NA	0.001594	0.002566	0.001159	NA	NA	0.004011	0.004675	0.008271	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Nitritalea"	"G"	24753	133	17	3	NA	NA	17	40	30	NA	NA	12	133	2	0.01446	0.004996	0.005795	NA	NA	0.001807	0.004277	0.003864	NA	NA	0.008021	0.01446	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Reichenbachiella"	"G"	24755	61	15	2	NA	NA	6	13	9	NA	NA	7	61	1	0.006632	0.004408	0.003864	NA	NA	0.0006378	0.00139	0.001159	NA	NA	0.004679	0.006632	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Ekhidna"	"G"	24736	54	13	2	NA	NA	19	43	34	NA	NA	7	54	1	0.005871	0.00382	0.003864	NA	NA	0.00202	0.004598	0.00438	NA	NA	0.004679	0.005871	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aquiflexum"	"G"	24728	87	10	NA	NA	NA	15	16	12	NA	NA	14	87	4	0.009459	0.002939	NA	NA	NA	0.001594	0.001711	0.001546	NA	NA	0.009358	0.009459	0.008271	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium"	"G"	24734	47	9	NA	NA	NA	11	10	11	NA	NA	2	47	NA	0.00511	0.002645	NA	NA	NA	0.001169	0.001069	0.001417	NA	NA	0.001337	0.00511	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Tunicatimonas"	"G"	24759	24	7	1	NA	NA	9	9	3	NA	NA	5	24	2	0.004135	0.002057	0.001932	NA	NA	0.0009567	0.0009624	0.0003864	NA	NA	0.003342	0.002609	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Catalinimonas"	"G"	24731	33	5	NA	NA	NA	6	10	3	NA	NA	1	33	1	0.003588	0.001469	NA	NA	NA	0.0006378	0.001069	0.0003864	NA	NA	0.0006684	0.003588	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Rhodonellum"	"G"	24756	10	4	NA	NA	NA	2	3	1	1	NA	1	10	NA	0.001176	0.001176	NA	NA	NA	0.0002126	0.0003208	0.0001288	5.848e-05	NA	0.0006684	0.001087	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliitalea"	"G"	24750	13	2	NA	NA	NA	4	5	NA	NA	NA	4	13	NA	0.002674	0.0005878	NA	NA	NA	0.0004252	0.0005347	NA	NA	NA	0.002674	0.001413	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Indibacter"	"G"	24742	3	2	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.0005878	0.0005878	NA	NA	NA	NA	0.0001069	NA	NA	NA	NA	0.0003262	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliicoccus"	"G"	24749	1	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0001069	0.0001288	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marivirga"	"G"	24747	3	1	NA	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.0003208	0.0002939	NA	NA	NA	NA	0.0003208	NA	NA	NA	NA	0.0001087	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fabibacter"	"G"	24737	6	1	NA	NA	NA	2	1	NA	NA	NA	1	6	NA	0.0006684	0.0002939	NA	NA	NA	0.0002126	0.0001069	NA	NA	NA	0.0006684	0.0006523	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Echinicola"	"G"	24735	4	1	NA	NA	NA	1	1	NA	NA	NA	NA	4	NA	0.0004349	0.0002939	NA	NA	NA	0.0001063	0.0001069	NA	NA	NA	NA	0.0004349	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Hymenobacteraceae"	"F"	24776	1272	231	22	1	2	269	322	245	2	NA	131	1272	61	0.1473	0.06789	0.0425	0.1155	0.1473	0.02859	0.03443	0.03156	0.000117	NA	0.08756	0.1383	0.1261	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	503	83	9	1	2	111	124	92	NA	NA	54	503	25	0.1473	0.02439	0.01739	0.1155	0.1473	0.0118	0.01326	0.01185	NA	NA	0.0361	0.05469	0.05169	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Nibribacter"	"G"	24779	309	59	7	NA	NA	60	69	65	NA	NA	22	309	15	0.03359	0.01734	0.01352	NA	NA	0.006378	0.007378	0.008373	NA	NA	0.01471	0.03359	0.03102	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Adhaeribacter"	"G"	24777	294	51	6	NA	NA	55	78	57	1	NA	36	294	17	0.03515	0.01499	0.01159	NA	NA	0.005846	0.008341	0.007342	5.848e-05	NA	0.02406	0.03196	0.03515	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	24780	139	28	NA	NA	NA	34	41	29	1	NA	17	139	3	0.01511	0.008229	NA	NA	NA	0.003614	0.004384	0.003736	5.848e-05	NA	0.01136	0.01511	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Rufibacter"	"G"	24781	4	2	NA	NA	NA	4	1	NA	NA	NA	1	4	NA	0.0006684	0.0005878	NA	NA	NA	0.0004252	0.0001069	NA	NA	NA	0.0006684	0.0004349	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Microscillaceae"	"F"	24783	1143	215	25	1	NA	373	475	980	6	NA	123	1143	40	0.1262	0.06318	0.0483	0.1155	NA	0.03965	0.05079	0.1262	0.0003509	NA	0.08222	0.1243	0.08271	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24793	964	183	20	1	NA	309	407	916	6	NA	102	964	35	0.118	0.05378	0.03864	0.1155	NA	0.03285	0.04352	0.118	0.0003509	NA	0.06818	0.1048	0.07237	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Chryseolinea"	"G"	24784	63	16	3	NA	NA	24	20	11	NA	NA	8	63	3	0.006849	0.004702	0.005795	NA	NA	0.002551	0.002139	0.001417	NA	NA	0.005347	0.006849	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"OLB12"	"G"	24789	22	6	NA	NA	NA	15	16	22	NA	NA	6	10	1	0.004011	0.001763	NA	NA	NA	0.001594	0.001711	0.002834	NA	NA	0.004011	0.001087	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Siphonobacter"	"G"	24791	37	4	1	NA	NA	9	8	12	NA	NA	4	37	NA	0.004023	0.001176	0.001932	NA	NA	0.0009567	0.0008555	0.001546	NA	NA	0.002674	0.004023	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Mooreia"	"G"	24788	5	2	NA	NA	NA	4	NA	1	NA	NA	NA	5	NA	0.0005878	0.0005878	NA	NA	NA	0.0004252	NA	0.0001288	NA	NA	NA	0.0005436	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Thermoflexibacter"	"G"	24792	11	1	NA	NA	NA	2	6	2	NA	NA	NA	11	NA	0.001196	0.0002939	NA	NA	NA	0.0002126	0.0006416	0.0002576	NA	NA	NA	0.001196	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Amoebophilaceae"	"F"	24715	364	88	12	NA	NA	141	184	80	3	NA	45	364	8	0.03957	0.02586	0.02318	NA	NA	0.01499	0.01968	0.01031	0.0001754	NA	0.03008	0.03957	0.01654	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Candidatus Amoebophilus"	"G"	24716	278	73	10	NA	NA	120	159	62	3	NA	36	278	7	0.03022	0.02145	0.01932	NA	NA	0.01276	0.017	0.007986	0.0001754	NA	0.02406	0.03022	0.01447	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"uncultured"	"G"	24719	45	7	NA	NA	NA	10	13	8	NA	NA	4	45	NA	0.004892	0.002057	NA	NA	NA	0.001063	0.00139	0.001031	NA	NA	0.002674	0.004892	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Paenicardinium"	"G"	24718	4	2	NA	NA	NA	1	1	2	NA	NA	2	4	NA	0.001337	0.0005878	NA	NA	NA	0.0001063	0.0001069	0.0002576	NA	NA	0.001337	0.0004349	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Cardinium"	"G"	24717	2	1	NA	NA	NA	1	2	1	NA	NA	NA	1	NA	0.0002939	0.0002939	NA	NA	NA	0.0001063	0.0002139	0.0001288	NA	NA	NA	0.0001087	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Cytophagaceae"	"F"	24761	438	65	9	NA	NA	89	105	188	2	NA	39	438	11	0.04762	0.0191	0.01739	NA	NA	0.00946	0.01123	0.02422	0.000117	NA	0.02607	0.04762	0.02275	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Cytophaga"	"G"	24762	355	51	8	NA	NA	59	75	143	2	NA	26	355	9	0.0386	0.01499	0.01545	NA	NA	0.006271	0.00802	0.01842	0.000117	NA	0.01738	0.0386	0.01861	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Sporocytophaga"	"G"	24764	61	9	NA	NA	NA	17	14	16	NA	NA	10	61	2	0.006684	0.002645	NA	NA	NA	0.001807	0.001497	0.002061	NA	NA	0.006684	0.006632	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Rhodocytophaga"	"G"	24763	14	5	NA	NA	NA	12	14	6	NA	NA	2	13	NA	0.001497	0.001469	NA	NA	NA	0.001276	0.001497	0.0007729	NA	NA	0.001337	0.001413	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Flammeovirgaceae"	"F"	24766	138	25	4	NA	NA	32	31	28	NA	NA	14	138	5	0.015	0.007347	0.007727	NA	NA	0.003401	0.003315	0.003607	NA	NA	0.009358	0.015	0.01034	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Flammeovirga"	"G"	24768	99	17	3	NA	NA	21	20	13	NA	NA	13	99	4	0.01076	0.004996	0.005795	NA	NA	0.002232	0.002139	0.001675	NA	NA	0.00869	0.01076	0.008271	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Perexilibacter"	"G"	24772	28	3	NA	NA	NA	3	3	5	NA	NA	NA	28	1	0.003044	0.0008816	NA	NA	NA	0.0003189	0.0003208	0.0006441	NA	NA	NA	0.003044	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Rapidithrix"	"G"	24773	7	2	NA	NA	NA	2	2	1	NA	NA	NA	7	NA	0.000761	0.0005878	NA	NA	NA	0.0002126	0.0002139	0.0001288	NA	NA	NA	0.000761	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"uncultured"	"G"	24775	4	2	1	NA	NA	3	3	4	NA	NA	NA	2	NA	0.001932	0.0005878	0.001932	NA	NA	0.0003189	0.0003208	0.0005153	NA	NA	NA	0.0002174	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Luteivirga"	"G"	24771	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0001069	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"MWH-CFBk5"	"F"	24782	6	1	NA	NA	NA	2	NA	1	NA	NA	1	6	NA	0.0006684	0.0002939	NA	NA	NA	0.0002126	NA	0.0001288	NA	NA	0.0006684	0.0006523	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Sphingobacteriales"	"O"	25002	164270	54548	6254	124	54	117795	164267	54423	528	17	6102	54076	4589	17.57	16.03	12.08	14.32	3.976	12.52	17.57	7.01	0.03088	2.048	4.079	5.879	9.489	"Bacteria>Bacteroidetes>Bacteroidia"
"NS11-12 marine group"	"F"	25015	161750	53567	6113	116	54	115930	161750	53396	514	14	5670	51210	4473	17.3	15.74	11.81	13.39	3.976	12.32	17.3	6.878	0.03006	1.687	3.79	5.568	9.249	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Sphingobacteriaceae"	"F"	25020	1957	472	65	1	NA	706	943	572	5	2	331	1957	80	0.241	0.1387	0.1256	0.1155	NA	0.07504	0.1008	0.07368	0.0002924	0.241	0.2213	0.2128	0.1654	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Pedobacter"	"G"	25027	1283	297	45	1	NA	430	514	331	3	1	195	1283	48	0.1395	0.08728	0.08693	0.1155	NA	0.04571	0.05496	0.04264	0.0001754	0.1205	0.1303	0.1395	0.09925	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Solitalea"	"G"	25031	219	56	5	NA	NA	67	114	84	1	1	70	219	16	0.1205	0.01646	0.009659	NA	NA	0.007122	0.01219	0.01082	5.848e-05	0.1205	0.04679	0.02381	0.03308	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	25023	181	33	4	NA	NA	52	73	63	NA	NA	20	181	3	0.01968	0.009698	0.007727	NA	NA	0.005527	0.007806	0.008115	NA	NA	0.01337	0.01968	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	25032	136	32	5	NA	NA	55	98	43	1	NA	23	136	3	0.01537	0.009404	0.009659	NA	NA	0.005846	0.01048	0.005539	5.848e-05	NA	0.01537	0.01479	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Nubsella"	"G"	25024	90	28	NA	NA	NA	66	90	19	NA	NA	7	43	3	0.009624	0.008229	NA	NA	NA	0.007015	0.009624	0.002447	NA	NA	0.004679	0.004675	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"uncultured"	"G"	25033	14	4	1	NA	NA	9	14	6	NA	NA	2	12	2	0.004135	0.001176	0.001932	NA	NA	0.0009567	0.001497	0.0007729	NA	NA	0.001337	0.001305	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Anseongella"	"G"	25021	3	3	NA	NA	NA	NA	3	NA	NA	NA	2	3	NA	0.001337	0.0008816	NA	NA	NA	NA	0.0003208	NA	NA	NA	0.001337	0.0003262	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Parapedobacter"	"G"	25026	3	2	NA	NA	NA	3	2	2	NA	NA	NA	2	NA	0.0005878	0.0005878	NA	NA	NA	0.0003189	0.0002139	0.0002576	NA	NA	NA	0.0002174	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Arcticibacter"	"G"	25022	3	1	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.0003262	0.0002939	NA	NA	NA	NA	0.0001069	NA	NA	NA	NA	0.0003262	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Olivibacter"	"G"	25025	2	1	2	NA	NA	2	2	2	NA	NA	1	1	1	0.003864	0.0002939	0.003864	NA	NA	0.0002126	0.0002139	0.0002576	NA	NA	0.0006684	0.0001087	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Lentimicrobiaceae"	"F"	25012	267	97	13	NA	NA	182	267	75	2	NA	22	190	10	0.02855	0.02851	0.02511	NA	NA	0.01935	0.02855	0.009661	0.000117	NA	0.01471	0.02066	0.02068	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobium"	"G"	25013	49	21	2	NA	NA	35	49	15	NA	NA	3	30	2	0.006171	0.006171	0.003864	NA	NA	0.00372	0.00524	0.001932	NA	NA	0.002005	0.003262	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Lentimicrobiaceae"
"env.OPS 17"	"F"	25035	134	92	14	NA	NA	129	134	43	1	1	13	83	3	0.1205	0.02704	0.02705	NA	NA	0.01371	0.01433	0.005539	5.848e-05	0.1205	0.00869	0.009024	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"LiUU-11-161"	"F"	25014	182	47	5	1	NA	108	182	48	1	NA	7	71	1	0.1155	0.01381	0.009659	0.1155	NA	0.01148	0.01946	0.006183	5.848e-05	NA	0.004679	0.007719	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
