"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Paracoccus aminovorans"	"S"	34004	32	9	NA	1	NA	29	30	32	NA	NA	9	16	NA	0.2004	0.003362	NA	0.2004	NA	0.004046	0.004257	0.005218	NA	NA	0.007268	0.002146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Roseovarius mucosus"	"S"	215743	3280	1731	263	NA	1	2464	1447	3280	33	NA	862	1108	27	0.6962	0.6466	0.6409	NA	0.1524	0.3438	0.2053	0.5349	0.001952	NA	0.6962	0.1486	0.07057	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Ketogulonicigenium robustum"	"S"	92947	688	342	60	1	1	496	284	688	6	NA	242	260	3	0.2004	0.1278	0.1462	0.2004	0.1524	0.0692	0.0403	0.1122	0.0003549	NA	0.1954	0.03487	0.007841	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium vulgare"	"S"	92945	49	5	3	NA	NA	49	12	43	NA	1	16	15	NA	0.2045	0.001868	0.00731	NA	NA	0.006836	0.001703	0.007012	NA	0.2045	0.01292	0.002012	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Rhodobacteraceae bacterium QY30"	"S"	2033435	916	433	61	NA	1	731	391	916	7	1	259	329	10	0.2092	0.1618	0.1486	NA	0.1524	0.102	0.05548	0.1494	0.000414	0.2045	0.2092	0.04412	0.02614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Rhodobaca barguzinensis"	"S"	441209	331	308	52	NA	NA	287	157	331	7	NA	77	131	1	0.1267	0.1151	0.1267	NA	NA	0.04004	0.02228	0.05398	0.000414	NA	0.06219	0.01757	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobaca"
"Rhodovulum sp. MB263"	"S"	308754	135	72	2	NA	NA	113	60	135	NA	NA	29	31	2	0.0269	0.0269	0.004874	NA	NA	0.01576	0.008514	0.02202	NA	NA	0.02342	0.004157	0.005228	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sp. P5"	"S"	1564506	44	26	4	NA	NA	35	34	44	2	NA	15	15	1	0.01211	0.009713	0.009747	NA	NA	0.004883	0.004825	0.007175	0.0001183	NA	0.01211	0.002012	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sulfidophilum"	"S"	35806	5	3	NA	NA	NA	5	1	5	1	NA	1	5	1	0.002614	0.001121	NA	NA	NA	0.0006976	0.0001419	0.0008154	5.915e-05	NA	0.0008076	0.0006705	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Phaeobacter inhibens"	"S"	221822	189	73	11	NA	NA	123	67	189	1	NA	39	78	1	0.0315	0.02727	0.0268	NA	NA	0.01716	0.009508	0.03082	5.915e-05	NA	0.0315	0.01046	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Phaeobacter gallaeciensis"	"S"	60890	5	5	NA	1	NA	1	NA	NA	NA	NA	1	2	1	0.2004	0.001868	NA	0.2004	NA	0.0001395	NA	NA	NA	NA	0.0008076	0.0002682	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Confluentimicrobium sp. EMB200-NS6"	"S"	1609966	232	69	9	NA	NA	129	71	232	1	NA	80	77	NA	0.06461	0.02578	0.02193	NA	NA	0.018	0.01008	0.03783	5.915e-05	NA	0.06461	0.01033	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Confluentimicrobium"
"Planktomarina temperata"	"S"	1284658	45	38	6	NA	1	45	40	38	40	NA	13	38	NA	0.1524	0.0142	0.01462	NA	0.1524	0.006278	0.005676	0.006197	0.002366	NA	0.0105	0.005096	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Planktomarina"
"Labrenzia sp. VG12"	"S"	2021862	10	6	NA	NA	NA	6	3	10	NA	NA	2	3	NA	0.002241	0.002241	NA	NA	NA	0.0008371	0.0004257	0.001631	NA	NA	0.001615	0.0004023	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Labrenzia"
"Halocynthiibacter arcticus"	"S"	1579316	86	30	2	NA	NA	43	38	86	4	NA	17	25	NA	0.01402	0.01121	0.004874	NA	NA	0.005999	0.005392	0.01402	0.0002366	NA	0.01373	0.003353	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Halocynthiibacter"
"Dinoroseobacter shibae"	"S"	215813	47	26	5	NA	NA	47	23	41	NA	NA	11	11	NA	0.01218	0.009713	0.01218	NA	NA	0.006557	0.003264	0.006686	NA	NA	0.008884	0.001475	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter"
"Roseobacter denitrificans"	"S"	2434	32	20	1	NA	NA	17	13	32	NA	NA	9	13	NA	0.007471	0.007471	0.002437	NA	NA	0.002372	0.001845	0.005218	NA	NA	0.007268	0.001743	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"Roseobacter litoralis"	"S"	42443	3	2	NA	NA	NA	NA	NA	3	NA	NA	NA	2	1	0.002614	0.0007471	NA	NA	NA	NA	NA	0.0004892	NA	NA	NA	0.0002682	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"Ruegeria pomeroyi"	"S"	89184	50	20	4	NA	NA	36	27	50	1	NA	18	15	1	0.01454	0.007471	0.009747	NA	NA	0.005022	0.003831	0.008154	5.915e-05	NA	0.01454	0.002012	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ruegeria"
"Octadecabacter temperatus"	"S"	1458307	12	9	NA	1	NA	11	2	12	NA	NA	NA	4	NA	0.2004	0.003362	NA	0.2004	NA	0.001535	0.0002838	0.001957	NA	NA	NA	0.0005364	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter antarcticus"	"S"	1217908	11	5	1	NA	NA	10	2	11	NA	NA	2	6	1	0.002614	0.001868	0.002437	NA	NA	0.001395	0.0002838	0.001794	NA	NA	0.001615	0.0008046	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter arcticus"	"S"	53946	4	3	1	NA	NA	4	1	1	NA	NA	NA	3	NA	0.002437	0.001121	0.002437	NA	NA	0.000558	0.0001419	0.0001631	NA	NA	NA	0.0004023	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Roseibacterium elongatum"	"S"	159346	26	15	3	NA	NA	26	11	22	NA	NA	6	11	NA	0.00731	0.005603	0.00731	NA	NA	0.003627	0.001561	0.003588	NA	NA	0.004846	0.001475	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseibacterium"
"Pannonibacter phragmitetus"	"S"	121719	24	14	1	NA	NA	11	9	24	NA	NA	6	3	1	0.00523	0.00523	0.002437	NA	NA	0.001535	0.001277	0.003914	NA	NA	0.004846	0.0004023	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Pannonibacter"
"Thioclava nitratireducens"	"S"	1915078	22	13	1	NA	NA	15	12	22	NA	NA	2	8	1	0.004856	0.004856	0.002437	NA	NA	0.002093	0.001703	0.003588	NA	NA	0.001615	0.001073	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Thioclava"
"Leisingera methylohalidivorans"	"S"	133924	86	11	1	NA	NA	43	23	86	1	NA	29	18	NA	0.02342	0.004109	0.002437	NA	NA	0.005999	0.003264	0.01402	5.915e-05	NA	0.02342	0.002414	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Leisingera"
"Jannaschia sp. CCS1"	"S"	290400	15	8	1	NA	NA	9	5	15	NA	NA	3	7	NA	0.002988	0.002988	0.002437	NA	NA	0.001256	0.0007095	0.002446	NA	NA	0.002423	0.0009388	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Jannaschia"
"Loktanella vestfoldensis"	"S"	245188	12	7	NA	NA	NA	8	4	12	NA	NA	5	3	NA	0.004038	0.002615	NA	NA	NA	0.001116	0.0005676	0.001957	NA	NA	0.004038	0.0004023	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Loktanella"
"Antarctobacter heliothermus"	"S"	74033	11	6	1	NA	NA	11	3	7	1	NA	4	6	NA	0.00323	0.002241	0.002437	NA	NA	0.001535	0.0004257	0.001142	5.915e-05	NA	0.00323	0.0008046	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Antarctobacter"
"Sagittula sp. P11"	"S"	2009329	8	4	2	NA	NA	8	3	8	1	NA	3	1	1	0.004874	0.001494	0.004874	NA	NA	0.001116	0.0004257	0.001305	5.915e-05	NA	0.002423	0.0001341	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sagittula"
"Thalassococcus sp. SH-1"	"S"	2109625	23	4	1	NA	NA	10	7	23	NA	NA	4	2	NA	0.003751	0.001494	0.002437	NA	NA	0.001395	0.0009933	0.003751	NA	NA	0.00323	0.0002682	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Thalassococcus"
"Sulfitobacter pseudonitzschiae"	"S"	1402135	19	3	1	NA	NA	12	13	19	NA	NA	2	5	NA	0.003098	0.001121	0.002437	NA	NA	0.001674	0.001845	0.003098	NA	NA	0.001615	0.0006705	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Tateyamaria omphalii"	"S"	299262	6	2	NA	NA	NA	3	5	6	1	NA	3	4	1	0.002614	0.0007471	NA	NA	NA	0.0004185	0.0007095	0.0009785	5.915e-05	NA	0.002423	0.0005364	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Tateyamaria"
"Pelagibaca abyssi"	"S"	1250539	52	2	1	NA	NA	16	7	52	NA	NA	8	9	1	0.00848	0.0007471	0.002437	NA	NA	0.002232	0.0009933	0.00848	NA	NA	0.006461	0.001207	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Pelagibaca"
"Thiobacimonas profunda"	"S"	1229727	30	2	3	NA	NA	25	7	30	1	NA	9	12	1	0.00731	0.0007471	0.00731	NA	NA	0.003488	0.0009933	0.004892	5.915e-05	NA	0.007268	0.001609	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Thiobacimonas"
"Yangia sp. CCB-MM3"	"S"	1792508	4	1	NA	NA	NA	2	2	4	NA	NA	NA	2	NA	0.0006523	0.0003736	NA	NA	NA	0.000279	0.0002838	0.0006523	NA	NA	NA	0.0002682	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Yangia"
"Hyphomonas neptunium"	"S"	81032	186	98	14	NA	NA	107	63	186	1	NA	36	42	6	0.03661	0.03661	0.03411	NA	NA	0.01493	0.00894	0.03033	5.915e-05	NA	0.02907	0.005633	0.01568	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Hyphomonas"
"Hyphomonas sp. Mor2"	"S"	1906738	65	8	1	NA	NA	7	4	7	65	NA	2	13	NA	0.003845	0.002988	0.002437	NA	NA	0.0009766	0.0005676	0.001142	0.003845	NA	0.001615	0.001743	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Hyphomonas"
"Maricaulis maris"	"S"	74318	153	65	10	NA	NA	112	76	153	52	NA	42	56	4	0.03392	0.02428	0.02437	NA	NA	0.01563	0.01078	0.02495	0.003076	NA	0.03392	0.00751	0.01046	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Maricaulis"
"Hirschia baltica"	"S"	2724	74	26	2	NA	NA	56	37	74	NA	NA	16	33	NA	0.01292	0.009713	0.004874	NA	NA	0.007813	0.00525	0.01207	NA	NA	0.01292	0.004426	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Hirschia"
"Sphingopyxis sp. LPB0140"	"S"	1913578	3670	3670	414	NA	3	3031	1841	2734	30	1	1723	2884	97	1.392	1.371	1.009	NA	0.4573	0.4229	0.2612	0.4458	0.001774	0.2045	1.392	0.3868	0.2535	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis fribergensis"	"S"	1515612	1593	1593	211	NA	NA	1333	756	1084	13	1	759	1273	36	0.613	0.5951	0.5142	NA	NA	0.186	0.1073	0.1768	0.0007689	0.2045	0.613	0.1707	0.0941	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis macrogoltabida"	"S"	33050	693	693	82	NA	NA	505	330	441	7	1	298	474	19	0.2589	0.2589	0.1998	NA	NA	0.07045	0.04683	0.07192	0.000414	0.2045	0.2407	0.06357	0.04966	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis alaskensis"	"S"	117207	190	190	22	NA	NA	133	54	35	1	NA	9	26	1	0.07098	0.07098	0.05361	NA	NA	0.01856	0.007663	0.005708	5.915e-05	NA	0.007268	0.003487	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis sp. 113P3"	"S"	292913	86	86	11	NA	1	55	13	24	NA	NA	10	21	NA	0.1524	0.03213	0.0268	NA	0.1524	0.007673	0.001845	0.003914	NA	NA	0.008076	0.002816	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis terrae"	"S"	33052	27	27	4	NA	NA	16	24	27	2	NA	8	14	NA	0.01009	0.01009	0.009747	NA	NA	0.002232	0.003406	0.004403	0.0001183	NA	0.006461	0.001878	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis sp. QXT-31"	"S"	1357916	19	19	5	NA	1	18	5	15	NA	1	6	6	1	0.2045	0.007098	0.01218	NA	0.1524	0.002511	0.0007095	0.002446	NA	0.2045	0.004846	0.0008046	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingobium hydrophobicum"	"S"	1673076	289	289	42	NA	NA	209	96	126	2	NA	48	90	11	0.108	0.108	0.1023	NA	NA	0.02916	0.01362	0.02055	0.0001183	NA	0.03877	0.01207	0.02875	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium sp. YBL2"	"S"	484429	181	181	27	NA	NA	157	78	85	3	NA	33	45	NA	0.06761	0.06761	0.06579	NA	NA	0.0219	0.01107	0.01386	0.0001774	NA	0.02665	0.006035	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium sp. SYK-6"	"S"	627192	166	166	30	NA	NA	136	83	136	NA	1	40	60	2	0.2045	0.06201	0.0731	NA	NA	0.01897	0.01178	0.02218	NA	0.2045	0.0323	0.008046	0.005228	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium yanoikuyae"	"S"	13690	117	117	5	NA	NA	42	11	13	1	NA	3	10	NA	0.04371	0.04371	0.01218	NA	NA	0.005859	0.001561	0.00212	5.915e-05	NA	0.002423	0.001341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium sp. RAC03"	"S"	1843368	70	62	6	NA	2	70	28	26	1	NA	14	24	1	0.3049	0.02316	0.01462	NA	0.3049	0.009766	0.003973	0.00424	5.915e-05	NA	0.01131	0.003219	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium japonicum"	"S"	332056	18	18	1	NA	NA	10	14	14	NA	NA	3	9	NA	0.006724	0.006724	0.002437	NA	NA	0.001395	0.001987	0.002283	NA	NA	0.002423	0.001207	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium indicum"	"S"	332055	13	13	2	NA	1	12	6	4	NA	1	2	8	NA	0.2045	0.004856	0.004874	NA	0.1524	0.001674	0.0008514	0.0006523	NA	0.2045	0.001615	0.001073	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium cloacae"	"S"	120107	19	10	1	NA	NA	19	10	19	NA	NA	4	6	NA	0.003736	0.003736	0.002437	NA	NA	0.002651	0.001419	0.003098	NA	NA	0.00323	0.0008046	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium sp. TKS"	"S"	1315974	14	6	1	NA	NA	10	13	14	NA	NA	2	4	NA	0.002437	0.002241	0.002437	NA	NA	0.001395	0.001845	0.002283	NA	NA	0.001615	0.0005364	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium baderi"	"S"	1332080	14	5	1	NA	NA	8	14	7	NA	NA	3	12	2	0.005228	0.001868	0.002437	NA	NA	0.001116	0.001987	0.001142	NA	NA	0.002423	0.001609	0.005228	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium chlorophenolicum"	"S"	46429	3	1	NA	NA	NA	NA	2	2	NA	NA	NA	3	NA	0.0004023	0.0003736	NA	NA	NA	NA	0.0002838	0.0003262	NA	NA	NA	0.0004023	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
