"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Rhodobacter capsulatus"	"S"	1061	4593	2075	288	NA	1	2781	1668	4593	25	NA	1318	1466	32	0.881	0.6098	0.5564	NA	0.07364	0.2956	0.1784	0.5916	0.001462	NA	0.881	0.1594	0.06617	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sphaeroides"	"S"	1063	6459	1884	264	1	3	3602	2176	6459	24	2	1724	2182	48	1.152	0.5537	0.51	0.1155	0.2209	0.3829	0.2327	0.832	0.001404	0.241	1.152	0.2372	0.09925	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sp. LPB0142"	"S"	1850250	430	199	20	NA	NA	239	179	430	2	NA	123	177	3	0.08222	0.05848	0.03864	NA	NA	0.0254	0.01914	0.05539	0.000117	NA	0.08222	0.01924	0.006203	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Defluviimonas"	"G"	1097466	7507	3775	540	1	3	6479	3313	7507	57	2	1935	2401	51	1.293	1.109	1.043	0.1155	0.2209	0.6887	0.3543	0.967	0.003333	0.241	1.293	0.261	0.1055	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Defluviimonas alba"	"S"	1335048	7507	3775	540	1	3	6479	3313	7507	57	2	1935	2401	51	1.293	1.109	1.043	0.1155	0.2209	0.6887	0.3543	0.967	0.003333	0.241	1.293	0.261	0.1055	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Defluviimonas"
"Celeribacter"	"G"	875170	4102	2391	341	1	3	3264	1848	4102	39	2	993	1227	49	0.7027	0.7027	0.6587	0.1155	0.2209	0.3469	0.1976	0.5284	0.002281	0.241	0.6638	0.1334	0.1013	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Celeribacter marinus"	"S"	1397108	3743	2238	323	1	3	2969	1635	3743	38	1	931	1141	48	0.6577	0.6577	0.624	0.1155	0.2209	0.3156	0.1748	0.4821	0.002222	0.1205	0.6223	0.1241	0.09925	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter manganoxidans"	"S"	1411902	329	142	18	NA	NA	276	200	329	1	1	49	80	1	0.1205	0.04173	0.03477	NA	NA	0.02934	0.02139	0.04238	5.848e-05	0.1205	0.03275	0.008698	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter ethanolicus"	"S"	1758178	17	6	NA	NA	NA	12	10	17	NA	NA	7	6	NA	0.004679	0.001763	NA	NA	NA	0.001276	0.001069	0.00219	NA	NA	0.004679	0.0006523	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter indicus"	"S"	1208324	10	4	NA	NA	NA	6	3	10	NA	NA	4	NA	NA	0.002674	0.001176	NA	NA	NA	0.0006378	0.0003208	0.001288	NA	NA	0.002674	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Paracoccus"	"G"	265	5023	2016	305	4	6	3377	1979	5023	69	NA	1358	1715	43	0.9077	0.5925	0.5892	0.4619	0.4418	0.359	0.2116	0.647	0.004035	NA	0.9077	0.1865	0.08891	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus aminophilus"	"S"	34003	2939	889	139	1	2	1575	950	2939	27	NA	879	1034	18	0.5876	0.2613	0.2685	0.1155	0.1473	0.1674	0.1016	0.3786	0.001579	NA	0.5876	0.1124	0.03722	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus zhejiangensis"	"S"	1077935	546	287	37	NA	2	422	245	546	14	NA	127	195	5	0.1473	0.08434	0.07148	NA	0.1473	0.04486	0.0262	0.07033	0.0008187	NA	0.08489	0.0212	0.01034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus contaminans"	"S"	1945662	247	165	26	1	NA	202	101	247	2	NA	48	78	2	0.1155	0.04849	0.05023	0.1155	NA	0.02147	0.0108	0.03182	0.000117	NA	0.03208	0.00848	0.004135	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. CBA4604"	"S"	2065379	355	114	16	NA	1	294	220	355	12	NA	60	76	10	0.07364	0.0335	0.03091	NA	0.07364	0.03125	0.02353	0.04573	0.0007018	NA	0.04011	0.008263	0.02068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. BM15"	"S"	1529068	162	89	16	NA	NA	134	67	162	2	NA	33	46	NA	0.03091	0.02616	0.03091	NA	NA	0.01424	0.007165	0.02087	0.000117	NA	0.02206	0.005001	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus yeei"	"S"	147645	111	41	8	NA	NA	74	36	111	1	NA	24	23	1	0.01604	0.01205	0.01545	NA	NA	0.007866	0.00385	0.0143	5.848e-05	NA	0.01604	0.002501	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus denitrificans"	"S"	266	76	34	4	NA	1	76	39	62	4	NA	34	30	1	0.07364	0.009992	0.007727	NA	0.07364	0.008078	0.00417	0.007986	0.0002339	NA	0.02273	0.003262	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminovorans"	"S"	34004	32	9	NA	1	NA	29	30	32	NA	NA	9	16	NA	0.1155	0.002645	NA	0.1155	NA	0.003083	0.003208	0.004122	NA	NA	0.006016	0.00174	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Roseovarius"	"G"	74030	3280	1731	263	NA	1	2464	1447	3280	33	NA	862	1108	27	0.5762	0.5087	0.5081	NA	0.07364	0.2619	0.1547	0.4225	0.00193	NA	0.5762	0.1205	0.05583	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseovarius mucosus"	"S"	215743	3280	1731	263	NA	1	2464	1447	3280	33	NA	862	1108	27	0.5762	0.5087	0.5081	NA	0.07364	0.2619	0.1547	0.4225	0.00193	NA	0.5762	0.1205	0.05583	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Ketogulonicigenium"	"G"	92944	1044	460	79	1	1	723	408	1044	15	1	345	373	5	0.2306	0.1352	0.1526	0.1155	0.07364	0.07685	0.04363	0.1345	0.0008772	0.1205	0.2306	0.04055	0.01034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ketogulonicigenium robustum"	"S"	92947	688	342	60	1	1	496	284	688	6	NA	242	260	3	0.1618	0.1005	0.1159	0.1155	0.07364	0.05272	0.03037	0.08862	0.0003509	NA	0.1618	0.02827	0.006203	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium vulgare"	"S"	92945	49	5	3	NA	NA	49	12	43	NA	1	16	15	NA	0.1205	0.001469	0.005795	NA	NA	0.005208	0.001283	0.005539	NA	0.1205	0.01069	0.001631	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"unclassified Rhodobacteraceae"	"-"	58840	916	433	61	NA	1	731	391	916	7	1	259	329	10	0.1731	0.1272	0.1178	NA	0.07364	0.0777	0.04181	0.118	0.0004094	0.1205	0.1731	0.03577	0.02068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacteraceae bacterium QY30"	"S"	2033435	916	433	61	NA	1	731	391	916	7	1	259	329	10	0.1731	0.1272	0.1178	NA	0.07364	0.0777	0.04181	0.118	0.0004094	0.1205	0.1731	0.03577	0.02068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Rhodobaca"	"G"	119541	331	308	52	NA	NA	287	157	331	7	NA	77	131	1	0.1005	0.09051	0.1005	NA	NA	0.03051	0.01679	0.04264	0.0004094	NA	0.05147	0.01424	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobaca barguzinensis"	"S"	441209	331	308	52	NA	NA	287	157	331	7	NA	77	131	1	0.1005	0.09051	0.1005	NA	NA	0.03051	0.01679	0.04264	0.0004094	NA	0.05147	0.01424	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobaca"
"Rhodovulum"	"G"	34008	466	231	20	NA	NA	431	259	466	8	NA	96	118	7	0.06789	0.06789	0.03864	NA	NA	0.04581	0.0277	0.06003	0.0004679	NA	0.06417	0.01283	0.01447	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodovulum sp. MB263"	"S"	308754	135	72	2	NA	NA	113	60	135	NA	NA	29	31	2	0.02116	0.02116	0.003864	NA	NA	0.01201	0.006416	0.01739	NA	NA	0.01938	0.00337	0.004135	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sp. P5"	"S"	1564506	44	26	4	NA	NA	35	34	44	2	NA	15	15	1	0.01003	0.007641	0.007727	NA	NA	0.00372	0.003636	0.005668	0.000117	NA	0.01003	0.001631	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sulfidophilum"	"S"	35806	5	3	NA	NA	NA	5	1	5	1	NA	1	5	1	0.002068	0.0008816	NA	NA	NA	0.0005315	0.0001069	0.0006441	5.848e-05	NA	0.0006684	0.0005436	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Phaeobacter"	"G"	302485	198	80	11	1	NA	126	71	198	1	NA	42	84	2	0.1155	0.02351	0.02125	0.1155	NA	0.01339	0.007592	0.0255	5.848e-05	NA	0.02807	0.009133	0.004135	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Phaeobacter inhibens"	"S"	221822	189	73	11	NA	NA	123	67	189	1	NA	39	78	1	0.02607	0.02145	0.02125	NA	NA	0.01307	0.007165	0.02435	5.848e-05	NA	0.02607	0.00848	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Phaeobacter gallaeciensis"	"S"	60890	5	5	NA	1	NA	1	NA	NA	NA	NA	1	2	1	0.1155	0.001469	NA	0.1155	NA	0.0001063	NA	NA	NA	NA	0.0006684	0.0002174	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Confluentimicrobium"	"G"	1609958	232	69	9	NA	NA	129	71	232	1	NA	80	77	NA	0.05347	0.02028	0.01739	NA	NA	0.01371	0.007592	0.02988	5.848e-05	NA	0.05347	0.008372	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Confluentimicrobium sp. EMB200-NS6"	"S"	1609966	232	69	9	NA	NA	129	71	232	1	NA	80	77	NA	0.05347	0.02028	0.01739	NA	NA	0.01371	0.007592	0.02988	5.848e-05	NA	0.05347	0.008372	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Confluentimicrobium"
"Planktomarina"	"G"	1284657	45	38	6	NA	1	45	40	38	40	NA	13	38	NA	0.07364	0.01117	0.01159	NA	0.07364	0.004783	0.004277	0.004895	0.002339	NA	0.00869	0.004131	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Planktomarina temperata"	"S"	1284658	45	38	6	NA	1	45	40	38	40	NA	13	38	NA	0.07364	0.01117	0.01159	NA	0.07364	0.004783	0.004277	0.004895	0.002339	NA	0.00869	0.004131	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Planktomarina"
"Labrenzia"	"G"	478070	62	34	6	NA	NA	39	22	62	NA	NA	9	14	2	0.01159	0.009992	0.01159	NA	NA	0.004145	0.002353	0.007986	NA	NA	0.006016	0.001522	0.004135	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Labrenzia sp. VG12"	"S"	2021862	10	6	NA	NA	NA	6	3	10	NA	NA	2	3	NA	0.001763	0.001763	NA	NA	NA	0.0006378	0.0003208	0.001288	NA	NA	0.001337	0.0003262	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Labrenzia"
"Halocynthiibacter"	"G"	1579315	86	30	2	NA	NA	43	38	86	4	NA	17	25	NA	0.01136	0.008816	0.003864	NA	NA	0.004571	0.004063	0.01108	0.0002339	NA	0.01136	0.002718	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Halocynthiibacter arcticus"	"S"	1579316	86	30	2	NA	NA	43	38	86	4	NA	17	25	NA	0.01136	0.008816	0.003864	NA	NA	0.004571	0.004063	0.01108	0.0002339	NA	0.01136	0.002718	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Halocynthiibacter"
"Dinoroseobacter"	"G"	309512	47	26	5	NA	NA	47	23	41	NA	NA	11	11	NA	0.009659	0.007641	0.009659	NA	NA	0.004996	0.002459	0.005281	NA	NA	0.007353	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter shibae"	"S"	215813	47	26	5	NA	NA	47	23	41	NA	NA	11	11	NA	0.009659	0.007641	0.009659	NA	NA	0.004996	0.002459	0.005281	NA	NA	0.007353	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter"
"Roseobacter"	"G"	2433	35	22	1	NA	NA	17	13	35	NA	NA	9	15	1	0.006465	0.006465	0.001932	NA	NA	0.001807	0.00139	0.004508	NA	NA	0.006016	0.001631	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseobacter denitrificans"	"S"	2434	32	20	1	NA	NA	17	13	32	NA	NA	9	13	NA	0.006016	0.005878	0.001932	NA	NA	0.001807	0.00139	0.004122	NA	NA	0.006016	0.001413	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"Roseobacter litoralis"	"S"	42443	3	2	NA	NA	NA	NA	NA	3	NA	NA	NA	2	1	0.002068	0.0005878	NA	NA	NA	NA	NA	0.0003864	NA	NA	NA	0.0002174	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"Ruegeria"	"G"	97050	62	21	4	NA	NA	44	38	62	1	NA	19	20	2	0.0127	0.006171	0.007727	NA	NA	0.004677	0.004063	0.007986	5.848e-05	NA	0.0127	0.002174	0.004135	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ruegeria pomeroyi"	"S"	89184	50	20	4	NA	NA	36	27	50	1	NA	18	15	1	0.01203	0.005878	0.007727	NA	NA	0.003827	0.002887	0.006441	5.848e-05	NA	0.01203	0.001631	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ruegeria"
"Octadecabacter"	"G"	53945	28	20	2	1	NA	27	9	28	NA	NA	2	13	1	0.1155	0.005878	0.003864	0.1155	NA	0.00287	0.0009624	0.003607	NA	NA	0.001337	0.001413	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Octadecabacter temperatus"	"S"	1458307	12	9	NA	1	NA	11	2	12	NA	NA	NA	4	NA	0.1155	0.002645	NA	0.1155	NA	0.001169	0.0002139	0.001546	NA	NA	NA	0.0004349	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter antarcticus"	"S"	1217908	11	5	1	NA	NA	10	2	11	NA	NA	2	6	1	0.002068	0.001469	0.001932	NA	NA	0.001063	0.0002139	0.001417	NA	NA	0.001337	0.0006523	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter arcticus"	"S"	53946	4	3	1	NA	NA	4	1	1	NA	NA	NA	3	NA	0.001932	0.0008816	0.001932	NA	NA	0.0004252	0.0001069	0.0001288	NA	NA	NA	0.0003262	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Roseibacterium"	"G"	159345	26	15	3	NA	NA	26	11	22	NA	NA	6	11	NA	0.005795	0.004408	0.005795	NA	NA	0.002764	0.001176	0.002834	NA	NA	0.004011	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseibacterium elongatum"	"S"	159346	26	15	3	NA	NA	26	11	22	NA	NA	6	11	NA	0.005795	0.004408	0.005795	NA	NA	0.002764	0.001176	0.002834	NA	NA	0.004011	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseibacterium"
"Pannonibacter"	"G"	227873	24	14	1	NA	NA	11	9	24	NA	NA	6	3	1	0.004114	0.004114	0.001932	NA	NA	0.001169	0.0009624	0.003092	NA	NA	0.004011	0.0003262	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pannonibacter phragmitetus"	"S"	121719	24	14	1	NA	NA	11	9	24	NA	NA	6	3	1	0.004114	0.004114	0.001932	NA	NA	0.001169	0.0009624	0.003092	NA	NA	0.004011	0.0003262	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Pannonibacter"
"Thioclava"	"G"	285107	22	13	1	NA	NA	15	12	22	NA	NA	2	8	1	0.00382	0.00382	0.001932	NA	NA	0.001594	0.001283	0.002834	NA	NA	0.001337	0.0008698	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thioclava nitratireducens"	"S"	1915078	22	13	1	NA	NA	15	12	22	NA	NA	2	8	1	0.00382	0.00382	0.001932	NA	NA	0.001594	0.001283	0.002834	NA	NA	0.001337	0.0008698	0.002068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Thioclava"
"Leisingera"	"G"	191028	86	11	1	NA	NA	43	23	86	1	NA	29	18	NA	0.01938	0.003233	0.001932	NA	NA	0.004571	0.002459	0.01108	5.848e-05	NA	0.01938	0.001957	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Leisingera methylohalidivorans"	"S"	133924	86	11	1	NA	NA	43	23	86	1	NA	29	18	NA	0.01938	0.003233	0.001932	NA	NA	0.004571	0.002459	0.01108	5.848e-05	NA	0.01938	0.001957	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Leisingera"
"Jannaschia"	"G"	188905	15	8	1	NA	NA	9	5	15	NA	NA	3	7	NA	0.002351	0.002351	0.001932	NA	NA	0.0009567	0.0005347	0.001932	NA	NA	0.002005	0.000761	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Jannaschia sp. CCS1"	"S"	290400	15	8	1	NA	NA	9	5	15	NA	NA	3	7	NA	0.002351	0.002351	0.001932	NA	NA	0.0009567	0.0005347	0.001932	NA	NA	0.002005	0.000761	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Jannaschia"
"Loktanella"	"G"	245186	12	7	NA	NA	NA	8	4	12	NA	NA	5	3	NA	0.003342	0.002057	NA	NA	NA	0.0008504	0.0004277	0.001546	NA	NA	0.003342	0.0003262	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Loktanella vestfoldensis"	"S"	245188	12	7	NA	NA	NA	8	4	12	NA	NA	5	3	NA	0.003342	0.002057	NA	NA	NA	0.0008504	0.0004277	0.001546	NA	NA	0.003342	0.0003262	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Loktanella"
"Antarctobacter"	"G"	74032	11	6	1	NA	NA	11	3	7	1	NA	4	6	NA	0.002674	0.001763	0.001932	NA	NA	0.001169	0.0003208	0.0009017	5.848e-05	NA	0.002674	0.0006523	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Antarctobacter heliothermus"	"S"	74033	11	6	1	NA	NA	11	3	7	1	NA	4	6	NA	0.002674	0.001763	0.001932	NA	NA	0.001169	0.0003208	0.0009017	5.848e-05	NA	0.002674	0.0006523	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Antarctobacter"
