"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"Akkermansiaceae"	"F"	27000	409	16	4	NA	NA	254	302	409	11	NA	17	282	18	0.05268	0.004702	0.007727	NA	NA	0.027	0.03229	0.05268	0.0006433	NA	0.01136	0.03066	0.03722	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Akkermansia"	"G"	27001	409	16	4	NA	NA	254	302	409	11	NA	17	282	18	0.05268	0.004702	0.007727	NA	NA	0.027	0.03229	0.05268	0.0006433	NA	0.01136	0.03066	0.03722	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae"
"Rubritaleaceae"	"F"	4034	22	6	NA	NA	NA	22	21	16	15	NA	2	8	1	0.002338	0.001763	NA	NA	NA	0.002338	0.002246	0.002061	0.0008772	NA	0.001337	0.0008698	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Luteolibacter"	"G"	27004	6	6	NA	NA	NA	3	6	3	4	NA	1	NA	1	0.002068	0.001763	NA	NA	NA	0.0003189	0.0006416	0.0003864	0.0002339	NA	0.0006684	NA	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Rubritaleaceae"
"DEV007"	"F"	4032	11	2	NA	NA	NA	10	11	8	NA	NA	NA	NA	NA	0.001176	0.0005878	NA	NA	NA	0.001063	0.001176	0.001031	NA	NA	NA	NA	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Opitutales"	"O"	26972	219	56	4	NA	NA	158	210	219	12	NA	9	34	2	0.02821	0.01646	0.007727	NA	NA	0.01679	0.02246	0.02821	0.0007018	NA	0.006016	0.003697	0.004135	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Puniceicoccaceae"	"F"	26981	150	38	2	NA	NA	102	150	115	9	NA	2	13	1	0.01604	0.01117	0.003864	NA	NA	0.01084	0.01604	0.01481	0.0005263	NA	0.001337	0.001413	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales"
"Verruc-01"	"G"	26989	78	25	1	NA	NA	49	78	55	3	NA	NA	4	NA	0.008341	0.007347	0.001932	NA	NA	0.005208	0.008341	0.007085	0.0001754	NA	NA	0.0004349	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Puniceicoccaceae"
"Cerasicoccus"	"G"	26983	58	10	NA	NA	NA	41	58	43	NA	NA	1	3	1	0.006202	0.002939	NA	NA	NA	0.004358	0.006202	0.005539	NA	NA	0.0006684	0.0003262	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Puniceicoccaceae"
"uncultured"	"G"	26990	9	2	NA	NA	NA	4	8	9	NA	NA	NA	NA	NA	0.001159	0.0005878	NA	NA	NA	0.0004252	0.0008555	0.001159	NA	NA	NA	NA	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Puniceicoccaceae"
"Puniceicoccus"	"G"	26988	5	1	1	NA	NA	1	1	2	5	NA	NA	1	NA	0.001932	0.0002939	0.001932	NA	NA	0.0001063	0.0001069	0.0002576	0.0002924	NA	NA	0.0001087	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Puniceicoccaceae"
"Opitutaceae"	"F"	26973	75	10	2	NA	NA	18	21	75	3	NA	7	19	1	0.009661	0.002939	0.003864	NA	NA	0.001913	0.002246	0.009661	0.0001754	NA	0.004679	0.002066	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales"
"IMCC26134"	"G"	26977	29	1	NA	NA	NA	4	5	29	NA	NA	NA	3	1	0.003736	0.0002939	NA	NA	NA	0.0004252	0.0005347	0.003736	NA	NA	NA	0.0003262	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Opitutaceae"
"Opitutus"	"G"	26979	7	1	NA	NA	NA	5	5	7	1	NA	NA	3	NA	0.0009017	0.0002939	NA	NA	NA	0.0005315	0.0005347	0.0009017	5.848e-05	NA	NA	0.0003262	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Opitutaceae"
"Chthoniobacterales"	"O"	26955	210	43	10	NA	NA	198	210	170	22	NA	17	134	4	0.02246	0.01264	0.01932	NA	NA	0.02105	0.02246	0.0219	0.001287	NA	0.01136	0.01457	0.008271	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Chthoniobacteraceae"	"F"	26957	137	32	6	NA	NA	137	122	96	16	NA	15	118	4	0.01456	0.009404	0.01159	NA	NA	0.01456	0.01305	0.01237	0.0009357	NA	0.01003	0.01283	0.008271	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales"
"Chthoniobacter"	"G"	26959	132	29	6	NA	NA	132	117	91	15	NA	14	117	4	0.01403	0.008522	0.01159	NA	NA	0.01403	0.01251	0.01172	0.0008772	NA	0.009358	0.01272	0.008271	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales>Chthoniobacteraceae"
"Candidatus Udaeobacter"	"G"	26958	5	3	NA	NA	NA	5	4	5	1	NA	1	1	NA	0.0008816	0.0008816	NA	NA	NA	0.0005315	0.0004277	0.0006441	5.848e-05	NA	0.0006684	0.0001087	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales>Chthoniobacteraceae"
"Terrimicrobiaceae"	"F"	26961	78	6	3	NA	NA	50	78	62	NA	NA	1	1	NA	0.008341	0.001763	0.005795	NA	NA	0.005315	0.008341	0.007986	NA	NA	0.0006684	0.0001087	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales"
"FukuN18 freshwater group"	"G"	26962	76	6	3	NA	NA	50	76	62	NA	NA	1	1	NA	0.008127	0.001763	0.005795	NA	NA	0.005315	0.008127	0.007986	NA	NA	0.0006684	0.0001087	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales>Terrimicrobiaceae"
"01D2Z36"	"F"	26956	14	3	NA	NA	NA	9	7	9	6	NA	NA	14	NA	0.001522	0.0008816	NA	NA	NA	0.0009567	0.0007485	0.001159	0.0003509	NA	NA	0.001522	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales"
"Xiphinematobacteraceae"	"F"	26964	2	2	1	NA	NA	1	2	2	NA	NA	1	1	NA	0.001932	0.0005878	0.001932	NA	NA	0.0001063	0.0002139	0.0002576	NA	NA	0.0006684	0.0001087	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales"
"Candidatus Xiphinematobacter"	"G"	26965	2	2	1	NA	NA	1	2	2	NA	NA	1	1	NA	0.001932	0.0005878	0.001932	NA	NA	0.0001063	0.0002139	0.0002576	NA	NA	0.0006684	0.0001087	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales>Xiphinematobacteraceae"
"Pedosphaerales"	"O"	26992	78	20	3	NA	NA	55	78	67	32	NA	3	25	1	0.00863	0.005878	0.005795	NA	NA	0.005846	0.008341	0.00863	0.001871	NA	0.002005	0.002718	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Pedosphaeraceae"	"F"	26993	78	20	3	NA	NA	55	78	67	32	NA	3	25	1	0.00863	0.005878	0.005795	NA	NA	0.005846	0.008341	0.00863	0.001871	NA	0.002005	0.002718	0.002068	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Pedosphaerales"
"ADurb.Bin063-1"	"G"	26994	3	1	1	NA	NA	3	1	1	NA	NA	NA	NA	NA	0.001932	0.0002939	0.001932	NA	NA	0.0003189	0.0001069	0.0001288	NA	NA	NA	NA	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Pedosphaerales>Pedosphaeraceae"
"Methylacidiphilales"	"O"	26968	30	3	2	NA	NA	19	19	30	6	NA	2	14	NA	0.003864	0.0008816	0.003864	NA	NA	0.00202	0.002032	0.003864	0.0003509	NA	0.001337	0.001522	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Methylacidiphilaceae"	"F"	26969	30	3	2	NA	NA	19	19	30	6	NA	2	14	NA	0.003864	0.0008816	0.003864	NA	NA	0.00202	0.002032	0.003864	0.0003509	NA	0.001337	0.001522	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Methylacidiphilales"
"uncultured"	"G"	26971	29	3	2	NA	NA	17	19	29	5	NA	2	14	NA	0.003864	0.0008816	0.003864	NA	NA	0.001807	0.002032	0.003736	0.0002924	NA	0.001337	0.001522	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Methylacidiphilales>Methylacidiphilaceae"
"Arctic97B-4 marine group"	"O"	26953	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	NA	5.848e-05	NA	NA	NA	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Bacteroidetes"	"P"	905	10891	4507	538	7	4	8426	10891	4824	491	1	1219	9177	533	1.325	1.325	1.039	0.8083	0.2946	0.8956	1.165	0.6214	0.02871	0.1205	0.8148	0.9977	1.102	"Bacteria"
"Bacteroidia"	"C"	912	10464	4363	523	6	4	8088	10464	4606	385	NA	1196	8992	513	1.282	1.282	1.01	0.6928	0.2946	0.8597	1.119	0.5933	0.02252	NA	0.7994	0.9776	1.061	"Bacteria>Bacteroidetes"
"Sphingobacteriales"	"O"	25002	3633	1353	146	2	1	2664	3633	1248	21	NA	145	1465	94	0.3976	0.3976	0.282	0.2309	0.07364	0.2832	0.3885	0.1608	0.001228	NA	0.09692	0.1593	0.1944	"Bacteria>Bacteroidetes>Bacteroidia"
"Sphingobacteriaceae"	"F"	25020	1644	626	75	2	1	1192	1644	621	8	NA	79	836	46	0.2309	0.184	0.1449	0.2309	0.07364	0.1267	0.1758	0.07999	0.0004679	NA	0.05281	0.09089	0.09512	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Pedobacter"	"G"	25027	272	93	13	1	NA	117	128	88	3	NA	25	272	14	0.1155	0.02733	0.02511	0.1155	NA	0.01244	0.01369	0.01134	0.0001754	NA	0.01671	0.02957	0.02895	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Nubsella"	"G"	25024	69	34	2	NA	NA	59	69	24	NA	NA	3	17	2	0.009992	0.009992	0.003864	NA	NA	0.006271	0.007378	0.003092	NA	NA	0.002005	0.001848	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	25023	58	10	NA	NA	NA	13	12	12	NA	NA	8	58	3	0.006306	0.002939	NA	NA	NA	0.001382	0.001283	0.001546	NA	NA	0.005347	0.006306	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	25032	47	9	1	NA	NA	38	47	24	NA	NA	NA	17	NA	0.005026	0.002645	0.001932	NA	NA	0.004039	0.005026	0.003092	NA	NA	NA	0.001848	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Olivibacter"	"G"	25025	2	2	NA	NA	NA	2	1	1	NA	NA	NA	1	NA	0.0005878	0.0005878	NA	NA	NA	0.0002126	0.0001069	0.0001288	NA	NA	NA	0.0001087	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Pseudopedobacter"	"G"	25029	24	1	2	NA	NA	11	4	8	NA	NA	1	24	NA	0.003864	0.0002939	0.003864	NA	NA	0.001169	0.0004277	0.001031	NA	NA	0.0006684	0.002609	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"uncultured"	"G"	25033	3	1	NA	NA	NA	3	2	NA	NA	NA	NA	NA	NA	0.0003189	0.0002939	NA	NA	NA	0.0003189	0.0002139	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"NS11-12 marine group"	"F"	25015	623	252	18	NA	NA	499	623	211	4	NA	26	228	15	0.07406	0.07406	0.03477	NA	NA	0.05304	0.06662	0.02718	0.0002339	NA	0.01738	0.02479	0.03102	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobiaceae"	"F"	25012	219	89	13	NA	NA	173	219	87	2	NA	6	73	5	0.02616	0.02616	0.02511	NA	NA	0.01839	0.02342	0.01121	0.000117	NA	0.004011	0.007937	0.01034	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Lentimicrobium"	"G"	25013	151	47	10	NA	NA	121	151	57	1	NA	4	42	4	0.01932	0.01381	0.01932	NA	NA	0.01286	0.01615	0.007342	5.848e-05	NA	0.002674	0.004566	0.008271	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Lentimicrobiaceae"
"env.OPS 17"	"F"	25035	219	88	12	NA	NA	187	219	60	1	NA	4	73	6	0.02586	0.02586	0.02318	NA	NA	0.01988	0.02342	0.007729	5.848e-05	NA	0.002674	0.007937	0.01241	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"AKYH767"	"F"	25004	63	29	1	NA	NA	35	63	20	NA	NA	4	27	2	0.008522	0.008522	0.001932	NA	NA	0.00372	0.006737	0.002576	NA	NA	0.002674	0.002935	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Bacteroidales"	"O"	913	3001	1008	119	2	1	2185	3001	1139	190	NA	133	1099	92	0.3209	0.2962	0.2299	0.2309	0.07364	0.2323	0.3209	0.1467	0.01111	NA	0.0889	0.1195	0.1902	"Bacteria>Bacteroidetes>Bacteroidia"
"Muribaculaceae"	"F"	24634	217	90	8	1	NA	156	217	91	20	NA	13	82	6	0.1155	0.02645	0.01545	0.1155	NA	0.01658	0.0232	0.01172	0.00117	NA	0.00869	0.008915	0.01241	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Marinifilaceae"	"F"	24613	267	83	9	NA	NA	198	267	72	5	NA	14	86	3	0.02855	0.02439	0.01739	NA	NA	0.02105	0.02855	0.009275	0.0002924	NA	0.009358	0.00935	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Marinifilum"	"G"	24615	267	83	9	NA	NA	198	267	72	2	NA	14	85	3	0.02855	0.02439	0.01739	NA	NA	0.02105	0.02855	0.009275	0.000117	NA	0.009358	0.009241	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Marinifilaceae"
"ML635J-40 aquatic group"	"F"	928	222	60	7	NA	NA	141	222	78	NA	NA	5	81	5	0.02374	0.01763	0.01352	NA	NA	0.01499	0.02374	0.01005	NA	NA	0.003342	0.008806	0.01034	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Rikenellaceae"	"F"	967	150	58	4	NA	NA	126	150	61	21	NA	4	47	6	0.01704	0.01704	0.007727	NA	NA	0.01339	0.01604	0.007858	0.001228	NA	0.002674	0.00511	0.01241	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Alistipes"	"G"	968	85	33	2	NA	NA	69	85	30	NA	NA	1	22	2	0.009698	0.009698	0.003864	NA	NA	0.007334	0.009089	0.003864	NA	NA	0.0006684	0.002392	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"uncultured"	"G"	980	22	13	NA	NA	NA	17	22	9	1	NA	NA	9	2	0.004135	0.00382	NA	NA	NA	0.001807	0.002353	0.001159	5.848e-05	NA	NA	0.0009785	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Rikenellaceae RC9 gut group"	"G"	11191	34	7	1	NA	NA	34	32	11	10	NA	1	9	2	0.004135	0.002057	0.001932	NA	NA	0.003614	0.003422	0.001417	0.0005848	NA	0.0006684	0.0009785	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"A7P-90m"	"G"	24648	3	3	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001932	0.0008816	0.001932	NA	NA	0.0001063	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"BCf9-17 termite group"	"G"	969	9	1	NA	NA	NA	2	9	8	1	NA	1	6	NA	0.001031	0.0002939	NA	NA	NA	0.0002126	0.0009624	0.001031	5.848e-05	NA	0.0006684	0.0006523	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"SP3-e08"	"G"	976	6	1	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	0.0003509	0.0002939	NA	NA	NA	NA	NA	NA	0.0003509	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Bacteroidaceae"	"F"	917	132	51	4	NA	1	75	132	57	16	NA	9	38	1	0.07364	0.01499	0.007727	NA	0.07364	0.007972	0.01412	0.007342	0.0009357	NA	0.006016	0.004131	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Bacteroides"	"G"	918	132	51	4	NA	1	75	132	57	16	NA	9	38	1	0.07364	0.01499	0.007727	NA	0.07364	0.007972	0.01412	0.007342	0.0009357	NA	0.006016	0.004131	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae"
"Bacteroidales BS11 gut group"	"F"	11171	169	48	11	NA	NA	111	169	50	NA	NA	7	54	6	0.02125	0.01411	0.02125	NA	NA	0.0118	0.01807	0.006441	NA	NA	0.004679	0.005871	0.01241	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Prevotellaceae"	"F"	960	144	31	3	NA	NA	83	144	55	38	NA	6	50	3	0.0154	0.00911	0.005795	NA	NA	0.008822	0.0154	0.007085	0.002222	NA	0.004011	0.005436	0.006203	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Prevotella 1"	"G"	11179	75	17	2	NA	NA	42	75	23	33	NA	4	28	1	0.00802	0.004996	0.003864	NA	NA	0.004464	0.00802	0.002963	0.00193	NA	0.002674	0.003044	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Alloprevotella"	"G"	961	51	10	1	NA	NA	27	51	18	3	NA	NA	16	2	0.005454	0.002939	0.001932	NA	NA	0.00287	0.005454	0.002319	0.0001754	NA	NA	0.00174	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Prevotella 9"	"G"	11183	13	1	NA	NA	NA	5	13	7	1	NA	2	1	NA	0.00139	0.0002939	NA	NA	NA	0.0005315	0.00139	0.0009017	5.848e-05	NA	0.001337	0.0001087	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Prevotellaceae UCG-001"	"G"	11186	2	1	NA	NA	NA	2	1	2	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	0.0002126	0.0001069	0.0002576	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Bacteroidetes BD2-2"	"F"	24595	85	31	7	1	NA	58	85	36	44	NA	5	24	2	0.1155	0.00911	0.01352	0.1155	NA	0.006165	0.009089	0.004637	0.002573	NA	0.003342	0.002609	0.004135	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"F082"	"F"	24610	36	17	NA	NA	NA	26	36	18	NA	NA	3	16	1	0.004996	0.004996	NA	NA	NA	0.002764	0.00385	0.002319	NA	NA	0.002005	0.00174	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"SB-5"	"F"	24653	44	15	1	NA	NA	28	44	13	3	NA	2	19	1	0.004705	0.004408	0.001932	NA	NA	0.002976	0.004705	0.001675	0.0001754	NA	0.001337	0.002066	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Marinilabiliaceae"	"F"	24619	32	9	1	NA	NA	17	32	12	6	NA	4	30	1	0.003422	0.002645	0.001932	NA	NA	0.001807	0.003422	0.001546	0.0003509	NA	0.002674	0.003262	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"uncultured"	"G"	24633	28	9	1	NA	NA	14	28	10	6	NA	4	27	NA	0.002994	0.002645	0.001932	NA	NA	0.001488	0.002994	0.001288	0.0003509	NA	0.002674	0.002935	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Marinilabiliaceae"
"Tannerellaceae"	"F"	24657	8	3	1	NA	NA	7	7	7	1	NA	1	8	NA	0.001932	0.0008816	0.001932	NA	NA	0.0007441	0.0007485	0.0009017	5.848e-05	NA	0.0006684	0.0008698	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Candidatus Vestibaculum"	"G"	24658	2	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0002139	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Tannerellaceae"
"Parabacteroides"	"G"	24660	8	1	1	NA	NA	7	5	7	1	NA	1	8	NA	0.001932	0.0002939	0.001932	NA	NA	0.0007441	0.0005347	0.0009017	5.848e-05	NA	0.0006684	0.0008698	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Tannerellaceae"
"Tannerella"	"G"	24661	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Tannerellaceae"
"Prolixibacteraceae"	"F"	14273	9	2	NA	NA	NA	7	9	4	2	NA	NA	5	1	0.002068	0.0005878	NA	NA	NA	0.0007441	0.0009624	0.0005153	0.000117	NA	NA	0.0005436	0.002068	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"uncultured"	"G"	14279	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001087	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prolixibacteraceae"
