	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	Mock-April_family.tsv	Mock-August_family.tsv	Mock-June_family.tsv	N-August_family.tsv
Alcanivoracaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonadaceae	24.0	26.0	68.0	14.0	10.0	15.0	31.0	77.0	5.0	11.0	3.0	28.0	31.0	15.0	9.0	12.0	0.0	0.0	0.0	18.0
Amb-16S-1323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amoebophilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillaceae	15.0	10.0	20.0	40.0	17.0	12.0	11.0	10.0	15.0	7.0	1.0	0.0	228.0	22.0	7.0	11.0	0.0	0.0	0.0	0.0
Archangiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcobacteraceae	2457.0	245.0	175.0	316.0	149.0	3667.0	1156.0	176.0	2837.0	473.0	345.0	20.0	618.0	4766.0	4522.0	6065.0	7.0	2.0	0.0	1080.0
Arctic95B-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Armatimonadaceae	5.0	4.0	8.0	11.0	9.0	3.0	10.0	194.0	15.0	321.0	507.0	185.0	4.0	1.0	633.0	399.0	0.0	3.0	0.0	142.0
Azospirillaceae	0.0	12.0	8.0	3.0	37.0	0.0	1.0	85.0	1.0	19.0	9.0	8.0	11.0	2.0	2.0	0.0	0.0	0.0	0.0	118.0
Azospirillales Incertae Sedis	0.0	1.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	22.0	25.0	2.0	0.0	0.0	0.0	0.0	0.0
B1-7BS	2.0	8.0	6.0	25.0	9.0	0.0	1.0	20.0	16.0	7.0	8.0	3.0	5.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
B122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIrii41	3.0	4.0	0.0	20.0	0.0	4.0	3.0	29.0	4.0	2.0	2.0	3.0	58.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV26	1.0	3.0	0.0	7.0	2.0	0.0	3.0	12.0	24.0	3.0	7.0	4.0	6.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
Babeliaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillaceae	5.0	11.0	13.0	10.0	18.0	4.0	16.0	65.0	2.0	50.0	40.0	31.0	2.0	13.0	4.0	11.0	4645.0	4528.0	4829.0	32.0
Bacteriovoracaceae	26.0	6.0	5.0	6.0	4.0	36.0	29.0	15.0	49.0	11.0	11.0	2.0	487.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroidaceae	19.0	4.0	0.0	13.0	5.0	20.0	10.0	1.0	13.0	3.0	2.0	0.0	2.0	1.0	9.0	9.0	0.0	0.0	0.0	0.0
Bacteroidetes BD2-2	2.0	0.0	0.0	6.0	14.0	0.0	1.0	1.0	8.0	1.0	3.0	0.0	2.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0
Bacteroidetes vadinHA17	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
Balneolaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Barnesiellaceae	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bdellovibrionaceae	0.0	2.0	5.0	18.0	2.0	0.0	4.0	36.0	8.0	20.0	32.0	30.0	56.0	10.0	6.0	9.0	0.0	0.0	0.0	0.0
Beggiatoaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckiaceae	7.0	12.0	22.0	76.0	39.0	11.0	39.0	43.0	22.0	23.0	20.0	32.0	748.0	67.0	48.0	45.0	0.0	0.0	0.0	569.0
Beutenbergiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastocatellaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	7.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Blfdi19	3.0	3.0	2.0	7.0	7.0	2.0	7.0	6.0	12.0	1.0	6.0	3.0	69.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0
Brocadiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiaceae	15485.0	13342.0	16116.0	24462.0	11529.0	11740.0	18891.0	17326.0	14977.0	15953.0	18374.0	26874.0	7285.0	11169.0	4993.0	8397.0	16.0	27.0	47.0	7529.0
C2U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR-115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caedibacteraceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Caldicoprobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldilineaceae	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	17.0	3.0	0.0	0.0	0.0	0.0	0.0
Caldisericaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calditrichaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacteraceae	1.0	0.0	0.0	0.0	0.0	5.0	6.0	3.0	6.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	46.0	9.0	8.0	94.0	6.0	50.0	41.0	6.0	45.0	25.0	14.0	4.0	27.0	344.0	5.0	7.0	25.0	23.0	18.0	26.0
Caulobacteraceae	25.0	8.0	16.0	124.0	54.0	31.0	71.0	64.0	42.0	10.0	14.0	44.0	528.0	51.0	28.0	30.0	0.0	1.0	0.0	0.0
Cellvibrionaceae	12.0	6.0	2.0	9.0	6.0	2.0	8.0	28.0	1.0	2.0	1.0	0.0	21.0	8.0	9.0	0.0	0.0	0.0	0.0	0.0
Chitinibacteraceae	12.0	23.0	19.0	24.0	35.0	9.0	24.0	84.0	5.0	19.0	14.0	7.0	195.0	5.0	9.0	1.0	0.0	0.0	0.0	107.0
Chitinimonadaceae	0.0	2.0	0.0	4.0	3.0	1.0	0.0	2.0	0.0	9.0	9.0	0.0	10.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Chitinophagaceae	153.0	84.0	47.0	43.0	109.0	100.0	114.0	133.0	205.0	217.0	320.0	119.0	56.0	504.0	515.0	453.0	0.0	2.0	0.0	226.0
Christensenellaceae	12.0	2.0	14.0	51.0	10.0	13.0	12.0	17.0	10.0	8.0	7.0	9.0	7.0	53.0	10.0	0.0	0.0	0.0	0.0	0.0
Chromatiaceae	4.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chromobacteriaceae	13.0	19.0	24.0	21.0	24.0	6.0	17.0	34.0	13.0	3.0	5.0	38.0	74.0	1.0	3.0	0.0	0.0	0.0	0.0	10.0
Chroococcidiopsaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0
Clade III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	11.0	4.0	0.0	0.0	0.0	0.0
Clostridiaceae 1	22.0	24.0	15.0	13.0	96.0	21.0	22.0	120.0	24.0	61.0	75.0	52.0	32.0	91.0	37.0	47.0	0.0	0.0	0.0	32.0
Clostridiaceae 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiaceae 4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiales vadinBB60 group	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Competibacteraceae	0.0	0.0	0.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	47.0	5.0	6.0	4.0	0.0	0.0	0.0	0.0
Coxiellaceae	7.0	0.0	5.0	2.0	3.0	5.0	7.0	6.0	2.0	6.0	2.0	10.0	45.0	9.0	6.0	12.0	0.0	0.0	0.0	4.0
Crocinitomicaceae	221.0	246.0	152.0	59.0	380.0	281.0	143.0	51.0	196.0	100.0	66.0	32.0	86.0	70.0	201.0	171.0	0.0	0.0	0.0	282.0
Cryomorphaceae	3.0	2.0	5.0	1.0	0.0	0.0	2.0	4.0	0.0	2.0	2.0	0.0	4.0	1.0	68.0	26.0	0.0	0.0	0.0	0.0
Cryptosporangiaceae	0.0	2.0	6.0	10.0	4.0	0.0	1.0	10.0	0.0	3.0	0.0	0.0	0.0	18.0	68.0	72.0	0.0	0.0	0.0	7.0
Cyanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanobiaceae	0.0	1.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	9.0	21.0	0.0	0.0	1.0	88.0	110.0	0.0	0.0	0.0	0.0
Cyclobacteriaceae	19.0	2.0	0.0	8.0	3.0	43.0	31.0	6.0	26.0	9.0	22.0	1.0	28.0	6.0	78.0	118.0	0.0	0.0	0.0	0.0
Cytophagaceae	13.0	3.0	0.0	7.0	4.0	12.0	14.0	12.0	14.0	5.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
D05-2	0.0	1.0	0.0	3.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deferribacteraceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defluviitaleaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Deinococcaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Demequinaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfarculaceae	0.0	1.0	0.0	18.0	0.0	0.0	8.0	2.0	4.0	2.0	5.0	0.0	41.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0
Desulfobacteraceae	1.0	0.0	0.0	8.0	0.0	1.0	5.0	2.0	6.0	3.0	3.0	7.0	19.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfobulbaceae	0.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0	7.0	0.0	0.0	0.0	13.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfovibrionaceae	1.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfuromonadaceae	4.0	2.0	0.0	1.0	0.0	1.0	9.0	4.0	5.0	1.0	2.0	0.0	31.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Devosiaceae	13.0	16.0	35.0	88.0	67.0	20.0	44.0	65.0	19.0	12.0	25.0	25.0	299.0	73.0	24.0	19.0	0.0	0.0	0.0	0.0
Diplorickettsiaceae	70.0	316.0	193.0	107.0	147.0	52.0	85.0	724.0	48.0	442.0	334.0	402.0	636.0	114.0	47.0	37.0	0.0	6.0	1.0	474.0
Dongiaceae	0.0	0.0	8.0	7.0	12.0	5.0	3.0	2.0	2.0	0.0	4.0	0.0	34.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Dysgonomonadaceae	1.0	3.0	0.0	0.0	1.0	2.0	4.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ectothiorhodospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Elsteraceae	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endomicrobiaceae	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriaceae	257.0	187.0	204.0	212.0	84.0	51.0	126.0	215.0	40.0	36.0	44.0	52.0	252.0	152.0	58.0	54.0	22225.0	22547.0	21356.0	491.0
Enterococcaceae	2.0	6.0	11.0	1.0	4.0	0.0	2.0	9.0	5.0	2.0	8.0	16.0	4.0	7.0	0.0	7.0	1805.0	1733.0	1977.0	0.0
Entotheonellaceae	0.0	0.0	0.0	4.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Erysipelotrichaceae	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Eubacteriaceae	0.0	1.0	3.0	2.0	0.0	0.0	3.0	5.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
FFCH9454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Family XI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Family XII	5.0	2.0	4.0	5.0	3.0	11.0	2.0	15.0	4.0	8.0	4.0	7.0	2.0	10.0	3.0	10.0	3.0	8.0	3.0	0.0
Family XIII	6.0	2.0	3.0	0.0	3.0	3.0	1.0	4.0	4.0	8.0	3.0	0.0	1.0	9.0	3.0	4.0	0.0	0.0	0.0	0.0
Family XVIII	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ferrovaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibrobacteraceae	23.0	34.0	18.0	28.0	47.0	31.0	30.0	96.0	42.0	35.0	13.0	10.0	32.0	12.0	12.0	16.0	0.0	0.0	0.0	5.0
Fimbriimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Flammeovirgaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavobacteriaceae	1353.0	717.0	816.0	253.0	1129.0	1486.0	1107.0	284.0	1025.0	229.0	208.0	91.0	366.0	339.0	313.0	410.0	1.0	0.0	2.0	1869.0
Fodinicurvataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Francisellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
GWC2-45-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GWF2-44-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gaiellaceae	0.0	2.0	3.0	7.0	4.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gallionellaceae	58.0	26.0	12.0	82.0	11.0	49.0	70.0	62.0	78.0	45.0	34.0	14.0	80.0	18.0	2.0	0.0	0.0	0.0	0.0	101.0
Geitlerinemaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Geminicoccaceae	0.0	2.0	1.0	21.0	8.0	0.0	1.0	5.0	0.0	5.0	0.0	6.0	9.0	25.0	0.0	6.0	0.0	0.0	0.0	0.0
Gemmataceae	5.0	10.0	9.0	80.0	5.0	3.0	17.0	35.0	5.0	13.0	11.0	19.0	10.0	38.0	8.0	5.0	0.0	0.0	0.0	0.0
Gemmatimonadaceae	10.0	14.0	9.0	65.0	29.0	4.0	8.0	71.0	32.0	46.0	89.0	24.0	246.0	49.0	77.0	155.0	0.0	0.0	0.0	18.0
Geobacteraceae	2.0	4.0	1.0	17.0	3.0	1.0	16.0	12.0	12.0	7.0	3.0	6.0	129.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0
Gracilibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
Hahellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haliangiaceae	8.0	32.0	22.0	205.0	25.0	19.0	55.0	158.0	61.0	52.0	41.0	44.0	72.0	1336.0	7.0	4.0	0.0	0.0	0.0	29.0
Halieaceae	3.0	1.0	0.0	4.0	0.0	0.0	4.0	3.0	1.0	0.0	1.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	31.0
Halomonadaceae	5.0	3.0	3.0	5.0	0.0	2.0	1.0	3.0	2.0	1.0	0.0	0.0	203.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Halothiobacillaceae	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacteraceae	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Heliobacteriaceae	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Herpetosiphonaceae	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Holophagaceae	0.0	2.0	0.0	5.0	0.0	0.0	3.0	4.0	4.0	0.0	1.0	6.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Holosporaceae	3.0	1.0	0.0	2.0	0.0	1.0	1.0	2.0	3.0	5.0	4.0	4.0	17.0	12.0	13.0	10.0	0.0	0.0	0.0	0.0
Hydrogenedensaceae	0.0	0.0	0.0	6.0	5.0	0.0	2.0	4.0	9.0	2.0	2.0	0.0	3.0	12.0	3.0	0.0	0.0	0.0	0.0	64.0
Hydrogenophilaceae	11.0	8.0	10.0	24.0	15.0	4.0	32.0	5.0	39.0	13.0	10.0	15.0	233.0	7.0	3.0	5.0	0.0	0.0	0.0	0.0
Hymenobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
Hyphomicrobiaceae	7.0	13.0	64.0	114.0	75.0	7.0	26.0	71.0	15.0	31.0	31.0	36.0	250.0	143.0	34.0	32.0	0.0	0.0	0.0	0.0
