"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Synechococcus sp. CC9311"	"S"	64471	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-49"	"S"	585423	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	5	2	1	5	NA	4	NA	NA	NA	NA	4	NA	0.01356	0.0009973	0.01356	0.003065	NA	0.002057	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	4	2	1	4	NA	3	NA	NA	NA	NA	4	NA	0.01356	0.0009973	0.01356	0.002452	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Cyanobium gracile PCC 6307"	"-"	292564	4	2	1	4	NA	3	NA	NA	NA	NA	4	NA	0.01356	0.0009973	0.01356	0.002452	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium>Cyanobium&nbsp;gracile"
"Prochloraceae"	"F"	1213	13366	13366	353	11973	1	8976	NA	5	NA	1	575	NA	7.339	6.665	4.787	7.339	0.625	4.615	NA	0.002748	NA	1.754	0.6319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	13366	13366	353	11973	1	8976	NA	5	NA	1	575	NA	7.339	6.665	4.787	7.339	0.625	4.615	NA	0.002748	NA	1.754	0.6319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	648	648	10	624	NA	445	NA	NA	NA	NA	33	NA	0.3825	0.3231	0.1356	0.3825	NA	0.2288	NA	NA	NA	NA	0.03626	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus marinus subsp. marinus"	"-"	142554	518	518	6	476	NA	352	NA	NA	NA	NA	28	NA	0.2918	0.2583	0.08137	0.2918	NA	0.181	NA	NA	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus str. CCMP1375"	"-"	167539	518	518	6	476	NA	352	NA	NA	NA	NA	28	NA	0.2918	0.2583	0.08137	0.2918	NA	0.181	NA	NA	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;marinus"
"Prochlorococcus marinus str. NATL1A"	"-"	167555	137	122	4	137	NA	90	NA	NA	NA	NA	5	NA	0.08397	0.06083	0.05424	0.08397	NA	0.04628	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	93	93	2	57	NA	64	NA	NA	NA	NA	4	NA	0.04637	0.04637	0.02712	0.03494	NA	0.03291	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbyaceae"	"F"	1890438	698	698	17	630	NA	437	NA	NA	NA	NA	49	NA	0.3862	0.348	0.2305	0.3862	NA	0.2247	NA	NA	NA	NA	0.05385	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	698	698	17	630	NA	437	NA	NA	NA	NA	49	NA	0.3862	0.348	0.2305	0.3862	NA	0.2247	NA	NA	NA	NA	0.05385	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	593	593	13	514	NA	352	NA	NA	NA	NA	24	NA	0.3151	0.2957	0.1763	0.3151	NA	0.181	NA	NA	NA	NA	0.02637	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	64	64	3	49	NA	30	NA	NA	NA	NA	4	NA	0.04068	0.03191	0.04068	0.03003	NA	0.01543	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	65	40	1	65	NA	53	NA	NA	NA	NA	20	NA	0.03984	0.01995	0.01356	0.03984	NA	0.02725	NA	NA	NA	NA	0.02198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08091	0.07031	0.05424	0.08091	NA	0.04011	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08091	0.07031	0.05424	0.08091	NA	0.04011	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08091	0.07031	0.05424	0.08091	NA	0.04011	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Halomicronema hongdechloris C2206"	"-"	1641165	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08091	0.07031	0.05424	0.08091	NA	0.04011	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema>Halomicronema&nbsp;hongdechloris"
"Chamaesiphonaceae"	"F"	1890431	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.001995	0.001995	NA	0.001839	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.001995	0.001995	NA	0.001839	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.001995	0.001995	NA	0.001839	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Chamaesiphon minutus PCC 6605"	"-"	1173020	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.001995	0.001995	NA	0.001839	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon>Chamaesiphon&nbsp;minutus"
"Merismopediaceae"	"F"	1890428	2	2	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	2	2	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Synechocystis sp. PCC 6714"	"S"	1147	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Synechocystis"
"Pseudanabaenaceae"	"F"	1890436	3	2	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.000613	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	3	2	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.000613	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. PCC 7367"	"S"	82654	3	2	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.000613	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Oscillatoriophycideae"	"-"	1301283	10117	10117	266	8766	NA	6479	NA	4	1	2	478	NA	5.373	5.045	3.607	5.373	NA	3.331	NA	0.002199	0.9174	3.509	0.5253	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	8328	8328	220	7188	NA	5242	NA	2	1	NA	403	NA	4.406	4.153	2.983	4.406	NA	2.695	NA	0.001099	0.9174	NA	0.4429	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Microcoleaceae"	"F"	1892252	6435	6435	161	5459	NA	4066	NA	NA	1	NA	279	NA	3.346	3.209	2.183	3.346	NA	2.091	NA	NA	0.9174	NA	0.3066	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Planktothrix"	"G"	54304	6365	6365	159	5396	NA	4003	NA	NA	1	NA	276	NA	3.307	3.174	2.156	3.307	NA	2.058	NA	NA	0.9174	NA	0.3033	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Planktothrix agardhii"	"S"	1160	6365	6365	159	5396	NA	4003	NA	NA	1	NA	276	NA	3.307	3.174	2.156	3.307	NA	2.058	NA	NA	0.9174	NA	0.3033	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Planktothrix"
"Planktothrix agardhii NIVA-CYA 126/8"	"-"	388467	6365	6365	159	5396	NA	4003	NA	NA	1	NA	276	NA	3.307	3.174	2.156	3.307	NA	2.058	NA	NA	0.9174	NA	0.3033	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Planktothrix>Planktothrix&nbsp;agardhii"
"Arthrospira"	"G"	35823	34	34	NA	31	NA	26	NA	NA	NA	NA	2	NA	0.019	0.01695	NA	0.019	NA	0.01337	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Microcoleus"	"G"	44471	34	34	2	30	NA	33	NA	NA	NA	NA	1	NA	0.02712	0.01695	0.02712	0.01839	NA	0.01697	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Microcoleus sp. PCC 7113"	"S"	1173027	34	34	2	30	NA	33	NA	NA	NA	NA	1	NA	0.02712	0.01695	0.02712	0.01839	NA	0.01697	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Microcoleus"
"Trichodesmium"	"G"	1205	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium erythraeum"	"S"	1206	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium"
"Trichodesmium erythraeum IMS101"	"-"	203124	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium>Trichodesmium&nbsp;erythraeum"
"Gomontiellaceae"	"F"	1892255	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6013	0.553	0.4746	0.6013	NA	0.3327	NA	0.001099	NA	NA	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Crinalium"	"G"	241421	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6013	0.553	0.4746	0.6013	NA	0.3327	NA	0.001099	NA	NA	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae"
"Crinalium epipsammum"	"S"	241425	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6013	0.553	0.4746	0.6013	NA	0.3327	NA	0.001099	NA	NA	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium"
"Crinalium epipsammum PCC 9333"	"-"	1173022	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6013	0.553	0.4746	0.6013	NA	0.3327	NA	0.001099	NA	NA	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium>Crinalium&nbsp;epipsammum"
"Coleofasciculaceae"	"F"	1892251	481	481	18	450	NA	319	NA	NA	NA	NA	27	NA	0.2758	0.2398	0.2441	0.2758	NA	0.164	NA	NA	NA	NA	0.02967	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
