"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	37	37	1	31	NA	23	NA	NA	NA	NA	3	NA	0.02094	0.02029	0.01506	0.02094	NA	0.01275	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	19	17	NA	19	NA	16	NA	NA	NA	NA	2	NA	0.01283	0.009324	NA	0.01283	NA	0.008867	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	10	5	NA	10	NA	6	NA	NA	NA	NA	2	NA	0.006754	0.002742	NA	0.006754	NA	0.003325	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-52"	"S"	585425	5	4	NA	3	NA	5	NA	NA	NA	NA	NA	NA	0.002771	0.002194	NA	0.002026	NA	0.002771	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9311"	"S"	64471	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001097	0.001097	NA	NA	NA	0.0005542	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-49"	"S"	585423	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	5	2	1	5	NA	4	NA	NA	NA	NA	4	NA	0.01506	0.001097	0.01506	0.003377	NA	0.002217	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	4	2	1	4	NA	3	NA	NA	NA	NA	4	NA	0.01506	0.001097	0.01506	0.002701	NA	0.001663	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Prochloraceae"	"F"	1213	13366	13366	353	11973	1	8976	NA	5	NA	1	575	NA	8.086	7.331	5.315	8.086	0.6579	4.974	NA	0.002751	NA	1.786	0.6879	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	13366	13366	353	11973	1	8976	NA	5	NA	1	575	NA	8.086	7.331	5.315	8.086	0.6579	4.974	NA	0.002751	NA	1.786	0.6879	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	648	648	10	624	NA	445	NA	NA	NA	NA	33	NA	0.4214	0.3554	0.1506	0.4214	NA	0.2466	NA	NA	NA	NA	0.03948	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	93	93	2	57	NA	64	NA	NA	NA	NA	4	NA	0.05101	0.05101	0.03011	0.0385	NA	0.03547	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbyaceae"	"F"	1890438	698	698	17	630	NA	437	NA	NA	NA	NA	49	NA	0.4255	0.3828	0.2559	0.4255	NA	0.2422	NA	NA	NA	NA	0.05862	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	698	698	17	630	NA	437	NA	NA	NA	NA	49	NA	0.4255	0.3828	0.2559	0.4255	NA	0.2422	NA	NA	NA	NA	0.05862	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	593	593	13	514	NA	352	NA	NA	NA	NA	24	NA	0.3471	0.3252	0.1957	0.3471	NA	0.1951	NA	NA	NA	NA	0.02871	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	64	64	3	49	NA	30	NA	NA	NA	NA	4	NA	0.04517	0.0351	0.04517	0.03309	NA	0.01663	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	65	40	1	65	NA	53	NA	NA	NA	NA	20	NA	0.0439	0.02194	0.01506	0.0439	NA	0.02937	NA	NA	NA	NA	0.02393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08915	0.07733	0.06022	0.08915	NA	0.04323	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08915	0.07733	0.06022	0.08915	NA	0.04323	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	141	141	4	132	NA	78	NA	NA	NA	NA	8	NA	0.08915	0.07733	0.06022	0.08915	NA	0.04323	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Chamaesiphonaceae"	"F"	1890431	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.002194	0.002194	NA	0.002026	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.002194	0.002194	NA	0.002026	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.002194	0.002194	NA	0.002026	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Pseudanabaenaceae"	"F"	1890436	3	2	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001097	NA	0.0006754	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	3	2	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001097	NA	0.0006754	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. PCC 7367"	"S"	82654	3	2	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001097	NA	0.0006754	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Merismopediaceae"	"F"	1890428	2	2	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002393	0.001097	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	2	2	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002393	0.001097	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Synechocystis sp. PCC 6714"	"S"	1147	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Synechocystis"
"Oscillatoriophycideae"	"-"	1301283	10117	10117	266	8766	NA	6479	NA	4	1	2	478	NA	5.92	5.549	4.005	5.92	NA	3.591	NA	0.002201	0.9804	3.571	0.5719	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	8328	8328	220	7188	NA	5242	NA	2	1	NA	403	NA	4.854	4.567	3.312	4.854	NA	2.905	NA	0.001101	0.9804	NA	0.4822	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Microcoleaceae"	"F"	1892252	6435	6435	161	5459	NA	4066	NA	NA	1	NA	279	NA	3.687	3.529	2.424	3.687	NA	2.253	NA	NA	0.9804	NA	0.3338	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Planktothrix"	"G"	54304	6365	6365	159	5396	NA	4003	NA	NA	1	NA	276	NA	3.644	3.491	2.394	3.644	NA	2.218	NA	NA	0.9804	NA	0.3302	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Planktothrix agardhii"	"S"	1160	6365	6365	159	5396	NA	4003	NA	NA	1	NA	276	NA	3.644	3.491	2.394	3.644	NA	2.218	NA	NA	0.9804	NA	0.3302	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Planktothrix"
"Microcoleus"	"G"	44471	34	34	2	30	NA	33	NA	NA	NA	NA	1	NA	0.03011	0.01865	0.03011	0.02026	NA	0.01829	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Microcoleus sp. PCC 7113"	"S"	1173027	34	34	2	30	NA	33	NA	NA	NA	NA	1	NA	0.03011	0.01865	0.03011	0.02026	NA	0.01829	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Microcoleus"
"Arthrospira"	"G"	35823	34	34	NA	31	NA	26	NA	NA	NA	NA	2	NA	0.02094	0.01865	NA	0.02094	NA	0.01441	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium"	"G"	1205	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001108	0.001097	NA	0.0006754	NA	0.001108	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium erythraeum"	"S"	1206	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001108	0.001097	NA	0.0006754	NA	0.001108	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium"
"Gomontiellaceae"	"F"	1892255	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6625	0.6082	0.5269	0.6625	NA	0.3586	NA	0.001101	NA	NA	0.0658	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Crinalium"	"G"	241421	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6625	0.6082	0.5269	0.6625	NA	0.3586	NA	0.001101	NA	NA	0.0658	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae"
"Crinalium epipsammum"	"S"	241425	1109	1109	35	981	NA	647	NA	2	NA	NA	55	NA	0.6625	0.6082	0.5269	0.6625	NA	0.3586	NA	0.001101	NA	NA	0.0658	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium"
"Coleofasciculaceae"	"F"	1892251	481	481	18	450	NA	319	NA	NA	NA	NA	27	NA	0.3039	0.2638	0.271	0.3039	NA	0.1768	NA	NA	NA	NA	0.0323	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Geitlerinema"	"G"	63132	481	481	18	450	NA	319	NA	NA	NA	NA	27	NA	0.3039	0.2638	0.271	0.3039	NA	0.1768	NA	NA	NA	NA	0.0323	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae"
"Geitlerinema sp. PCC 7407"	"S"	1173025	481	481	18	450	NA	319	NA	NA	NA	NA	27	NA	0.3039	0.2638	0.271	0.3039	NA	0.1768	NA	NA	NA	NA	0.0323	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Geitlerinema"
"Cyanothecaceae"	"F"	1892249	207	207	2	197	NA	153	NA	NA	NA	NA	19	NA	0.133	0.1135	0.03011	0.133	NA	0.08479	NA	NA	NA	NA	0.02273	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Cyanothece"	"G"	43988	207	207	2	197	NA	153	NA	NA	NA	NA	19	NA	0.133	0.1135	0.03011	0.133	NA	0.08479	NA	NA	NA	NA	0.02273	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae"
"Cyanothece sp. PCC 7822"	"S"	497965	173	173	NA	136	NA	120	NA	NA	NA	NA	9	NA	0.09488	0.09488	NA	0.09185	NA	0.0665	NA	NA	NA	NA	0.01077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Oscillatoriaceae"	"F"	1892254	75	75	3	75	NA	41	NA	NA	NA	NA	19	NA	0.05065	0.04113	0.04517	0.05065	NA	0.02272	NA	NA	NA	NA	0.02273	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Oscillatoria"	"G"	1158	56	41	2	56	NA	25	NA	NA	NA	NA	19	NA	0.03782	0.02249	0.03011	0.03782	NA	0.01385	NA	NA	NA	NA	0.02273	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Oscillatoria acuminata"	"S"	118323	47	32	2	47	NA	24	NA	NA	NA	NA	11	NA	0.03174	0.01755	0.03011	0.03174	NA	0.0133	NA	NA	NA	NA	0.01316	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Oscillatoria nigro-viridis"	"S"	482564	9	9	NA	9	NA	1	NA	NA	NA	NA	8	NA	0.009571	0.004936	NA	0.006078	NA	0.0005542	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Moorea"	"G"	1155738	34	34	1	19	NA	16	NA	NA	NA	NA	NA	NA	0.01865	0.01865	0.01506	0.01283	NA	0.008867	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Moorea producens"	"S"	1155739	34	34	1	19	NA	16	NA	NA	NA	NA	NA	NA	0.01865	0.01865	0.01506	0.01283	NA	0.008867	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Moorea"
