"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"Pseudarcicella"	"G"	1664383	374540	71777	8314	40	48	82582	87763	78529	796	28	49263	374536	14917	39.27	20.44	15.58	4.571	3.499	8.447	9.045	9.721	0.04508	3.357	31.86	39.27	30	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	374540	71777	8314	40	48	82582	87763	78529	796	28	49263	374536	14917	39.27	20.44	15.58	4.571	3.499	8.447	9.045	9.721	0.04508	3.357	31.86	39.27	30	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Spirosoma"	"G"	107	13507	5734	614	13	6	10770	13507	5017	7	2	619	4344	364	1.633	1.633	1.151	1.486	0.4373	1.102	1.392	0.621	0.0003964	0.2398	0.4003	0.4555	0.732	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma pollinicola"	"S"	2057025	104	41	4	NA	1	89	104	38	NA	NA	3	30	6	0.07289	0.01168	0.007497	NA	0.07289	0.009103	0.01072	0.004704	NA	NA	0.00194	0.003146	0.01207	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	51	10	1	NA	NA	21	32	28	NA	NA	9	51	NA	0.005821	0.002848	0.001874	NA	NA	0.002148	0.003298	0.003466	NA	NA	0.005821	0.005348	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aerolatum"	"S"	1211326	15	8	NA	NA	NA	10	7	10	NA	NA	4	15	3	0.006033	0.002279	NA	NA	NA	0.001023	0.0007214	0.001238	NA	NA	0.002587	0.001573	0.006033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma montaniterrae"	"S"	1178516	14	5	1	NA	NA	8	7	7	NA	NA	1	14	NA	0.001874	0.001424	0.001874	NA	NA	0.0008183	0.0007214	0.0008665	NA	NA	0.0006467	0.001468	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma radiotolerans"	"S"	1379870	4	1	NA	NA	NA	1	4	2	NA	NA	NA	1	NA	0.0004123	0.0002848	NA	NA	NA	0.0001023	0.0004123	0.0002476	NA	NA	NA	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Fibrella"	"G"	861914	2366	410	54	1	NA	695	856	498	6	NA	269	2366	79	0.2481	0.1168	0.1012	0.1143	NA	0.07109	0.08822	0.06165	0.0003398	NA	0.174	0.2481	0.1589	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	2342	406	52	1	NA	674	830	456	5	NA	269	2342	75	0.2456	0.1156	0.09746	0.1143	NA	0.06894	0.08554	0.05645	0.0002832	NA	0.174	0.2456	0.1508	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina"	"S"	651143	36	1	2	NA	NA	10	14	36	1	NA	NA	15	NA	0.004456	0.0002848	0.003749	NA	NA	0.001023	0.001443	0.004456	5.663e-05	NA	NA	0.001573	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina BUZ 2"	"-"	1166018	36	1	2	NA	NA	10	14	36	1	NA	NA	15	NA	0.004456	0.0002848	0.003749	NA	NA	0.001023	0.001443	0.004456	5.663e-05	NA	NA	0.001573	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella>Fibrella&nbsp;aestuarina"
"Cytophaga"	"G"	978	859	274	27	NA	NA	660	859	552	3	NA	52	412	19	0.08853	0.07804	0.05061	NA	NA	0.06751	0.08853	0.06833	0.0001699	NA	0.03363	0.0432	0.03821	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	859	274	27	NA	NA	660	859	552	3	NA	52	412	19	0.08853	0.07804	0.05061	NA	NA	0.06751	0.08853	0.06833	0.0001699	NA	0.03363	0.0432	0.03821	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga hutchinsonii ATCC 33406"	"-"	269798	859	274	27	NA	NA	660	859	552	3	NA	52	412	19	0.08853	0.07804	0.05061	NA	NA	0.06751	0.08853	0.06833	0.0001699	NA	0.03363	0.0432	0.03821	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga>Cytophaga&nbsp;hutchinsonii"
"Runella"	"G"	105	216	41	5	3	1	216	143	35	2	NA	62	75	31	0.3429	0.01168	0.009372	0.3429	0.07289	0.02209	0.01474	0.004333	0.0001133	NA	0.0401	0.007865	0.06234	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella slithyformis"	"S"	106	50	13	NA	NA	NA	50	20	6	NA	NA	21	13	10	0.02011	0.003703	NA	NA	NA	0.005114	0.002061	0.0007427	NA	NA	0.01358	0.001363	0.02011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella slithyformis DSM 19594"	"-"	761193	50	13	NA	NA	NA	50	20	6	NA	NA	21	13	10	0.02011	0.003703	NA	NA	NA	0.005114	0.002061	0.0007427	NA	NA	0.01358	0.001363	0.02011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella>Runella&nbsp;slithyformis"
"Runella sp. SP2"	"S"	2268026	107	11	3	2	1	107	63	2	2	NA	33	27	13	0.2286	0.003133	0.005623	0.2286	0.07289	0.01094	0.006493	0.0002476	0.0001133	NA	0.02134	0.002831	0.02614	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. HYN0085"	"S"	2259595	18	3	1	NA	NA	18	8	4	NA	NA	1	16	3	0.006033	0.0008544	0.001874	NA	NA	0.001841	0.0008245	0.0004952	NA	NA	0.0006467	0.001678	0.006033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Leadbetterella"	"G"	319458	245	41	2	NA	1	115	164	245	NA	NA	11	129	38	0.07642	0.01168	0.003749	NA	0.07289	0.01176	0.0169	0.03033	NA	NA	0.007114	0.01353	0.07642	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	245	41	2	NA	1	115	164	245	NA	NA	11	129	38	0.07642	0.01168	0.003749	NA	0.07289	0.01176	0.0169	0.03033	NA	NA	0.007114	0.01353	0.07642	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Leadbetterella byssophila DSM 17132"	"-"	649349	245	41	2	NA	1	115	164	245	NA	NA	11	129	38	0.07642	0.01168	0.003749	NA	0.07289	0.01176	0.0169	0.03033	NA	NA	0.007114	0.01353	0.07642	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella>Leadbetterella&nbsp;byssophila"
"Dyadobacter"	"G"	120831	45	18	NA	NA	NA	36	45	16	1	NA	3	24	1	0.005127	0.005127	NA	NA	NA	0.003682	0.004638	0.001981	5.663e-05	NA	0.00194	0.002517	0.002011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Dyadobacter fermentans"	"S"	94254	45	18	NA	NA	NA	36	45	16	1	NA	3	24	1	0.005127	0.005127	NA	NA	NA	0.003682	0.004638	0.001981	5.663e-05	NA	0.00194	0.002517	0.002011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter"
"Dyadobacter fermentans DSM 18053"	"-"	471854	45	18	NA	NA	NA	36	45	16	1	NA	3	24	1	0.005127	0.005127	NA	NA	NA	0.003682	0.004638	0.001981	5.663e-05	NA	0.00194	0.002517	0.002011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter>Dyadobacter&nbsp;fermentans"
"Arcticibacterium"	"G"	2173039	84	14	1	NA	NA	47	84	40	NA	1	6	32	7	0.1199	0.003987	0.001874	NA	NA	0.004807	0.008657	0.004952	NA	0.1199	0.00388	0.003356	0.01408	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Arcticibacterium luteifluviistationis"	"S"	1784714	84	14	1	NA	NA	47	84	40	NA	1	6	32	7	0.1199	0.003987	0.001874	NA	NA	0.004807	0.008657	0.004952	NA	0.1199	0.00388	0.003356	0.01408	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcticibacterium"
"Amoebophilaceae"	"F"	1501348	11664	3432	413	8	6	8370	11664	4017	12	1	376	2956	356	1.202	0.9775	0.7741	0.9143	0.4373	0.8561	1.202	0.4973	0.0006796	0.1199	0.2432	0.31	0.7159	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Candidatus Cardinium"	"G"	273135	1989	804	83	1	1	1577	1989	751	2	NA	74	569	37	0.229	0.229	0.1556	0.1143	0.07289	0.1613	0.205	0.09297	0.0001133	NA	0.04786	0.05967	0.07441	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Cardinium endosymbiont of Sogatella furcifera"	"S"	650378	1370	574	53	NA	1	1128	1370	520	1	NA	50	394	23	0.1635	0.1635	0.09934	NA	0.07289	0.1154	0.1412	0.06437	5.663e-05	NA	0.03234	0.04132	0.04625	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont of Encarsia pergandiella"	"S"	249402	567	214	27	1	NA	410	567	201	1	NA	21	159	12	0.1143	0.06095	0.05061	0.1143	NA	0.04194	0.05844	0.02488	5.663e-05	NA	0.01358	0.01667	0.02413	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont cEper1 of Encarsia pergandiella"	"-"	1231626	567	214	27	1	NA	410	567	201	1	NA	21	159	12	0.1143	0.06095	0.05061	0.1143	NA	0.04194	0.05844	0.02488	5.663e-05	NA	0.01358	0.01667	0.02413	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium>Cardinium&nbsp;endosymbiont&nbsp;of&nbsp;Encarsia&nbsp;pergandiella"
"Candidatus Cardinium hertigii"	"S"	247481	27	8	1	NA	NA	27	26	21	NA	NA	2	10	NA	0.002762	0.002279	0.001874	NA	NA	0.002762	0.00268	0.0026	NA	NA	0.001293	0.001049	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Candidatus Amoebophilus"	"G"	281119	2496	307	57	1	2	1727	2496	923	2	NA	89	652	127	0.2572	0.08744	0.1068	0.1143	0.1458	0.1766	0.2572	0.1143	0.0001133	NA	0.05756	0.06837	0.2554	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Candidatus Amoebophilus asiaticus"	"S"	281120	2496	307	57	1	2	1727	2496	923	2	NA	89	652	127	0.2572	0.08744	0.1068	0.1143	0.1458	0.1766	0.2572	0.1143	0.0001133	NA	0.05756	0.06837	0.2554	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus"
"Candidatus Amoebophilus asiaticus 5a2"	"-"	452471	2496	307	57	1	2	1727	2496	923	2	NA	89	652	127	0.2572	0.08744	0.1068	0.1143	0.1458	0.1766	0.2572	0.1143	0.0001133	NA	0.05756	0.06837	0.2554	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus>Candidatus&nbsp;Amoebophilus&nbsp;asiaticus"
"Flammeovirgaceae"	"F"	200667	7262	2855	298	6	NA	5345	7262	2741	11	1	293	2378	167	0.8131	0.8131	0.5585	0.6857	NA	0.5467	0.7484	0.3393	0.0006229	0.1199	0.1895	0.2494	0.3358	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Flammeovirga"	"G"	59739	6844	2754	291	4	NA	5093	6844	2473	7	1	274	2211	157	0.7844	0.7844	0.5454	0.4571	NA	0.5209	0.7054	0.3061	0.0003964	0.1199	0.1772	0.2319	0.3157	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirga sp. MY04"	"S"	1191459	6844	2754	291	4	NA	5093	6844	2473	7	1	274	2211	157	0.7844	0.7844	0.5454	0.4571	NA	0.5209	0.7054	0.3061	0.0003964	0.1199	0.1772	0.2319	0.3157	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"unclassified Flammeovirgaceae"	"-"	340671	281	85	6	2	NA	140	281	177	2	NA	12	95	10	0.2286	0.02421	0.01125	0.2286	NA	0.01432	0.02896	0.02191	0.0001133	NA	0.007761	0.009962	0.02011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirgaceae bacterium 311"	"S"	1257021	281	85	6	2	NA	140	281	177	2	NA	12	95	10	0.2286	0.02421	0.01125	0.2286	NA	0.01432	0.02896	0.02191	0.0001133	NA	0.007761	0.009962	0.02011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>unclassified&nbsp;Flammeovirgaceae"
"Marivirga"	"G"	869806	123	13	1	NA	NA	97	123	79	2	NA	7	68	NA	0.01268	0.003703	0.001874	NA	NA	0.009921	0.01268	0.009779	0.0001133	NA	0.004527	0.007131	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Marivirga tractuosa"	"S"	1006	123	13	1	NA	NA	97	123	79	2	NA	7	68	NA	0.01268	0.003703	0.001874	NA	NA	0.009921	0.01268	0.009779	0.0001133	NA	0.004527	0.007131	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga"
"Marivirga tractuosa DSM 4126"	"-"	643867	123	13	1	NA	NA	97	123	79	2	NA	7	68	NA	0.01268	0.003703	0.001874	NA	NA	0.009921	0.01268	0.009779	0.0001133	NA	0.004527	0.007131	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga>Marivirga&nbsp;tractuosa"
"Hymenobacteraceae"	"F"	1853232	2577	905	107	3	1	1929	2577	1043	5	1	141	944	97	0.3429	0.2578	0.2006	0.3429	0.07289	0.1973	0.2656	0.1291	0.0002832	0.1199	0.09119	0.09899	0.1951	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Hymenobacter"	"G"	89966	1391	563	63	2	1	1056	1391	527	2	1	67	529	53	0.2286	0.1604	0.1181	0.2286	0.07289	0.108	0.1434	0.06524	0.0001133	0.1199	0.04333	0.05547	0.1066	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
"Hymenobacter swuensis"	"S"	1446467	66	53	10	NA	NA	66	47	18	NA	NA	2	39	3	0.01874	0.0151	0.01874	NA	NA	0.006751	0.004844	0.002228	NA	NA	0.001293	0.00409	0.006033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter swuensis DY53"	"-"	1227739	66	53	10	NA	NA	66	47	18	NA	NA	2	39	3	0.01874	0.0151	0.01874	NA	NA	0.006751	0.004844	0.002228	NA	NA	0.001293	0.00409	0.006033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>Hymenobacter&nbsp;swuensis"
"Hymenobacter sedentarius"	"S"	1411621	60	32	5	NA	NA	52	60	25	NA	NA	5	19	3	0.009372	0.009114	0.009372	NA	NA	0.005319	0.006184	0.003095	NA	NA	0.003234	0.001992	0.006033	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. PAMC 26554"	"S"	1484116	53	18	3	NA	NA	32	53	12	1	NA	2	12	1	0.005623	0.005127	0.005623	NA	NA	0.003273	0.005462	0.001485	5.663e-05	NA	0.001293	0.001258	0.002011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. sh-6"	"S"	2319843	22	9	1	NA	NA	16	22	12	1	NA	3	11	NA	0.002563	0.002563	0.001874	NA	NA	0.001637	0.002267	0.001485	5.663e-05	NA	0.00194	0.001153	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. APR13"	"S"	1356852	9	2	1	NA	NA	4	9	1	NA	NA	1	2	1	0.002011	0.0005696	0.001874	NA	NA	0.0004091	0.0009276	0.0001238	NA	NA	0.0006467	0.0002097	0.002011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter nivis"	"S"	1850093	3	1	NA	NA	NA	1	1	NA	NA	NA	NA	3	NA	0.0003146	0.0002848	NA	NA	NA	0.0001023	0.0001031	NA	NA	NA	NA	0.0003146	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
