"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"Rhodobacter sp. CZR27"	"S"	2033869	2247	1140	193	NA	1	1632	825	2247	16	1	658	746	16	0.4256	0.3247	0.3617	NA	0.07289	0.1669	0.08503	0.2782	0.0009061	0.1199	0.4256	0.07823	0.03218	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus"	"S"	1061	1951	552	79	NA	1	949	693	1951	14	NA	562	675	12	0.3635	0.1572	0.1481	NA	0.07289	0.09707	0.07142	0.2415	0.0007928	NA	0.3635	0.07078	0.02413	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus SB 1003"	"-"	272942	1951	552	79	NA	1	949	693	1951	14	NA	562	675	12	0.3635	0.1572	0.1481	NA	0.07289	0.09707	0.07142	0.2415	0.0007928	NA	0.3635	0.07078	0.02413	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter>Rhodobacter&nbsp;capsulatus"
"Rhodobacter sp. LPB0142"	"S"	1850250	121	49	6	NA	NA	78	70	121	1	NA	42	53	1	0.02716	0.01396	0.01125	NA	NA	0.007978	0.007214	0.01498	5.663e-05	NA	0.02716	0.005558	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Tabrizicola"	"G"	1443919	14015	6628	918	2	8	9483	5099	14015	99	NA	3929	4441	92	2.541	1.888	1.721	0.2286	0.5831	0.97	0.5255	1.735	0.005607	NA	2.541	0.4657	0.185	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tabrizicola sp. K13M18"	"S"	2494374	14015	6628	918	2	8	9483	5099	14015	99	NA	3929	4441	92	2.541	1.888	1.721	0.2286	0.5831	0.97	0.5255	1.735	0.005607	NA	2.541	0.4657	0.185	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Tabrizicola"
"Gemmobacter"	"G"	204456	10869	6538	979	3	7	9169	4895	10869	89	2	2526	3139	126	1.862	1.862	1.835	0.3429	0.5102	0.9378	0.5045	1.345	0.00504	0.2398	1.634	0.3292	0.2534	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Gemmobacter sp. HYN0069"	"S"	2169400	10869	6538	979	3	7	9169	4895	10869	89	2	2526	3139	126	1.862	1.862	1.835	0.3429	0.5102	0.9378	0.5045	1.345	0.00504	0.2398	1.634	0.3292	0.2534	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Gemmobacter"
"Defluviimonas"	"G"	1097466	3277	1434	207	1	NA	2340	1432	3277	28	NA	896	1062	16	0.5795	0.4084	0.388	0.1143	NA	0.2393	0.1476	0.4057	0.001586	NA	0.5795	0.1114	0.03218	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Defluviimonas alba"	"S"	1335048	3277	1434	207	1	NA	2340	1432	3277	28	NA	896	1062	16	0.5795	0.4084	0.388	0.1143	NA	0.2393	0.1476	0.4057	0.001586	NA	0.5795	0.1114	0.03218	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Defluviimonas"
"Paracoccus"	"G"	265	2134	1064	156	1	3	1711	1000	2134	70	NA	622	751	22	0.4023	0.303	0.2924	0.1143	0.2187	0.175	0.1031	0.2642	0.003964	NA	0.4023	0.07875	0.04424	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus yeei"	"S"	147645	965	421	70	1	1	817	492	965	42	NA	249	295	12	0.161	0.1199	0.1312	0.1143	0.07289	0.08357	0.05071	0.1195	0.002379	NA	0.161	0.03093	0.02413	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. SC2-6"	"S"	2259340	169	117	22	NA	NA	169	71	162	3	NA	47	70	1	0.04123	0.03332	0.04123	NA	NA	0.01729	0.007318	0.02005	0.0001699	NA	0.0304	0.00734	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. Arc7-R13"	"S"	2500532	257	109	16	NA	NA	196	133	257	2	NA	90	105	NA	0.05821	0.03104	0.02999	NA	NA	0.02005	0.01371	0.03181	0.0001133	NA	0.05821	0.01101	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus contaminans"	"S"	1945662	123	94	13	NA	NA	91	38	123	3	NA	32	33	2	0.02677	0.02677	0.02437	NA	NA	0.009308	0.003916	0.01523	0.0001699	NA	0.0207	0.00346	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminophilus"	"S"	34003	261	82	5	NA	NA	123	84	261	NA	NA	84	87	2	0.05433	0.02335	0.009372	NA	NA	0.01258	0.008657	0.03231	NA	NA	0.05433	0.009123	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminophilus JCM 7686"	"-"	1367847	261	82	5	NA	NA	123	84	261	NA	NA	84	87	2	0.05433	0.02335	0.009372	NA	NA	0.01258	0.008657	0.03231	NA	NA	0.05433	0.009123	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus>Paracoccus&nbsp;aminophilus"
"Paracoccus sp. CBA4604"	"S"	2065379	75	46	3	NA	1	70	29	75	2	NA	24	24	1	0.07289	0.0131	0.005623	NA	0.07289	0.00716	0.002989	0.009284	0.0001133	NA	0.01552	0.002517	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. BM15"	"S"	1529068	28	13	NA	NA	NA	21	9	28	1	NA	13	11	1	0.008408	0.003703	NA	NA	NA	0.002148	0.0009276	0.003466	5.663e-05	NA	0.008408	0.001153	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus denitrificans"	"S"	266	17	8	2	NA	1	17	5	13	3	NA	9	10	NA	0.07289	0.002279	0.003749	NA	0.07289	0.001739	0.0005153	0.001609	0.0001699	NA	0.005821	0.001049	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminovorans"	"S"	34004	13	8	1	NA	NA	8	13	12	1	NA	4	10	NA	0.002587	0.002279	0.001874	NA	NA	0.0008183	0.00134	0.001485	5.663e-05	NA	0.002587	0.001049	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus zhejiangensis"	"S"	1077935	17	5	3	NA	NA	16	10	12	3	NA	17	11	1	0.01099	0.001424	0.005623	NA	NA	0.001637	0.001031	0.001485	0.0001699	NA	0.01099	0.001153	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Roseovarius"	"G"	74030	1258	551	83	NA	NA	739	490	1258	12	NA	347	444	13	0.2244	0.1569	0.1556	NA	NA	0.07559	0.0505	0.1557	0.0006796	NA	0.2244	0.04656	0.02614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseovarius mucosus"	"S"	215743	1010	473	67	NA	NA	636	426	1010	6	NA	275	341	8	0.1779	0.1347	0.1256	NA	NA	0.06505	0.04391	0.125	0.0003398	NA	0.1779	0.03576	0.01609	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Roseovarius sp. TM1035"	"S"	391613	247	78	16	NA	NA	102	62	247	6	NA	71	101	5	0.04592	0.02222	0.02999	NA	NA	0.01043	0.00639	0.03058	0.0003398	NA	0.04592	0.01059	0.01006	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Roseovarius sp. AK1035"	"-"	2203213	247	78	16	NA	NA	102	62	247	6	NA	71	101	5	0.04592	0.02222	0.02999	NA	NA	0.01043	0.00639	0.03058	0.0003398	NA	0.04592	0.01059	0.01006	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius>Roseovarius&nbsp;sp.&nbsp;TM1035"
"Celeribacter"	"G"	875170	652	298	37	NA	1	385	240	652	8	NA	204	211	5	0.1319	0.08488	0.06935	NA	0.07289	0.03938	0.02474	0.08071	0.0004531	NA	0.1319	0.02213	0.01006	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Celeribacter marinus"	"S"	1397108	549	256	32	NA	1	284	190	549	8	NA	178	186	5	0.1151	0.07291	0.05998	NA	0.07289	0.02905	0.01958	0.06796	0.0004531	NA	0.1151	0.0195	0.01006	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter manganoxidans"	"S"	1411902	87	39	5	NA	NA	85	45	87	NA	NA	18	24	NA	0.01164	0.01111	0.009372	NA	NA	0.008694	0.004638	0.01077	NA	NA	0.01164	0.002517	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter ethanolicus"	"S"	1758178	14	2	NA	NA	NA	14	3	13	NA	NA	5	NA	NA	0.003234	0.0005696	NA	NA	NA	0.001432	0.0003092	0.001609	NA	NA	0.003234	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter indicus"	"S"	1208324	3	1	NA	NA	NA	2	2	3	NA	NA	1	1	NA	0.0006467	0.0002848	NA	NA	NA	0.0002046	0.0002061	0.0003714	NA	NA	0.0006467	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Ketogulonicigenium"	"G"	92944	492	159	28	2	NA	273	183	492	4	NA	168	181	1	0.2286	0.04529	0.05248	0.2286	NA	0.02792	0.01886	0.0609	0.0002265	NA	0.1087	0.01898	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ketogulonicigenium robustum"	"S"	92947	197	79	13	1	NA	114	74	197	2	NA	83	87	1	0.1143	0.0225	0.02437	0.1143	NA	0.01166	0.007627	0.02439	0.0001133	NA	0.05368	0.009123	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium vulgare"	"S"	92945	51	5	2	NA	NA	51	17	44	1	NA	16	19	NA	0.01035	0.001424	0.003749	NA	NA	0.005216	0.001752	0.005447	5.663e-05	NA	0.01035	0.001992	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"unclassified Rhodobacteraceae"	"-"	58840	261	132	14	NA	1	236	128	261	4	NA	101	108	1	0.07289	0.0376	0.02624	NA	0.07289	0.02414	0.01319	0.03231	0.0002265	NA	0.06532	0.01133	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacteraceae bacterium QY30"	"S"	2033435	195	105	10	NA	1	195	107	195	2	NA	81	88	1	0.07289	0.02991	0.01874	NA	0.07289	0.01995	0.01103	0.02414	0.0001133	NA	0.05239	0.009228	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Rhodobacteraceae bacterium BAR1"	"S"	2171755	65	27	4	NA	NA	41	21	65	2	NA	20	20	NA	0.01293	0.00769	0.007497	NA	NA	0.004194	0.002164	0.008046	0.0001133	NA	0.01293	0.002097	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Sedimentitalea"	"G"	1541818	258	105	20	NA	NA	183	126	258	38	NA	52	79	8	0.03749	0.02991	0.03749	NA	NA	0.01872	0.01299	0.03194	0.002152	NA	0.03363	0.008284	0.01609	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sedimentitalea sp. W43"	"S"	2483033	258	105	20	NA	NA	183	126	258	38	NA	52	79	8	0.03749	0.02991	0.03749	NA	NA	0.01872	0.01299	0.03194	0.002152	NA	0.03363	0.008284	0.01609	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sedimentitalea"
"Rhodobaca"	"G"	119541	94	84	23	NA	NA	94	54	89	2	NA	13	33	NA	0.04311	0.02392	0.04311	NA	NA	0.009615	0.005565	0.01102	0.0001133	NA	0.008408	0.00346	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobaca barguzinensis"	"S"	441209	94	84	23	NA	NA	94	54	89	2	NA	13	33	NA	0.04311	0.02392	0.04311	NA	NA	0.009615	0.005565	0.01102	0.0001133	NA	0.008408	0.00346	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobaca"
"Rhodovulum"	"G"	34008	113	32	6	NA	NA	65	42	113	2	NA	27	30	2	0.01746	0.009114	0.01125	NA	NA	0.006648	0.004329	0.01399	0.0001133	NA	0.01746	0.003146	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodovulum sp. P5"	"S"	1564506	25	18	3	NA	NA	19	22	25	1	NA	8	11	NA	0.005623	0.005127	0.005623	NA	NA	0.001943	0.002267	0.003095	5.663e-05	NA	0.005174	0.001153	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Labrenzia"	"G"	478070	50	31	5	NA	NA	27	27	50	2	NA	7	10	3	0.009372	0.008829	0.009372	NA	NA	0.002762	0.002783	0.006189	0.0001133	NA	0.004527	0.001049	0.006033	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Labrenzia sp. VG12"	"S"	2021862	12	4	NA	NA	NA	4	8	12	NA	NA	1	2	NA	0.001485	0.001139	NA	NA	NA	0.0004091	0.0008245	0.001485	NA	NA	0.0006467	0.0002097	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Labrenzia"
"Phaeobacter"	"G"	302485	38	29	4	1	NA	38	26	35	12	NA	17	17	1	0.1143	0.00826	0.007497	0.1143	NA	0.003887	0.00268	0.004333	0.0006796	NA	0.01099	0.001783	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Phaeobacter inhibens"	"S"	221822	35	27	3	NA	NA	35	22	29	12	NA	15	14	NA	0.009701	0.00769	0.005623	NA	NA	0.00358	0.002267	0.00359	0.0006796	NA	0.009701	0.001468	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Phaeobacter gallaeciensis"	"S"	60890	1	1	1	1	NA	1	1	1	NA	NA	NA	1	NA	0.1143	0.0002848	0.001874	0.1143	NA	0.0001023	0.0001031	0.0001238	NA	NA	NA	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Phaeobacter piscinae"	"S"	1580596	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0.002011	0.0002848	NA	NA	NA	NA	NA	0.0001238	NA	NA	NA	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Jannaschia"	"G"	188905	110	25	5	NA	NA	30	31	110	1	NA	22	42	NA	0.01423	0.00712	0.009372	NA	NA	0.003069	0.003195	0.01362	5.663e-05	NA	0.01423	0.004404	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Jannaschia sp. CCS1"	"S"	290400	110	25	5	NA	NA	30	31	110	1	NA	22	42	NA	0.01423	0.00712	0.009372	NA	NA	0.003069	0.003195	0.01362	5.663e-05	NA	0.01423	0.004404	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Jannaschia"
"Sulfitobacter"	"G"	60136	339	24	7	NA	NA	40	27	62	339	NA	16	31	1	0.0192	0.006836	0.01312	NA	NA	0.004091	0.002783	0.007675	0.0192	NA	0.01035	0.003251	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sulfitobacter sp. JL08"	"S"	2070369	31	16	4	NA	NA	25	16	31	2	NA	10	17	NA	0.007497	0.004557	0.007497	NA	NA	0.002557	0.001649	0.003837	0.0001133	NA	0.006467	0.001783	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Sulfitobacter sp. D7"	"S"	1968541	9	4	2	NA	NA	4	2	8	9	NA	2	5	NA	0.003749	0.001139	0.003749	NA	NA	0.0004091	0.0002061	0.0009903	0.0005097	NA	0.001293	0.0005243	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Sulfitobacter sp. SK011"	"S"	1389004	4	1	NA	NA	NA	3	2	4	NA	NA	1	3	NA	0.0006467	0.0002848	NA	NA	NA	0.0003069	0.0002061	0.0004952	NA	NA	0.0006467	0.0003146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Sulfitobacter pseudonitzschiae"	"S"	1402135	12	1	NA	NA	NA	6	6	12	NA	NA	1	2	NA	0.001485	0.0002848	NA	NA	NA	0.0006137	0.0006184	0.001485	NA	NA	0.0006467	0.0002097	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Sulfitobacter sp. AM1-D1"	"S"	1917485	3	1	1	NA	NA	1	1	3	NA	NA	NA	1	NA	0.001874	0.0002848	0.001874	NA	NA	0.0001023	0.0001031	0.0003714	NA	NA	NA	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Dinoroseobacter"	"G"	309512	59	20	4	NA	NA	59	21	40	2	NA	11	13	NA	0.007497	0.005696	0.007497	NA	NA	0.006035	0.002164	0.004952	0.0001133	NA	0.007114	0.001363	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter shibae"	"S"	215813	59	20	4	NA	NA	59	21	40	2	NA	11	13	NA	0.007497	0.005696	0.007497	NA	NA	0.006035	0.002164	0.004952	0.0001133	NA	0.007114	0.001363	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter"
"Dinoroseobacter shibae DFL 12 = DSM 16493"	"-"	398580	59	20	4	NA	NA	59	21	40	2	NA	11	13	NA	0.007497	0.005696	0.007497	NA	NA	0.006035	0.002164	0.004952	0.0001133	NA	0.007114	0.001363	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter>Dinoroseobacter&nbsp;shibae"
"Silicimonas"	"G"	1955420	21	20	NA	NA	NA	17	14	21	NA	NA	13	9	NA	0.008408	0.005696	NA	NA	NA	0.001739	0.001443	0.0026	NA	NA	0.008408	0.0009438	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
