	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	N-August_family.tsv	P-April_family.tsv	P-August_family.tsv	P-June_family.tsv
B122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIrii41	3.0	4.0	0.0	22.0	0.0	3.0	2.0	22.0	10.0	1.0	0.0	2.0	45.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV26	1.0	3.0	0.0	6.0	2.0	2.0	8.0	14.0	21.0	9.0	10.0	5.0	3.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0
Babeliaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillaceae	89.0	47.0	49.0	140.0	72.0	105.0	112.0	127.0	137.0	78.0	74.0	115.0	101.0	297.0	48.0	73.0	94.0	7744.0	7409.0	7745.0
Bacteriovoracaceae	25.0	5.0	3.0	4.0	1.0	44.0	25.0	18.0	47.0	13.0	8.0	0.0	388.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0
Bacteroidaceae	48.0	31.0	20.0	10.0	29.0	64.0	32.0	14.0	42.0	15.0	28.0	6.0	7.0	30.0	31.0	36.0	24.0	3.0	0.0	0.0
Bacteroidales BS11 gut group	3.0	4.0	0.0	3.0	5.0	3.0	0.0	0.0	3.0	4.0	0.0	0.0	1.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0
Bacteroidales RF16 group	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroidales UCG-001	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroidetes BD2-2	18.0	7.0	2.0	8.0	6.0	12.0	11.0	4.0	15.0	10.0	4.0	0.0	8.0	5.0	7.0	2.0	2.0	0.0	0.0	0.0
Bacteroidetes vadinHA17	7.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	5.0	4.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Balneolaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Barnesiellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bdellovibrionaceae	0.0	4.0	3.0	13.0	4.0	3.0	2.0	40.0	11.0	16.0	35.0	21.0	35.0	16.0	5.0	6.0	2.0	0.0	0.0	0.0
Beggiatoaceae	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckiaceae	13.0	9.0	27.0	91.0	63.0	16.0	41.0	59.0	19.0	24.0	24.0	24.0	788.0	83.0	59.0	56.0	764.0	0.0	0.0	0.0
Bifidobacteriaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0
Blastocatellaceae	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	3.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Blattabacteriaceae	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blfdi19	3.0	3.0	3.0	7.0	3.0	2.0	5.0	3.0	8.0	5.0	4.0	4.0	34.0	8.0	2.0	6.0	0.0	0.0	0.0	0.0
Bradymonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Brevibacteriaceae	0.0	3.0	3.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiaceae	17070.0	14519.0	17371.0	25431.0	11331.0	13021.0	20053.0	17407.0	16251.0	16672.0	18735.0	27614.0	8002.0	14527.0	5101.0	8437.0	8238.0	124.0	52.0	55.0
C2U	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR-115	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
Caedibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Caldilineaceae	4.0	0.0	0.0	11.0	1.0	0.0	4.0	2.0	4.0	1.0	1.0	0.0	5.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0
Calditrichaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacteraceae	10.0	1.0	0.0	1.0	0.0	12.0	11.0	1.0	11.0	9.0	5.0	0.0	2.0	14.0	22.0	14.0	0.0	0.0	0.0	0.0
Cardiobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	11.0	2.0	7.0	23.0	3.0	18.0	17.0	2.0	15.0	5.0	5.0	5.0	7.0	96.0	3.0	0.0	8.0	14.0	4.0	14.0
Caulobacteraceae	42.0	29.0	21.0	194.0	102.0	71.0	85.0	84.0	78.0	26.0	43.0	49.0	742.0	111.0	62.0	48.0	0.0	0.0	0.0	0.0
Cellulomonadaceae	0.0	3.0	6.0	2.0	4.0	3.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	13.0	0.0	0.0	0.0	0.0
Cellvibrionaceae	4.0	5.0	5.0	2.0	1.0	3.0	4.0	17.0	3.0	1.0	0.0	0.0	3.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0
Chitinibacteraceae	9.0	14.0	7.0	16.0	22.0	3.0	12.0	53.0	8.0	8.0	13.0	5.0	96.0	2.0	5.0	0.0	82.0	0.0	0.0	0.0
Chitinimonadaceae	2.0	1.0	0.0	2.0	2.0	1.0	2.0	4.0	1.0	9.0	4.0	2.0	3.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0
Chitinophagaceae	211.0	123.0	83.0	73.0	144.0	137.0	160.0	134.0	309.0	250.0	375.0	140.0	71.0	535.0	508.0	438.0	260.0	1.0	1.0	0.0
Christensenellaceae	17.0	5.0	7.0	34.0	9.0	21.0	11.0	11.0	10.0	11.0	10.0	10.0	6.0	43.0	5.0	0.0	0.0	0.0	1.0	0.0
Chromatiaceae	0.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Chromobacteriaceae	7.0	7.0	10.0	7.0	5.0	1.0	6.0	19.0	2.0	1.0	7.0	9.0	25.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0
Chroococcidiopsaceae	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	2.0	5.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Chthoniobacteraceae	6.0	2.0	0.0	16.0	0.0	20.0	12.0	32.0	25.0	44.0	29.0	1.0	20.0	7.0	14.0	11.0	0.0	0.0	0.0	0.0
Clade I	2.0	0.0	0.0	2.0	0.0	4.0	4.0	2.0	2.0	1.0	0.0	0.0	9.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0
Clade II	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Clade III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0
Cloacimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Clostridiaceae 1	25.0	21.0	10.0	13.0	82.0	21.0	26.0	115.0	23.0	61.0	76.0	45.0	25.0	87.0	48.0	73.0	57.0	1.0	1.0	0.0
Clostridiaceae 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiaceae 4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiales vadinBB60 group	0.0	3.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coleofasciculaceae	3.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	3.0	1.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Colwelliaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Competibacteraceae	0.0	0.0	0.0	8.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	31.0	3.0	4.0	4.0	0.0	0.0	0.0	0.0
Coriobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacteriaceae	4.0	12.0	3.0	7.0	18.0	3.0	1.0	9.0	4.0	4.0	13.0	1.0	4.0	5.0	19.0	18.0	8.0	1.0	0.0	0.0
Coxiellaceae	4.0	3.0	0.0	2.0	4.0	2.0	4.0	4.0	3.0	3.0	0.0	0.0	28.0	8.0	4.0	11.0	0.0	0.0	0.0	0.0
Crocinitomicaceae	189.0	200.0	164.0	33.0	295.0	215.0	118.0	60.0	150.0	89.0	62.0	29.0	65.0	58.0	191.0	147.0	230.0	1.0	0.0	0.0
Cryomorphaceae	5.0	5.0	22.0	7.0	7.0	8.0	8.0	5.0	8.0	8.0	6.0	1.0	5.0	5.0	81.0	39.0	4.0	0.0	0.0	0.0
Cryptosporangiaceae	0.0	2.0	3.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	2.0	35.0	32.0	4.0	0.0	0.0	0.0
Cyanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanobiaceae	5.0	1.0	3.0	0.0	0.0	2.0	2.0	19.0	6.0	15.0	34.0	0.0	0.0	2.0	113.0	165.0	0.0	0.0	0.0	0.0
Cyclobacteriaceae	148.0	120.0	66.0	33.0	80.0	172.0	116.0	60.0	115.0	55.0	37.0	9.0	58.0	57.0	133.0	162.0	92.0	0.0	0.0	0.0
Cycloclasticaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytophagaceae	33.0	23.0	24.0	7.0	13.0	36.0	15.0	7.0	21.0	10.0	8.0	1.0	17.0	12.0	16.0	8.0	11.0	0.0	0.0	0.0
D05-2	0.0	1.0	0.0	1.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEV007	5.0	0.0	0.0	7.0	0.0	3.0	6.0	15.0	6.0	17.0	10.0	0.0	15.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0
Deferribacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Demequinaceae	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Dermabacteraceae	1.0	1.0	2.0	3.0	3.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0
Dermacoccaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dermatophilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Desulfarculaceae	0.0	2.0	0.0	8.0	0.0	0.0	0.0	4.0	5.0	3.0	3.0	3.0	37.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0
Desulfobacteraceae	3.0	3.0	0.0	11.0	3.0	4.0	5.0	3.0	8.0	8.0	4.0	4.0	33.0	10.0	3.0	5.0	0.0	0.0	0.0	0.0
Desulfobulbaceae	2.0	1.0	0.0	9.0	0.0	3.0	2.0	3.0	8.0	2.0	2.0	0.0	14.0	6.0	3.0	0.0	0.0	1.0	0.0	0.0
Desulfohalobiaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfovibrionaceae	1.0	1.0	0.0	8.0	1.0	7.0	1.0	8.0	2.0	1.0	1.0	0.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfurellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfuromonadaceae	0.0	1.0	0.0	2.0	0.0	0.0	2.0	5.0	4.0	3.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Devosiaceae	10.0	31.0	38.0	103.0	82.0	26.0	44.0	74.0	24.0	22.0	33.0	28.0	270.0	61.0	36.0	20.0	0.0	0.0	0.0	0.0
Dietziaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Diplorickettsiaceae	73.0	305.0	202.0	87.0	155.0	43.0	73.0	664.0	54.0	426.0	336.0	413.0	486.0	107.0	40.0	47.0	480.0	0.0	0.0	0.0
Dongiaceae	0.0	1.0	4.0	1.0	9.0	0.0	3.0	3.0	4.0	1.0	3.0	0.0	21.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
Dysgonomonadaceae	12.0	10.0	3.0	2.0	8.0	18.0	6.0	1.0	12.0	7.0	5.0	0.0	4.0	3.0	4.0	9.0	0.0	0.0	0.0	0.0
E6aC02	3.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	6.0	6.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
EC94	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
EF100-94H03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ectothiorhodospiraceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elsteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Endomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Endozoicomonadaceae	3.0	1.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriaceae	555.0	346.0	354.0	467.0	149.0	301.0	394.0	361.0	335.0	162.0	165.0	184.0	672.0	572.0	170.0	185.0	701.0	24435.0	25056.0	23410.0
Enterococcaceae	7.0	1.0	10.0	3.0	2.0	5.0	6.0	9.0	12.0	2.0	2.0	5.0	4.0	19.0	5.0	2.0	0.0	975.0	931.0	1239.0
Entotheonellaceae	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erysipelotrichaceae	0.0	2.0	0.0	8.0	0.0	1.0	1.0	3.0	7.0	2.0	2.0	0.0	5.0	6.0	1.0	0.0	0.0	1.0	1.0	0.0
Eubacteriaceae	0.0	0.0	0.0	3.0	0.0	0.0	3.0	4.0	3.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
Euzebyaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F082	7.0	5.0	0.0	0.0	7.0	5.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
Family III	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Family X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Family XI	3.0	5.0	4.0	4.0	3.0	2.0	1.0	0.0	0.0	2.0	4.0	0.0	7.0	12.0	3.0	0.0	5.0	2.0	0.0	0.0
Family XII	6.0	2.0	1.0	1.0	2.0	8.0	3.0	9.0	8.0	10.0	7.0	0.0	1.0	14.0	2.0	5.0	0.0	8.0	4.0	4.0
Family XIII	4.0	1.0	4.0	8.0	1.0	2.0	5.0	3.0	7.0	5.0	4.0	4.0	4.0	13.0	6.0	5.0	0.0	1.0	0.0	0.0
