"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"Hydrogenophaga"	"G"	26399	5150	140	238	1423	1259	13	1185	1951	22	1304	5150	1601	4	1.661	0.9796	1.44	0.6144	0.3724	0.6019	0.5286	0.7985	0.005733	0.5401	1.661	0.7231	0.759	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	1990	130	124	1020	1153	8	1006	1449	15	917	1538	1990	3	0.9097	0.9097	0.7502	0.4404	0.341	0.3704	0.4487	0.5931	0.003909	0.3798	0.496	0.8988	0.5693	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	3640	114	226	1327	991	10	1050	2004	12	1162	3640	1347	4	1.367	0.7977	1.367	0.5729	0.2931	0.463	0.4684	0.8202	0.003127	0.4813	1.174	0.6084	0.759	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	3192	105	178	1801	1321	12	999	1321	18	974	3192	1473	2	1.077	0.7347	1.077	0.7776	0.3907	0.5556	0.4456	0.5407	0.00469	0.4034	1.029	0.6653	0.3795	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	1027	71	61	903	657	1	401	611	10	350	1027	629	NA	0.4968	0.4968	0.369	0.3899	0.1943	0.0463	0.1789	0.2501	0.002606	0.145	0.3312	0.2841	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	1714	52	124	630	483	6	532	979	11	621	1714	681	3	0.7502	0.3639	0.7502	0.272	0.1429	0.2778	0.2373	0.4007	0.002866	0.2572	0.5527	0.3076	0.5693	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	1449	50	101	658	416	3	414	881	8	532	1449	545	NA	0.611	0.3499	0.611	0.2841	0.123	0.1389	0.1847	0.3606	0.002085	0.2203	0.4673	0.2462	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	1356	46	110	464	349	6	436	781	7	430	1356	548	1	0.6655	0.3219	0.6655	0.2003	0.1032	0.2778	0.1945	0.3197	0.001824	0.1781	0.4373	0.2475	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1157	45	57	477	452	5	324	549	13	352	1157	590	NA	0.3731	0.3149	0.3448	0.2059	0.1337	0.2315	0.1445	0.2247	0.003388	0.1458	0.3731	0.2665	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1018	44	46	624	352	3	258	420	7	276	1018	348	1	0.3283	0.3079	0.2783	0.2694	0.1041	0.1389	0.1151	0.1719	0.001824	0.1143	0.3283	0.1572	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	1067	40	60	697	573	3	318	548	9	319	1067	452	NA	0.363	0.2799	0.363	0.3009	0.1695	0.1389	0.1418	0.2243	0.002345	0.1321	0.3441	0.2042	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	891	37	69	338	263	2	303	533	3	295	891	363	NA	0.4174	0.2589	0.4174	0.1459	0.07779	0.09259	0.1352	0.2181	0.0007817	0.1222	0.2873	0.164	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	921	33	72	368	278	1	291	511	9	292	921	356	NA	0.4356	0.2309	0.4356	0.1589	0.08222	0.0463	0.1298	0.2091	0.002345	0.1209	0.297	0.1608	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	1004	33	87	391	283	4	335	586	5	342	1004	425	1	0.5263	0.2309	0.5263	0.1688	0.0837	0.1852	0.1494	0.2398	0.001303	0.1416	0.3238	0.192	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	768	31	39	406	415	2	277	402	5	284	768	367	2	0.3795	0.2169	0.2359	0.1753	0.1227	0.09259	0.1236	0.1645	0.001303	0.1176	0.2477	0.1658	0.3795	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	874	30	48	408	288	1	265	475	5	259	874	346	2	0.3795	0.2099	0.2904	0.1762	0.08518	0.0463	0.1182	0.1944	0.001303	0.1073	0.2819	0.1563	0.3795	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	440	27	37	257	239	3	245	284	4	192	440	292	NA	0.2238	0.1889	0.2238	0.111	0.07069	0.1389	0.1093	0.1162	0.001042	0.07952	0.1419	0.1319	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	744	25	40	449	340	3	216	311	3	205	744	277	1	0.242	0.1749	0.242	0.1939	0.1006	0.1389	0.09635	0.1273	0.0007817	0.08491	0.2399	0.1251	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	862	24	45	411	404	2	334	522	10	347	862	452	NA	0.278	0.1679	0.2722	0.1775	0.1195	0.09259	0.149	0.2136	0.002606	0.1437	0.278	0.2042	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	427	18	23	176	141	NA	133	270	3	157	427	171	1	0.1898	0.126	0.1391	0.07599	0.0417	NA	0.05933	0.1105	0.0007817	0.06503	0.1377	0.07724	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	538	18	28	291	165	4	131	265	3	160	538	198	NA	0.1852	0.126	0.1694	0.1256	0.0488	0.1852	0.05843	0.1085	0.0007817	0.06627	0.1735	0.08943	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	418	17	30	190	101	NA	97	225	3	119	418	147	1	0.1898	0.119	0.1815	0.08203	0.02987	NA	0.04327	0.09209	0.0007817	0.04929	0.1348	0.0664	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	405	15	14	405	98	NA	73	107	1	77	339	79	NA	0.1749	0.105	0.08469	0.1749	0.02899	NA	0.03256	0.04379	0.0002606	0.03189	0.1093	0.03568	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	228	14	12	228	152	3	73	127	2	81	222	110	2	0.3795	0.09796	0.0726	0.09844	0.04496	0.1389	0.03256	0.05198	0.0005212	0.03355	0.07159	0.04968	0.3795	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	385	14	7	181	158	1	116	165	NA	125	385	198	NA	0.1242	0.09796	0.04235	0.07815	0.04673	0.0463	0.05174	0.06753	NA	0.05177	0.1242	0.08943	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	341	13	21	125	178	2	113	205	3	142	341	198	1	0.1898	0.09097	0.127	0.05397	0.05265	0.09259	0.05041	0.0839	0.0007817	0.05881	0.11	0.08943	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	158	12	8	123	69	NA	57	69	1	52	158	63	NA	0.08397	0.08397	0.0484	0.05311	0.02041	NA	0.02543	0.02824	0.0002606	0.02154	0.05095	0.02846	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	344	12	32	226	114	3	94	191	1	95	344	142	NA	0.1936	0.08397	0.1936	0.09758	0.03372	0.1389	0.04193	0.07817	0.0002606	0.03935	0.1109	0.06414	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	267	11	7	267	170	1	76	89	NA	45	234	114	NA	0.1153	0.07697	0.04235	0.1153	0.05028	0.0463	0.0339	0.03643	NA	0.01864	0.07546	0.05149	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	233	11	10	233	161	1	58	64	1	31	189	87	1	0.1898	0.07697	0.0605	0.1006	0.04762	0.0463	0.02587	0.02619	0.0002606	0.01284	0.06095	0.0393	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	238	10	20	182	79	1	93	126	2	77	238	78	NA	0.121	0.06997	0.121	0.07858	0.02337	0.0463	0.04148	0.05157	0.0005212	0.03189	0.07675	0.03523	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	215	9	16	73	70	1	63	124	2	63	215	83	NA	0.09679	0.06298	0.09679	0.03152	0.0207	0.0463	0.0281	0.05075	0.0005212	0.02609	0.06934	0.03749	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	398	9	20	398	201	4	127	155	4	105	371	146	NA	0.1852	0.06298	0.121	0.1718	0.05945	0.1852	0.05665	0.06344	0.001042	0.04349	0.1196	0.06594	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	314	8	5	314	34	NA	37	31	NA	23	90	20	NA	0.1356	0.05598	0.03025	0.1356	0.01006	NA	0.0165	0.01269	NA	0.009526	0.02902	0.009033	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	132	7	10	49	45	NA	31	84	1	48	132	57	NA	0.0605	0.04898	0.0605	0.02116	0.01331	NA	0.01383	0.03438	0.0002606	0.01988	0.04257	0.02575	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	96	7	2	68	34	NA	25	14	1	21	96	42	1	0.1898	0.04898	0.0121	0.02936	0.01006	NA	0.01115	0.00573	0.0002606	0.008698	0.03096	0.01897	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	98	7	8	67	60	NA	32	68	NA	29	98	40	NA	0.04898	0.04898	0.0484	0.02893	0.01775	NA	0.01427	0.02783	NA	0.01201	0.0316	0.01807	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	420	7	11	167	136	2	111	71	1	90	420	207	NA	0.1354	0.04898	0.06655	0.0721	0.04023	0.09259	0.04951	0.02906	0.0002606	0.03728	0.1354	0.0935	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	209	7	16	129	79	NA	57	128	1	71	209	72	NA	0.09679	0.04898	0.09679	0.0557	0.02337	NA	0.02543	0.05239	0.0002606	0.02941	0.0674	0.03252	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	143	6	9	69	48	NA	40	74	3	36	143	51	NA	0.05445	0.04198	0.05445	0.02979	0.0142	NA	0.01784	0.03029	0.0007817	0.01491	0.04612	0.02304	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	120	6	10	49	38	NA	29	55	NA	36	120	40	NA	0.0605	0.04198	0.0605	0.02116	0.01124	NA	0.01294	0.02251	NA	0.01491	0.0387	0.01807	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	146	6	9	82	55	1	43	72	1	36	146	61	NA	0.05445	0.04198	0.05445	0.0354	0.01627	0.0463	0.01918	0.02947	0.0002606	0.01491	0.04708	0.02755	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	123	5	6	79	99	1	45	70	4	50	123	74	NA	0.0463	0.03499	0.0363	0.03411	0.02928	0.0463	0.02007	0.02865	0.001042	0.02071	0.03967	0.03342	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	116	5	2	116	27	NA	28	41	NA	27	94	33	NA	0.05008	0.03499	0.0121	0.05008	0.007986	NA	0.01249	0.01678	NA	0.01118	0.03031	0.01491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	224	4	14	113	81	NA	59	142	NA	95	224	116	NA	0.08469	0.02799	0.08469	0.04879	0.02396	NA	0.02632	0.05812	NA	0.03935	0.07224	0.05239	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	51	4	2	51	18	NA	15	16	NA	15	34	18	NA	0.02799	0.02799	0.0121	0.02202	0.005324	NA	0.006691	0.006549	NA	0.006213	0.01096	0.00813	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	70	4	5	23	11	NA	22	32	NA	26	70	25	NA	0.03025	0.02799	0.03025	0.00993	0.003254	NA	0.009813	0.0131	NA	0.01077	0.02257	0.01129	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	40	3	4	27	14	NA	17	15	NA	15	40	15	NA	0.0242	0.02099	0.0242	0.01166	0.004141	NA	0.007583	0.006139	NA	0.006213	0.0129	0.006775	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	88	3	8	29	23	1	20	37	1	29	88	32	NA	0.0484	0.02099	0.0484	0.01252	0.006803	0.0463	0.008921	0.01514	0.0002606	0.01201	0.02838	0.01445	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	39	3	7	39	31	NA	16	15	NA	16	31	20	NA	0.04235	0.02099	0.04235	0.01684	0.009169	NA	0.007137	0.006139	NA	0.006627	0.009997	0.009033	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	116	3	10	38	36	1	34	60	1	43	116	47	NA	0.0605	0.02099	0.0605	0.01641	0.01065	0.0463	0.01517	0.02456	0.0002606	0.01781	0.03741	0.02123	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	52	3	5	30	25	NA	29	20	2	15	52	24	NA	0.03025	0.02099	0.03025	0.01295	0.007394	NA	0.01294	0.008186	0.0005212	0.006213	0.01677	0.01084	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	51	3	3	51	47	NA	18	21	NA	11	47	25	1	0.1898	0.02099	0.01815	0.02202	0.0139	NA	0.008029	0.008595	NA	0.004556	0.01516	0.01129	0.1898	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	77	3	3	30	22	NA	21	35	2	21	77	29	NA	0.02483	0.02099	0.01815	0.01295	0.006507	NA	0.009367	0.01432	0.0005212	0.008698	0.02483	0.0131	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	149	3	16	52	34	2	36	58	2	47	149	51	NA	0.09679	0.02099	0.09679	0.02245	0.01006	0.09259	0.01606	0.02374	0.0005212	0.01947	0.04805	0.02304	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kerstersia"	"G"	26404	42	2	2	32	19	NA	16	16	1	16	42	20	NA	0.01399	0.01399	0.0121	0.01382	0.00562	NA	0.007137	0.006549	0.0002606	0.006627	0.01354	0.009033	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	28	2	NA	28	12	NA	3	5	NA	4	20	7	NA	0.01399	0.01399	NA	0.01209	0.003549	NA	0.001338	0.002046	NA	0.001657	0.00645	0.003162	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Azohydromonas"	"G"	26363	14	2	1	13	5	NA	5	7	NA	4	14	4	NA	0.01399	0.01399	0.00605	0.005613	0.001479	NA	0.00223	0.002865	NA	0.001657	0.004515	0.001807	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	39	2	1	14	11	NA	23	23	NA	16	39	6	NA	0.01399	0.01399	0.00605	0.006045	0.003254	NA	0.01026	0.009414	NA	0.006627	0.01258	0.00271	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	33	2	3	21	19	NA	11	10	NA	8	33	17	NA	0.01815	0.01399	0.01815	0.009067	0.00562	NA	0.004907	0.004093	NA	0.003313	0.01064	0.007678	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	121	2	8	69	36	1	42	74	1	52	121	49	NA	0.0484	0.01399	0.0484	0.02979	0.01065	0.0463	0.01873	0.03029	0.0002606	0.02154	0.03902	0.02213	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	80	2	1	80	23	NA	17	27	1	10	52	12	NA	0.03454	0.01399	0.00605	0.03454	0.006803	NA	0.007583	0.01105	0.0002606	0.004142	0.01677	0.00542	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
