"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Rhodoferax saidenbachensis"	"S"	1484693	4221	196	394	1730	1218	13	1626	3391	46	1384	4221	1806	3	2.079	1.237	2.079	0.6732	0.3245	0.5495	0.6802	1.264	0.01179	0.5352	1.202	0.7525	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax antarcticus"	"S"	81479	4205	136	292	1502	938	13	1241	2526	36	1137	4205	1659	4	1.541	0.8582	1.541	0.5844	0.2499	0.5495	0.5191	0.9415	0.009224	0.4397	1.197	0.6913	0.713	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	1463	48	122	624	436	2	483	935	13	480	1463	572	2	0.6438	0.3029	0.6438	0.2428	0.1162	0.08453	0.2021	0.3485	0.003331	0.1856	0.4166	0.2383	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Acidovorax"	"G"	12916	9813	295	411	2700	1508	23	1819	3505	42	1887	9813	2505	6	2.794	1.861	2.169	1.051	0.4018	0.9721	0.7609	1.306	0.01076	0.7297	2.794	1.044	1.07	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax sp. RAC01"	"S"	1842533	2211	60	134	637	469	8	550	1237	12	582	2211	714	1	0.7071	0.3786	0.7071	0.2479	0.125	0.3381	0.2301	0.4611	0.003075	0.2251	0.6296	0.2975	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. NA2"	"S"	1662456	715	39	74	246	215	1	230	412	2	262	715	302	NA	0.3905	0.2461	0.3905	0.09572	0.05728	0.04227	0.09621	0.1536	0.0005124	0.1013	0.2036	0.1258	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. T1"	"S"	1858609	485	11	8	126	49	NA	46	153	3	46	485	94	1	0.1783	0.06941	0.04222	0.04903	0.01306	NA	0.01924	0.05703	0.0007687	0.01779	0.1381	0.03917	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. NA3"	"S"	553814	334	7	1	70	18	NA	36	41	2	31	334	52	NA	0.0951	0.04417	0.005277	0.02724	0.004796	NA	0.01506	0.01528	0.0005124	0.01199	0.0951	0.02167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	170	5	8	46	28	1	47	74	3	46	170	53	NA	0.04841	0.03155	0.04222	0.0179	0.00746	0.04227	0.01966	0.02758	0.0007687	0.01779	0.04841	0.02208	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	23	2	1	23	11	NA	7	7	NA	1	23	7	NA	0.01262	0.01262	0.005277	0.00895	0.002931	NA	0.002928	0.002609	NA	0.0003867	0.006549	0.002917	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Hydrogenophaga"	"G"	47420	9498	273	570	2405	2192	31	2520	4247	95	2735	9498	3385	5	3.008	1.723	3.008	0.9358	0.584	1.31	1.054	1.583	0.02434	1.058	2.704	1.41	0.8913	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. RAC07"	"S"	1842537	4817	127	337	1386	1162	12	1318	2477	56	1533	4817	1825	3	1.778	0.8014	1.778	0.5393	0.3096	0.5072	0.5514	0.9232	0.01435	0.5928	1.372	0.7604	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	3287	101	150	614	729	9	860	1259	30	830	3287	1042	2	0.9359	0.6373	0.7916	0.2389	0.1942	0.3804	0.3598	0.4693	0.007687	0.321	0.9359	0.4342	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. PBC"	"S"	795665	1293	44	80	378	285	9	311	478	9	350	1293	484	NA	0.4222	0.2776	0.4222	0.1471	0.07593	0.3804	0.1301	0.1782	0.002306	0.1354	0.3682	0.2017	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Polaromonas"	"G"	52972	8679	241	558	2335	3116	22	2740	5847	71	3392	8679	3459	8	2.945	1.521	2.945	0.9086	0.8302	0.9298	1.146	2.179	0.01819	1.312	2.471	1.441	1.426	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas sp. JS666"	"S"	296591	4842	133	284	1355	1808	9	1611	3407	47	2044	4842	1964	6	1.499	0.8392	1.499	0.5272	0.4817	0.3804	0.6739	1.27	0.01204	0.7905	1.379	0.8184	1.07	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans"	"S"	216465	3795	106	269	970	1290	13	1112	2413	24	1331	3795	1476	2	1.42	0.6689	1.42	0.3774	0.3437	0.5495	0.4652	0.8994	0.006149	0.5147	1.081	0.615	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	5111	180	366	2109	1459	23	1645	3109	41	1664	5111	2008	4	1.931	1.136	1.931	0.8206	0.3887	0.9721	0.6881	1.159	0.01051	0.6435	1.455	0.8367	0.713	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	2594	86	176	961	727	9	805	1486	19	814	2594	1026	2	0.9288	0.5427	0.9288	0.3739	0.1937	0.3804	0.3368	0.5539	0.004868	0.3148	0.7386	0.4275	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	1366	46	96	621	396	7	425	847	10	509	1366	545	1	0.5066	0.2903	0.5066	0.2416	0.1055	0.2959	0.1778	0.3157	0.002562	0.1968	0.389	0.2271	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	105	7	6	42	22	1	34	50	2	14	105	33	NA	0.04417	0.04417	0.03166	0.01634	0.005862	0.04227	0.01422	0.01864	0.0005124	0.005414	0.0299	0.01375	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	86	4	10	50	29	2	25	72	1	24	86	38	NA	0.08453	0.02524	0.05277	0.01946	0.007727	0.08453	0.01046	0.02684	0.0002562	0.009281	0.02449	0.01583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"unclassified Comamonadaceae"	"-"	83494	4160	144	257	920	876	13	1214	1984	33	1234	4160	1411	1	1.356	0.9086	1.356	0.358	0.2334	0.5495	0.5078	0.7395	0.008455	0.4772	1.185	0.5879	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonadaceae bacterium B1"	"S"	1458426	3482	110	199	726	683	9	986	1592	30	992	3482	1174	1	1.05	0.6941	1.05	0.2825	0.182	0.3804	0.4125	0.5934	0.007687	0.3836	0.9915	0.4892	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Comamonadaceae bacterium A1"	"S"	1458425	143	9	9	43	42	1	45	79	NA	52	143	52	NA	0.05679	0.05679	0.04749	0.01673	0.01119	0.04227	0.01882	0.02945	NA	0.02011	0.04072	0.02167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Ottowia"	"G"	219181	2182	90	163	809	678	9	717	1251	20	767	2182	855	2	0.8602	0.5679	0.8602	0.3148	0.1806	0.3804	0.2999	0.4663	0.005124	0.2966	0.6213	0.3563	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia sp. oral taxon 894"	"S"	1658672	1276	57	89	475	390	4	408	688	12	407	1276	476	1	0.4697	0.3597	0.4697	0.1848	0.1039	0.1691	0.1707	0.2564	0.003075	0.1574	0.3633	0.1983	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. KADR8-3"	"S"	2109914	903	32	74	333	288	5	309	560	8	360	903	378	1	0.3905	0.2019	0.3905	0.1296	0.07673	0.2113	0.1293	0.2087	0.00205	0.1392	0.2571	0.1575	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Comamonas"	"G"	283	1828	70	108	650	445	5	527	926	11	572	1828	681	2	0.5699	0.4417	0.5699	0.2529	0.1186	0.2113	0.2205	0.3451	0.002818	0.2212	0.5205	0.2838	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	1155	36	69	411	262	2	303	536	8	331	1155	378	1	0.3641	0.2272	0.3641	0.1599	0.06981	0.08453	0.1268	0.1998	0.00205	0.128	0.3289	0.1575	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	312	18	23	118	97	1	138	227	2	167	312	167	NA	0.1214	0.1136	0.1214	0.04592	0.02584	0.04227	0.05773	0.08461	0.0005124	0.06458	0.08884	0.06959	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas kerstersii"	"S"	225992	290	14	14	100	59	2	67	120	1	60	290	111	1	0.1783	0.08834	0.07388	0.03891	0.01572	0.08453	0.02803	0.04473	0.0002562	0.0232	0.08258	0.04625	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Simplicispira"	"G"	352450	1597	52	53	1422	252	3	284	359	8	237	1597	302	3	0.5533	0.3281	0.2797	0.5533	0.06714	0.1268	0.1188	0.1338	0.00205	0.09165	0.4547	0.1258	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira sp. SC1-8"	"S"	2109915	1597	52	53	1422	252	3	284	359	8	237	1597	302	3	0.5533	0.3281	0.2797	0.5533	0.06714	0.1268	0.1188	0.1338	0.00205	0.09165	0.4547	0.1258	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Ramlibacter"	"G"	174951	871	38	65	371	226	1	270	478	3	268	871	293	1	0.343	0.2398	0.343	0.1444	0.06021	0.04227	0.1129	0.1782	0.0007687	0.1036	0.248	0.1221	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	871	38	65	371	226	1	270	478	3	268	871	293	1	0.343	0.2398	0.343	0.1444	0.06021	0.04227	0.1129	0.1782	0.0007687	0.1036	0.248	0.1221	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Verminephrobacter"	"G"	364316	1121	32	61	726	302	3	287	508	10	312	1121	380	NA	0.3219	0.2019	0.3219	0.2825	0.08046	0.1268	0.1201	0.1893	0.002562	0.1207	0.3192	0.1583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	1121	32	61	726	302	3	287	508	10	312	1121	380	NA	0.3219	0.2019	0.3219	0.2825	0.08046	0.1268	0.1201	0.1893	0.002562	0.1207	0.3192	0.1583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Candidatus Symbiobacter"	"G"	1436289	656	25	40	237	188	4	218	371	10	203	656	275	2	0.3565	0.1577	0.2111	0.09222	0.05009	0.1691	0.0912	0.1383	0.002562	0.0785	0.1868	0.1146	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	656	25	40	237	188	4	218	371	10	203	656	275	2	0.3565	0.1577	0.2111	0.09222	0.05009	0.1691	0.0912	0.1383	0.002562	0.0785	0.1868	0.1146	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Melaminivora"	"G"	1649468	443	22	29	187	91	1	110	190	3	120	443	137	2	0.3565	0.1388	0.153	0.07276	0.02425	0.04227	0.04602	0.07082	0.0007687	0.04641	0.1261	0.05709	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	229	13	17	109	45	NA	55	94	2	63	229	80	2	0.3565	0.08203	0.08971	0.04241	0.01199	NA	0.02301	0.03504	0.0005124	0.02436	0.06521	0.03333	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	172	8	10	64	36	NA	46	78	1	44	172	48	NA	0.05277	0.05048	0.05277	0.0249	0.009592	NA	0.01924	0.02907	0.0002562	0.01702	0.04898	0.02	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Delftia"	"G"	80865	468	14	25	127	100	NA	112	254	2	125	468	155	1	0.1783	0.08834	0.1319	0.04942	0.02664	NA	0.04685	0.09467	0.0005124	0.04834	0.1333	0.06459	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. Cs1-4"	"S"	742013	145	6	6	44	34	NA	40	79	NA	45	145	54	1	0.1783	0.03786	0.03166	0.01712	0.009059	NA	0.01673	0.02945	NA	0.0174	0.04129	0.0225	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	35	1	3	9	9	NA	10	19	1	5	35	10	NA	0.01583	0.00631	0.01583	0.003502	0.002398	NA	0.004183	0.007082	0.0002562	0.001934	0.009966	0.004167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Alicycliphilus"	"G"	201096	110	5	7	53	32	1	22	48	1	24	110	34	1	0.1783	0.03155	0.03694	0.02062	0.008526	0.04227	0.009203	0.01789	0.0002562	0.009281	0.03132	0.01417	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	110	5	7	53	32	1	22	48	1	24	110	34	1	0.1783	0.03155	0.03694	0.02062	0.008526	0.04227	0.009203	0.01789	0.0002562	0.009281	0.03132	0.01417	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"unclassified Burkholderiales"	"-"	119065	12911	422	390	7289	3612	47	3089	3738	86	2871	12911	4026	8	3.676	2.663	2.058	2.836	0.9624	1.986	1.292	1.393	0.02204	1.11	3.676	1.678	1.426	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderiales Genera incertae sedis"	"-"	224471	11194	358	350	6223	3100	44	2671	3280	70	2506	11194	3555	6	3.187	2.259	1.847	2.421	0.8259	1.86	1.117	1.223	0.01794	0.9691	3.187	1.481	1.07	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales"
"Methylibium"	"G"	316612	2451	70	50	1327	715	10	560	544	6	542	2451	769	2	0.6979	0.4417	0.2639	0.5164	0.1905	0.4227	0.2343	0.2028	0.001537	0.2096	0.6979	0.3204	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Methylibium petroleiphilum"	"S"	105560	2451	70	50	1327	715	10	560	544	6	542	2451	769	2	0.6979	0.4417	0.2639	0.5164	0.1905	0.4227	0.2343	0.2028	0.001537	0.2096	0.6979	0.3204	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Methylibium"
"Rhizobacter"	"G"	212743	2150	57	39	1163	533	8	469	478	13	428	2150	592	NA	0.6122	0.3597	0.2058	0.4525	0.142	0.3381	0.1962	0.1782	0.003331	0.1655	0.6122	0.2467	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Rhizobacter gummiphilus"	"S"	946333	2150	57	39	1163	533	8	469	478	13	428	2150	592	NA	0.6122	0.3597	0.2058	0.4525	0.142	0.3381	0.1962	0.1782	0.003331	0.1655	0.6122	0.2467	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rhizobacter"
"Thiomonas"	"G"	32012	1397	52	95	557	378	5	398	719	11	431	1397	555	3	0.5348	0.3281	0.5013	0.2167	0.1007	0.2113	0.1665	0.268	0.002818	0.1667	0.3978	0.2313	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Thiomonas intermedia"	"S"	926	1397	52	95	557	378	5	398	719	11	431	1397	555	3	0.5348	0.3281	0.5013	0.2167	0.1007	0.2113	0.1665	0.268	0.002818	0.1667	0.3978	0.2313	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Thiomonas"
"Leptothrix"	"G"	88	1639	48	31	595	461	6	413	407	8	360	1639	564	NA	0.4667	0.3029	0.1636	0.2315	0.1228	0.2536	0.1728	0.1517	0.00205	0.1392	0.4667	0.235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Leptothrix cholodnii"	"S"	34029	1639	48	31	595	461	6	413	407	8	360	1639	564	NA	0.4667	0.3029	0.1636	0.2315	0.1228	0.2536	0.1728	0.1517	0.00205	0.1392	0.4667	0.235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Leptothrix"
"Roseateles"	"G"	93681	1113	44	54	815	325	4	270	390	11	231	1113	350	NA	0.3171	0.2776	0.285	0.3171	0.08659	0.1691	0.1129	0.1454	0.002818	0.08933	0.3169	0.1458	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Roseateles depolymerans"	"S"	76731	1113	44	54	815	325	4	270	390	11	231	1113	350	NA	0.3171	0.2776	0.285	0.3171	0.08659	0.1691	0.1129	0.1454	0.002818	0.08933	0.3169	0.1458	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Roseateles"
"Paucibacter"	"G"	318147	1008	28	32	402	232	3	211	267	5	197	1008	296	NA	0.287	0.1767	0.1689	0.1564	0.06181	0.1268	0.08827	0.09952	0.001281	0.07618	0.287	0.1233	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Paucibacter sp. KCTC 42545"	"S"	1768242	1008	28	32	402	232	3	211	267	5	197	1008	296	NA	0.287	0.1767	0.1689	0.1564	0.06181	0.1268	0.08827	0.09952	0.001281	0.07618	0.287	0.1233	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Paucibacter"
