"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"Limnohabitans sp. 103DPR2"	"S"	1678129	10464	401	915	4101	4078	41	4699	8979	82	5288	10464	5579	11	4.828	2.53	4.828	1.596	1.087	1.733	1.966	3.347	0.02101	2.045	2.98	2.325	1.961	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	23717	653	1335	7097	4715	68	5608	10878	103	6044	23717	7429	9	7.045	4.12	7.045	2.762	1.256	2.874	2.346	4.054	0.02639	2.337	6.753	3.096	1.604	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax avenae"	"S"	80867	5334	160	333	2074	1420	17	1568	2953	21	1641	5334	2017	4	1.757	1.01	1.757	0.807	0.3783	0.7185	0.6559	1.101	0.005381	0.6346	1.519	0.8404	0.713	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	5334	160	333	2074	1420	17	1568	2953	21	1641	5334	2017	4	1.757	1.01	1.757	0.807	0.3783	0.7185	0.6559	1.101	0.005381	0.6346	1.519	0.8404	0.713	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	114	7	2	80	27	NA	19	38	NA	15	114	26	NA	0.04417	0.04417	0.01055	0.03113	0.007194	NA	0.007948	0.01416	NA	0.005801	0.03246	0.01083	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
"Acidovorax carolinensis"	"S"	553814	3013	96	205	868	667	9	726	1309	15	885	3013	977	1	1.082	0.6058	1.082	0.3377	0.1777	0.3804	0.3037	0.4879	0.003843	0.3422	0.8579	0.4071	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	32	2	3	13	1	NA	NA	15	NA	2	32	7	NA	0.01583	0.01262	0.01583	0.005058	0.0002664	NA	NA	0.005591	NA	0.0007734	0.009112	0.002917	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	10549	407	958	3784	2783	33	3533	7335	65	3269	10549	4622	7	5.055	2.568	5.055	1.472	0.7415	1.395	1.478	2.734	0.01665	1.264	3.004	1.926	1.248	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax antarcticus"	"S"	81479	2549	89	199	916	614	5	710	1317	14	764	2549	1090	NA	1.05	0.5616	1.05	0.3564	0.1636	0.2113	0.297	0.4909	0.003587	0.2955	0.7258	0.4542	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	2778	84	206	765	682	6	869	1875	16	821	2778	1210	3	1.087	0.53	1.087	0.2977	0.1817	0.2536	0.3635	0.6989	0.0041	0.3175	0.791	0.5042	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	2778	84	206	765	682	6	869	1875	16	821	2778	1210	3	1.087	0.53	1.087	0.2977	0.1817	0.2536	0.3635	0.6989	0.0041	0.3175	0.791	0.5042	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax saidenbachensis"	"S"	1484693	167	5	4	95	51	2	44	76	NA	36	167	45	NA	0.08453	0.03155	0.02111	0.03697	0.01359	0.08453	0.01841	0.02833	NA	0.01392	0.04755	0.01875	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	91	4	12	26	27	NA	25	62	1	31	91	37	NA	0.06332	0.02524	0.06332	0.01012	0.007194	NA	0.01046	0.02311	0.0002562	0.01199	0.02591	0.01542	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	13959	386	1027	3819	4567	42	4301	9609	71	5174	13959	5697	13	5.42	2.436	5.42	1.486	1.217	1.775	1.799	3.582	0.01819	2.001	3.975	2.374	2.317	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	5764	165	465	1375	1422	17	1612	3894	31	1602	5764	2238	3	2.454	1.041	2.454	0.535	0.3789	0.7185	0.6743	1.451	0.007943	0.6195	1.641	0.9325	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	5764	165	465	1375	1422	17	1612	3894	31	1602	5764	2238	3	2.454	1.041	2.454	0.535	0.3789	0.7185	0.6743	1.451	0.007943	0.6195	1.641	0.9325	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Polaromonas sp. SP1"	"S"	2268087	2482	64	150	755	875	8	777	1726	7	1038	2482	1047	3	0.7916	0.4038	0.7916	0.2938	0.2331	0.3381	0.325	0.6433	0.001794	0.4014	0.7067	0.4363	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	221	4	15	71	99	NA	69	175	NA	116	221	107	1	0.1783	0.02524	0.07916	0.02763	0.02638	NA	0.02886	0.06523	NA	0.04486	0.06293	0.04458	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	8955	319	585	3695	2254	24	2620	4941	49	2708	8955	3254	3	3.087	2.013	3.087	1.438	0.6005	1.014	1.096	1.842	0.01255	1.047	2.55	1.356	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	7037	246	453	2615	1836	19	2039	3855	36	2140	7037	2631	3	2.391	1.552	2.391	1.018	0.4892	0.803	0.853	1.437	0.009224	0.8276	2.004	1.096	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	346	16	14	346	32	NA	43	69	2	47	109	52	NA	0.1346	0.101	0.07388	0.1346	0.008526	NA	0.01799	0.02572	0.0005124	0.01818	0.03104	0.02167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	127	5	8	127	24	2	27	38	NA	25	94	27	NA	0.08453	0.03155	0.04222	0.04942	0.006394	0.08453	0.01129	0.01416	NA	0.009668	0.02677	0.01125	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus B4"	"-"	1246301	126	5	8	126	24	1	26	38	NA	24	93	27	NA	0.04903	0.03155	0.04222	0.04903	0.006394	0.04227	0.01088	0.01416	NA	0.009281	0.02648	0.01125	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax sp. HW608"	"S"	1034889	360	5	18	73	69	NA	121	201	2	121	360	119	NA	0.1025	0.03155	0.09499	0.02841	0.01838	NA	0.05062	0.07492	0.0005124	0.04679	0.1025	0.04958	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	57	5	5	23	12	1	23	48	1	19	57	23	NA	0.04227	0.03155	0.02639	0.00895	0.003197	0.04227	0.009621	0.01789	0.0002562	0.007348	0.01623	0.009584	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Serpentinomonas"	"G"	2490452	9493	311	644	2639	2212	23	2844	5223	56	3023	9493	3486	4	3.398	1.962	3.398	1.027	0.5893	0.9721	1.19	1.947	0.01435	1.169	2.703	1.453	0.713	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	1679	74	69	213	299	2	522	581	10	448	1679	477	NA	0.4781	0.4669	0.3641	0.08288	0.07966	0.08453	0.2184	0.2166	0.002562	0.1733	0.4781	0.1988	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	34	2	2	7	6	NA	10	26	NA	15	34	13	NA	0.01262	0.01262	0.01055	0.002724	0.001599	NA	0.004183	0.009691	NA	0.005801	0.009681	0.005417	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Hydrogenophaga"	"G"	47420	4064	132	214	1096	948	14	1173	1875	28	1108	4064	1409	1	1.157	0.8329	1.129	0.4265	0.2526	0.5917	0.4907	0.6989	0.007174	0.4285	1.157	0.5871	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. PBC"	"S"	795665	1527	49	94	476	325	10	418	731	11	456	1527	549	NA	0.496	0.3092	0.496	0.1852	0.08659	0.4227	0.1749	0.2725	0.002818	0.1763	0.4348	0.2288	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	362	9	19	146	88	NA	114	218	2	102	362	136	NA	0.1031	0.05679	0.1003	0.05681	0.02345	NA	0.04769	0.08125	0.0005124	0.03945	0.1031	0.05667	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	385	7	17	108	106	1	94	192	3	122	385	147	NA	0.1096	0.04417	0.08971	0.04202	0.02824	0.04227	0.03932	0.07156	0.0007687	0.04718	0.1096	0.06125	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Curvibacter"	"G"	281915	2289	103	196	761	708	2	813	1595	26	906	2289	1018	1	1.034	0.6499	1.034	0.2961	0.1886	0.08453	0.3401	0.5945	0.006662	0.3504	0.6518	0.4242	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Curvibacter sp. AEP1-3"	"S"	1844971	2289	103	196	761	708	2	813	1595	26	906	2289	1018	1	1.034	0.6499	1.034	0.2961	0.1886	0.08453	0.3401	0.5945	0.006662	0.3504	0.6518	0.4242	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Ramlibacter"	"G"	174951	2237	82	156	888	633	7	706	1403	11	703	2237	829	1	0.8232	0.5174	0.8232	0.3455	0.1687	0.2959	0.2953	0.5229	0.002818	0.2719	0.637	0.3454	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	2237	82	156	888	633	7	706	1403	11	703	2237	829	1	0.8232	0.5174	0.8232	0.3455	0.1687	0.2959	0.2953	0.5229	0.002818	0.2719	0.637	0.3454	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ramlibacter tataouinensis TTB310"	"-"	365046	514	22	40	232	144	1	209	347	4	141	514	203	NA	0.2111	0.1388	0.2111	0.09027	0.03837	0.04227	0.08743	0.1293	0.001025	0.05453	0.1464	0.08459	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter>Ramlibacter&nbsp;tataouinensis"
"Candidatus Symbiobacter"	"G"	1436289	2364	80	178	863	646	7	750	1407	15	738	2364	1015	3	0.9393	0.5048	0.9393	0.3358	0.1721	0.2959	0.3137	0.5244	0.003843	0.2854	0.6731	0.4229	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	2364	80	178	863	646	7	750	1407	15	738	2364	1015	3	0.9393	0.5048	0.9393	0.3358	0.1721	0.2959	0.3137	0.5244	0.003843	0.2854	0.6731	0.4229	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Candidatus Symbiobacter mobilis CR"	"-"	946483	2364	80	178	863	646	7	750	1407	15	738	2364	1015	3	0.9393	0.5048	0.9393	0.3358	0.1721	0.2959	0.3137	0.5244	0.003843	0.2854	0.6731	0.4229	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter>Candidatus&nbsp;Symbiobacter&nbsp;mobilis"
"Simplicispira"	"G"	352450	1939	59	64	1614	210	2	274	300	6	220	1939	311	3	0.628	0.3723	0.3377	0.628	0.05595	0.08453	0.1146	0.1118	0.001537	0.08508	0.5521	0.1296	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	1939	59	64	1614	210	2	274	300	6	220	1939	311	3	0.628	0.3723	0.3377	0.628	0.05595	0.08453	0.1146	0.1118	0.001537	0.08508	0.5521	0.1296	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Ottowia"	"G"	219181	1530	49	90	546	442	4	407	602	5	328	1530	448	NA	0.4749	0.3092	0.4749	0.2125	0.1178	0.1691	0.1703	0.2244	0.001281	0.1268	0.4357	0.1867	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia oryzae"	"S"	2109914	700	26	53	201	176	2	199	337	3	191	700	290	NA	0.2797	0.1641	0.2797	0.07821	0.04689	0.08453	0.08325	0.1256	0.0007687	0.07386	0.1993	0.1208	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. oral taxon 894"	"S"	1658672	809	23	35	337	260	2	207	262	2	133	809	155	NA	0.2304	0.1451	0.1847	0.1311	0.06927	0.08453	0.08659	0.09765	0.0005124	0.05143	0.2304	0.06459	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Delftia"	"G"	80865	1968	45	116	513	405	4	494	925	7	508	1968	588	2	0.6121	0.2839	0.6121	0.1996	0.1079	0.1691	0.2067	0.3448	0.001794	0.1965	0.5604	0.245	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. Cs1-4"	"S"	742013	202	4	11	57	63	NA	72	110	NA	63	202	76	1	0.1783	0.02524	0.05805	0.02218	0.01679	NA	0.03012	0.041	NA	0.02436	0.05752	0.03167	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Comamonas"	"G"	283	1199	39	64	437	231	5	272	462	2	295	1199	331	1	0.3414	0.2461	0.3377	0.17	0.06155	0.2113	0.1138	0.1722	0.0005124	0.1141	0.3414	0.1379	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	710	24	46	268	115	4	144	237	NA	162	710	183	1	0.2427	0.1514	0.2427	0.1043	0.03064	0.1691	0.06024	0.08834	NA	0.06265	0.2022	0.07625	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni TK102"	"-"	1392005	296	8	20	100	52	2	62	116	NA	83	296	76	NA	0.1055	0.05048	0.1055	0.03891	0.01385	0.08453	0.02594	0.04324	NA	0.0321	0.08428	0.03167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>Comamonas&nbsp;testosteroni"
"Comamonas kerstersii"	"S"	225992	230	6	10	69	51	NA	64	113	NA	60	230	64	NA	0.06549	0.03786	0.05277	0.02685	0.01359	NA	0.02677	0.04212	NA	0.0232	0.06549	0.02667	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Verminephrobacter"	"G"	364316	1271	30	73	482	301	5	377	718	5	368	1271	457	1	0.3852	0.1893	0.3852	0.1876	0.0802	0.2113	0.1577	0.2676	0.001281	0.1423	0.3619	0.1904	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	1271	30	73	482	301	5	377	718	5	368	1271	457	1	0.3852	0.1893	0.3852	0.1876	0.0802	0.2113	0.1577	0.2676	0.001281	0.1423	0.3619	0.1904	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Verminephrobacter eiseniae EF01-2"	"-"	391735	1271	30	73	482	301	5	377	718	5	368	1271	457	1	0.3852	0.1893	0.3852	0.1876	0.0802	0.2113	0.1577	0.2676	0.001281	0.1423	0.3619	0.1904	0.1783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>Verminephrobacter&nbsp;eiseniae"
"Melaminivora"	"G"	1649468	505	10	18	170	79	NA	95	144	2	113	505	124	NA	0.1438	0.0631	0.09499	0.06615	0.02105	NA	0.03974	0.05367	0.0005124	0.0437	0.1438	0.05167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	266	8	7	64	39	NA	49	68	2	49	266	67	NA	0.07574	0.05048	0.03694	0.0249	0.01039	NA	0.0205	0.02535	0.0005124	0.01895	0.07574	0.02792	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	222	2	7	78	33	NA	38	63	NA	51	222	49	NA	0.06321	0.01262	0.03694	0.03035	0.008792	NA	0.0159	0.02348	NA	0.01972	0.06321	0.02042	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Alicycliphilus"	"G"	201096	110	4	4	35	29	NA	27	57	1	26	110	35	NA	0.03132	0.02524	0.02111	0.01362	0.007727	NA	0.01129	0.02125	0.0002562	0.01005	0.03132	0.01458	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	110	4	4	35	29	NA	27	57	1	26	110	35	NA	0.03132	0.02524	0.02111	0.01362	0.007727	NA	0.01129	0.02125	0.0002562	0.01005	0.03132	0.01458	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Burkholderiaceae"	"F"	119060	9741	518	473	9368	6303	38	4266	5184	63	3459	9741	5444	11	3.645	3.269	2.496	3.645	1.679	1.606	1.785	1.932	0.01614	1.338	2.774	2.268	1.961	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderia"	"G"	32008	6644	342	311	6644	4175	26	2901	3212	39	2276	6547	3274	7	2.585	2.158	1.641	2.585	1.112	1.099	1.214	1.197	0.009993	0.8802	1.864	1.364	1.248	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"pseudomallei group"	"-"	111527	2922	139	128	2412	1615	11	931	1310	23	808	2922	1295	3	0.9385	0.8771	0.6755	0.9385	0.4303	0.4649	0.3895	0.4883	0.005893	0.3125	0.832	0.5396	0.5348	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia pseudomallei"	"S"	28450	1624	79	70	1400	845	7	444	700	9	370	1624	644	2	0.5448	0.4985	0.3694	0.5448	0.2251	0.2959	0.1857	0.2609	0.002306	0.1431	0.4624	0.2683	0.3565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia pseudomallei MSHR491"	"-"	1249473	691	32	35	534	278	2	194	302	5	160	691	263	NA	0.2078	0.2019	0.1847	0.2078	0.07407	0.08453	0.08116	0.1126	0.001281	0.06188	0.1968	0.1096	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group>Burkholderia&nbsp;pseudomallei"
