"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Acidovorax sp. KKS102"	"S"	358220	170	5	8	46	28	1	47	74	3	46	170	53	NA	0.06452	0.04193	0.05642	0.02348	0.01028	0.05886	0.02821	0.03708	0.0008077	0.02439	0.06452	0.03024	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	23	2	1	23	11	NA	7	7	NA	1	23	7	NA	0.01677	0.01677	0.007052	0.01174	0.004037	NA	0.004202	0.003507	NA	0.0005302	0.008729	0.003994	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Hydrogenophaga sp. RAC07"	"S"	1842537	4817	127	337	1386	1162	12	1318	2477	56	1533	4817	1825	3	2.377	1.065	2.377	0.7073	0.4265	0.7063	0.7911	1.241	0.01508	0.8128	1.828	1.041	0.7874	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	3287	101	150	614	729	9	860	1259	30	830	3287	1042	2	1.248	0.847	1.058	0.3133	0.2676	0.5297	0.5162	0.6308	0.008077	0.4401	1.248	0.5946	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. PBC"	"S"	795665	1293	44	80	378	285	9	311	478	9	350	1293	484	NA	0.5642	0.369	0.5642	0.1929	0.1046	0.5297	0.1867	0.2395	0.002423	0.1856	0.4907	0.2762	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Polaromonas sp. JS666"	"S"	296591	4842	133	284	1355	1808	9	1611	3407	47	2044	4842	1964	6	2.003	1.115	2.003	0.6915	0.6636	0.5297	0.967	1.707	0.01265	1.084	1.838	1.121	1.575	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans"	"S"	216465	3795	106	269	970	1290	13	1112	2413	24	1331	3795	1476	2	1.897	0.889	1.897	0.495	0.4735	0.7652	0.6675	1.209	0.006461	0.7057	1.44	0.8423	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax boronicumulans"	"S"	436515	2594	86	176	961	727	9	805	1486	19	814	2594	1026	2	1.241	0.7212	1.241	0.4904	0.2668	0.5297	0.4832	0.7445	0.005115	0.4316	0.9845	0.5855	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	1366	46	96	621	396	7	425	847	10	509	1366	545	1	0.677	0.3858	0.677	0.3169	0.1453	0.412	0.2551	0.4244	0.002692	0.2699	0.5184	0.311	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	105	7	6	42	22	1	34	50	2	14	105	33	NA	0.05886	0.05871	0.04231	0.02143	0.008075	0.05886	0.02041	0.02505	0.0005384	0.007423	0.03985	0.01883	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	86	4	10	50	29	2	25	72	1	24	86	38	NA	0.1177	0.03355	0.07052	0.02552	0.01064	0.1177	0.01501	0.03607	0.0002692	0.01273	0.03264	0.02168	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Comamonadaceae bacterium B1"	"S"	1458426	3482	110	199	726	683	9	986	1592	30	992	3482	1174	1	1.403	0.9225	1.403	0.3705	0.2507	0.5297	0.5919	0.7976	0.008077	0.526	1.322	0.6699	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Comamonadaceae bacterium A1"	"S"	1458425	143	9	9	43	42	1	45	79	NA	52	143	52	NA	0.07548	0.07548	0.06347	0.02194	0.01542	0.05886	0.02701	0.03958	NA	0.02757	0.05427	0.02967	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Ottowia sp. oral taxon 894"	"S"	1658672	1276	57	89	475	390	4	408	688	12	407	1276	476	1	0.6276	0.478	0.6276	0.2424	0.1431	0.2354	0.2449	0.3447	0.003231	0.2158	0.4843	0.2716	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. KADR8-3"	"S"	2109914	903	32	74	333	288	5	309	560	8	360	903	378	1	0.5219	0.2684	0.5219	0.1699	0.1057	0.2943	0.1855	0.2806	0.002154	0.1909	0.3427	0.2157	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Comamonas testosteroni"	"S"	285	1155	36	69	411	262	2	303	536	8	331	1155	378	1	0.4866	0.3019	0.4866	0.2097	0.09616	0.1177	0.1819	0.2685	0.002154	0.1755	0.4384	0.2157	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	312	18	23	118	97	1	138	227	2	167	312	167	NA	0.1622	0.151	0.1622	0.06022	0.0356	0.05886	0.08284	0.1137	0.0005384	0.08855	0.1184	0.0953	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas kerstersii"	"S"	225992	290	14	14	100	59	2	67	120	1	60	290	111	1	0.2625	0.1174	0.09873	0.05103	0.02166	0.1177	0.04022	0.06012	0.0002692	0.03181	0.1101	0.06334	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Simplicispira sp. SC1-8"	"S"	2109915	1597	52	53	1422	252	3	284	359	8	237	1597	302	3	0.7874	0.4361	0.3738	0.7257	0.09249	0.1766	0.1705	0.1799	0.002154	0.1257	0.6061	0.1723	0.7874	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Ramlibacter tataouinensis"	"S"	94132	871	38	65	371	226	1	270	478	3	268	871	293	1	0.4584	0.3187	0.4584	0.1893	0.08295	0.05886	0.1621	0.2395	0.0008077	0.1421	0.3306	0.1672	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Verminephrobacter eiseniae"	"S"	364317	1121	32	61	726	302	3	287	508	10	312	1121	380	NA	0.4302	0.2684	0.4302	0.3705	0.1108	0.1766	0.1723	0.2545	0.002692	0.1654	0.4255	0.2168	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Candidatus Symbiobacter mobilis"	"S"	1436290	656	25	40	237	188	4	218	371	10	203	656	275	2	0.5249	0.2097	0.2821	0.121	0.069	0.2354	0.1309	0.1859	0.002692	0.1076	0.249	0.1569	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Melaminivora sp. SC2-7"	"S"	2116657	229	13	17	109	45	NA	55	94	2	63	229	80	2	0.5249	0.109	0.1199	0.05563	0.01652	NA	0.03301	0.0471	0.0005384	0.0334	0.08691	0.04565	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	172	8	10	64	36	NA	46	78	1	44	172	48	NA	0.07052	0.06709	0.07052	0.03266	0.01321	NA	0.02761	0.03908	0.0002692	0.02333	0.06528	0.02739	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Delftia sp. Cs1-4"	"S"	742013	145	6	6	44	34	NA	40	79	NA	45	145	54	1	0.2625	0.05032	0.04231	0.02245	0.01248	NA	0.02401	0.03958	NA	0.02386	0.05503	0.03081	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	35	1	3	9	9	NA	10	19	1	5	35	10	NA	0.02116	0.008386	0.02116	0.004593	0.003303	NA	0.006003	0.009519	0.0002692	0.002651	0.01328	0.005706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Alicycliphilus denitrificans"	"S"	179636	110	5	7	53	32	1	22	48	1	24	110	34	1	0.2625	0.04193	0.04937	0.02705	0.01175	0.05886	0.01321	0.02405	0.0002692	0.01273	0.04175	0.0194	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Methylibium petroleiphilum"	"S"	105560	2451	70	50	1327	715	10	560	544	6	542	2451	769	2	0.9302	0.5871	0.3526	0.6772	0.2624	0.5886	0.3361	0.2726	0.001615	0.2874	0.9302	0.4388	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Methylibium"
"Rhizobacter gummiphilus"	"S"	946333	2150	57	39	1163	533	8	469	478	13	428	2150	592	NA	0.816	0.478	0.275	0.5935	0.1956	0.4709	0.2815	0.2395	0.0035	0.2269	0.816	0.3378	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rhizobacter"
"Thiomonas intermedia"	"S"	926	1397	52	95	557	378	5	398	719	11	431	1397	555	3	0.7874	0.4361	0.67	0.2843	0.1387	0.2943	0.2389	0.3602	0.002961	0.2285	0.5302	0.3167	0.7874	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Thiomonas"
"Leptothrix cholodnii"	"S"	34029	1639	48	31	595	461	6	413	407	8	360	1639	564	NA	0.6221	0.4025	0.2186	0.3037	0.1692	0.3531	0.2479	0.2039	0.002154	0.1909	0.6221	0.3218	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Leptothrix"
"Roseateles depolymerans"	"S"	76731	1113	44	54	815	325	4	270	390	11	231	1113	350	NA	0.4224	0.369	0.3808	0.4159	0.1193	0.2354	0.1621	0.1954	0.002961	0.1225	0.4224	0.1997	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Roseateles"
"Paucibacter sp. KCTC 42545"	"S"	1768242	1008	28	32	402	232	3	211	267	5	197	1008	296	NA	0.3826	0.2348	0.2257	0.2052	0.08515	0.1766	0.1267	0.1338	0.001346	0.1045	0.3826	0.1689	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Paucibacter"
"Rubrivivax gelatinosus"	"S"	28068	542	23	10	542	134	2	89	119	4	70	442	128	NA	0.2766	0.1929	0.07052	0.2766	0.04918	0.1177	0.05342	0.05962	0.001077	0.03712	0.1678	0.07304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rubrivivax"
"Mitsuaria sp. 7"	"S"	1658665	301	12	15	242	101	3	92	131	3	95	301	119	NA	0.1766	0.1006	0.1058	0.1235	0.03707	0.1766	0.05522	0.06563	0.0008077	0.05037	0.1142	0.06791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Mitsuaria"
"[Polyangium] brachysporum"	"S"	413882	1028	34	14	554	260	2	240	257	7	209	1028	278	1	0.3902	0.2851	0.09873	0.2827	0.09543	0.1177	0.1441	0.1288	0.001885	0.1108	0.3902	0.1586	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales"
"Burkholderiales bacterium GJ-E10"	"S"	1469502	133	9	1	133	43	NA	24	22	2	14	90	10	NA	0.07548	0.07548	0.007052	0.06788	0.01578	NA	0.01441	0.01102	0.0005384	0.007423	0.03416	0.005706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>unclassified&nbsp;Burkholderiales&nbsp;(miscellaneous)"
"Burkholderiales bacterium YL45"	"S"	1834205	140	5	11	51	75	1	48	76	3	55	140	66	NA	0.07757	0.04193	0.07757	0.02603	0.02753	0.05886	0.02881	0.03808	0.0008077	0.02916	0.05314	0.03766	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>unclassified&nbsp;Burkholderiales&nbsp;(miscellaneous)"
"Massilia sp. B2"	"S"	2045208	3168	134	133	860	1009	11	1060	1603	30	1187	3168	1419	1	1.202	1.124	0.9379	0.4389	0.3703	0.6474	0.6363	0.8031	0.008077	0.6294	1.202	0.8097	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. ZMN-3"	"S"	2072590	1389	41	90	353	438	6	446	784	15	500	1389	725	1	0.6347	0.3438	0.6347	0.1801	0.1608	0.3531	0.2677	0.3928	0.004038	0.2651	0.5272	0.4137	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. WG5"	"S"	1707785	294	17	18	294	95	NA	91	141	4	81	277	119	NA	0.15	0.1426	0.1269	0.15	0.03487	NA	0.05462	0.07064	0.001077	0.04295	0.1051	0.06791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia sp. NR 4-1"	"S"	1678028	342	14	9	74	96	1	113	116	1	114	342	171	1	0.2625	0.1174	0.06347	0.03777	0.03524	0.05886	0.06783	0.05812	0.0002692	0.06044	0.1298	0.09758	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Massilia putida"	"S"	1141883	116	4	2	85	79	NA	41	43	39	44	116	59	NA	0.04403	0.03355	0.0141	0.04338	0.029	NA	0.02461	0.02154	0.0105	0.02333	0.04403	0.03367	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Janthinobacterium sp. LM6"	"S"	1938606	173	14	2	28	60	1	53	78	NA	68	173	126	NA	0.1174	0.1174	0.0141	0.01429	0.02202	0.05886	0.03181	0.03908	NA	0.03605	0.06566	0.0719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium sp. B9-8"	"S"	1236179	517	8	9	109	517	4	71	115	10	48	215	76	1	0.2625	0.06709	0.06347	0.05563	0.1898	0.2354	0.04262	0.05762	0.002692	0.02545	0.0816	0.04337	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium svalbardensis"	"S"	368607	171	3	2	33	37	NA	46	73	NA	57	171	81	NA	0.0649	0.02516	0.0141	0.01684	0.01358	NA	0.02761	0.03657	NA	0.03022	0.0649	0.04622	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium agaricidamnosum"	"S"	55508	43	2	1	9	14	NA	10	23	2	17	43	27	NA	0.01677	0.01677	0.007052	0.004593	0.005139	NA	0.006003	0.01152	0.0005384	0.009014	0.01632	0.01541	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium sp. Marseille"	"S"	375286	60	1	1	26	18	1	31	31	NA	17	60	33	NA	0.05886	0.008386	0.007052	0.01327	0.006607	0.05886	0.01861	0.01553	NA	0.009014	0.02277	0.01883	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium sp. 1_2014MBL_MicDiv"	"S"	1644131	35	1	NA	3	14	NA	11	16	NA	9	35	18	NA	0.01328	0.008386	NA	0.001531	0.005139	NA	0.006603	0.008016	NA	0.004772	0.01328	0.01027	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Herbaspirillum seropedicae"	"S"	964	160	11	9	109	120	2	82	106	16	86	160	100	NA	0.1177	0.09225	0.06347	0.05563	0.04404	0.1177	0.04922	0.05311	0.004308	0.0456	0.06073	0.05706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Herbaspirillum hiltneri"	"S"	341045	144	5	3	71	53	NA	40	60	NA	41	144	64	NA	0.05465	0.04193	0.02116	0.03623	0.01945	NA	0.02401	0.03006	NA	0.02174	0.05465	0.03652	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Herbaspirillum rubrisubalbicans"	"S"	80842	63	2	1	12	32	NA	31	30	2	27	63	41	NA	0.02391	0.01677	0.007052	0.006124	0.01175	NA	0.01861	0.01503	0.0005384	0.01432	0.02391	0.0234	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Herbaspirillum frisingense"	"S"	92645	16	1	NA	5	5	1	6	7	NA	8	16	16	NA	0.05886	0.008386	NA	0.002552	0.001835	0.05886	0.003602	0.003507	NA	0.004242	0.006073	0.00913	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Herbaspirillum sp. meg3"	"S"	2025949	83	1	4	51	67	1	61	51	3	44	83	63	NA	0.05886	0.008386	0.02821	0.02603	0.02459	0.05886	0.03662	0.02555	0.0008077	0.02333	0.0315	0.03595	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Collimonas arenae"	"S"	279058	117	7	NA	41	47	NA	56	66	NA	37	117	65	NA	0.05871	0.05871	NA	0.02092	0.01725	NA	0.03361	0.03307	NA	0.01962	0.04441	0.03709	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Collimonas"
"Collimonas fungivorans"	"S"	158899	35	1	2	24	11	NA	19	17	3	15	35	12	1	0.2625	0.008386	0.0141	0.01225	0.004037	NA	0.01141	0.008517	0.0008077	0.007953	0.01328	0.006848	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Collimonas"
"Collimonas pratensis"	"S"	279113	43	1	2	17	23	1	24	30	NA	25	43	26	NA	0.05886	0.008386	0.0141	0.008676	0.008442	0.05886	0.01441	0.01503	NA	0.01326	0.01632	0.01484	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Collimonas"
"Herminiimonas arsenitoxidans"	"S"	1809410	171	5	9	51	70	NA	60	93	2	43	171	79	1	0.2625	0.04193	0.06347	0.02603	0.02569	NA	0.03602	0.0466	0.0005384	0.0228	0.0649	0.04508	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herminiimonas"
"Oxalobacter formigenes"	"S"	847	108	3	4	48	108	NA	22	37	2	17	67	44	NA	0.03964	0.02516	0.02821	0.0245	0.03964	NA	0.01321	0.01854	0.0005384	0.009014	0.02543	0.02511	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Oxalobacter"
"Burkholderia sp. CCGE1001"	"S"	640510	1276	56	42	1276	861	6	334	441	11	340	1033	564	2	0.6512	0.4696	0.2962	0.6512	0.316	0.3531	0.2005	0.221	0.002961	0.1803	0.3921	0.3218	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"pseudomallei group"	"S"	111527	854	19	33	340	374	5	344	277	96	279	854	324	NA	0.3241	0.1593	0.2327	0.1735	0.1373	0.2943	0.2065	0.1388	0.02585	0.1479	0.3241	0.1849	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia mallei"	"S"	13373	224	6	17	165	162	3	185	152	56	132	224	133	NA	0.1766	0.05032	0.1199	0.08421	0.05946	0.1766	0.111	0.07616	0.01508	0.06999	0.08502	0.07589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
