"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"Ralstonia"	"G"	26443	1027	71	61	903	657	1	401	611	10	350	1027	629	NA	0.448	0.448	0.3219	0.3514	0.175	0.04227	0.1677	0.2277	0.002562	0.1354	0.2924	0.2621	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	1714	52	124	630	483	6	532	979	11	621	1714	681	3	0.6544	0.3281	0.6544	0.2451	0.1287	0.2536	0.2225	0.3649	0.002818	0.2402	0.488	0.2838	0.5348	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	1449	50	101	658	416	3	414	881	8	532	1449	545	NA	0.533	0.3155	0.533	0.256	0.1108	0.1268	0.1732	0.3284	0.00205	0.2057	0.4126	0.2271	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	1356	46	110	464	349	6	436	781	7	430	1356	548	1	0.5805	0.2903	0.5805	0.1805	0.09298	0.2536	0.1824	0.2911	0.001794	0.1663	0.3861	0.2283	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1157	45	57	477	452	5	324	549	13	352	1157	590	NA	0.3294	0.2839	0.3008	0.1856	0.1204	0.2113	0.1355	0.2046	0.003331	0.1361	0.3294	0.2458	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1018	44	46	624	352	3	258	420	7	276	1018	348	1	0.2899	0.2776	0.2427	0.2428	0.09378	0.1268	0.1079	0.1565	0.001794	0.1067	0.2899	0.145	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	1067	40	60	697	573	3	318	548	9	319	1067	452	NA	0.3166	0.2524	0.3166	0.2712	0.1527	0.1268	0.133	0.2043	0.002306	0.1234	0.3038	0.1883	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	891	37	69	338	263	2	303	533	3	295	891	363	NA	0.3641	0.2335	0.3641	0.1315	0.07007	0.08453	0.1268	0.1987	0.0007687	0.1141	0.2537	0.1513	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	1004	33	87	391	283	4	335	586	5	342	1004	425	1	0.4591	0.2082	0.4591	0.1521	0.0754	0.1691	0.1401	0.2184	0.001281	0.1323	0.2859	0.1771	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	921	33	72	368	278	1	291	511	9	292	921	356	NA	0.3799	0.2082	0.3799	0.1432	0.07407	0.04227	0.1217	0.1905	0.002306	0.1129	0.2622	0.1483	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	768	31	39	406	415	2	277	402	5	284	768	367	2	0.3565	0.1956	0.2058	0.158	0.1106	0.08453	0.1159	0.1498	0.001281	0.1098	0.2187	0.1529	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	874	30	48	408	288	1	265	475	5	259	874	346	2	0.3565	0.1893	0.2533	0.1588	0.07673	0.04227	0.1109	0.177	0.001281	0.1002	0.2489	0.1442	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	440	27	37	257	239	3	245	284	4	192	440	292	NA	0.1953	0.1704	0.1953	0.1	0.06368	0.1268	0.1025	0.1059	0.001025	0.07425	0.1253	0.1217	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	744	25	40	449	340	3	216	311	3	205	744	277	1	0.2118	0.1577	0.2111	0.1747	0.09059	0.1268	0.09036	0.1159	0.0007687	0.07928	0.2118	0.1154	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	862	24	45	411	404	2	334	522	10	347	862	452	NA	0.2454	0.1514	0.2375	0.1599	0.1076	0.08453	0.1397	0.1946	0.002562	0.1342	0.2454	0.1883	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	538	18	28	291	165	4	131	265	3	160	538	198	NA	0.1691	0.1136	0.1478	0.1132	0.04396	0.1691	0.0548	0.09877	0.0007687	0.06188	0.1532	0.0825	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	427	18	23	176	141	NA	133	270	3	157	427	171	1	0.1783	0.1136	0.1214	0.06848	0.03757	NA	0.05564	0.1006	0.0007687	0.06072	0.1216	0.07125	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	418	17	30	190	101	NA	97	225	3	119	418	147	1	0.1783	0.1073	0.1583	0.07393	0.02691	NA	0.04058	0.08386	0.0007687	0.04602	0.119	0.06125	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	405	15	14	405	98	NA	73	107	1	77	339	79	NA	0.1576	0.09465	0.07388	0.1576	0.02611	NA	0.03054	0.03988	0.0002562	0.02978	0.09653	0.03292	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	385	14	7	181	158	1	116	165	NA	125	385	198	NA	0.1096	0.08834	0.03694	0.07043	0.0421	0.04227	0.04853	0.0615	NA	0.04834	0.1096	0.0825	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	228	14	12	228	152	3	73	127	2	81	222	110	2	0.3565	0.08834	0.06332	0.08872	0.0405	0.1268	0.03054	0.04734	0.0005124	0.03132	0.06321	0.04583	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	341	13	21	125	178	2	113	205	3	142	341	198	1	0.1783	0.08203	0.1108	0.04864	0.04742	0.08453	0.04727	0.07641	0.0007687	0.05491	0.0971	0.0825	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	344	12	32	226	114	3	94	191	1	95	344	142	NA	0.1689	0.07572	0.1689	0.08794	0.03037	0.1268	0.03932	0.07119	0.0002562	0.03674	0.09795	0.05917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	158	12	8	123	69	NA	57	69	1	52	158	63	NA	0.07572	0.07572	0.04222	0.04786	0.01838	NA	0.02384	0.02572	0.0002562	0.02011	0.04499	0.02625	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	233	11	10	233	161	1	58	64	1	31	189	87	1	0.1783	0.06941	0.05277	0.09066	0.0429	0.04227	0.02426	0.02385	0.0002562	0.01199	0.05382	0.03625	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	267	11	7	267	170	1	76	89	NA	45	234	114	NA	0.1039	0.06941	0.03694	0.1039	0.04529	0.04227	0.03179	0.03317	NA	0.0174	0.06663	0.0475	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	238	10	20	182	79	1	93	126	2	77	238	78	NA	0.1055	0.0631	0.1055	0.07082	0.02105	0.04227	0.0389	0.04696	0.0005124	0.02978	0.06777	0.0325	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	398	9	20	398	201	4	127	155	4	105	371	146	NA	0.1691	0.05679	0.1055	0.1549	0.05355	0.1691	0.05313	0.05777	0.001025	0.04061	0.1056	0.06084	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	215	9	16	73	70	1	63	124	2	63	215	83	NA	0.08443	0.05679	0.08443	0.02841	0.01865	0.04227	0.02635	0.04622	0.0005124	0.02436	0.06122	0.03458	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	314	8	5	314	34	NA	37	31	NA	23	90	20	NA	0.1222	0.05048	0.02639	0.1222	0.009059	NA	0.01548	0.01155	NA	0.008895	0.02563	0.008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	209	7	16	129	79	NA	57	128	1	71	209	72	NA	0.08443	0.04417	0.08443	0.0502	0.02105	NA	0.02384	0.04771	0.0002562	0.02746	0.05951	0.03	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	420	7	11	167	136	2	111	71	1	90	420	207	NA	0.1196	0.04417	0.05805	0.06498	0.03623	0.08453	0.04643	0.02646	0.0002562	0.0348	0.1196	0.08625	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	98	7	8	67	60	NA	32	68	NA	29	98	40	NA	0.04417	0.04417	0.04222	0.02607	0.01599	NA	0.01339	0.02535	NA	0.01121	0.0279	0.01667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	96	7	2	68	34	NA	25	14	1	21	96	42	1	0.1783	0.04417	0.01055	0.02646	0.009059	NA	0.01046	0.005218	0.0002562	0.008121	0.02734	0.0175	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	132	7	10	49	45	NA	31	84	1	48	132	57	NA	0.05277	0.04417	0.05277	0.01907	0.01199	NA	0.01297	0.03131	0.0002562	0.01856	0.03759	0.02375	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	146	6	9	82	55	1	43	72	1	36	146	61	NA	0.04749	0.03786	0.04749	0.03191	0.01465	0.04227	0.01799	0.02684	0.0002562	0.01392	0.04157	0.02542	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	120	6	10	49	38	NA	29	55	NA	36	120	40	NA	0.05277	0.03786	0.05277	0.01907	0.01012	NA	0.01213	0.0205	NA	0.01392	0.03417	0.01667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	143	6	9	69	48	NA	40	74	3	36	143	51	NA	0.04749	0.03786	0.04749	0.02685	0.01279	NA	0.01673	0.02758	0.0007687	0.01392	0.04072	0.02125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	116	5	2	116	27	NA	28	41	NA	27	94	33	NA	0.04514	0.03155	0.01055	0.04514	0.007194	NA	0.01171	0.01528	NA	0.01044	0.02677	0.01375	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	123	5	6	79	99	1	45	70	4	50	123	74	NA	0.04227	0.03155	0.03166	0.03074	0.02638	0.04227	0.01882	0.02609	0.001025	0.01934	0.03502	0.03083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	70	4	5	23	11	NA	22	32	NA	26	70	25	NA	0.02639	0.02524	0.02639	0.00895	0.002931	NA	0.009203	0.01193	NA	0.01005	0.01993	0.01042	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	51	4	2	51	18	NA	15	16	NA	15	34	18	NA	0.02524	0.02524	0.01055	0.01984	0.004796	NA	0.006275	0.005964	NA	0.005801	0.009681	0.0075	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	224	4	14	113	81	NA	59	142	NA	95	224	116	NA	0.07388	0.02524	0.07388	0.04397	0.02158	NA	0.02468	0.05293	NA	0.03674	0.06378	0.04833	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	149	3	16	52	34	2	36	58	2	47	149	51	NA	0.08453	0.01893	0.08443	0.02023	0.009059	0.08453	0.01506	0.02162	0.0005124	0.01818	0.04243	0.02125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	77	3	3	30	22	NA	21	35	2	21	77	29	NA	0.02193	0.01893	0.01583	0.01167	0.005862	NA	0.008785	0.01305	0.0005124	0.008121	0.02193	0.01208	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	51	3	3	51	47	NA	18	21	NA	11	47	25	1	0.1783	0.01893	0.01583	0.01984	0.01252	NA	0.00753	0.007827	NA	0.004254	0.01338	0.01042	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	52	3	5	30	25	NA	29	20	2	15	52	24	NA	0.02639	0.01893	0.02639	0.01167	0.006661	NA	0.01213	0.007454	0.0005124	0.005801	0.01481	0.01	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	116	3	10	38	36	1	34	60	1	43	116	47	NA	0.05277	0.01893	0.05277	0.01479	0.009592	0.04227	0.01422	0.02236	0.0002562	0.01663	0.03303	0.01958	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	39	3	7	39	31	NA	16	15	NA	16	31	20	NA	0.03694	0.01893	0.03694	0.01518	0.008259	NA	0.006693	0.005591	NA	0.006188	0.008827	0.008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	88	3	8	29	23	1	20	37	1	29	88	32	NA	0.04227	0.01893	0.04222	0.01128	0.006128	0.04227	0.008367	0.01379	0.0002562	0.01121	0.02506	0.01333	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	40	3	4	27	14	NA	17	15	NA	15	40	15	NA	0.02111	0.01893	0.02111	0.01051	0.00373	NA	0.007112	0.005591	NA	0.005801	0.01139	0.00625	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	70	2	3	39	46	NA	32	38	1	26	70	42	NA	0.01993	0.01262	0.01583	0.01518	0.01226	NA	0.01339	0.01416	0.0002562	0.01005	0.01993	0.0175	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	80	2	1	80	23	NA	17	27	1	10	52	12	NA	0.03113	0.01262	0.005277	0.03113	0.006128	NA	0.007112	0.01006	0.0002562	0.003867	0.01481	0.005	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	121	2	8	69	36	1	42	74	1	52	121	49	NA	0.04227	0.01262	0.04222	0.02685	0.009592	0.04227	0.01757	0.02758	0.0002562	0.02011	0.03445	0.02042	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	33	2	3	21	19	NA	11	10	NA	8	33	17	NA	0.01583	0.01262	0.01583	0.008171	0.005062	NA	0.004602	0.003727	NA	0.003094	0.009396	0.007084	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	39	2	1	14	11	NA	23	23	NA	16	39	6	NA	0.01262	0.01262	0.005277	0.005448	0.002931	NA	0.009621	0.008573	NA	0.006188	0.0111	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Azohydromonas"	"G"	26363	14	2	1	13	5	NA	5	7	NA	4	14	4	NA	0.01262	0.01262	0.005277	0.005058	0.001332	NA	0.002092	0.002609	NA	0.001547	0.003986	0.001667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	28	2	NA	28	12	NA	3	5	NA	4	20	7	NA	0.01262	0.01262	NA	0.0109	0.003197	NA	0.001255	0.001864	NA	0.001547	0.005695	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
