"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Neisseria"	"G"	26532	25	3	1	16	25	NA	9	14	12	11	23	7	NA	0.01893	0.01893	0.005277	0.006226	0.006661	NA	0.003765	0.005218	0.003075	0.004254	0.006549	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
"Nitrosomonadaceae"	"F"	26539	178	3	3	53	178	NA	29	37	18	13	146	26	NA	0.04742	0.01893	0.01583	0.02062	0.04742	NA	0.01213	0.01379	0.004612	0.005027	0.04157	0.01083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"966-1"	"G"	26540	114	2	NA	8	114	NA	1	8	9	NA	13	7	NA	0.03037	0.01262	NA	0.003113	0.03037	NA	0.0004183	0.002982	0.002306	NA	0.003702	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"MND1"	"G"	26545	27	1	NA	21	18	NA	5	7	3	5	27	7	NA	0.008171	0.00631	NA	0.008171	0.004796	NA	0.002092	0.002609	0.0007687	0.001934	0.007688	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Gallionellaceae"	"F"	26497	35	2	1	22	16	NA	6	16	1	14	35	9	NA	0.01262	0.01262	0.005277	0.00856	0.004263	NA	0.00251	0.005964	0.0002562	0.005414	0.009966	0.00375	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Ferriphaselus"	"G"	26499	4	1	NA	2	3	NA	1	1	NA	NA	4	NA	NA	0.00631	0.00631	NA	0.0007782	0.0007993	NA	0.0004183	0.0003727	NA	NA	0.001139	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Gallionellaceae"
"Sideroxydans"	"G"	26501	26	1	1	15	9	NA	5	12	1	11	26	7	NA	0.007403	0.00631	0.005277	0.005837	0.002398	NA	0.002092	0.004473	0.0002562	0.004254	0.007403	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Gallionellaceae"
"Hydrogenophilaceae"	"F"	26503	29	2	1	7	19	1	8	11	NA	8	29	4	NA	0.04227	0.01262	0.005277	0.002724	0.005062	0.04227	0.003347	0.0041	NA	0.003094	0.008258	0.001667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Tepidiphilus"	"G"	26508	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00631	0.00631	NA	NA	0.0002664	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Hydrogenophilaceae"
"Thiobacillus"	"G"	26509	13	1	NA	4	6	1	7	7	NA	3	13	3	NA	0.04227	0.00631	NA	0.001556	0.001599	0.04227	0.002928	0.002609	NA	0.00116	0.003702	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Hydrogenophilaceae"
"Rhodocyclaceae"	"F"	26555	123	2	9	102	99	NA	41	62	10	43	123	48	NA	0.04749	0.01262	0.04749	0.03969	0.02638	NA	0.01715	0.02311	0.002562	0.01663	0.03502	0.02	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Candidatus Accumulibacter"	"G"	26561	27	1	2	12	10	NA	9	9	1	7	27	15	NA	0.01055	0.00631	0.01055	0.004669	0.002664	NA	0.003765	0.003355	0.0002562	0.002707	0.007688	0.00625	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"SC-I-84"	"F"	26582	26	2	NA	13	14	NA	8	12	1	2	26	6	NA	0.01262	0.01262	NA	0.005058	0.00373	NA	0.003347	0.004473	0.0002562	0.0007734	0.007403	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"A21b"	"F"	26342	60	1	NA	23	26	NA	13	21	NA	3	60	2	NA	0.01708	0.00631	NA	0.00895	0.006927	NA	0.005438	0.007827	NA	0.00116	0.01708	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"TRA3-20"	"F"	26589	14	1	NA	11	11	NA	12	8	NA	1	14	9	NA	0.00631	0.00631	NA	0.00428	0.002931	NA	0.00502	0.002982	NA	0.0003867	0.003986	0.00375	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Enterobacteriales"	"O"	3468	10608	13	20	167	217	8	111	147	10608	122	234	140	1	2.718	0.08203	0.1055	0.06498	0.05782	0.3381	0.04643	0.05479	2.718	0.04718	0.06663	0.05834	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Enterobacteriaceae"	"F"	3469	10608	13	20	167	217	8	111	147	10608	122	234	140	1	2.718	0.08203	0.1055	0.06498	0.05782	0.3381	0.04643	0.05479	2.718	0.04718	0.06663	0.05834	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales"
"Escherichia-Shigella"	"G"	3504	3282	3	4	24	51	NA	21	27	3282	29	49	25	1	0.8409	0.01893	0.02111	0.009339	0.01359	NA	0.008785	0.01006	0.8409	0.01121	0.01395	0.01042	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Enterobacter"	"G"	3502	436	2	5	31	43	NA	18	49	436	23	63	46	NA	0.1117	0.01262	0.02639	0.01206	0.01146	NA	0.00753	0.01826	0.1117	0.008895	0.01794	0.01917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Serratia"	"G"	3523	127	1	NA	5	2	NA	2	4	127	1	2	3	NA	0.03254	0.00631	NA	0.001946	0.0005329	NA	0.0008367	0.001491	0.03254	0.0003867	0.0005695	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Pseudomonadales"	"O"	3709	788	12	9	146	788	2	73	98	389	78	154	88	NA	0.2099	0.07572	0.04749	0.05681	0.2099	0.08453	0.03054	0.03653	0.09967	0.03016	0.04385	0.03667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudomonadaceae"	"F"	3718	592	9	6	113	592	1	54	71	362	56	118	64	NA	0.1577	0.05679	0.03166	0.04397	0.1577	0.04227	0.02259	0.02646	0.09275	0.02166	0.0336	0.02667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Pseudomonas"	"G"	3723	591	9	6	109	591	1	52	70	360	55	112	61	NA	0.1575	0.05679	0.03166	0.04241	0.1575	0.04227	0.02175	0.02609	0.09224	0.02127	0.03189	0.02542	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Moraxellaceae"	"F"	3710	196	3	3	33	196	1	19	27	27	22	35	23	NA	0.05222	0.01893	0.01583	0.01284	0.05222	0.04227	0.007948	0.01006	0.006918	0.008508	0.009966	0.009584	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"[Agitococcus] lubricus group"	"G"	14681	152	2	NA	13	152	NA	3	9	5	5	7	2	NA	0.0405	0.01262	NA	0.005058	0.0405	NA	0.001255	0.003355	0.001281	0.001934	0.001993	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Acinetobacter"	"G"	3711	28	1	1	16	28	NA	15	13	13	10	20	12	NA	0.00746	0.00631	0.005277	0.006226	0.00746	NA	0.006275	0.004845	0.003331	0.003867	0.005695	0.005	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Xanthomonadales"	"O"	3786	208	9	6	154	118	1	68	75	54	42	208	46	NA	0.05992	0.05679	0.03166	0.05992	0.03144	0.04227	0.02845	0.02795	0.01384	0.01624	0.05923	0.01917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Rhodanobacteraceae"	"F"	26864	55	5	NA	49	35	1	30	34	33	16	55	19	NA	0.04227	0.03155	NA	0.01907	0.009325	0.04227	0.01255	0.01267	0.008455	0.006188	0.01566	0.007917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"uncultured"	"G"	26880	26	3	NA	26	2	NA	8	14	1	5	22	4	NA	0.01893	0.01893	NA	0.01012	0.0005329	NA	0.003347	0.005218	0.0002562	0.001934	0.006264	0.001667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Dokdonella"	"G"	26868	9	1	NA	3	6	NA	5	3	NA	NA	9	2	NA	0.00631	0.00631	NA	0.001167	0.001599	NA	0.002092	0.001118	NA	NA	0.002563	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Rhodanobacter"	"G"	26877	32	1	NA	13	18	NA	14	9	32	7	17	7	NA	0.008199	0.00631	NA	0.005058	0.004796	NA	0.005857	0.003355	0.008199	0.002707	0.004841	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Xanthomonadaceae"	"F"	3799	147	4	6	93	79	NA	36	41	21	25	147	26	NA	0.04186	0.02524	0.03166	0.03619	0.02105	NA	0.01506	0.01528	0.005381	0.009668	0.04186	0.01083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Lysobacter"	"G"	3809	40	1	1	26	21	NA	6	10	2	5	40	1	NA	0.01139	0.00631	0.005277	0.01012	0.005595	NA	0.00251	0.003727	0.0005124	0.001934	0.01139	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Thermomonas"	"G"	3820	14	1	NA	5	3	NA	NA	2	4	1	14	2	NA	0.00631	0.00631	NA	0.001946	0.0007993	NA	NA	0.0007454	0.001025	0.0003867	0.003986	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Aeromonadales"	"O"	3316	78	8	1	58	78	1	10	21	66	9	38	24	1	0.1783	0.05048	0.005277	0.02257	0.02078	0.04227	0.004183	0.007827	0.01691	0.00348	0.01082	0.01	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Aeromonadaceae"	"F"	3317	66	8	1	56	66	1	5	19	51	9	28	23	NA	0.05048	0.05048	0.005277	0.02179	0.01758	0.04227	0.002092	0.007082	0.01307	0.00348	0.007973	0.009584	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
"Tolumonas"	"G"	3321	54	8	1	52	54	1	3	16	2	7	22	18	NA	0.05048	0.05048	0.005277	0.02023	0.01439	0.04227	0.001255	0.005964	0.0005124	0.002707	0.006264	0.0075	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Acidithiobacillales"	"O"	3307	164	5	11	85	88	1	45	110	5	49	164	69	NA	0.05805	0.03155	0.05805	0.03307	0.02345	0.04227	0.01882	0.041	0.001281	0.01895	0.0467	0.02875	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillaceae"	"F"	3309	164	5	11	85	88	1	45	110	5	49	164	69	NA	0.05805	0.03155	0.05805	0.03307	0.02345	0.04227	0.01882	0.041	0.001281	0.01895	0.0467	0.02875	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales"
"Acidithiobacillus"	"G"	3310	164	5	11	85	88	1	44	110	5	49	164	69	NA	0.05805	0.03155	0.05805	0.03307	0.02345	0.04227	0.01841	0.041	0.001281	0.01895	0.0467	0.02875	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"Alteromonadales"	"O"	3333	54	1	2	27	34	NA	15	19	50	11	54	19	2	0.3565	0.00631	0.01055	0.01051	0.009059	NA	0.006275	0.007082	0.01281	0.004254	0.01538	0.007917	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Marinobacteraceae"	"F"	26313	36	1	1	21	21	NA	11	10	NA	3	36	8	2	0.3565	0.00631	0.005277	0.008171	0.005595	NA	0.004602	0.003727	NA	0.00116	0.01025	0.003333	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Marinobacter"	"G"	26314	36	1	1	21	21	NA	11	10	NA	3	36	8	2	0.3565	0.00631	0.005277	0.008171	0.005595	NA	0.004602	0.003727	NA	0.00116	0.01025	0.003333	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Marinobacteraceae"
"Vibrionales"	"O"	3775	24	1	NA	5	12	1	12	3	24	8	9	2	NA	0.04227	0.00631	NA	0.001946	0.003197	0.04227	0.00502	0.001118	0.006149	0.003094	0.002563	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Vibrionaceae"	"F"	3776	24	1	NA	5	12	1	12	3	24	8	9	2	NA	0.04227	0.00631	NA	0.001946	0.003197	0.04227	0.00502	0.001118	0.006149	0.003094	0.002563	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales"
"Vibrio"	"G"	3783	20	1	NA	5	9	1	12	2	20	7	9	2	NA	0.04227	0.00631	NA	0.001946	0.002398	0.04227	0.00502	0.0007454	0.005124	0.002707	0.002563	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Acidiferrobacterales"	"O"	14615	9	1	NA	1	9	1	NA	2	NA	NA	3	1	NA	0.04227	0.00631	NA	0.0003891	0.002398	0.04227	NA	0.0007454	NA	NA	0.0008542	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidiferrobacteraceae"	"F"	14616	9	1	NA	1	9	1	NA	2	NA	NA	3	1	NA	0.04227	0.00631	NA	0.0003891	0.002398	0.04227	NA	0.0007454	NA	NA	0.0008542	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales"
"Sulfurifustis"	"G"	14618	8	1	NA	1	8	1	NA	2	NA	NA	2	1	NA	0.04227	0.00631	NA	0.0003891	0.002131	0.04227	NA	0.0007454	NA	NA	0.0005695	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales>Acidiferrobacteraceae"
"Coxiellales"	"O"	26612	12	1	NA	7	12	NA	1	5	1	3	7	3	NA	0.00631	0.00631	NA	0.002724	0.003197	NA	0.0004183	0.001864	0.0002562	0.00116	0.001993	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	26613	12	1	NA	7	12	NA	1	5	1	3	7	3	NA	0.00631	0.00631	NA	0.002724	0.003197	NA	0.0004183	0.001864	0.0002562	0.00116	0.001993	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales"
"Coxiella"	"G"	26614	12	1	NA	7	12	NA	1	5	1	3	7	3	NA	0.00631	0.00631	NA	0.002724	0.003197	NA	0.0004183	0.001864	0.0002562	0.00116	0.001993	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales>Coxiellaceae"
"Ectothiorhodospirales"	"O"	26624	5	1	NA	2	5	NA	1	NA	2	1	3	NA	NA	0.00631	0.00631	NA	0.0007782	0.001332	NA	0.0004183	NA	0.0005124	0.0003867	0.0008542	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thioalkalispiraceae"	"F"	26638	2	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.00631	0.00631	NA	NA	0.0005329	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales"
"SS1-B-09-64"	"G"	26639	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00631	0.00631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Thioalkalispiraceae"
"JG36-TzT-191"	"O"	26682	9	1	NA	1	2	NA	3	2	1	1	9	1	NA	0.00631	0.00631	NA	0.0003891	0.0005329	NA	0.001255	0.0007454	0.0002562	0.0003867	0.002563	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"MBMPE27"	"O"	26686	4	1	NA	4	2	NA	1	2	NA	NA	1	2	NA	0.00631	0.00631	NA	0.001556	0.0005329	NA	0.0004183	0.0007454	NA	NA	0.0002847	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"SAR86 clade"	"O"	26808	5	1	NA	1	5	NA	1	NA	1	1	2	2	NA	0.00631	0.00631	NA	0.0003891	0.001332	NA	0.0004183	NA	0.0002562	0.0003867	0.0005695	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Steroidobacterales"	"O"	26825	33	1	1	9	16	NA	11	15	5	12	33	14	NA	0.009396	0.00631	0.005277	0.003502	0.004263	NA	0.004602	0.005591	0.001281	0.004641	0.009396	0.005834	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
