"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"unidentified rumen bacterium RFN74"	"S"	70506	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005497	0.0004986	NA	NA	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium 3C28d-2"	"S"	107171	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured eubacterium E1-K3"	"S"	126442	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacteria (human infant) ensemble"	"-"	150489	4	1	NA	NA	NA	2	NA	4	NA	NA	1	NA	0.002199	0.0004986	NA	NA	NA	0.001028	NA	0.002199	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium (human infant) D35A1"	"S"	124192	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;(human&nbsp;infant)&nbsp;ensemble"
"uncultured bacteria GR-Sh1 ensemble"	"-"	150571	2	1	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium GR-Sh1-107"	"S"	134295	2	1	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;GR&#x2011;Sh1&nbsp;ensemble"
"rape rhizosphere bacteria ensemble"	"-"	150575	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rape rhizosphere bacterium wr0040"	"S"	132998	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>rape&nbsp;rhizosphere&nbsp;bacteria&nbsp;ensemble"
"uncultured sulfate-reducing bacterium"	"S"	153939	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured forest soil bacterium"	"S"	169009	2	1	NA	2	NA	2	NA	2	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	0.001028	NA	0.001099	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture"	"S"	207831	3	1	NA	NA	NA	2	NA	3	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	0.001028	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured subdivision 3 bacterium"	"S"	543060	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone R3-3"	"S"	558719	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOA_1_G11"	"S"	631499	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOB_2_H10"	"S"	631562	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_B7"	"S"	631590	15	1	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.01648	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_H5"	"S"	631625	3	1	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FeC_2_C8"	"S"	631672	6	1	NA	NA	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B214(2011)"	"S"	1070656	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone E24"	"S"	1220737	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone 7(2013)"	"S"	1378690	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone FOVD-4"	"S"	1470628	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone Anammox_8"	"S"	1565754	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Proteobacteria"	"P"	1224	29439	4408	487	1972	3	18020	5	29439	8	NA	12957	3	16.18	2.198	6.604	1.209	1.875	9.265	3.378	16.18	7.339	NA	14.24	1.63	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	13664	2118	289	809	NA	13664	4	118	NA	NA	9274	1	10.19	1.056	3.919	0.4959	NA	7.026	2.703	0.06486	NA	NA	10.19	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	8808	1316	195	438	NA	8808	3	78	NA	NA	5636	NA	6.193	0.6562	2.644	0.2685	NA	4.529	2.027	0.04287	NA	NA	6.193	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	6416	858	137	255	NA	6416	3	28	NA	NA	3720	NA	4.088	0.4278	1.858	0.1563	NA	3.299	2.027	0.01539	NA	NA	4.088	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Comamonas"	"G"	283	904	128	19	41	NA	904	NA	2	NA	NA	522	NA	0.5736	0.06383	0.2577	0.02513	NA	0.4648	NA	0.001099	NA	NA	0.5736	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	451	54	6	17	NA	451	NA	1	NA	NA	242	NA	0.2659	0.02693	0.08137	0.01042	NA	0.2319	NA	0.0005497	NA	NA	0.2659	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"environmental samples"	"-"	114709	127	28	4	9	NA	127	NA	NA	NA	NA	105	NA	0.1154	0.01396	0.05424	0.005517	NA	0.0653	NA	NA	NA	NA	0.1154	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"uncultured Comamonas sp."	"S"	114710	127	28	4	9	NA	127	NA	NA	NA	NA	104	NA	0.1143	0.01396	0.05424	0.005517	NA	0.0653	NA	NA	NA	NA	0.1143	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>environmental&nbsp;samples"
"Comamonas sp. SYC56"	"S"	1867493	33	6	2	NA	NA	33	NA	NA	NA	NA	15	NA	0.02712	0.002992	0.02712	NA	NA	0.01697	NA	NA	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas terrigena"	"S"	32013	50	5	NA	6	NA	50	NA	NA	NA	NA	27	NA	0.02967	0.002493	NA	0.003678	NA	0.02571	NA	NA	NA	NA	0.02967	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas aquatica"	"S"	225991	69	4	3	4	NA	69	NA	NA	NA	NA	23	NA	0.04068	0.001995	0.04068	0.002452	NA	0.03548	NA	NA	NA	NA	0.02527	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. PG-08"	"S"	266859	15	4	NA	1	NA	15	NA	NA	NA	NA	11	NA	0.01209	0.001995	NA	0.000613	NA	0.007713	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. IMCC16029"	"S"	1292056	3	3	NA	NA	NA	3	NA	NA	NA	NA	2	NA	0.002198	0.001496	NA	NA	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. TZ1"	"S"	1357980	23	3	NA	1	NA	23	NA	NA	NA	NA	8	NA	0.01183	0.001496	NA	0.000613	NA	0.01183	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. P-120"	"S"	413550	13	2	NA	NA	NA	13	NA	NA	NA	NA	11	NA	0.01209	0.0009973	NA	NA	NA	0.006684	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. AM1"	"S"	483668	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. RS18"	"S"	1295336	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. D22"	"S"	106143	6	1	NA	NA	NA	4	NA	1	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.002057	NA	0.0005497	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas odontotermitis"	"S"	379895	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. Y14B"	"S"	417166	9	1	NA	NA	NA	9	NA	NA	NA	NA	2	NA	0.004628	0.0004986	NA	NA	NA	0.004628	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. AP5s2-M2b"	"S"	1406351	10	1	NA	NA	NA	10	NA	NA	NA	NA	5	NA	0.005494	0.0004986	NA	NA	NA	0.005142	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Limnohabitans"	"G"	665874	989	111	25	29	NA	989	1	2	NA	NA	613	NA	0.6757	0.05535	0.339	0.01778	NA	0.5085	0.6757	0.001099	NA	NA	0.6736	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	768542	397	53	10	9	NA	397	1	1	NA	NA	203	NA	0.6757	0.02643	0.1356	0.005517	NA	0.2041	0.6757	0.0005497	NA	NA	0.2231	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"uncultured Limnohabitans sp."	"S"	768543	397	53	10	9	NA	397	1	1	NA	NA	203	NA	0.6757	0.02643	0.1356	0.005517	NA	0.2041	0.6757	0.0005497	NA	NA	0.2231	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans>environmental&nbsp;samples"
"Limnohabitans sp."	"S"	1907725	255	27	5	11	NA	255	NA	NA	NA	NA	214	NA	0.2352	0.01346	0.06781	0.006742	NA	0.1311	NA	NA	NA	NA	0.2352	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. MMS-10A-160"	"S"	1835766	98	12	5	3	NA	98	NA	NA	NA	NA	46	NA	0.06781	0.005984	0.06781	0.001839	NA	0.05039	NA	NA	NA	NA	0.05055	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. MWH-C6"	"S"	323424	94	8	NA	2	NA	94	NA	NA	NA	NA	58	NA	0.06374	0.003989	NA	0.001226	NA	0.04833	NA	NA	NA	NA	0.06374	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans parvus"	"S"	540061	5	1	1	1	NA	5	NA	NA	NA	NA	3	NA	0.01356	0.0004986	0.01356	0.000613	NA	0.002571	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. CEP5"	"S"	1100710	11	1	NA	NA	NA	11	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.005656	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. Rim11"	"S"	1100719	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. Jir75"	"S"	1597957	2	1	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. DOUB1"	"S"	1751077	8	1	NA	NA	NA	5	NA	NA	NA	NA	8	NA	0.008791	0.0004986	NA	NA	NA	0.002571	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. GENT7"	"S"	1751097	7	1	NA	NA	NA	7	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	NA	NA	0.003599	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. JirII-23"	"S"	1835752	3	1	NA	NA	NA	3	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"unclassified Comamonadaceae"	"-"	83494	703	104	14	28	NA	703	NA	3	NA	NA	389	NA	0.4275	0.05186	0.1899	0.01716	NA	0.3615	NA	0.001649	NA	NA	0.4275	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonadaceae bacterium BP-1"	"S"	212188	666	98	13	23	NA	666	NA	3	NA	NA	365	NA	0.4011	0.04887	0.1763	0.0141	NA	0.3424	NA	0.001649	NA	NA	0.4011	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
