"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"uncultured Crater Lake bacterium CL500-48"	"S"	148217	298	298	27	NA	NA	NA	NA	NA	NA	NA	2	NA	7	0.08488	0.08488	0.05061	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	0.01408	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Crater&nbsp;Lake&nbsp;bacteria&nbsp;ensemble"
"uncultured Crater Lake bacterium CL500-85"	"S"	148190	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Crater&nbsp;Lake&nbsp;bacteria&nbsp;ensemble"
"uncultured rumen bacterium"	"S"	136703	507	139	16	NA	1	59	57	60	507	NA	90	41	21	0.07289	0.03959	0.02999	NA	0.07289	0.006035	0.005875	0.007427	0.02871	NA	0.05821	0.004299	0.04223	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_E2"	"S"	631605	86	55	16	NA	NA	NA	NA	NA	NA	NA	86	NA	17	0.05562	0.01566	0.02999	NA	NA	NA	NA	NA	NA	NA	0.05562	NA	0.03419	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified marine bacterioplankton"	"S"	13136	45	45	6	NA	NA	NA	NA	3	28	2	20	1	3	0.2398	0.01282	0.01125	NA	NA	NA	NA	0.0003714	0.001586	0.2398	0.01293	0.0001049	0.006033	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified marine eubacterium"	"S"	28248	28	28	16	NA	NA	NA	NA	NA	NA	NA	5	1	14	0.02999	0.007975	0.02999	NA	NA	NA	NA	NA	NA	NA	0.003234	0.0001049	0.02815	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured compost bacterium"	"S"	155098	17	17	1	NA	NA	3	2	2	NA	NA	11	1	3	0.007114	0.004842	0.001874	NA	NA	0.0003069	0.0002061	0.0002476	NA	NA	0.007114	0.0001049	0.006033	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone EB24.3"	"S"	521581	12	12	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.004022	0.003418	0.003749	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004022	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone AK2"	"S"	1172159	11	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003133	0.003133	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FeC_2_C8"	"S"	631672	10	10	1	NA	NA	NA	NA	NA	NA	NA	4	NA	3	0.006033	0.002848	0.001874	NA	NA	NA	NA	NA	NA	NA	0.002587	NA	0.006033	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone Anammox_46"	"S"	1565747	10	10	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.002848	0.002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured deep-sea bacterium"	"S"	759664	14	9	NA	NA	NA	5	12	14	12	NA	3	2	2	0.004022	0.002563	NA	NA	NA	0.0005114	0.001237	0.001733	0.0006796	NA	0.00194	0.0002097	0.004022	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B203(2011)"	"S"	1070652	8	8	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	0.002587	0.002279	0.001874	NA	NA	NA	NA	NA	NA	NA	0.002587	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured forest soil bacterium"	"S"	169009	7	7	NA	NA	NA	NA	1	7	NA	NA	6	1	NA	0.00388	0.001994	NA	NA	NA	NA	0.0001031	0.0008665	NA	NA	0.00388	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture"	"S"	207831	7	7	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	0.002587	0.001994	0.001874	NA	NA	NA	NA	NA	NA	NA	0.002587	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B118(2011)"	"S"	1070636	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001709	0.001709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B119(2011)"	"S"	1070637	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001709	0.001709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone A207"	"S"	1177668	6	6	1	NA	NA	1	1	1	NA	NA	4	NA	4	0.008044	0.001709	0.001874	NA	NA	0.0001023	0.0001031	0.0001238	NA	NA	0.002587	NA	0.008044	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified bacterium sp. sbr-gs29"	"S"	136069	6	5	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	0.00388	0.001424	NA	NA	NA	NA	NA	NA	NA	NA	0.00388	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"ammonia oxidizing bacteria ensemble"	"-"	150483	5	5	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	0.001424	0.001424	NA	NA	NA	NA	NA	0.0002476	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured ammonia-oxidizing bacterium"	"S"	933470	5	5	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	0.001424	0.001424	NA	NA	NA	NA	NA	0.0002476	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>ammonia&nbsp;oxidizing&nbsp;bacteria&nbsp;ensemble"
"uncultured sediment bacterium"	"S"	676241	5	5	1	NA	NA	3	1	NA	1	NA	1	NA	2	0.004022	0.001424	0.001874	NA	NA	0.0003069	0.0001031	NA	5.663e-05	NA	0.0006467	NA	0.004022	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"benzene mineralizing consortium ensemble"	"-"	150464	4	4	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	0.001139	0.001139	NA	NA	NA	0.0001023	0.0001031	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"benzene mineralizing consortium clone SB-17"	"S"	70723	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001139	0.001139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>benzene&nbsp;mineralizing&nbsp;consortium&nbsp;ensemble"
"uncultured anaerobic bacterium"	"S"	283740	5	4	1	NA	NA	2	NA	NA	NA	NA	5	1	NA	0.003234	0.001139	0.001874	NA	NA	0.0002046	NA	NA	NA	NA	0.003234	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_H5"	"S"	631625	4	4	1	NA	NA	NA	NA	NA	NA	NA	2	NA	1	0.002011	0.001139	0.001874	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	0.002011	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium VC2.1 Bac29"	"S"	78298	3	3	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0.002011	0.0008544	0.001874	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	0.002011	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"marine snow associated bacteria ensemble"	"-"	150470	3	3	2	NA	NA	NA	NA	NA	NA	NA	3	NA	1	0.003749	0.0008544	0.003749	NA	NA	NA	NA	NA	NA	NA	0.00194	NA	0.002011	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"marine snow associated bacterium Adriatic86"	"S"	70026	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>marine&nbsp;snow&nbsp;associated&nbsp;bacteria&nbsp;ensemble"
"marine snow associated bacterium Adriatic76"	"S"	70024	2	1	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.003749	0.0002848	0.003749	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>marine&nbsp;snow&nbsp;associated&nbsp;bacteria&nbsp;ensemble"
"Antarctic bacteria LB3 ensemble"	"-"	150484	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0008544	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured Antarctic bacterium LB3-27"	"S"	102579	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0005696	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Antarctic&nbsp;bacteria&nbsp;LB3&nbsp;ensemble"
"uncultured Antarctic bacterium LB3-94"	"S"	102583	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Antarctic&nbsp;bacteria&nbsp;LB3&nbsp;ensemble"
"iron-reducing bacterium enrichment culture clone FEA_2_B7"	"S"	631590	6	3	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	2	0.004022	0.0008544	NA	NA	NA	NA	NA	NA	NA	NA	0.00388	NA	0.004022	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium AD106-G5"	"S"	526643	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FeC_1_H5"	"S"	631669	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005696	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone heteroB30_4W"	"S"	749153	2	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001293	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone phytdeg74"	"S"	1016939	3	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	0.006033	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	0.006033	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B197(2011)"	"S"	1070651	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0005696	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone CBNH_1102_HA1_MIDDLE_1"	"S"	1231596	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005696	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone LDC-11"	"S"	1333338	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0005696	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone FOVD-4"	"S"	1470628	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005696	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified rumen bacterium RF20"	"S"	60663	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium A11"	"S"	76293	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium SHA-61"	"S"	100718	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.002011	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002011	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium SHA-38"	"S"	100728	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium SA34"	"S"	125943	5	1	1	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	0.003234	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	0.003234	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium SHD-43"	"S"	126471	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured eubacterium WD267"	"S"	133615	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured eubacterium WD268"	"S"	133657	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001293	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"agricultural soil bacteria ensemble"	"-"	150462	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"agricultural soil bacterium SC-I-15"	"S"	102416	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>agricultural&nbsp;soil&nbsp;bacteria&nbsp;ensemble"
"saltmarsh clone ensemble"	"-"	150479	3	1	NA	NA	NA	NA	1	3	NA	NA	1	NA	NA	0.0006467	0.0002848	NA	NA	NA	NA	0.0001031	0.0003714	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"saltmarsh clone LCP-26"	"S"	135300	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	0.0001031	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>saltmarsh&nbsp;clone&nbsp;ensemble"
"uncultured bacteria GR-296 ensemble"	"-"	150567	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium GR-296.II.89"	"S"	134293	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;GR&#x2011;296&nbsp;ensemble"
"uncultured bacteria GR-Sh1 ensemble"	"-"	150571	8	1	2	NA	NA	NA	2	2	NA	NA	1	8	NA	0.003749	0.0002848	0.003749	NA	NA	NA	0.0002061	0.0002476	NA	NA	0.0006467	0.0008389	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium GR-Sh1-107"	"S"	134295	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;GR&#x2011;Sh1&nbsp;ensemble"
"Banisveld landfill bacteria ensemble"	"-"	150576	2	1	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured Banisveld landfill bacterium BVC47"	"S"	146240	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Banisveld&nbsp;landfill&nbsp;bacteria&nbsp;ensemble"
"uncultured Antarctic sea ice bacterium"	"S"	219048	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone EB27.1"	"S"	521583	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone EB27.2"	"S"	521585	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone EB35.8"	"S"	521589	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone HN72"	"S"	569513	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOA_0_G5"	"S"	631463	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOA_1_E9"	"S"	631490	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOB_2_C10"	"S"	631529	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOB_2_F8"	"S"	631553	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_C1"	"S"	631591	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_G4"	"S"	631618	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured sludge bacterium"	"S"	641485	1	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone DPHB03"	"S"	666491	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0.002011	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	0.002011	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone HS_3"	"S"	669916	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured iron-reducing bacterium"	"S"	670174	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone SBIa16"	"S"	692458	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
