"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads"	"Max.1"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads.."	"lineage"
"Ruminiclostridium"	"G"	11353	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Butyricicoccus"	"G"	2055	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Subdoligranulum"	"G"	2070	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Candidatus Soleaferrea"	"G"	11350	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 1"	"G"	11354	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 6"	"G"	11356	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-002"	"G"	11360	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ethanoligenens"	"G"	2056	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Hydrogenoanaerobacterium"	"G"	2060	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Intestinimonas"	"G"	2062	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcus 1"	"G"	11373	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"GCA-900066225"	"G"	25666	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Negativibacillus"	"G"	25668	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Lachnospiraceae"	"F"	1987	150	150	0.004798	0.004798	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Blautia"	"G"	1992	20	20	0.0006397	0.0006397	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"uncultured"	"G"	2021	18	18	0.0005758	0.0005758	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Roseburia"	"G"	2012	14	14	0.0004478	0.0004478	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NK4A136 group"	"G"	11319	14	14	0.0004478	0.0004478	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoclostridium"	"G"	11308	10	10	0.0003199	0.0003199	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Ruminococcus] torques group"	"G"	14377	7	7	0.0002239	0.0002239	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella 3"	"G"	11335	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Marvinbryantia"	"G"	2005	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae ND3007 group"	"G"	11317	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NK3A20 group"	"G"	11318	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-008"	"G"	11328	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae XPB1014 group"	"G"	11331	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Dorea"	"G"	1997	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Epulopiscium"	"G"	1998	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Oribacterium"	"G"	2008	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Pseudobutyrivibrio"	"G"	2010	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Fusicatenibacter"	"G"	11305	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Hungatella"	"G"	11306	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-001"	"G"	11321	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella"	"G"	11334	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"GCA-900066575"	"G"	25651	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Acetitomaculum"	"G"	1989	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Anaerosporobacter"	"G"	1990	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Anaerostipes"	"G"	1991	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Cellulosilyticum"	"G"	1995	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Howardella"	"G"	2000	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoanaerobaculum"	"G"	2003	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospira"	"G"	2004	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Vallitalea"	"G"	2017	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Butyrivibrio 2"	"G"	11300	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoclostridium 5"	"G"	11312	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae FCS020 group"	"G"	11314	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NC2004 group"	"G"	11316	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-002"	"G"	11322	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-003"	"G"	11323	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-010"	"G"	11330	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella 4"	"G"	11336	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] hallii group"	"G"	11338	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"A2"	"G"	25642	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Agathobacter"	"G"	25644	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Clostridiaceae 1"	"F"	1869	36	36	0.001152	0.001152	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Clostridium sensu stricto 1"	"G"	1873	17	17	0.0005438	0.0005438	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 18"	"G"	1882	9	9	0.0002879	0.0002879	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Candidatus Arthromitus"	"G"	1872	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 10"	"G"	1874	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Fonticella"	"G"	1893	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Oxobacter"	"G"	1894	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Oceanirhabdus"	"G"	11284	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Family XI"	"F"	1936	28	28	0.0008956	0.0008956	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Anaerococcus"	"G"	1937	11	11	0.0003519	0.0003519	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Peptoniphilus"	"G"	1946	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Helcococcus"	"G"	1942	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Sedimentibacter"	"G"	1947	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Ezakiella"	"G"	11289	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Finegoldia"	"G"	1940	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Tepidimicrobium"	"G"	1949	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"W5053"	"G"	25639	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Peptostreptococcaceae"	"F"	2042	28	28	0.0008956	0.0008956	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Romboutsia"	"G"	11347	12	12	0.0003838	0.0003838	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"[Eubacterium] yurii group"	"G"	14381	7	7	0.0002239	0.0002239	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Filifactor"	"G"	2043	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Peptostreptococcus"	"G"	2045	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"uncultured"	"G"	2049	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Acetoanaerobium"	"G"	11343	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Peptoclostridium"	"G"	11346	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Terrisporobacter"	"G"	11348	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Paraclostridium"	"G"	14379	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Clostridioides"	"G"	25660	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Peptococcaceae"	"F"	2024	27	27	0.0008636	0.0008636	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Desulfotomaculum"	"G"	2033	6	6	0.0001919	0.0001919	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"uncultured"	"G"	2041	6	6	0.0001919	0.0001919	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"SCADC1-2-3"	"G"	25659	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfitobacterium"	"G"	2030	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfosporosinus"	"G"	2032	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfitibacter"	"G"	2028	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Cryptanaerobacter"	"G"	2025	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"BRH-c8a"	"G"	25657	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Candidatus Dichloromethanomonas"	"G"	25658	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Christensenellaceae"	"F"	1866	26	26	0.0008317	0.0008317	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Christensenellaceae R-7 group"	"G"	11283	25	25	0.0007997	0.0007997	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"uncultured"	"G"	1868	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"Clostridiales vadinBB60 group"	"F"	11286	13	13	0.0004158	0.0004158	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Clostridiaceae 4"	"F"	1914	11	11	0.0003519	0.0003519	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Crassaminicella"	"G"	25636	9	9	0.0002879	0.0002879	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;4"
"Anaerosolibacter"	"G"	25635	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;4"
"Paramaledivibacter"	"G"	25637	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;4"
"Family XIII"	"F"	1957	10	10	0.0003199	0.0003199	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"uncultured"	"G"	1961	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Family XIII AD3011 group"	"G"	11293	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
