"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"Polaromonas sp. SP1"	"S"	2268087	7987	216	541	2381	3027	25	2610	5510	39	3433	7987	3334	10	3.077	1.488	3.077	0.9845	0.8597	1.233	1.15	2.161	0.009691	1.401	2.406	1.458	1.996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	353	6	27	109	164	NA	113	279	NA	188	353	169	1	0.1996	0.04133	0.1536	0.04507	0.04658	NA	0.04978	0.1094	NA	0.07671	0.1063	0.07389	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	9060	322	591	3728	2279	24	2645	4992	50	2738	9060	3291	3	3.361	2.218	3.361	1.541	0.6472	1.184	1.165	1.958	0.01242	1.117	2.729	1.439	0.5988	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	7105	249	458	2633	1851	19	2056	3895	36	2157	7105	2656	3	2.605	1.715	2.605	1.089	0.5257	0.9373	0.9057	1.528	0.008946	0.8801	2.14	1.161	0.5988	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	1213	53	92	858	288	NA	354	659	7	365	1213	405	NA	0.5233	0.3651	0.5233	0.3548	0.08179	NA	0.1559	0.2585	0.001739	0.1489	0.3654	0.1771	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HW608"	"S"	1034889	363	6	18	74	69	NA	122	204	2	121	363	119	NA	0.1094	0.04133	0.1024	0.0306	0.0196	NA	0.05375	0.08001	0.000497	0.04937	0.1094	0.05203	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	274	9	14	35	46	1	84	194	4	63	274	82	NA	0.08254	0.062	0.07963	0.01447	0.01306	0.04933	0.03701	0.07609	0.000994	0.02571	0.08254	0.03585	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	128	5	8	128	24	4	28	39	NA	30	104	28	NA	0.1973	0.03444	0.0455	0.05293	0.006816	0.1973	0.01234	0.0153	NA	0.01224	0.03133	0.01224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Serpentinomonas"	"G"	2490452	9622	311	653	2669	2238	23	2887	5282	56	3062	9622	3525	4	3.714	2.142	3.714	1.104	0.6356	1.135	1.272	2.072	0.01392	1.249	2.899	1.541	0.7984	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	9394	301	630	2565	2185	23	2816	5010	56	2943	9394	3412	NA	3.583	2.073	3.583	1.061	0.6205	1.135	1.241	1.965	0.01392	1.201	2.83	1.492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	271	9	22	103	53	NA	70	271	NA	118	227	112	NA	0.1251	0.062	0.1251	0.04259	0.01505	NA	0.03084	0.1063	NA	0.04815	0.06839	0.04897	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Hydrogenophaga"	"G"	47420	18015	598	1184	5894	4308	92	5898	9804	118	6018	18015	7122	1	6.734	4.119	6.734	2.437	1.223	4.539	2.598	3.845	0.02932	2.456	5.427	3.114	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. PBC"	"S"	795665	15436	515	1064	5270	3666	88	5136	8647	101	5354	15436	6253	NA	6.052	3.548	6.052	2.179	1.041	4.341	2.263	3.392	0.0251	2.185	4.65	2.734	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	373	9	19	146	88	NA	115	221	2	103	373	137	NA	0.1124	0.062	0.1081	0.06037	0.02499	NA	0.05066	0.08668	0.000497	0.04203	0.1124	0.0599	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	391	7	17	108	110	1	95	194	3	122	391	147	NA	0.1178	0.04822	0.09669	0.04466	0.03124	0.04933	0.04185	0.07609	0.0007455	0.04978	0.1178	0.06427	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Curvibacter"	"G"	281915	2319	103	197	769	716	2	818	1617	26	911	2319	1030	1	1.12	0.7095	1.12	0.318	0.2033	0.09867	0.3604	0.6342	0.006461	0.3717	0.6986	0.4503	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Curvibacter sp. AEP1-3"	"S"	1844971	2319	103	197	769	716	2	818	1617	26	911	2319	1030	1	1.12	0.7095	1.12	0.318	0.2033	0.09867	0.3604	0.6342	0.006461	0.3717	0.6986	0.4503	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Ramlibacter"	"G"	174951	2268	83	156	896	644	7	723	1425	11	715	2268	834	1	0.8873	0.5717	0.8873	0.3705	0.1829	0.3453	0.3185	0.5589	0.002733	0.2917	0.6833	0.3646	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	2268	83	156	896	644	7	723	1425	11	715	2268	834	1	0.8873	0.5717	0.8873	0.3705	0.1829	0.3453	0.3185	0.5589	0.002733	0.2917	0.6833	0.3646	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Candidatus Symbiobacter"	"G"	1436289	2416	81	179	878	659	7	770	1444	16	756	2416	1039	3	1.018	0.558	1.018	0.363	0.1872	0.3453	0.3392	0.5664	0.003976	0.3085	0.7278	0.4542	0.5988	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	2416	81	179	878	659	7	770	1444	16	756	2416	1039	3	1.018	0.558	1.018	0.363	0.1872	0.3453	0.3392	0.5664	0.003976	0.3085	0.7278	0.4542	0.5988	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Simplicispira"	"G"	352450	6681	250	312	6105	960	11	1229	1461	28	1040	6681	1430	23	4.591	1.722	1.775	2.524	0.2726	0.5427	0.5414	0.573	0.006958	0.4243	2.013	0.6252	4.591	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	6681	250	312	6105	960	11	1229	1461	28	1040	6681	1430	23	4.591	1.722	1.775	2.524	0.2726	0.5427	0.5414	0.573	0.006958	0.4243	2.013	0.6252	4.591	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Ottowia"	"G"	219181	1558	50	90	553	447	4	409	612	5	333	1558	456	NA	0.5119	0.3444	0.5119	0.2287	0.1269	0.1973	0.1802	0.24	0.001242	0.1359	0.4694	0.1994	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia oryzae"	"S"	2109914	712	26	53	203	179	2	201	342	3	195	712	296	NA	0.3014	0.1791	0.3014	0.08394	0.05084	0.09867	0.08855	0.1341	0.0007455	0.07957	0.2145	0.1294	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. oral taxon 894"	"S"	1658672	825	24	35	342	262	2	207	266	2	134	825	157	NA	0.2485	0.1653	0.1991	0.1414	0.07441	0.09867	0.09119	0.1043	0.000497	0.05468	0.2485	0.06864	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Delftia"	"G"	80865	2094	46	123	591	481	4	554	1020	7	549	2094	622	2	0.6996	0.3169	0.6996	0.2444	0.1366	0.1973	0.2441	0.4001	0.001739	0.224	0.6308	0.2719	0.3992	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. Cs1-4"	"S"	742013	2025	46	122	494	406	NA	509	948	NA	526	2025	621	1	0.6939	0.3169	0.6939	0.2043	0.1153	NA	0.2242	0.3718	NA	0.2146	0.61	0.2715	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Comamonas"	"G"	283	3790	118	263	1437	806	24	940	1658	2	1152	3790	1124	1	1.496	0.8128	1.496	0.5942	0.2289	1.184	0.4141	0.6503	0.000497	0.47	1.142	0.4914	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	3217	102	243	1241	672	23	756	1354	NA	963	3217	939	1	1.382	0.7026	1.382	0.5131	0.1908	1.135	0.333	0.5311	NA	0.3929	0.9691	0.4105	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas kerstersii"	"S"	225992	310	7	12	96	69	NA	118	190	NA	115	310	101	NA	0.09339	0.04822	0.06825	0.03969	0.0196	NA	0.05198	0.07452	NA	0.04692	0.09339	0.04416	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Verminephrobacter"	"G"	364316	1300	30	72	490	306	5	388	735	7	374	1300	466	1	0.4095	0.2067	0.4095	0.2026	0.0869	0.2467	0.1709	0.2883	0.001739	0.1526	0.3916	0.2037	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	1300	30	72	490	306	5	388	735	7	374	1300	466	1	0.4095	0.2067	0.4095	0.2026	0.0869	0.2467	0.1709	0.2883	0.001739	0.1526	0.3916	0.2037	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Melaminivora"	"G"	1649468	994	16	45	358	203	NA	242	409	3	332	994	306	NA	0.2995	0.1102	0.2559	0.148	0.05765	NA	0.1066	0.1604	0.0007455	0.1355	0.2995	0.1338	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	270	8	7	65	39	NA	49	68	2	49	270	67	NA	0.08134	0.05511	0.03981	0.02688	0.01108	NA	0.02159	0.02667	0.000497	0.01999	0.08134	0.02929	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	707	8	34	264	157	NA	185	328	1	269	707	231	NA	0.213	0.05511	0.1934	0.1092	0.04459	NA	0.0815	0.1286	0.0002485	0.1098	0.213	0.101	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Alicycliphilus"	"G"	201096	112	4	4	36	55	NA	27	58	1	28	112	36	NA	0.03374	0.02755	0.02275	0.01489	0.01562	NA	0.01189	0.02275	0.0002485	0.01142	0.03374	0.01574	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	112	4	4	36	55	NA	27	58	1	28	112	36	NA	0.03374	0.02755	0.02275	0.01489	0.01562	NA	0.01189	0.02275	0.0002485	0.01142	0.03374	0.01574	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Burkholderiaceae"	"F"	119060	11450	580	566	10682	7551	40	5061	6441	100	4222	11450	6640	12	4.417	3.995	3.219	4.417	2.144	1.973	2.23	2.526	0.02485	1.723	3.449	2.903	2.395	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderia"	"G"	32008	8110	404	379	7940	5279	27	3483	4118	73	2841	8110	4127	9	3.283	2.783	2.156	3.283	1.499	1.332	1.534	1.615	0.01814	1.159	2.443	1.804	1.796	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"pseudomallei group"	"-"	111527	3875	172	223	3031	2299	16	1274	1892	50	1151	3875	1864	4	1.268	1.185	1.268	1.253	0.6529	0.7893	0.5612	0.7421	0.01242	0.4696	1.167	0.8149	0.7984	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia pseudomallei"	"S"	28450	2042	91	110	1595	1068	12	523	841	19	440	2042	780	3	0.6595	0.6269	0.6256	0.6595	0.3033	0.592	0.2304	0.3299	0.004721	0.1795	0.6152	0.341	0.5988	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia thailandensis"	"S"	57975	1114	56	81	1052	908	1	512	768	20	516	1114	799	1	0.4607	0.3858	0.4607	0.435	0.2579	0.04933	0.2256	0.3012	0.00497	0.2105	0.3356	0.3493	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia mallei"	"S"	13373	526	15	25	261	212	2	170	207	9	150	526	188	NA	0.1585	0.1033	0.1422	0.1079	0.06021	0.09867	0.07489	0.08119	0.002236	0.0612	0.1585	0.08219	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia oklahomensis"	"S"	342113	191	8	6	118	108	NA	67	73	1	43	191	92	NA	0.05754	0.05511	0.03413	0.04879	0.03067	NA	0.02952	0.02863	0.0002485	0.01755	0.05754	0.04022	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia sp. BDU8"	"S"	1385592	5	1	NA	3	2	NA	1	2	NA	2	2	5	NA	0.006888	0.006888	NA	0.00124	0.000568	NA	0.0004405	0.0007844	NA	0.0008161	0.0006025	0.002186	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia cepacia complex"	"-"	87882	2608	125	148	2608	1516	9	1561	1398	19	1136	2175	1372	4	1.078	0.8611	0.8418	1.078	0.4305	0.444	0.6877	0.5483	0.004721	0.4635	0.6552	0.5998	0.7984	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia cenocepacia"	"S"	95486	2180	106	105	2180	1085	7	585	810	16	524	1686	747	4	0.9014	0.7302	0.5972	0.9014	0.3081	0.3453	0.2577	0.3177	0.003976	0.2138	0.5079	0.3266	0.7984	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia vietnamiensis"	"S"	60552	843	7	21	168	205	1	843	402	1	500	69	428	NA	0.3714	0.04822	0.1194	0.06946	0.05822	0.04933	0.3714	0.1577	0.0002485	0.204	0.02079	0.1871	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia ubonensis"	"S"	101571	156	4	6	85	81	NA	34	51	1	24	156	52	NA	0.047	0.02755	0.03413	0.03515	0.023	NA	0.01498	0.02	0.0002485	0.009793	0.047	0.02273	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia contaminans"	"S"	488447	29	2	1	29	17	NA	10	9	NA	1	20	16	NA	0.01378	0.01378	0.005688	0.01199	0.004828	NA	0.004405	0.00353	NA	0.000408	0.006025	0.006995	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia lata"	"S"	482957	80	2	6	34	33	NA	39	55	NA	25	80	43	NA	0.03413	0.01378	0.03413	0.01406	0.009372	NA	0.01718	0.02157	NA	0.0102	0.0241	0.0188	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia diffusa"	"S"	488732	6	1	1	NA	2	NA	3	1	NA	1	1	6	NA	0.006888	0.006888	0.005688	NA	0.000568	NA	0.001322	0.0003922	NA	0.000408	0.0003013	0.002623	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
