"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Fischerella PCC-9339"	"G"	25369	3	2	NA	2	NA	1	NA	NA	NA	NA	3	NA	0.003585	0.001012	NA	0.001237	NA	0.0005394	NA	NA	NA	NA	0.003585	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-8976"	"G"	25386	3	2	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003585	0.001012	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	0.003585	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Aphanizomenon NIES81"	"G"	25346	12	1	NA	NA	NA	1	NA	NA	NA	NA	12	NA	0.01434	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.01434	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Calothrix PCC-6303"	"G"	25349	4	1	NA	NA	NA	1	NA	NA	NA	NA	4	NA	0.004781	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.004781	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-73102"	"G"	25384	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006184	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Tolypothrix PCC-7601"	"G"	25402	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Phormidiaceae"	"F"	25433	13	13	NA	9	NA	11	NA	NA	NA	NA	8	NA	0.009561	0.006575	NA	0.005565	NA	0.005934	NA	NA	NA	NA	0.009561	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	6	6	NA	4	NA	3	NA	NA	NA	NA	2	NA	0.003035	0.003035	NA	0.002474	NA	0.001618	NA	NA	NA	NA	0.00239	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Phormidium IAM M-71"	"G"	25439	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001079	0.001012	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Lyngbya PCC-7419"	"G"	25438	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001012	0.001012	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"uncultured"	"G"	25444	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Planktothrix NIVA-CYA 15"	"G"	25440	2	1	NA	1	NA	2	NA	NA	NA	NA	2	NA	0.00239	0.0005058	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.00239	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Coleofasciculaceae"	"F"	25287	9	9	NA	7	NA	7	NA	NA	NA	NA	NA	NA	0.004552	0.004552	NA	0.004329	NA	0.003776	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Coleofasciculus PCC-7420"	"G"	25289	7	7	NA	7	NA	7	NA	NA	NA	NA	NA	NA	0.004329	0.00354	NA	0.004329	NA	0.003776	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Wilmottia Ant-Ph58"	"G"	25298	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Symploca PCC-8002"	"G"	25296	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Cyanobacteriaceae"	"F"	25300	6	6	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.003035	0.003035	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.002023	0.002023	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Cyanobacterium PCC-10605"	"G"	25304	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Cyanobacterium CLg1"	"G"	25303	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Rubidibacteraceae"	"F"	25447	4	4	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.002023	0.002023	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Dactylococcopsis PCC-8305"	"G"	25448	4	4	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.002023	0.002023	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Rubidibacteraceae"
"Gloeocapsaceae"	"F"	25315	4	3	1	4	NA	4	NA	NA	NA	NA	NA	NA	0.01416	0.001517	0.01416	0.002474	NA	0.002158	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	4	3	1	4	NA	4	NA	NA	NA	NA	NA	NA	0.01416	0.001517	0.01416	0.002474	NA	0.002158	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Xenococcaceae"	"F"	25451	2	1	NA	1	NA	2	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Paraspirulinaceae"	"F"	25422	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"ESFC-1"	"G"	25423	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Paraspirulinaceae"
"Oscillatoriaceae"	"F"	25415	2	1	NA	2	NA	NA	NA	NA	NA	NA	1	NA	0.001237	0.0005058	NA	0.001237	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Oscillatoria PCC-6304"	"G"	25417	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Nostocales Incertae Sedis"	"F"	25405	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Roseofilum AO1-A"	"G"	25413	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocales&nbsp;Incertae&nbsp;Sedis"
"Chroococcidiopsaceae"	"F"	25276	4	1	NA	4	NA	1	NA	NA	NA	NA	1	NA	0.002474	0.0005058	NA	0.002474	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25286	2	1	NA	2	NA	1	NA	NA	NA	NA	1	NA	0.001237	0.0005058	NA	0.001237	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Synechococcales"	"O"	25510	11	11	NA	10	NA	3	NA	NA	NA	NA	7	NA	0.008366	0.005564	NA	0.006184	NA	0.001618	NA	NA	NA	NA	0.008366	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Cyanobiaceae"	"F"	25511	11	11	NA	8	NA	3	NA	NA	NA	NA	7	NA	0.008366	0.005564	NA	0.004947	NA	0.001618	NA	NA	NA	NA	0.008366	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Synechococcus CC9902"	"G"	25514	5	5	NA	4	NA	NA	NA	NA	NA	NA	1	NA	0.002529	0.002529	NA	0.002474	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Prochlorococcus MIT9313"	"G"	25513	4	4	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.002023	0.002023	NA	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Cyanobium PCC-6307"	"G"	25512	5	2	NA	3	NA	3	NA	NA	NA	NA	5	NA	0.005976	0.001012	NA	0.001855	NA	0.001618	NA	NA	NA	NA	0.005976	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Oxyphotobacteria Incertae Sedis"	"O"	25462	11	7	NA	4	NA	3	NA	NA	NA	NA	11	NA	0.01315	0.00354	NA	0.002474	NA	0.001618	NA	NA	NA	NA	0.01315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Unknown Family"	"F"	25463	11	7	NA	4	NA	3	NA	NA	NA	NA	11	NA	0.01315	0.00354	NA	0.002474	NA	0.001618	NA	NA	NA	NA	0.01315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis"
"uncultured"	"G"	25482	6	6	NA	2	NA	2	NA	NA	NA	NA	NA	NA	0.003035	0.003035	NA	0.001237	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Leptolyngbyales"	"O"	25243	5	4	NA	1	NA	5	NA	NA	NA	NA	NA	NA	0.002697	0.002023	NA	0.0006184	NA	0.002697	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	5	4	NA	1	NA	5	NA	NA	NA	NA	NA	NA	0.002697	0.002023	NA	0.0006184	NA	0.002697	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"uncultured"	"G"	25266	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001517	0.001517	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"Leptolyngbya PCC-6306"	"G"	25256	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001079	0.0005058	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"Pseudanabaenales"	"O"	25499	30	1	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	0.03585	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.03585	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Pseudanabaenaceae"	"F"	25500	30	1	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	0.03585	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.03585	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Pseudanabaenales"
"Pseudanabaena PCC-7429"	"G"	25504	28	1	NA	NA	NA	NA	NA	NA	NA	NA	28	NA	0.03346	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.03346	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Pseudanabaenales>Pseudanabaenaceae"
"Phormidesmiales"	"O"	25483	4	1	NA	4	NA	2	NA	NA	NA	NA	1	NA	0.002474	0.0005058	NA	0.002474	NA	0.001079	NA	NA	NA	NA	0.001195	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidesmiaceae"	"F"	25492	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001079	0.0005058	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales"
"Phormidesmis ANT.LACV5.1"	"G"	25494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales>Phormidesmiaceae"
"SepB-3"	"O"	25509	4	1	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004781	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.004781	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Melainabacteria"	"C"	1589	12	8	NA	10	NA	11	NA	NA	NA	NA	12	NA	0.01434	0.004046	NA	0.006184	NA	0.005934	NA	NA	NA	NA	0.01434	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	11	5	NA	9	NA	10	NA	NA	NA	NA	11	NA	0.01315	0.002529	NA	0.005565	NA	0.005394	NA	NA	NA	NA	0.01315	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	3	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001517	0.001517	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	3	3	NA	2	NA	1	NA	NA	NA	NA	2	NA	0.00239	0.001517	NA	0.001237	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Cyanobacteria"
"Proteobacteria"	"P"	2375	108200	16348	2065	6373	13	69673	23	108197	32	6	48747	12	60.3	8.269	29.24	3.941	8.176	37.58	15.86	60.3	29.63	10.53	58.26	6.63	"Bacteria"
"Gammaproteobacteria"	"C"	3303	108110	9314	1243	3895	11	57643	18	108107	31	5	40244	10	60.25	4.711	17.6	2.409	6.918	31.09	12.41	60.25	28.7	8.772	48.1	5.525	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	55339	8322	1185	3118	4	55339	14	281	2	3	37330	7	44.61	4.209	16.78	1.928	2.516	29.85	9.655	0.1566	1.852	5.263	44.61	3.867	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	53874	7779	1159	2637	4	53874	12	256	2	3	35316	6	42.21	3.934	16.41	1.631	2.516	29.06	8.276	0.1427	1.852	5.263	42.21	3.315	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	8349	1048	161	290	NA	8349	3	39	NA	NA	4555	NA	5.444	0.5301	2.28	0.1793	NA	4.504	2.069	0.02174	NA	NA	5.444	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	7959	989	166	281	NA	7959	1	28	NA	NA	4870	1	5.82	0.5002	2.351	0.1738	NA	4.293	0.6897	0.0156	NA	NA	5.82	0.5525	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	6836	964	135	240	NA	6836	NA	23	NA	1	4028	NA	4.814	0.4876	1.912	0.1484	NA	3.688	NA	0.01282	NA	1.754	4.814	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	3979	492	99	174	NA	3979	NA	13	NA	NA	2531	1	3.025	0.2488	1.402	0.1076	NA	2.146	NA	0.007245	NA	NA	3.025	0.5525	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	1864	313	40	160	NA	1864	1	15	NA	NA	1484	1	1.774	0.1583	0.5664	0.09894	NA	1.006	0.6897	0.00836	NA	NA	1.774	0.5525	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	1657	242	42	74	1	1657	1	2	NA	NA	962	NA	1.15	0.1224	0.5947	0.04576	0.6289	0.8938	0.6897	0.001115	NA	NA	1.15	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	1337	227	23	93	1	1337	1	9	NA	NA	903	NA	1.079	0.1148	0.3257	0.05751	0.6289	0.7212	0.6897	0.005016	NA	NA	1.079	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	1242	204	31	78	1	1242	NA	9	NA	NA	807	NA	0.9645	0.1032	0.439	0.04823	0.6289	0.67	NA	0.005016	NA	NA	0.9645	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	1591	198	17	51	NA	1591	1	4	NA	NA	931	NA	1.113	0.1001	0.2407	0.03154	NA	0.8582	0.6897	0.002229	NA	NA	1.113	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	1066	175	30	53	NA	1066	NA	4	NA	NA	634	1	0.7577	0.08851	0.4248	0.03277	NA	0.575	NA	0.002229	NA	NA	0.7577	0.5525	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	1303	170	23	48	NA	1303	NA	12	NA	NA	750	NA	0.8964	0.08598	0.3257	0.02968	NA	0.7029	NA	0.006688	NA	NA	0.8964	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1161	170	30	51	NA	1161	NA	4	NA	NA	784	NA	0.937	0.08598	0.4248	0.03154	NA	0.6263	NA	0.002229	NA	NA	0.937	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	1777	160	16	105	NA	876	NA	9	NA	NA	1777	1	2.124	0.08092	0.2266	0.06493	NA	0.4725	NA	0.005016	NA	NA	2.124	0.5525	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	707	135	10	53	NA	429	NA	3	NA	NA	707	NA	0.845	0.06828	0.1416	0.03277	NA	0.2314	NA	0.001672	NA	NA	0.845	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	766	127	21	33	NA	766	1	2	NA	1	433	NA	1.754	0.06423	0.2974	0.02041	NA	0.4132	0.6897	0.001115	NA	1.754	0.5175	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	946	124	23	33	NA	946	NA	8	NA	1	515	NA	1.754	0.06272	0.3257	0.02041	NA	0.5103	NA	0.004459	NA	1.754	0.6155	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	711	119	20	54	NA	711	NA	5	NA	NA	689	NA	0.8235	0.06019	0.2832	0.03339	NA	0.3835	NA	0.002787	NA	NA	0.8235	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	445	85	16	23	NA	445	NA	1	2	NA	318	NA	1.852	0.04299	0.2266	0.01422	NA	0.24	NA	0.0005573	1.852	NA	0.3801	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	457	75	9	24	NA	457	NA	NA	NA	NA	216	NA	0.2582	0.03793	0.1274	0.01484	NA	0.2465	NA	NA	NA	NA	0.2582	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	268	45	5	15	NA	268	NA	2	NA	NA	183	NA	0.2187	0.02276	0.0708	0.009276	NA	0.1446	NA	0.001115	NA	NA	0.2187	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	180	41	5	21	NA	180	NA	2	NA	NA	166	NA	0.1984	0.02074	0.0708	0.01299	NA	0.0971	NA	0.001115	NA	NA	0.1984	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	354	39	6	19	NA	354	NA	3	NA	NA	234	NA	0.2797	0.01973	0.08496	0.01175	NA	0.191	NA	0.001672	NA	NA	0.2797	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
