"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"Spirosoma"	"G"	107	13507	5734	614	13	6	10770	13507	5017	7	2	619	4344	364	1.885	1.885	1.3	1.691	0.4728	1.268	1.661	0.7147	0.0003967	0.2561	0.4252	0.4767	0.7949	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma pollinicola"	"S"	2057025	104	41	4	NA	1	89	104	38	NA	NA	3	30	6	0.0788	0.01348	0.008469	NA	0.0788	0.01048	0.01279	0.005414	NA	NA	0.002061	0.003292	0.0131	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	51	10	1	NA	NA	21	32	28	NA	NA	9	51	NA	0.006182	0.003287	0.002117	NA	NA	0.002472	0.003934	0.003989	NA	NA	0.006182	0.005596	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aerolatum"	"S"	1211326	15	8	NA	NA	NA	10	7	10	NA	NA	4	15	3	0.006552	0.00263	NA	NA	NA	0.001177	0.0008606	0.001425	NA	NA	0.002747	0.001646	0.006552	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma montaniterrae"	"S"	1178516	14	5	1	NA	NA	8	7	7	NA	NA	1	14	NA	0.002117	0.001643	0.002117	NA	NA	0.0009417	0.0008606	0.0009973	NA	NA	0.0006869	0.001536	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma radiotolerans"	"S"	1379870	4	1	NA	NA	NA	1	4	2	NA	NA	NA	1	NA	0.0004918	0.0003287	NA	NA	NA	0.0001177	0.0004918	0.0002849	NA	NA	NA	0.0001097	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Fibrella"	"G"	861914	2366	410	54	1	NA	695	856	498	6	NA	269	2366	79	0.2596	0.1348	0.1143	0.13	NA	0.08181	0.1052	0.07095	0.00034	NA	0.1848	0.2596	0.1725	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	2342	406	52	1	NA	674	830	456	5	NA	269	2342	75	0.257	0.1335	0.1101	0.13	NA	0.07934	0.102	0.06496	0.0002834	NA	0.1848	0.257	0.1638	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina"	"S"	651143	36	1	2	NA	NA	10	14	36	1	NA	NA	15	NA	0.005129	0.0003287	0.004234	NA	NA	0.001177	0.001721	0.005129	5.667e-05	NA	NA	0.001646	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Cytophaga"	"G"	978	859	274	27	NA	NA	660	859	552	3	NA	52	412	19	0.1056	0.09006	0.05716	NA	NA	0.07769	0.1056	0.07864	0.00017	NA	0.03572	0.04521	0.04149	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	859	274	27	NA	NA	660	859	552	3	NA	52	412	19	0.1056	0.09006	0.05716	NA	NA	0.07769	0.1056	0.07864	0.00017	NA	0.03572	0.04521	0.04149	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Leadbetterella"	"G"	319458	245	41	2	NA	1	115	164	245	NA	NA	11	129	38	0.08299	0.01348	0.004234	NA	0.0788	0.01354	0.02016	0.0349	NA	NA	0.007556	0.01415	0.08299	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	245	41	2	NA	1	115	164	245	NA	NA	11	129	38	0.08299	0.01348	0.004234	NA	0.0788	0.01354	0.02016	0.0349	NA	NA	0.007556	0.01415	0.08299	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Runella"	"G"	105	216	41	5	3	1	216	143	35	2	NA	62	75	31	0.3901	0.01348	0.01059	0.3901	0.0788	0.02543	0.01758	0.004986	0.0001133	NA	0.04259	0.00823	0.0677	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella slithyformis"	"S"	106	50	13	NA	NA	NA	50	20	6	NA	NA	21	13	10	0.02184	0.004273	NA	NA	NA	0.005885	0.002459	0.0008548	NA	NA	0.01442	0.001426	0.02184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. SP2"	"S"	2268026	107	11	3	2	1	107	63	2	2	NA	33	27	13	0.2601	0.003616	0.006351	0.2601	0.0788	0.01259	0.007745	0.0002849	0.0001133	NA	0.02267	0.002963	0.02839	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. HYN0085"	"S"	2259595	18	3	1	NA	NA	18	8	4	NA	NA	1	16	3	0.006552	0.0009861	0.002117	NA	NA	0.002119	0.0009835	0.0005699	NA	NA	0.0006869	0.001756	0.006552	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Dyadobacter"	"G"	120831	45	18	NA	NA	NA	36	45	16	1	NA	3	24	1	0.005917	0.005917	NA	NA	NA	0.004238	0.005532	0.002279	5.667e-05	NA	0.002061	0.002633	0.002184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Dyadobacter fermentans"	"S"	94254	45	18	NA	NA	NA	36	45	16	1	NA	3	24	1	0.005917	0.005917	NA	NA	NA	0.004238	0.005532	0.002279	5.667e-05	NA	0.002061	0.002633	0.002184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter"
"Arcticibacterium"	"G"	2173039	84	14	1	NA	NA	47	84	40	NA	1	6	32	7	0.128	0.004602	0.002117	NA	NA	0.005532	0.01033	0.005699	NA	0.128	0.004121	0.003511	0.01529	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Arcticibacterium luteifluviistationis"	"S"	1784714	84	14	1	NA	NA	47	84	40	NA	1	6	32	7	0.128	0.004602	0.002117	NA	NA	0.005532	0.01033	0.005699	NA	0.128	0.004121	0.003511	0.01529	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcticibacterium"
"Amoebophilaceae"	"F"	1501348	11664	3432	413	8	6	8370	11664	4017	12	1	376	2956	356	1.434	1.128	0.8744	1.04	0.4728	0.9852	1.434	0.5723	0.0006801	0.128	0.2583	0.3244	0.7774	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Candidatus Cardinium"	"G"	273135	1989	804	83	1	1	1577	1989	751	2	NA	74	569	37	0.2643	0.2643	0.1757	0.13	0.0788	0.1856	0.2445	0.107	0.0001133	NA	0.05083	0.06244	0.0808	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Cardinium endosymbiont of Sogatella furcifera"	"S"	650378	1370	574	53	NA	1	1128	1370	520	1	NA	50	394	23	0.1887	0.1887	0.1122	NA	0.0788	0.1328	0.1684	0.07408	5.667e-05	NA	0.03434	0.04323	0.05023	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont of Encarsia pergandiella"	"S"	249402	567	214	27	1	NA	410	567	201	1	NA	21	159	12	0.13	0.07034	0.05716	0.13	NA	0.04826	0.06971	0.02864	5.667e-05	NA	0.01442	0.01745	0.02621	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Candidatus Cardinium hertigii"	"S"	247481	27	8	1	NA	NA	27	26	21	NA	NA	2	10	NA	0.003196	0.00263	0.002117	NA	NA	0.003178	0.003196	0.002992	NA	NA	0.001374	0.001097	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Candidatus Amoebophilus"	"G"	281119	2496	307	57	1	2	1727	2496	923	2	NA	89	652	127	0.3069	0.1009	0.1207	0.13	0.1576	0.2033	0.3069	0.1315	0.0001133	NA	0.06113	0.07154	0.2773	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Candidatus Amoebophilus asiaticus"	"S"	281120	2496	307	57	1	2	1727	2496	923	2	NA	89	652	127	0.3069	0.1009	0.1207	0.13	0.1576	0.2033	0.3069	0.1315	0.0001133	NA	0.06113	0.07154	0.2773	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus"
"Flammeovirgaceae"	"F"	200667	7262	2855	298	6	NA	5345	7262	2741	11	1	293	2378	167	0.9384	0.9384	0.6309	0.7802	NA	0.6292	0.8928	0.3905	0.0006234	0.128	0.2013	0.2609	0.3647	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Flammeovirga"	"G"	59739	6844	2754	291	4	NA	5093	6844	2473	7	1	274	2211	157	0.9052	0.9052	0.6161	0.5202	NA	0.5995	0.8414	0.3523	0.0003967	0.128	0.1882	0.2426	0.3429	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirga sp. MY04"	"S"	1191459	6844	2754	291	4	NA	5093	6844	2473	7	1	274	2211	157	0.9052	0.9052	0.6161	0.5202	NA	0.5995	0.8414	0.3523	0.0003967	0.128	0.1882	0.2426	0.3429	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"unclassified Flammeovirgaceae"	"-"	340671	281	85	6	2	NA	140	281	177	2	NA	12	95	10	0.2601	0.02794	0.0127	0.2601	NA	0.01648	0.03455	0.02522	0.0001133	NA	0.008242	0.01042	0.02184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirgaceae bacterium 311"	"S"	1257021	281	85	6	2	NA	140	281	177	2	NA	12	95	10	0.2601	0.02794	0.0127	0.2601	NA	0.01648	0.03455	0.02522	0.0001133	NA	0.008242	0.01042	0.02184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>unclassified&nbsp;Flammeovirgaceae"
"Marivirga"	"G"	869806	123	13	1	NA	NA	97	123	79	2	NA	7	68	NA	0.01512	0.004273	0.002117	NA	NA	0.01142	0.01512	0.01125	0.0001133	NA	0.004808	0.007461	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Marivirga tractuosa"	"S"	1006	123	13	1	NA	NA	97	123	79	2	NA	7	68	NA	0.01512	0.004273	0.002117	NA	NA	0.01142	0.01512	0.01125	0.0001133	NA	0.004808	0.007461	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga"
"Hymenobacteraceae"	"F"	1853232	2577	905	107	3	1	1929	2577	1043	5	1	141	944	97	0.3901	0.2975	0.2265	0.3901	0.0788	0.2271	0.3168	0.1486	0.0002834	0.128	0.09685	0.1036	0.2118	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Hymenobacter"	"G"	89966	1391	563	63	2	1	1056	1391	527	2	1	67	529	53	0.2601	0.1851	0.1334	0.2601	0.0788	0.1243	0.171	0.07508	0.0001133	0.128	0.04602	0.05805	0.1157	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
"Hymenobacter swuensis"	"S"	1446467	66	53	10	NA	NA	66	47	18	NA	NA	2	39	3	0.02117	0.01742	0.02117	NA	NA	0.007769	0.005778	0.002564	NA	NA	0.001374	0.004279	0.006552	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sedentarius"	"S"	1411621	60	32	5	NA	NA	52	60	25	NA	NA	5	19	3	0.01059	0.01052	0.01059	NA	NA	0.006121	0.007377	0.003562	NA	NA	0.003434	0.002085	0.006552	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. PAMC 26554"	"S"	1484116	53	18	3	NA	NA	32	53	12	1	NA	2	12	1	0.006516	0.005917	0.006351	NA	NA	0.003767	0.006516	0.00171	5.667e-05	NA	0.001374	0.001317	0.002184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. sh-6"	"S"	2319843	22	9	1	NA	NA	16	22	12	1	NA	3	11	NA	0.002958	0.002958	0.002117	NA	NA	0.001883	0.002705	0.00171	5.667e-05	NA	0.002061	0.001207	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. APR13"	"S"	1356852	9	2	1	NA	NA	4	9	1	NA	NA	1	2	1	0.002184	0.0006574	0.002117	NA	NA	0.0004708	0.001106	0.0001425	NA	NA	0.0006869	0.0002195	0.002184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter nivis"	"S"	1850093	3	1	NA	NA	NA	1	1	NA	NA	NA	NA	3	NA	0.0003292	0.0003287	NA	NA	NA	0.0001177	0.0001229	NA	NA	NA	NA	0.0003292	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Rufibacter"	"G"	1379908	734	220	29	NA	NA	517	734	315	1	NA	36	235	29	0.09024	0.07231	0.0614	NA	NA	0.06086	0.09024	0.04488	5.667e-05	NA	0.02473	0.02579	0.06333	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
"Rufibacter sp. DG15C"	"S"	1379909	212	56	5	NA	NA	137	212	102	NA	NA	11	47	6	0.02606	0.01841	0.01059	NA	NA	0.01613	0.02606	0.01453	NA	NA	0.007556	0.005157	0.0131	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Rufibacter"
"Rufibacter tibetensis"	"S"	512763	66	22	4	NA	NA	48	54	24	NA	NA	8	66	5	0.01092	0.007231	0.008469	NA	NA	0.00565	0.006639	0.003419	NA	NA	0.005495	0.007242	0.01092	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Rufibacter"
"Pontibacter"	"G"	323449	106	37	2	NA	NA	83	106	55	NA	NA	6	35	2	0.01303	0.01216	0.004234	NA	NA	0.00977	0.01303	0.007836	NA	NA	0.004121	0.00384	0.004368	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae"
"Pontibacter akesuensis"	"S"	388950	17	9	NA	NA	NA	17	7	11	NA	NA	3	4	NA	0.002958	0.002958	NA	NA	NA	0.002001	0.0008606	0.001567	NA	NA	0.002061	0.0004389	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Pontibacter"
"Pontibacter actiniarum"	"S"	323450	3	2	NA	NA	NA	NA	2	3	NA	NA	1	NA	1	0.002184	0.0006574	NA	NA	NA	NA	0.0002459	0.0004274	NA	NA	0.0006869	NA	0.002184	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Hymenobacteraceae>Pontibacter"
"Cyclobacteriaceae"	"F"	563798	1305	831	159	3	2	1006	1305	629	2	NA	81	543	64	0.3901	0.2731	0.3366	0.3901	0.1576	0.1184	0.1604	0.08961	0.0001133	NA	0.05564	0.05958	0.1398	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Algoriphagus"	"G"	246875	564	564	121	2	1	261	232	195	2	NA	22	105	5	0.2601	0.1854	0.2562	0.2601	0.0788	0.03072	0.02852	0.02778	0.0001133	NA	0.01511	0.01152	0.01092	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Algoriphagus sp. M8-2"	"S"	1727163	464	464	100	2	NA	207	179	168	1	NA	18	59	3	0.2601	0.1525	0.2117	0.2601	NA	0.02437	0.02201	0.02393	5.667e-05	NA	0.01236	0.006474	0.006552	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Algoriphagus machipongonensis"	"S"	388413	93	93	21	NA	1	54	52	26	1	NA	4	46	2	0.0788	0.03057	0.04446	NA	0.0788	0.006356	0.006393	0.003704	5.667e-05	NA	0.002747	0.005047	0.004368	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Belliella"	"G"	232244	119	37	5	NA	NA	60	119	40	NA	NA	8	44	2	0.01463	0.01216	0.01059	NA	NA	0.007063	0.01463	0.005699	NA	NA	0.005495	0.004828	0.004368	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
