"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"Paracoccus sp. CBA4604"	"S"	2065379	346	109	16	NA	1	296	212	346	14	NA	58	80	9	0.07289	0.03104	0.02999	NA	0.07289	0.03028	0.02185	0.04283	0.0007928	NA	0.03751	0.008389	0.0181	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. BM15"	"S"	1529068	168	102	12	NA	NA	150	64	168	1	NA	36	52	NA	0.02905	0.02905	0.02249	NA	NA	0.01534	0.006596	0.0208	5.663e-05	NA	0.02328	0.005453	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus yeei"	"S"	147645	103	37	9	NA	NA	73	38	103	1	NA	22	22	2	0.01687	0.01054	0.01687	NA	NA	0.007467	0.003916	0.01275	5.663e-05	NA	0.01423	0.002307	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus denitrificans"	"S"	266	82	34	3	NA	1	82	41	63	7	NA	28	26	1	0.07289	0.009684	0.005623	NA	0.07289	0.008387	0.004226	0.007799	0.0003964	NA	0.01811	0.002726	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminovorans"	"S"	34004	34	10	1	NA	NA	26	31	34	NA	NA	11	17	1	0.007114	0.002848	0.001874	NA	NA	0.002659	0.003195	0.004209	NA	NA	0.007114	0.001783	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Roseovarius"	"G"	74030	3366	1761	274	NA	1	2482	1457	3366	35	NA	883	1156	27	0.5711	0.5016	0.5136	NA	0.07289	0.2539	0.1502	0.4167	0.001982	NA	0.5711	0.1212	0.0543	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseovarius mucosus"	"S"	215743	3366	1761	274	NA	1	2482	1457	3366	35	NA	883	1156	27	0.5711	0.5016	0.5136	NA	0.07289	0.2539	0.1502	0.4167	0.001982	NA	0.5711	0.1212	0.0543	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Ketogulonicigenium"	"G"	92944	1075	454	81	1	1	721	406	1075	18	NA	351	385	6	0.227	0.1293	0.1518	0.1143	0.07289	0.07375	0.04184	0.1331	0.001019	NA	0.227	0.04037	0.01207	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ketogulonicigenium robustum"	"S"	92947	717	338	57	1	1	496	282	717	7	NA	245	273	6	0.1585	0.09627	0.1068	0.1143	0.07289	0.05073	0.02906	0.08876	0.0003964	NA	0.1585	0.02863	0.01207	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium vulgare"	"S"	92945	47	4	4	NA	NA	47	11	44	1	NA	17	14	NA	0.01099	0.001139	0.007497	NA	NA	0.004807	0.001134	0.005447	5.663e-05	NA	0.01099	0.001468	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"unclassified Rhodobacteraceae"	"-"	58840	899	417	59	NA	1	715	397	899	8	1	264	317	9	0.1707	0.1188	0.1106	NA	0.07289	0.07313	0.04092	0.1113	0.0004531	0.1199	0.1707	0.03324	0.0181	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacteraceae bacterium QY30"	"S"	2033435	899	417	59	NA	1	715	397	899	8	1	264	317	9	0.1707	0.1188	0.1106	NA	0.07289	0.07313	0.04092	0.1113	0.0004531	0.1199	0.1707	0.03324	0.0181	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Rhodobaca"	"G"	119541	340	303	52	NA	NA	300	168	340	7	NA	80	138	NA	0.09746	0.0863	0.09746	NA	NA	0.03069	0.01731	0.04209	0.0003964	NA	0.05174	0.01447	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobaca barguzinensis"	"S"	441209	340	303	52	NA	NA	300	168	340	7	NA	80	138	NA	0.09746	0.0863	0.09746	NA	NA	0.03069	0.01731	0.04209	0.0003964	NA	0.05174	0.01447	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobaca"
"Rhodovulum"	"G"	34008	467	234	20	NA	NA	434	267	467	13	NA	83	108	6	0.06665	0.06665	0.03749	NA	NA	0.04439	0.02752	0.05781	0.0007362	NA	0.05368	0.01133	0.01207	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodovulum sp. MB263"	"S"	308754	141	68	2	NA	NA	122	64	141	NA	NA	27	29	2	0.01937	0.01937	0.003749	NA	NA	0.01248	0.006596	0.01745	NA	NA	0.01746	0.003041	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sp. P5"	"S"	1564506	48	27	4	NA	NA	34	36	48	2	NA	11	15	1	0.00769	0.00769	0.007497	NA	NA	0.003478	0.00371	0.005942	0.0001133	NA	0.007114	0.001573	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sulfidophilum"	"S"	35806	7	3	NA	NA	NA	5	3	7	5	NA	NA	2	1	0.002011	0.0008544	NA	NA	NA	0.0005114	0.0003092	0.0008665	0.0002832	NA	NA	0.0002097	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Phaeobacter"	"G"	302485	198	80	12	1	NA	133	80	198	2	NA	45	95	4	0.1143	0.02279	0.02249	0.1143	NA	0.0136	0.008245	0.02451	0.0001133	NA	0.0291	0.009962	0.008044	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Phaeobacter inhibens"	"S"	221822	182	73	11	NA	NA	128	74	182	2	NA	39	90	3	0.02522	0.02079	0.02062	NA	NA	0.01309	0.007627	0.02253	0.0001133	NA	0.02522	0.009438	0.006033	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Phaeobacter gallaeciensis"	"S"	60890	5	5	1	1	NA	1	NA	1	NA	NA	1	2	1	0.1143	0.001424	0.001874	0.1143	NA	0.0001023	NA	0.0001238	NA	NA	0.0006467	0.0002097	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Phaeobacter piscinae"	"S"	1580596	9	1	NA	NA	NA	2	3	9	NA	NA	3	1	NA	0.00194	0.0002848	NA	NA	NA	0.0002046	0.0003092	0.001114	NA	NA	0.00194	0.0001049	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Confluentimicrobium"	"G"	1609958	236	67	9	NA	NA	124	75	236	1	NA	83	76	1	0.05368	0.01908	0.01687	NA	NA	0.01268	0.00773	0.02921	5.663e-05	NA	0.05368	0.00797	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Confluentimicrobium sp. EMB200-NS6"	"S"	1609966	236	67	9	NA	NA	124	75	236	1	NA	83	76	1	0.05368	0.01908	0.01687	NA	NA	0.01268	0.00773	0.02921	5.663e-05	NA	0.05368	0.00797	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Confluentimicrobium"
"Labrenzia"	"G"	478070	71	42	6	NA	NA	38	26	71	2	NA	9	14	2	0.01196	0.01196	0.01125	NA	NA	0.003887	0.00268	0.008789	0.0001133	NA	0.005821	0.001468	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Labrenzia sp. VG12"	"S"	2021862	12	6	NA	NA	NA	8	4	12	NA	NA	2	3	NA	0.001709	0.001709	NA	NA	NA	0.0008183	0.0004123	0.001485	NA	NA	0.001293	0.0003146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Labrenzia"
"Halocynthiibacter"	"G"	1579315	96	35	1	NA	NA	52	37	96	6	NA	14	27	NA	0.01188	0.009969	0.001874	NA	NA	0.005319	0.003813	0.01188	0.0003398	NA	0.009054	0.002831	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Halocynthiibacter arcticus"	"S"	1579316	96	35	1	NA	NA	52	37	96	6	NA	14	27	NA	0.01188	0.009969	0.001874	NA	NA	0.005319	0.003813	0.01188	0.0003398	NA	0.009054	0.002831	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Halocynthiibacter"
"Planktomarina"	"G"	1284657	54	34	5	NA	1	50	40	54	36	NA	22	36	4	0.07289	0.009684	0.009372	NA	0.07289	0.005114	0.004123	0.006685	0.002039	NA	0.01423	0.003775	0.008044	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Planktomarina temperata"	"S"	1284658	54	34	5	NA	1	50	40	54	36	NA	22	36	4	0.07289	0.009684	0.009372	NA	0.07289	0.005114	0.004123	0.006685	0.002039	NA	0.01423	0.003775	0.008044	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Planktomarina"
"Dinoroseobacter"	"G"	309512	51	29	3	NA	NA	51	25	38	NA	NA	13	14	NA	0.008408	0.00826	0.005623	NA	NA	0.005216	0.002577	0.004704	NA	NA	0.008408	0.001468	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter shibae"	"S"	215813	51	29	3	NA	NA	51	25	38	NA	NA	13	14	NA	0.008408	0.00826	0.005623	NA	NA	0.005216	0.002577	0.004704	NA	NA	0.008408	0.001468	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter"
"Roseobacter"	"G"	2433	33	28	1	NA	NA	22	17	33	1	NA	8	16	1	0.007975	0.007975	0.001874	NA	NA	0.00225	0.001752	0.004085	5.663e-05	NA	0.005174	0.001678	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseobacter denitrificans"	"S"	2434	30	26	1	NA	NA	21	14	30	NA	NA	8	15	NA	0.007405	0.007405	0.001874	NA	NA	0.002148	0.001443	0.003714	NA	NA	0.005174	0.001573	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"Roseobacter litoralis"	"S"	42443	3	2	NA	NA	NA	1	3	3	1	NA	NA	1	1	0.002011	0.0005696	NA	NA	NA	0.0001023	0.0003092	0.0003714	5.663e-05	NA	NA	0.0001049	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"Ruegeria"	"G"	97050	73	25	5	NA	NA	52	40	73	2	NA	21	24	1	0.01358	0.00712	0.009372	NA	NA	0.005319	0.004123	0.009037	0.0001133	NA	0.01358	0.002517	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ruegeria pomeroyi"	"S"	89184	59	22	5	NA	NA	41	30	59	1	NA	20	18	NA	0.01293	0.006266	0.009372	NA	NA	0.004194	0.003092	0.007304	5.663e-05	NA	0.01293	0.001888	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ruegeria"
"Octadecabacter"	"G"	53945	34	22	1	NA	NA	31	14	34	1	NA	3	13	1	0.006266	0.006266	0.001874	NA	NA	0.003171	0.001443	0.004209	5.663e-05	NA	0.00194	0.001363	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Octadecabacter temperatus"	"S"	1458307	13	9	NA	NA	NA	13	4	12	NA	NA	NA	3	NA	0.002563	0.002563	NA	NA	NA	0.00133	0.0004123	0.001485	NA	NA	NA	0.0003146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter antarcticus"	"S"	1217908	13	5	NA	NA	NA	10	4	13	NA	NA	3	7	1	0.002011	0.001424	NA	NA	NA	0.001023	0.0004123	0.001609	NA	NA	0.00194	0.000734	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter arcticus"	"S"	53946	6	4	1	NA	NA	6	1	3	1	NA	NA	3	NA	0.001874	0.001139	0.001874	NA	NA	0.0006137	0.0001031	0.0003714	5.663e-05	NA	NA	0.0003146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Roseibacterium"	"G"	159345	26	15	2	NA	NA	26	10	22	NA	NA	5	12	NA	0.004272	0.004272	0.003749	NA	NA	0.002659	0.001031	0.002723	NA	NA	0.003234	0.001258	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseibacterium elongatum"	"S"	159346	26	15	2	NA	NA	26	10	22	NA	NA	5	12	NA	0.004272	0.004272	0.003749	NA	NA	0.002659	0.001031	0.002723	NA	NA	0.003234	0.001258	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseibacterium"
"Pannonibacter"	"G"	227873	18	15	1	NA	NA	13	8	18	NA	NA	4	5	1	0.004272	0.004272	0.001874	NA	NA	0.00133	0.0008245	0.002228	NA	NA	0.002587	0.0005243	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pannonibacter phragmitetus"	"S"	121719	18	15	1	NA	NA	13	8	18	NA	NA	4	5	1	0.004272	0.004272	0.001874	NA	NA	0.00133	0.0008245	0.002228	NA	NA	0.002587	0.0005243	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Pannonibacter"
"Thioclava"	"G"	285107	24	15	1	NA	NA	14	11	24	1	NA	3	7	NA	0.004272	0.004272	0.001874	NA	NA	0.001432	0.001134	0.002971	5.663e-05	NA	0.00194	0.000734	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thioclava nitratireducens"	"S"	1915078	24	15	1	NA	NA	14	11	24	1	NA	3	7	NA	0.004272	0.004272	0.001874	NA	NA	0.001432	0.001134	0.002971	5.663e-05	NA	0.00194	0.000734	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Thioclava"
"Leisingera"	"G"	191028	86	12	1	NA	NA	44	27	86	1	NA	30	17	NA	0.0194	0.003418	0.001874	NA	NA	0.0045	0.002783	0.01065	5.663e-05	NA	0.0194	0.001783	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Leisingera methylohalidivorans"	"S"	133924	86	12	1	NA	NA	44	27	86	1	NA	30	17	NA	0.0194	0.003418	0.001874	NA	NA	0.0045	0.002783	0.01065	5.663e-05	NA	0.0194	0.001783	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Leisingera"
"Jannaschia"	"G"	188905	20	8	1	NA	NA	9	6	20	NA	NA	3	8	NA	0.002476	0.002279	0.001874	NA	NA	0.0009206	0.0006184	0.002476	NA	NA	0.00194	0.0008389	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
