"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"uncultured ammonia-oxidizing bacterium"	"S"	933470	11	1	1	1	NA	11	10	NA	8	NA	10	NA	0.006262	0.006262	0.005223	0.0002569	NA	0.004445	0.003595	NA	0.002988	NA	0.004029	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>ammonia&nbsp;oxidizing&nbsp;bacteria&nbsp;ensemble"
"Antarctic bacteria LB3 ensemble"	"-"	150484	7	1	NA	NA	NA	7	4	NA	3	NA	4	NA	0.006262	0.006262	NA	NA	NA	0.002829	0.001438	NA	0.00112	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured Antarctic bacterium LB3-13"	"S"	102576	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Antarctic&nbsp;bacteria&nbsp;LB3&nbsp;ensemble"
"uncultured bacteria GR-B1-2 ensemble"	"-"	150570	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium GR-B1-2-39"	"S"	134299	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;GR&#x2011;B1&#x2011;2&nbsp;ensemble"
"uncultured bacteria GR-Sh1 ensemble"	"-"	150571	5	1	NA	2	NA	1	NA	NA	NA	5	NA	NA	0.006262	0.006262	NA	0.0005139	NA	0.0004041	NA	NA	NA	0.001371	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium GR-Sh1-148"	"S"	134307	5	1	NA	2	NA	NA	NA	NA	NA	5	NA	NA	0.006262	0.006262	NA	0.0005139	NA	NA	NA	NA	NA	0.001371	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;GR&#x2011;Sh1&nbsp;ensemble"
"rape rhizosphere bacteria ensemble"	"-"	150575	4	1	NA	NA	NA	2	NA	NA	4	NA	NA	NA	0.006262	0.006262	NA	NA	NA	0.0008082	NA	NA	0.001494	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rape rhizosphere bacterium wr0020"	"S"	132981	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>rape&nbsp;rhizosphere&nbsp;bacteria&nbsp;ensemble"
"uncultured anaerobic bacterium"	"S"	283740	6	1	1	NA	NA	1	4	NA	3	NA	6	NA	0.006262	0.006262	0.005223	NA	NA	0.0004041	0.001438	NA	0.00112	NA	0.002418	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured endolithic bacterium"	"S"	381796	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_B7"	"S"	631590	16	1	NA	NA	NA	16	10	NA	6	NA	14	NA	0.006466	0.006262	NA	NA	NA	0.006466	0.003595	NA	0.002241	NA	0.005641	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured sludge bacterium"	"S"	641485	5	1	2	NA	NA	2	5	NA	4	NA	2	NA	0.01045	0.006262	0.01045	NA	NA	0.0008082	0.001798	NA	0.001494	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured deep-sea bacterium"	"S"	759664	16	1	NA	8	1	13	15	1	12	NA	16	NA	0.04212	0.006262	NA	0.002056	0.04212	0.005253	0.005393	0.000248	0.004481	NA	0.006447	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone S_2010_0.5_m_1"	"S"	1548476	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Proteobacteria"	"P"	1224	40450	2758	3963	6332	348	25217	40450	6328	27538	3565	30863	73	20.7	17.27	20.7	1.627	14.66	10.19	14.54	1.569	10.28	0.9774	12.44	12.97	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	27407	1747	3032	573	168	15074	27407	76	15574	1251	20015	28	15.84	10.94	15.84	0.1472	7.077	6.092	9.853	0.01885	5.816	0.343	8.065	4.973	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	16917	1010	1903	310	105	9215	16917	35	9837	777	12400	11	9.939	6.324	9.939	0.07965	4.423	3.724	6.082	0.008681	3.674	0.213	4.997	1.954	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	11033	597	1286	44	63	5634	11033	NA	6177	95	7277	8	6.717	3.738	6.717	0.01131	2.654	2.277	3.967	NA	2.307	0.02605	2.932	1.421	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Comamonas"	"G"	283	1437	85	169	10	9	718	1437	NA	834	15	968	1	0.8827	0.5322	0.8827	0.002569	0.3791	0.2902	0.5166	NA	0.3115	0.004112	0.3901	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	114709	340	29	54	1	2	179	340	NA	189	NA	246	NA	0.282	0.1816	0.282	0.0002569	0.08425	0.07234	0.1222	NA	0.07058	NA	0.09912	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"uncultured Comamonas sp."	"S"	114710	328	28	52	1	1	168	328	NA	182	NA	240	NA	0.2716	0.1753	0.2716	0.0002569	0.04212	0.06789	0.1179	NA	0.06797	NA	0.09671	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>environmental&nbsp;samples"
"Comamonas sp. enrichment culture clone JXS-02-02"	"S"	1122573	12	1	2	NA	1	11	12	NA	7	NA	6	NA	0.04212	0.006262	0.01045	NA	0.04212	0.004445	0.004314	NA	0.002614	NA	0.002418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>environmental&nbsp;samples"
"Comamonas testosteroni"	"S"	285	495	21	49	NA	3	258	495	NA	325	NA	346	NA	0.2559	0.1315	0.2559	NA	0.1264	0.1043	0.178	NA	0.1214	NA	0.1394	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas terrigena"	"S"	32013	108	6	12	NA	NA	48	108	NA	56	NA	65	NA	0.06268	0.03757	0.06268	NA	NA	0.0194	0.03883	NA	0.02091	NA	0.02619	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. TZ1"	"S"	1357980	53	5	8	NA	1	16	53	NA	17	NA	28	NA	0.04212	0.03131	0.04178	NA	0.04212	0.006466	0.01905	NA	0.006349	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. SYC56"	"S"	1867493	61	4	5	NA	2	30	61	NA	41	NA	44	NA	0.08425	0.02505	0.02612	NA	0.08425	0.01212	0.02193	NA	0.01531	NA	0.01773	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas aquatica"	"S"	225991	77	3	10	NA	NA	34	77	NA	40	NA	45	NA	0.05223	0.01879	0.05223	NA	NA	0.01374	0.02768	NA	0.01494	NA	0.01813	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. P-120"	"S"	413550	37	3	5	NA	1	24	37	NA	16	NA	22	NA	0.04212	0.01879	0.02612	NA	0.04212	0.009699	0.0133	NA	0.005975	NA	0.008865	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. D22"	"S"	106143	24	2	2	NA	NA	11	24	NA	12	1	11	NA	0.01252	0.01252	0.01045	NA	NA	0.004445	0.008629	NA	0.004481	0.0002742	0.004432	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. PG-08"	"S"	266859	16	2	1	NA	NA	16	13	NA	9	NA	6	NA	0.01252	0.01252	0.005223	NA	NA	0.006466	0.004674	NA	0.003361	NA	0.002418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas odontotermitis"	"S"	379895	4	2	NA	NA	NA	NA	2	NA	NA	NA	4	NA	0.01252	0.01252	NA	NA	NA	NA	0.000719	NA	NA	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. IMCC12916"	"S"	1029604	14	2	NA	NA	NA	2	14	NA	8	NA	9	NA	0.01252	0.01252	NA	NA	NA	0.0008082	0.005033	NA	0.002988	NA	0.003627	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas denitrificans"	"S"	117506	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. R-25060"	"S"	343025	5	1	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	0.001798	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. AP5s2-M2b"	"S"	1406351	22	1	3	NA	NA	7	22	NA	9	NA	14	NA	0.01567	0.006262	0.01567	NA	NA	0.002829	0.007909	NA	0.003361	NA	0.005641	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. SYC55"	"S"	1867492	5	1	NA	NA	NA	1	5	NA	1	NA	4	NA	0.006262	0.006262	NA	NA	NA	0.0004041	0.001798	NA	0.0003734	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Acidovorax"	"G"	12916	1195	74	132	6	9	663	1195	NA	668	22	803	NA	0.6894	0.4634	0.6894	0.001542	0.3791	0.2679	0.4296	NA	0.2495	0.006032	0.3236	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	158750	797	56	94	4	6	430	797	NA	433	6	504	NA	0.491	0.3507	0.491	0.001028	0.2527	0.1738	0.2865	NA	0.1617	0.001645	0.2031	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"uncultured Acidovorax sp."	"S"	158751	780	55	93	4	5	420	780	NA	421	6	494	NA	0.4857	0.3444	0.4857	0.001028	0.2106	0.1697	0.2804	NA	0.1572	0.001645	0.1991	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>environmental&nbsp;samples"
"Acidovorax sp. enrichment culture"	"S"	1684151	9	1	NA	NA	NA	6	9	NA	9	NA	2	NA	0.006262	0.006262	NA	NA	NA	0.002425	0.003236	NA	0.003361	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>environmental&nbsp;samples"
"Acidovorax defluvii"	"S"	86669	65	4	8	NA	NA	37	65	NA	42	NA	46	NA	0.04178	0.02505	0.04178	NA	NA	0.01495	0.02337	NA	0.01568	NA	0.01854	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp."	"S"	1872122	54	4	5	2	NA	29	54	NA	31	14	35	NA	0.02612	0.02505	0.02612	0.0005139	NA	0.01172	0.01941	NA	0.01158	0.003838	0.0141	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax facilis"	"S"	12917	33	1	2	NA	NA	12	33	NA	13	1	26	NA	0.01186	0.006262	0.01045	NA	NA	0.004849	0.01186	NA	0.004855	0.0002742	0.01048	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax konjaci"	"S"	32040	6	1	NA	NA	NA	1	4	NA	6	NA	1	NA	0.006262	0.006262	NA	NA	NA	0.0004041	0.001438	NA	0.002241	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. 2FB4"	"S"	126142	46	1	4	NA	NA	27	46	NA	30	NA	19	NA	0.02089	0.006262	0.02089	NA	NA	0.01091	0.01654	NA	0.0112	NA	0.007656	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KSP1"	"S"	182693	5	1	NA	NA	1	1	5	NA	2	NA	2	NA	0.04212	0.006262	NA	NA	0.04212	0.0004041	0.001798	NA	0.0007469	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. c112"	"S"	267343	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. Antarctic IS08"	"S"	366563	14	1	1	NA	NA	11	14	NA	13	NA	7	NA	0.006262	0.006262	0.005223	NA	NA	0.004445	0.005033	NA	0.004855	NA	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. WB62"	"S"	389479	18	1	1	NA	NA	7	9	NA	18	NA	17	NA	0.00685	0.006262	0.005223	NA	NA	0.002829	0.003236	NA	0.006722	NA	0.00685	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. Ed_isolate_10"	"S"	1896155	34	1	2	NA	NA	22	34	NA	19	NA	28	NA	0.01222	0.006262	0.01045	NA	NA	0.00889	0.01222	NA	0.007096	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Polaromonas"	"G"	52972	1035	54	122	3	4	444	1035	NA	524	7	591	NA	0.6372	0.3381	0.6372	0.0007708	0.1685	0.1794	0.3721	NA	0.1957	0.001919	0.2381	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas sp. DAB_22Ecl"	"S"	1029937	500	29	68	NA	2	217	500	NA	254	NA	272	NA	0.3552	0.1816	0.3552	NA	0.08425	0.08769	0.1798	NA	0.09486	NA	0.1096	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. EUR3 1.2.1"	"S"	1305734	59	8	10	1	1	26	59	NA	30	2	42	NA	0.05223	0.05009	0.05223	0.0002569	0.04212	0.01051	0.02121	NA	0.0112	0.0005483	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. Cra35"	"S"	1327469	116	5	13	NA	1	63	116	NA	54	NA	70	NA	0.0679	0.03131	0.0679	NA	0.04212	0.02546	0.0417	NA	0.02017	NA	0.02821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"environmental samples"	"-"	140984	173	4	16	NA	NA	77	173	NA	89	NA	109	NA	0.08357	0.02505	0.08357	NA	NA	0.03112	0.0622	NA	0.03324	NA	0.04392	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"uncultured Polaromonas sp."	"S"	225016	167	3	16	NA	NA	76	167	NA	87	NA	105	NA	0.08357	0.01879	0.08357	NA	NA	0.03071	0.06004	NA	0.03249	NA	0.04231	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>environmental&nbsp;samples"
"Polaromonas sp. enrichment culture clone 70"	"S"	732156	6	1	NA	NA	NA	1	6	NA	2	NA	4	NA	0.006262	0.006262	NA	NA	NA	0.0004041	0.002157	NA	0.0007469	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>environmental&nbsp;samples"
"Polaromonas naphthalenivorans"	"S"	216465	17	2	1	NA	NA	4	17	NA	6	NA	6	NA	0.01252	0.01252	0.005223	NA	NA	0.001616	0.006112	NA	0.002241	NA	0.002418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. POL1"	"S"	722416	7	2	NA	NA	NA	3	6	NA	7	NA	1	NA	0.01252	0.01252	NA	NA	NA	0.001212	0.002157	NA	0.002614	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. BLH-8E4"	"S"	1010754	25	2	3	NA	NA	7	25	NA	12	NA	21	NA	0.01567	0.01252	0.01567	NA	NA	0.002829	0.008988	NA	0.004481	NA	0.008462	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. Bra12"	"S"	1327468	7	1	NA	NA	NA	2	2	NA	NA	NA	7	NA	0.006262	0.006262	NA	NA	NA	0.0008082	0.000719	NA	NA	NA	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Limnohabitans"	"G"	665874	1177	51	116	1	4	556	1177	NA	683	12	688	1	0.6059	0.3193	0.6059	0.0002569	0.1685	0.2247	0.4232	NA	0.2551	0.00329	0.2772	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	768542	480	17	45	1	1	222	480	NA	269	7	280	NA	0.235	0.1064	0.235	0.0002569	0.04212	0.08971	0.1726	NA	0.1005	0.001919	0.1128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
