"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"Undibacterium"	"G"	26461	448	27	38	263	247	3	255	300	6	195	448	301	NA	0.1985	0.1691	0.1985	0.09904	0.06347	0.1264	0.103	0.1079	0.001488	0.07282	0.1228	0.1213	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	911	25	46	427	410	2	344	533	11	358	911	466	NA	0.2498	0.1565	0.2403	0.1608	0.1053	0.08425	0.139	0.1916	0.002728	0.1337	0.2498	0.1878	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	785	24	40	468	361	3	228	326	4	215	785	287	1	0.2152	0.1503	0.2089	0.1762	0.09276	0.1264	0.09214	0.1172	0.0009921	0.08029	0.2152	0.1156	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	577	19	28	298	178	4	141	274	4	169	577	210	NA	0.1685	0.119	0.1462	0.1122	0.04574	0.1685	0.05698	0.09851	0.0009921	0.06311	0.1582	0.08462	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	439	18	30	196	112	NA	111	251	4	130	439	153	1	0.1776	0.1127	0.1567	0.07381	0.02878	NA	0.04486	0.09024	0.0009921	0.04855	0.1204	0.06165	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	440	18	23	184	144	NA	141	284	4	159	440	178	1	0.1776	0.1127	0.1201	0.06929	0.037	NA	0.05698	0.1021	0.0009921	0.05938	0.1206	0.07172	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	411	15	13	411	99	NA	75	112	1	82	345	82	NA	0.1548	0.09393	0.0679	0.1548	0.02544	NA	0.03031	0.04027	0.000248	0.03062	0.09459	0.03304	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	232	14	13	232	160	3	77	135	3	89	228	110	2	0.3552	0.08766	0.0679	0.08737	0.04111	0.1264	0.03112	0.04854	0.0007441	0.03324	0.06251	0.04432	0.3552	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	420	14	7	199	165	1	119	176	NA	131	420	216	NA	0.1151	0.08766	0.03656	0.07494	0.0424	0.04212	0.04809	0.06328	NA	0.04892	0.1151	0.08704	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	362	13	21	133	188	2	116	214	3	149	362	199	1	0.1776	0.0814	0.1097	0.05009	0.04831	0.08425	0.04688	0.07694	0.0007441	0.05564	0.09925	0.08019	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	167	12	7	128	72	NA	57	74	1	53	167	67	NA	0.07514	0.07514	0.03656	0.0482	0.0185	NA	0.02303	0.0266	0.000248	0.01979	0.04579	0.027	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	358	12	32	234	121	3	95	199	2	102	358	147	NA	0.1671	0.07514	0.1671	0.08812	0.03109	0.1264	0.03839	0.07154	0.000496	0.03809	0.09815	0.05923	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	274	11	7	274	180	1	79	95	2	50	245	118	NA	0.1032	0.06888	0.03656	0.1032	0.04625	0.04212	0.03192	0.03415	0.000496	0.01867	0.06717	0.04755	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	237	10	10	237	164	1	59	67	NA	36	196	90	1	0.1776	0.06262	0.05223	0.08925	0.04214	0.04212	0.02384	0.02409	NA	0.01344	0.05374	0.03627	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	257	10	20	187	83	1	100	133	2	81	257	84	NA	0.1045	0.06262	0.1045	0.07042	0.02133	0.04212	0.04041	0.04782	0.000496	0.03025	0.07046	0.03385	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	424	9	20	424	206	4	132	162	4	116	396	156	NA	0.1685	0.05636	0.1045	0.1597	0.05293	0.1685	0.05334	0.05824	0.0009921	0.04332	0.1086	0.06286	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	225	9	16	75	72	1	68	134	2	66	225	89	NA	0.08357	0.05636	0.08357	0.02824	0.0185	0.04212	0.02748	0.04818	0.000496	0.02465	0.06169	0.03586	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	319	8	5	319	36	NA	39	30	NA	24	95	23	NA	0.1201	0.05009	0.02612	0.1201	0.00925	NA	0.01576	0.01079	NA	0.008963	0.02605	0.009268	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	102	7	8	73	63	NA	32	71	NA	29	102	43	NA	0.04383	0.04383	0.04178	0.02749	0.01619	NA	0.01293	0.02553	NA	0.01083	0.02796	0.01733	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	218	7	16	136	82	NA	62	134	1	74	218	80	NA	0.08357	0.04383	0.08357	0.05122	0.02107	NA	0.02505	0.04818	0.000248	0.02764	0.05977	0.03224	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	430	7	12	173	140	2	111	76	1	96	430	212	NA	0.1179	0.04383	0.06268	0.06515	0.03597	0.08425	0.04486	0.02732	0.000248	0.03585	0.1179	0.08542	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	138	7	10	49	47	NA	32	89	1	49	138	59	NA	0.05223	0.04383	0.05223	0.01845	0.01208	NA	0.01293	0.032	0.000248	0.0183	0.03783	0.02377	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	97	6	2	71	34	NA	26	14	1	22	97	44	1	0.1776	0.03757	0.01045	0.02674	0.008736	NA	0.01051	0.005033	0.000248	0.008216	0.02659	0.01773	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	129	6	10	49	39	NA	32	57	NA	37	129	42	NA	0.05223	0.03757	0.05223	0.01845	0.01002	NA	0.01293	0.02049	NA	0.01382	0.03537	0.01692	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	161	6	8	71	51	NA	43	76	3	39	161	55	NA	0.04414	0.03757	0.04178	0.02674	0.0131	NA	0.01738	0.02732	0.0007441	0.01456	0.04414	0.02216	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	154	6	10	84	58	1	45	77	1	39	154	62	NA	0.05223	0.03757	0.05223	0.03163	0.0149	0.04212	0.01818	0.02768	0.000248	0.01456	0.04222	0.02498	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	117	5	2	117	29	NA	29	42	NA	28	98	35	NA	0.04406	0.03131	0.01045	0.04406	0.007451	NA	0.01172	0.0151	NA	0.01046	0.02687	0.0141	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	129	5	5	86	103	1	46	75	4	51	129	79	NA	0.04212	0.03131	0.02612	0.03239	0.02647	0.04212	0.01859	0.02696	0.0009921	0.01905	0.03537	0.03183	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	157	4	16	52	39	2	39	60	2	49	157	51	NA	0.08425	0.02505	0.08357	0.01958	0.01002	0.08425	0.01576	0.02157	0.000496	0.0183	0.04304	0.02055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	225	4	14	117	81	NA	60	145	NA	97	225	116	NA	0.07312	0.02505	0.07312	0.04406	0.02081	NA	0.02425	0.05213	NA	0.03622	0.06169	0.04674	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	52	4	2	52	20	NA	15	18	NA	17	36	19	NA	0.02505	0.02505	0.01045	0.01958	0.005139	NA	0.006062	0.006471	NA	0.006349	0.00987	0.007656	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	70	4	6	23	12	NA	22	33	NA	27	70	24	NA	0.03134	0.02505	0.03134	0.008662	0.003083	NA	0.00889	0.01186	NA	0.01008	0.01919	0.009671	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	122	3	11	38	37	1	35	62	1	44	122	49	NA	0.05745	0.01879	0.05745	0.01431	0.009507	0.04212	0.01414	0.02229	0.000248	0.01643	0.03345	0.01974	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	45	3	8	45	39	NA	19	19	NA	19	41	22	NA	0.04178	0.01879	0.04178	0.01695	0.01002	NA	0.007678	0.006831	NA	0.007096	0.01124	0.008865	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	57	3	5	29	27	NA	29	21	2	15	57	28	NA	0.02612	0.01879	0.02612	0.01092	0.006938	NA	0.01172	0.00755	0.000496	0.005602	0.01563	0.01128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	54	3	3	54	50	NA	17	21	NA	11	53	25	1	0.1776	0.01879	0.01567	0.02034	0.01285	NA	0.00687	0.00755	NA	0.004108	0.01453	0.01007	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	89	3	9	31	23	1	21	41	1	28	89	35	NA	0.04701	0.01879	0.04701	0.01167	0.00591	0.04212	0.008486	0.01474	0.000248	0.01046	0.0244	0.0141	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	42	3	4	29	14	NA	18	18	NA	15	42	15	NA	0.02089	0.01879	0.02089	0.01092	0.003597	NA	0.007274	0.006471	NA	0.005602	0.01151	0.006044	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	81	3	3	30	25	NA	22	38	2	23	81	34	NA	0.02221	0.01879	0.01567	0.0113	0.006424	NA	0.00889	0.01366	0.000496	0.008589	0.02221	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	81	2	1	81	24	NA	17	28	1	9	55	11	NA	0.0305	0.01252	0.005223	0.0305	0.006167	NA	0.00687	0.01007	0.000248	0.003361	0.01508	0.004432	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	74	2	4	40	45	NA	31	40	1	26	74	43	NA	0.02089	0.01252	0.02089	0.01506	0.01156	NA	0.01253	0.01438	0.000248	0.00971	0.02029	0.01733	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	126	2	8	70	37	1	44	78	1	51	126	51	NA	0.04212	0.01252	0.04178	0.02636	0.009507	0.04212	0.01778	0.02804	0.000248	0.01905	0.03454	0.02055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	36	2	3	22	18	NA	10	11	NA	9	36	19	NA	0.01567	0.01252	0.01567	0.008285	0.004625	NA	0.004041	0.003955	NA	0.003361	0.00987	0.007656	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	40	2	1	15	14	NA	25	24	NA	18	40	6	NA	0.01252	0.01252	0.005223	0.005649	0.003597	NA	0.0101	0.008629	NA	0.006722	0.01097	0.002418	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Telluria"	"G"	26456	22	2	NA	17	9	NA	8	7	NA	8	22	11	NA	0.01252	0.01252	NA	0.006402	0.002313	NA	0.003233	0.002517	NA	0.002988	0.006032	0.004432	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Azohydromonas"	"G"	26363	16	2	1	13	8	NA	5	7	NA	4	16	6	NA	0.01252	0.01252	0.005223	0.004896	0.002056	NA	0.002021	0.002517	NA	0.001494	0.004387	0.002418	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	28	2	NA	28	15	NA	3	7	NA	4	21	8	NA	0.01252	0.01252	NA	0.01054	0.003854	NA	0.001212	0.002517	NA	0.001494	0.005757	0.003224	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
