"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"Rhizobacter"	"G"	26445	1071	45	47	653	370	3	277	444	7	287	1071	367	1	0.3347	0.3127	0.2814	0.2745	0.1062	0.1382	0.12	0.1764	0.001771	0.1155	0.3347	0.1612	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1210	44	59	495	469	5	336	565	14	365	1210	618	NA	0.3781	0.3058	0.3533	0.2081	0.1346	0.2303	0.1456	0.2244	0.003541	0.1469	0.3781	0.2715	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	1119	40	60	724	594	3	329	559	9	329	1119	473	NA	0.3593	0.278	0.3593	0.3044	0.1705	0.1382	0.1426	0.222	0.002276	0.1324	0.3497	0.2078	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	911	37	70	346	270	2	313	550	4	303	911	373	NA	0.4192	0.2571	0.4192	0.1455	0.0775	0.09212	0.1356	0.2185	0.001012	0.1219	0.2847	0.1638	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	961	34	72	384	295	1	307	539	11	305	961	363	NA	0.4311	0.2363	0.4311	0.1614	0.08467	0.04606	0.133	0.2141	0.002782	0.1227	0.3003	0.1594	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	1059	33	87	411	305	4	350	614	5	361	1059	440	1	0.521	0.2293	0.521	0.1728	0.08754	0.1842	0.1517	0.2439	0.001265	0.1453	0.3309	0.1933	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	912	32	49	417	296	1	271	487	7	265	912	363	2	0.3774	0.2224	0.2934	0.1753	0.08496	0.04606	0.1174	0.1934	0.001771	0.1066	0.285	0.1594	0.3774	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	797	31	41	426	425	2	285	412	5	296	797	380	2	0.3774	0.2154	0.2455	0.1791	0.122	0.09212	0.1235	0.1637	0.001265	0.1191	0.249	0.1669	0.3774	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	448	27	38	263	247	3	255	300	6	195	448	301	NA	0.2275	0.1876	0.2275	0.1106	0.0709	0.1382	0.1105	0.1192	0.001518	0.07847	0.14	0.1322	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	911	25	46	427	410	2	344	533	11	358	911	466	NA	0.2847	0.1737	0.2754	0.1795	0.1177	0.09212	0.1491	0.2117	0.002782	0.1441	0.2847	0.2047	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	785	24	40	468	361	3	228	326	4	215	785	287	1	0.2453	0.1668	0.2395	0.1968	0.1036	0.1382	0.0988	0.1295	0.001012	0.08651	0.2453	0.1261	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	577	19	28	298	178	4	141	274	4	169	577	210	NA	0.1842	0.132	0.1677	0.1253	0.05109	0.1842	0.0611	0.1088	0.001012	0.068	0.1803	0.09224	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	440	18	23	184	144	NA	141	284	4	159	440	178	1	0.1887	0.1251	0.1377	0.07736	0.04133	NA	0.0611	0.1128	0.001012	0.06398	0.1375	0.07819	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	439	18	30	196	112	NA	111	251	4	130	439	153	1	0.1887	0.1251	0.1796	0.08241	0.03215	NA	0.0481	0.0997	0.001012	0.05231	0.1372	0.06721	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	411	15	13	411	99	NA	75	112	1	82	345	82	NA	0.1728	0.1042	0.07784	0.1728	0.02842	NA	0.0325	0.04449	0.0002529	0.033	0.1078	0.03602	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	420	14	7	199	165	1	119	176	NA	131	420	216	NA	0.1312	0.09729	0.04192	0.08367	0.04736	0.04606	0.05157	0.06991	NA	0.05271	0.1312	0.09488	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	232	14	13	232	160	3	77	135	3	89	228	110	2	0.3774	0.09729	0.07784	0.09754	0.04592	0.1382	0.03337	0.05362	0.0007588	0.03581	0.07124	0.04832	0.3774	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	362	13	21	133	188	2	116	214	3	149	362	199	1	0.1887	0.09034	0.1257	0.05592	0.05396	0.09212	0.05027	0.085	0.0007588	0.05996	0.1131	0.08741	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	358	12	32	234	121	3	95	199	2	102	358	147	NA	0.1916	0.08339	0.1916	0.09838	0.03473	0.1382	0.04117	0.07905	0.0005059	0.04104	0.1119	0.06457	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	167	12	7	128	72	NA	57	74	1	53	167	67	NA	0.08339	0.08339	0.04192	0.05382	0.02067	NA	0.0247	0.02939	0.0002529	0.02133	0.05218	0.02943	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	274	11	7	274	180	1	79	95	2	50	245	118	NA	0.1152	0.07644	0.04192	0.1152	0.05167	0.04606	0.03423	0.03774	0.0005059	0.02012	0.07655	0.05183	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	257	10	20	187	83	1	100	133	2	81	257	84	NA	0.1198	0.06949	0.1198	0.07862	0.02382	0.04606	0.04333	0.05283	0.0005059	0.03259	0.0803	0.0369	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	237	10	10	237	164	1	59	67	NA	36	196	90	1	0.1887	0.06949	0.05988	0.09964	0.04707	0.04606	0.02557	0.02661	NA	0.01449	0.06124	0.03953	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	225	9	16	75	72	1	68	134	2	66	225	89	NA	0.09581	0.06254	0.09581	0.03153	0.02067	0.04606	0.02947	0.05323	0.0005059	0.02656	0.07031	0.03909	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	424	9	20	424	206	4	132	162	4	116	396	156	NA	0.1842	0.06254	0.1198	0.1783	0.05913	0.1842	0.0572	0.06435	0.001012	0.04668	0.1237	0.06852	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	319	8	5	319	36	NA	39	30	NA	24	95	23	NA	0.1341	0.05559	0.02994	0.1341	0.01033	NA	0.0169	0.01192	NA	0.009657	0.02968	0.0101	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	138	7	10	49	47	NA	32	89	1	49	138	59	NA	0.05988	0.04864	0.05988	0.0206	0.01349	NA	0.01387	0.03535	0.0002529	0.01972	0.04312	0.02592	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	430	7	12	173	140	2	111	76	1	96	430	212	NA	0.1344	0.04864	0.07186	0.07274	0.04018	0.09212	0.0481	0.03019	0.0002529	0.03863	0.1344	0.09312	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	218	7	16	136	82	NA	62	134	1	74	218	80	NA	0.09581	0.04864	0.09581	0.05718	0.02354	NA	0.02687	0.05323	0.0002529	0.02978	0.06812	0.03514	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	102	7	8	73	63	NA	32	71	NA	29	102	43	NA	0.04864	0.04864	0.0479	0.03069	0.01808	NA	0.01387	0.0282	NA	0.01167	0.03187	0.01889	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	154	6	10	84	58	1	45	77	1	39	154	62	NA	0.05988	0.0417	0.05988	0.03532	0.01665	0.04606	0.0195	0.03059	0.0002529	0.01569	0.04812	0.02723	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	161	6	8	71	51	NA	43	76	3	39	161	55	NA	0.05031	0.0417	0.0479	0.02985	0.01464	NA	0.01863	0.03019	0.0007588	0.01569	0.05031	0.02416	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	129	6	10	49	39	NA	32	57	NA	37	129	42	NA	0.05988	0.0417	0.05988	0.0206	0.01119	NA	0.01387	0.02264	NA	0.01489	0.04031	0.01845	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	97	6	2	71	34	NA	26	14	1	22	97	44	1	0.1887	0.0417	0.01198	0.02985	0.009759	NA	0.01127	0.005561	0.0002529	0.008852	0.03031	0.01933	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	129	5	5	86	103	1	46	75	4	51	129	79	NA	0.04606	0.03475	0.02994	0.03616	0.02956	0.04606	0.01993	0.02979	0.001012	0.02052	0.04031	0.0347	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	117	5	2	117	29	NA	29	42	NA	28	98	35	NA	0.04919	0.03475	0.01198	0.04919	0.008324	NA	0.01257	0.01668	NA	0.01127	0.03062	0.01537	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	70	4	6	23	12	NA	22	33	NA	27	70	24	NA	0.03593	0.0278	0.03593	0.00967	0.003444	NA	0.009533	0.01311	NA	0.01086	0.02187	0.01054	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	52	4	2	52	20	NA	15	18	NA	17	36	19	NA	0.0278	0.0278	0.01198	0.02186	0.005741	NA	0.0065	0.00715	NA	0.006841	0.01125	0.008346	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	225	4	14	117	81	NA	60	145	NA	97	225	116	NA	0.08383	0.0278	0.08383	0.04919	0.02325	NA	0.026	0.0576	NA	0.03903	0.07031	0.05095	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	157	4	16	52	39	2	39	60	2	49	157	51	NA	0.09581	0.0278	0.09581	0.02186	0.01119	0.09212	0.0169	0.02383	0.0005059	0.01972	0.04906	0.0224	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	81	3	3	30	25	NA	22	38	2	23	81	34	NA	0.02531	0.02085	0.01796	0.01261	0.007176	NA	0.009533	0.01509	0.0005059	0.009255	0.02531	0.01493	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	42	3	4	29	14	NA	18	18	NA	15	42	15	NA	0.02395	0.02085	0.02395	0.01219	0.004018	NA	0.0078	0.00715	NA	0.006036	0.01312	0.006589	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	89	3	9	31	23	1	21	41	1	28	89	35	NA	0.05389	0.02085	0.05389	0.01303	0.006602	0.04606	0.0091	0.01629	0.0002529	0.01127	0.02781	0.01537	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	54	3	3	54	50	NA	17	21	NA	11	53	25	1	0.1887	0.02085	0.01796	0.0227	0.01435	NA	0.007366	0.008342	NA	0.004426	0.01656	0.01098	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	57	3	5	29	27	NA	29	21	2	15	57	28	NA	0.02994	0.02085	0.02994	0.01219	0.00775	NA	0.01257	0.008342	0.0005059	0.006036	0.01781	0.0123	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	45	3	8	45	39	NA	19	19	NA	19	41	22	NA	0.0479	0.02085	0.0479	0.01892	0.01119	NA	0.008233	0.007547	NA	0.007645	0.01281	0.009663	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	122	3	11	38	37	1	35	62	1	44	122	49	NA	0.06587	0.02085	0.06587	0.01598	0.01062	0.04606	0.01517	0.02463	0.0002529	0.0177	0.03812	0.02152	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kerstersia"	"G"	26404	41	2	2	33	20	NA	16	16	1	18	41	20	NA	0.0139	0.0139	0.01198	0.01387	0.005741	NA	0.006933	0.006356	0.0002529	0.007243	0.01281	0.008785	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	28	2	NA	28	15	NA	3	7	NA	4	21	8	NA	0.0139	0.0139	NA	0.01177	0.004305	NA	0.0013	0.002781	NA	0.00161	0.006562	0.003514	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Azohydromonas"	"G"	26363	16	2	1	13	8	NA	5	7	NA	4	16	6	NA	0.0139	0.0139	0.005988	0.005466	0.002296	NA	0.002167	0.002781	NA	0.00161	0.004999	0.002635	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Telluria"	"G"	26456	22	2	NA	17	9	NA	8	7	NA	8	22	11	NA	0.0139	0.0139	NA	0.007147	0.002583	NA	0.003467	0.002781	NA	0.003219	0.006874	0.004832	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	40	2	1	15	14	NA	25	24	NA	18	40	6	NA	0.0139	0.0139	0.005988	0.006307	0.004018	NA	0.01083	0.009533	NA	0.007243	0.0125	0.002635	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	36	2	3	22	18	NA	10	11	NA	9	36	19	NA	0.01796	0.0139	0.01796	0.00925	0.005167	NA	0.004333	0.004369	NA	0.003621	0.01125	0.008346	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	126	2	8	70	37	1	44	78	1	51	126	51	NA	0.0479	0.0139	0.0479	0.02943	0.01062	0.04606	0.01907	0.03098	0.0002529	0.02052	0.03937	0.0224	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
