"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"Runella"	"G"	24812	1422	284	35	3	NA	452	379	274	1	NA	232	1422	82	0.3429	0.08089	0.0656	0.3429	NA	0.04623	0.03906	0.03392	5.663e-05	NA	0.15	0.1491	0.1649	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	693	141	18	NA	NA	135	158	151	2	NA	77	693	30	0.07267	0.04016	0.03374	NA	NA	0.01381	0.01628	0.01869	0.0001133	NA	0.0498	0.07267	0.06033	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Lacihabitans"	"G"	24804	299	65	6	NA	NA	146	228	299	1	NA	28	275	55	0.1106	0.01851	0.01125	NA	NA	0.01493	0.0235	0.03701	5.663e-05	NA	0.01811	0.02884	0.1106	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	184	44	4	NA	NA	44	47	39	NA	NA	26	184	7	0.01929	0.01253	0.007497	NA	NA	0.0045	0.004844	0.004828	NA	NA	0.01682	0.01929	0.01408	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	186	39	8	NA	NA	40	40	43	NA	NA	26	186	11	0.02212	0.01111	0.01499	NA	NA	0.004091	0.004123	0.005323	NA	NA	0.01682	0.0195	0.02212	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	244	34	5	NA	NA	76	57	104	NA	NA	22	244	2	0.02559	0.009684	0.009372	NA	NA	0.007774	0.005875	0.01287	NA	NA	0.01423	0.02559	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	57	19	2	NA	NA	30	26	15	NA	NA	6	57	1	0.005977	0.005412	0.003749	NA	NA	0.003069	0.00268	0.001857	NA	NA	0.00388	0.005977	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	65	10	4	NA	NA	20	20	10	1	NA	7	65	3	0.007497	0.002848	0.007497	NA	NA	0.002046	0.002061	0.001238	5.663e-05	NA	0.004527	0.006816	0.006033	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	37	7	1	NA	NA	16	12	10	NA	NA	5	37	1	0.00388	0.001994	0.001874	NA	NA	0.001637	0.001237	0.001238	NA	NA	0.003234	0.00388	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	16	2	1	NA	NA	7	8	1	NA	NA	2	16	NA	0.001874	0.0005696	0.001874	NA	NA	0.000716	0.0008245	0.0001238	NA	NA	0.001293	0.001678	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Taeseokella"	"G"	24814	30	2	NA	NA	NA	6	8	11	NA	NA	2	30	2	0.004022	0.0005696	NA	NA	NA	0.0006137	0.0008245	0.001362	NA	NA	0.001293	0.003146	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Rhabdobacter"	"G"	24810	2	1	NA	NA	NA	NA	2	2	NA	NA	NA	NA	1	0.002011	0.0002848	NA	NA	NA	NA	0.0002061	0.0002476	NA	NA	NA	NA	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Cyclobacteriaceae"	"F"	24725	2703	1041	175	2	1	877	911	714	10	NA	334	2703	82	0.328	0.2965	0.328	0.2286	0.07289	0.0897	0.09389	0.08839	0.0005663	NA	0.216	0.2834	0.1649	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Algoriphagus"	"G"	24726	1371	774	149	2	1	494	459	378	3	NA	178	1371	41	0.2793	0.2204	0.2793	0.2286	0.07289	0.05053	0.04731	0.04679	0.0001699	NA	0.1151	0.1438	0.08245	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"uncultured"	"G"	24760	421	86	12	NA	NA	134	137	115	3	NA	51	421	14	0.04415	0.02449	0.02249	NA	NA	0.01371	0.01412	0.01424	0.0001699	NA	0.03298	0.04415	0.02815	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marinoscillum"	"G"	24746	154	37	1	NA	NA	46	52	39	1	NA	19	154	5	0.01615	0.01054	0.001874	NA	NA	0.004705	0.005359	0.004828	5.663e-05	NA	0.01229	0.01615	0.01006	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fulvivirga"	"G"	24740	56	26	1	NA	NA	27	27	13	NA	NA	6	56	5	0.01006	0.007405	0.001874	NA	NA	0.002762	0.002783	0.001609	NA	NA	0.00388	0.005872	0.01006	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Nitritalea"	"G"	24753	144	20	3	NA	NA	23	45	35	NA	NA	16	144	2	0.0151	0.005696	0.005623	NA	NA	0.002353	0.004638	0.004333	NA	NA	0.01035	0.0151	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Reichenbachiella"	"G"	24755	83	16	2	NA	NA	14	18	11	NA	NA	8	83	3	0.008704	0.004557	0.003749	NA	NA	0.001432	0.001855	0.001362	NA	NA	0.005174	0.008704	0.006033	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Ekhidna"	"G"	24736	70	15	3	NA	NA	30	55	37	NA	NA	9	70	2	0.00734	0.004272	0.005623	NA	NA	0.003069	0.005669	0.00458	NA	NA	0.005821	0.00734	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aquiflexum"	"G"	24728	105	12	NA	NA	NA	19	20	17	NA	NA	16	105	4	0.01101	0.003418	NA	NA	NA	0.001943	0.002061	0.002104	NA	NA	0.01035	0.01101	0.008044	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Tunicatimonas"	"G"	24759	28	10	1	NA	NA	13	12	7	1	NA	6	28	3	0.006033	0.002848	0.001874	NA	NA	0.00133	0.001237	0.0008665	5.663e-05	NA	0.00388	0.002936	0.006033	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium"	"G"	24734	58	9	NA	NA	NA	14	13	17	NA	NA	6	58	NA	0.006082	0.002563	NA	NA	NA	0.001432	0.00134	0.002104	NA	NA	0.00388	0.006082	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Catalinimonas"	"G"	24731	37	5	NA	NA	NA	7	11	5	NA	NA	2	37	1	0.00388	0.001424	NA	NA	NA	0.000716	0.001134	0.0006189	NA	NA	0.001293	0.00388	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Rhodonellum"	"G"	24756	13	4	NA	NA	NA	2	3	1	1	NA	1	13	NA	0.001363	0.001139	NA	NA	NA	0.0002046	0.0003092	0.0001238	5.663e-05	NA	0.0006467	0.001363	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Indibacter"	"G"	24742	3	2	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	0.0005696	0.0005696	NA	NA	NA	NA	0.0002061	NA	NA	NA	NA	0.0003146	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliitalea"	"G"	24750	17	2	NA	NA	NA	5	5	NA	NA	NA	4	17	NA	0.002587	0.0005696	NA	NA	NA	0.0005114	0.0005153	NA	NA	NA	0.002587	0.001783	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fabibacter"	"G"	24737	7	1	NA	NA	NA	2	1	NA	NA	NA	1	7	NA	0.000734	0.0002848	NA	NA	NA	0.0002046	0.0001031	NA	NA	NA	0.0006467	0.000734	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Echinicola"	"G"	24735	4	1	NA	NA	NA	1	1	NA	NA	NA	NA	4	NA	0.0004195	0.0002848	NA	NA	NA	0.0001023	0.0001031	NA	NA	NA	NA	0.0004195	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Belliella"	"G"	24730	16	1	NA	NA	NA	3	5	2	NA	NA	NA	16	NA	0.001678	0.0002848	NA	NA	NA	0.0003069	0.0005153	0.0002476	NA	NA	NA	0.001678	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marivirga"	"G"	24747	3	1	NA	NA	NA	NA	3	NA	NA	NA	NA	3	NA	0.0003146	0.0002848	NA	NA	NA	NA	0.0003092	NA	NA	NA	NA	0.0003146	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliicoccus"	"G"	24749	1	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	0.0001031	0.0001238	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Hymenobacteraceae"	"F"	24776	1560	278	28	1	2	343	418	317	3	NA	174	1560	71	0.1636	0.07918	0.05248	0.1143	0.1458	0.03508	0.04308	0.03924	0.0001699	NA	0.1125	0.1636	0.1428	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	616	98	12	1	2	149	163	126	1	NA	77	616	29	0.1458	0.02791	0.02249	0.1143	0.1458	0.01524	0.0168	0.0156	5.663e-05	NA	0.0498	0.0646	0.05832	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Nibribacter"	"G"	24779	399	74	8	NA	NA	81	90	86	NA	NA	33	399	18	0.04184	0.02108	0.01499	NA	NA	0.008285	0.009276	0.01065	NA	NA	0.02134	0.04184	0.0362	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Adhaeribacter"	"G"	24777	331	60	8	NA	NA	61	102	63	1	NA	43	331	20	0.04022	0.01709	0.01499	NA	NA	0.006239	0.01051	0.007799	5.663e-05	NA	0.02781	0.03471	0.04022	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Pontibacter"	"G"	24780	167	32	NA	NA	NA	40	52	37	1	NA	17	167	3	0.01751	0.009114	NA	NA	NA	0.004091	0.005359	0.00458	5.663e-05	NA	0.01099	0.01751	0.006033	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Rufibacter"	"G"	24781	9	4	NA	NA	NA	7	1	2	NA	NA	3	9	NA	0.00194	0.001139	NA	NA	NA	0.000716	0.0001031	0.0002476	NA	NA	0.00194	0.0009438	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"Microscillaceae"	"F"	24783	1299	250	28	1	NA	454	579	1054	7	NA	149	1299	46	0.1362	0.0712	0.05248	0.1143	NA	0.04644	0.05967	0.1305	0.0003964	NA	0.09636	0.1362	0.09251	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24793	1087	211	21	1	NA	374	487	975	6	NA	122	1087	39	0.1207	0.0601	0.03936	0.1143	NA	0.03825	0.05019	0.1207	0.0003398	NA	0.0789	0.114	0.07843	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Chryseolinea"	"G"	24784	75	17	4	NA	NA	30	31	20	NA	NA	11	75	3	0.007865	0.004842	0.007497	NA	NA	0.003069	0.003195	0.002476	NA	NA	0.007114	0.007865	0.006033	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"OLB12"	"G"	24789	24	6	NA	NA	NA	18	21	24	NA	NA	6	13	1	0.00388	0.001709	NA	NA	NA	0.001841	0.002164	0.002971	NA	NA	0.00388	0.001363	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Siphonobacter"	"G"	24791	38	6	1	NA	NA	10	10	12	NA	NA	6	38	NA	0.003985	0.001709	0.001874	NA	NA	0.001023	0.001031	0.001485	NA	NA	0.00388	0.003985	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Microscilla"	"G"	24787	13	2	NA	NA	NA	3	3	1	NA	NA	1	13	1	0.002011	0.0005696	NA	NA	NA	0.0003069	0.0003092	0.0001238	NA	NA	0.0006467	0.001363	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Mooreia"	"G"	24788	8	2	NA	NA	NA	5	NA	2	NA	NA	1	8	NA	0.0008389	0.0005696	NA	NA	NA	0.0005114	NA	0.0002476	NA	NA	0.0006467	0.0008389	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Ohtaekwangia"	"G"	24790	19	1	1	NA	NA	7	10	5	NA	NA	1	19	1	0.002011	0.0002848	0.001874	NA	NA	0.000716	0.001031	0.0006189	NA	NA	0.0006467	0.001992	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Thermoflexibacter"	"G"	24792	12	1	NA	NA	NA	3	6	2	1	NA	NA	12	NA	0.001258	0.0002848	NA	NA	NA	0.0003069	0.0006184	0.0002476	5.663e-05	NA	NA	0.001258	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Amoebophilaceae"	"F"	24715	440	109	14	NA	NA	178	230	109	4	NA	55	440	10	0.04614	0.03104	0.02624	NA	NA	0.01821	0.0237	0.01349	0.0002265	NA	0.03557	0.04614	0.02011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Candidatus Amoebophilus"	"G"	24716	328	91	12	NA	NA	144	193	80	4	NA	45	328	8	0.03439	0.02592	0.02249	NA	NA	0.01473	0.01989	0.009903	0.0002265	NA	0.0291	0.03439	0.01609	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"uncultured"	"G"	24719	61	10	NA	NA	NA	18	22	14	NA	NA	4	61	1	0.006397	0.002848	NA	NA	NA	0.001841	0.002267	0.001733	NA	NA	0.002587	0.006397	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Paenicardinium"	"G"	24718	4	2	NA	NA	NA	1	1	2	NA	NA	2	4	NA	0.001293	0.0005696	NA	NA	NA	0.0001023	0.0001031	0.0002476	NA	NA	0.001293	0.0004195	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Candidatus Cardinium"	"G"	24717	5	1	NA	NA	NA	1	2	3	NA	NA	NA	5	NA	0.0005243	0.0002848	NA	NA	NA	0.0001023	0.0002061	0.0003714	NA	NA	NA	0.0005243	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Amoebophilaceae"
"Cytophagaceae"	"F"	24761	550	88	12	NA	NA	114	145	219	3	NA	42	550	14	0.05767	0.02506	0.02249	NA	NA	0.01166	0.01494	0.02711	0.0001699	NA	0.02716	0.05767	0.02815	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Cytophaga"	"G"	24762	445	66	10	NA	NA	78	96	165	3	NA	28	445	11	0.04666	0.0188	0.01874	NA	NA	0.007978	0.009894	0.02043	0.0001699	NA	0.01811	0.04666	0.02212	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Sporocytophaga"	"G"	24764	78	14	1	NA	NA	18	24	22	NA	NA	11	78	2	0.008179	0.003987	0.001874	NA	NA	0.001841	0.002474	0.002723	NA	NA	0.007114	0.008179	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Rhodocytophaga"	"G"	24763	23	8	NA	NA	NA	17	23	11	NA	NA	2	19	1	0.00237	0.002279	NA	NA	NA	0.001739	0.00237	0.001362	NA	NA	0.001293	0.001992	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cytophagaceae"
"Flammeovirgaceae"	"F"	24766	164	29	4	NA	NA	47	39	34	NA	NA	15	164	5	0.0172	0.00826	0.007497	NA	NA	0.004807	0.004019	0.004209	NA	NA	0.009701	0.0172	0.01006	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Flammeovirga"	"G"	24768	115	19	3	NA	NA	25	24	15	NA	NA	14	115	4	0.01206	0.005412	0.005623	NA	NA	0.002557	0.002474	0.001857	NA	NA	0.009054	0.01206	0.008044	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Perexilibacter"	"G"	24772	32	5	NA	NA	NA	6	4	6	NA	NA	NA	32	1	0.003356	0.001424	NA	NA	NA	0.0006137	0.0004123	0.0007427	NA	NA	NA	0.003356	0.002011	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Rapidithrix"	"G"	24773	10	2	NA	NA	NA	3	3	2	NA	NA	NA	10	NA	0.001049	0.0005696	NA	NA	NA	0.0003069	0.0003092	0.0002476	NA	NA	NA	0.001049	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"uncultured"	"G"	24775	9	2	1	NA	NA	9	6	5	NA	NA	NA	3	NA	0.001874	0.0005696	0.001874	NA	NA	0.0009206	0.0006184	0.0006189	NA	NA	NA	0.0003146	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"Luteivirga"	"G"	24771	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	0.0001031	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Flammeovirgaceae"
"MWH-CFBk5"	"F"	24782	7	1	NA	NA	NA	4	NA	4	NA	NA	1	7	NA	0.000734	0.0002848	NA	NA	NA	0.0004091	NA	0.0004952	NA	NA	0.0006467	0.000734	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Thermonemataceae"	"F"	24816	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001049	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Thermonema"	"G"	24817	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001049	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Thermonemataceae"
"Sphingobacteriales"	"O"	25002	167510	55526	6350	125	56	120478	167510	55746	546	17	6299	55772	4677	17.26	15.81	11.9	14.29	4.082	12.32	17.26	6.901	0.03092	2.038	4.074	5.848	9.406	"Bacteria>Bacteroidetes>Bacteroidia"
"NS11-12 marine group"	"F"	25015	164410	54309	6187	117	55	118068	164412	54427	524	14	5770	52115	4527	16.94	15.47	11.6	13.37	4.009	12.08	16.94	6.737	0.02968	1.679	3.732	5.465	9.104	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Sphingobacteriaceae"	"F"	25020	2509	575	80	1	NA	934	1160	734	11	2	410	2509	101	0.2652	0.1638	0.1499	0.1143	NA	0.09553	0.1196	0.09086	0.0006229	0.2398	0.2652	0.2631	0.2031	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales"
"Pedobacter"	"G"	25027	1655	362	55	1	NA	581	648	442	7	1	238	1655	58	0.1735	0.1031	0.1031	0.1143	NA	0.05943	0.06679	0.05471	0.0003964	0.1199	0.1539	0.1735	0.1166	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Solitalea"	"G"	25031	224	59	5	NA	NA	74	121	86	1	1	69	224	16	0.1199	0.0168	0.009372	NA	NA	0.007569	0.01247	0.01065	5.663e-05	0.1199	0.04463	0.02349	0.03218	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Sphingobacterium"	"G"	25032	184	44	7	NA	NA	75	127	60	2	NA	36	184	7	0.02328	0.01253	0.01312	NA	NA	0.007671	0.01309	0.007427	0.0001133	NA	0.02328	0.01929	0.01408	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Mucilaginibacter"	"G"	25023	239	41	5	NA	NA	73	88	81	NA	NA	31	239	6	0.02506	0.01168	0.009372	NA	NA	0.007467	0.00907	0.01003	NA	NA	0.02005	0.02506	0.01207	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Nubsella"	"G"	25024	97	33	NA	NA	NA	71	97	21	NA	NA	8	49	3	0.009997	0.009399	NA	NA	NA	0.007262	0.009997	0.0026	NA	NA	0.005174	0.005138	0.006033	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"uncultured"	"G"	25033	20	6	1	NA	NA	14	20	6	NA	NA	5	20	2	0.004022	0.001709	0.001874	NA	NA	0.001432	0.002061	0.0007427	NA	NA	0.003234	0.002097	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Anseongella"	"G"	25021	4	3	NA	NA	NA	NA	3	NA	NA	NA	2	4	NA	0.001293	0.0008544	NA	NA	NA	NA	0.0003092	NA	NA	NA	0.001293	0.0004195	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Olivibacter"	"G"	25025	5	2	2	NA	NA	3	5	5	NA	NA	3	5	2	0.004022	0.0005696	0.003749	NA	NA	0.0003069	0.0005153	0.0006189	NA	NA	0.00194	0.0005243	0.004022	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
"Parapedobacter"	"G"	25026	6	2	NA	NA	NA	4	3	2	NA	NA	NA	6	NA	0.0006292	0.0005696	NA	NA	NA	0.0004091	0.0003092	0.0002476	NA	NA	NA	0.0006292	NA	"Bacteria>Bacteroidetes>Bacteroidia>Sphingobacteriales>Sphingobacteriaceae"
