"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	744	744	28	610	NA	514	NA	3	NA	NA	41	NA	0.3797	0.371	0.3797	0.3739	NA	0.2643	NA	0.001649	NA	NA	0.04505	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	130	97	10	130	NA	55	NA	4	NA	NA	15	NA	0.1356	0.04837	0.1356	0.07968	NA	0.02828	NA	0.002199	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	67	67	1	48	NA	40	NA	5	NA	NA	4	NA	0.03341	0.03341	0.01356	0.02942	NA	0.02057	NA	0.002748	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. NIES-970"	"S"	1827144	4	4	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.001995	0.001995	NA	0.001839	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	4	2	NA	4	NA	3	NA	NA	NA	NA	NA	NA	0.002452	0.0009973	NA	0.002452	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-100"	"S"	1280380	2	2	NA	2	NA	2	NA	NA	NA	NA	1	NA	0.001226	0.0009973	NA	0.001226	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Dactylococcopsis"	"G"	13034	10	5	1	10	NA	7	NA	NA	NA	NA	3	NA	0.01356	0.002493	0.01356	0.00613	NA	0.003599	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Dactylococcopsis salina"	"S"	292566	10	5	1	10	NA	7	NA	NA	NA	NA	3	NA	0.01356	0.002493	0.01356	0.00613	NA	0.003599	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis"
"Cyanobium"	"G"	167375	4	4	1	NA	NA	2	NA	NA	1	NA	3	NA	0.9174	0.001995	0.01356	NA	NA	0.001028	NA	NA	0.9174	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium sp. NIES-981"	"S"	1851505	3	3	1	NA	NA	2	NA	NA	NA	NA	NA	NA	0.01356	0.001496	0.01356	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Cyanobium gracile"	"S"	59930	3	1	NA	NA	NA	NA	NA	NA	1	NA	3	NA	0.9174	0.0004986	NA	NA	NA	NA	NA	NA	0.9174	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Pseudanabaenaceae"	"F"	1890436	285	285	15	265	NA	213	NA	NA	NA	NA	14	NA	0.2034	0.1421	0.2034	0.1624	NA	0.1095	NA	NA	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	285	285	15	265	NA	213	NA	NA	NA	NA	14	NA	0.2034	0.1421	0.2034	0.1624	NA	0.1095	NA	NA	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. PCC 7367"	"S"	82654	285	285	15	265	NA	213	NA	NA	NA	NA	14	NA	0.2034	0.1421	0.2034	0.1624	NA	0.1095	NA	NA	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Prochloraceae"	"F"	1213	131	131	3	123	NA	107	NA	3	NA	NA	9	1	0.5435	0.06532	0.04068	0.07539	NA	0.05502	NA	0.001649	NA	NA	0.00989	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	131	131	3	123	NA	107	NA	3	NA	NA	9	1	0.5435	0.06532	0.04068	0.07539	NA	0.05502	NA	0.001649	NA	NA	0.00989	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	129	129	3	120	NA	104	NA	NA	NA	NA	7	1	0.5435	0.06432	0.04068	0.07355	NA	0.05347	NA	NA	NA	NA	0.007692	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbyaceae"	"F"	1890438	86	86	3	74	NA	68	NA	2	NA	NA	11	NA	0.04536	0.04288	0.04068	0.04536	NA	0.03496	NA	0.001099	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	81	81	3	73	NA	65	NA	2	NA	NA	10	NA	0.04475	0.04039	0.04068	0.04475	NA	0.03342	NA	0.001099	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	49	49	3	44	NA	28	NA	NA	NA	NA	NA	NA	0.04068	0.02443	0.04068	0.02697	NA	0.0144	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	20	14	NA	17	NA	20	NA	1	NA	NA	4	NA	0.01042	0.006981	NA	0.01042	NA	0.01028	NA	0.0005497	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	13	12	NA	9	NA	13	NA	NA	NA	NA	NA	NA	0.006684	0.005984	NA	0.005517	NA	0.006684	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	4	1	NA	NA	NA	2	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Halomicronema"	"G"	170610	5	5	NA	1	NA	3	NA	NA	NA	NA	1	NA	0.002493	0.002493	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Halomicronema hongdechloris"	"S"	1209493	5	5	NA	1	NA	3	NA	NA	NA	NA	1	NA	0.002493	0.002493	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Halomicronema"
"Merismopediaceae"	"F"	1890428	31	31	1	21	NA	21	NA	NA	NA	NA	5	NA	0.01546	0.01546	0.01356	0.01287	NA	0.0108	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	31	31	1	21	NA	21	NA	NA	NA	NA	5	NA	0.01546	0.01546	0.01356	0.01287	NA	0.0108	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Nostocales"	"O"	1161	4147	4147	99	3777	NA	2451	1	7	NA	NA	272	NA	2.315	2.068	1.343	2.315	NA	1.26	0.6757	0.003848	NA	NA	0.2989	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	3966	3966	90	3529	NA	2224	1	3	NA	NA	128	NA	2.163	1.978	1.221	2.163	NA	1.144	0.6757	0.001649	NA	NA	0.1407	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	3966	3966	90	3521	NA	2221	1	3	NA	NA	128	NA	2.158	1.978	1.221	2.158	NA	1.142	0.6757	0.001649	NA	NA	0.1407	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. NIES-3974"	"S"	2005462	3668	3668	78	3265	NA	2017	1	3	NA	NA	99	NA	2.001	1.829	1.058	2.001	NA	1.037	0.6757	0.001649	NA	NA	0.1088	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	240	240	10	208	NA	162	NA	NA	NA	NA	11	NA	0.1356	0.1197	0.1356	0.1275	NA	0.0833	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4071"	"S"	2005469	31	31	2	28	NA	20	NA	NA	NA	NA	5	NA	0.02712	0.01546	0.02712	0.01716	NA	0.01028	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 7507"	"S"	99598	13	13	NA	10	NA	7	NA	NA	NA	NA	5	NA	0.006482	0.006482	NA	0.00613	NA	0.003599	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. 336/3"	"S"	1337936	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-2098"	"S"	1954171	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4101"	"S"	2005461	3	1	NA	3	NA	3	NA	NA	NA	NA	1	NA	0.001839	0.0004986	NA	0.001839	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Nostocaceae"	"F"	1162	224	158	8	224	NA	205	NA	4	NA	NA	132	NA	0.1451	0.07878	0.1085	0.1373	NA	0.1054	NA	0.002199	NA	NA	0.1451	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Anabaena"	"G"	1163	176	102	6	176	NA	155	NA	1	NA	NA	120	NA	0.1319	0.05086	0.08137	0.1079	NA	0.0797	NA	0.0005497	NA	NA	0.1319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Anabaena cylindrica"	"S"	1165	33	33	1	25	NA	21	NA	NA	NA	NA	2	NA	0.01645	0.01645	0.01356	0.01532	NA	0.0108	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. WA102"	"S"	1647413	55	6	NA	2	NA	9	NA	NA	NA	NA	55	NA	0.06044	0.002992	NA	0.001226	NA	0.004628	NA	NA	NA	NA	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. 90"	"S"	46234	9	2	NA	2	NA	9	NA	NA	NA	NA	5	NA	0.005494	0.0009973	NA	0.001226	NA	0.004628	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Nostoc"	"G"	1177	33	33	2	33	NA	29	NA	2	NA	NA	3	NA	0.02712	0.01645	0.02712	0.02023	NA	0.01491	NA	0.001099	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Nostoc flagelliforme"	"S"	1306274	23	23	1	17	NA	15	NA	NA	NA	NA	NA	NA	0.01356	0.01147	0.01356	0.01042	NA	0.007713	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. 'Peltigera membranacea cyanobiont N6'"	"S"	1261031	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'"	"S"	1618022	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. PCC 7120"	"S"	103690	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc punctiforme"	"S"	272131	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Trichormus"	"G"	264688	18	18	NA	11	NA	18	NA	NA	NA	NA	8	NA	0.009255	0.008975	NA	0.006742	NA	0.009255	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Trichormus azollae"	"S"	1164	18	18	NA	11	NA	18	NA	NA	NA	NA	7	NA	0.009255	0.008975	NA	0.006742	NA	0.009255	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Trichormus"
"Hapalosiphonaceae"	"F"	1892263	11	5	1	11	NA	6	NA	NA	NA	NA	5	NA	0.01356	0.002493	0.01356	0.006742	NA	0.003085	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Fischerella"	"G"	1190	11	5	1	11	NA	6	NA	NA	NA	NA	5	NA	0.01356	0.002493	0.01356	0.006742	NA	0.003085	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae"
"Fischerella sp. NIES-3754"	"S"	1752063	11	5	1	11	NA	6	NA	NA	NA	NA	5	NA	0.01356	0.002493	0.01356	0.006742	NA	0.003085	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae>Fischerella"
"Oscillatoriophycideae"	"-"	1301283	3949	3949	123	3626	NA	2611	1	21	NA	1	365	NA	2.223	1.969	1.668	2.223	NA	1.343	0.6757	0.01154	NA	1.754	0.4011	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	2598	2598	71	2421	NA	1715	1	9	NA	NA	172	NA	1.484	1.295	0.9628	1.484	NA	0.8818	0.6757	0.004947	NA	NA	0.189	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Oscillatoriaceae"	"F"	1892254	1603	1603	43	1499	NA	1077	NA	1	NA	NA	83	NA	0.9188	0.7993	0.5831	0.9188	NA	0.5538	NA	0.0005497	NA	NA	0.09121	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Oscillatoria"	"G"	1158	1543	1543	42	1452	NA	1034	NA	1	NA	NA	79	NA	0.89	0.7694	0.5696	0.89	NA	0.5317	NA	0.0005497	NA	NA	0.08681	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Oscillatoria acuminata"	"S"	118323	1453	1453	39	1370	NA	979	NA	1	NA	NA	66	NA	0.8397	0.7245	0.5289	0.8397	NA	0.5034	NA	0.0005497	NA	NA	0.07253	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
