"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_april_BC01.cladeReads"	"centrifuge_classification_april_BC02.cladeReads"	"centrifuge_classification_april_BC03.cladeReads"	"centrifuge_classification_april_BC04.cladeReads"	"centrifuge_classification_april_BC05.cladeReads"	"centrifuge_classification_april_BC06.cladeReads"	"centrifuge_classification_april_BC07.cladeReads"	"centrifuge_classification_april_BC08.cladeReads"	"centrifuge_classification_april_BC09.cladeReads"	"centrifuge_classification_april_BC10.cladeReads"	"centrifuge_classification_april_BC11.cladeReads"	"centrifuge_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_classification_april_BC01.cladeReads.."	"centrifuge_classification_april_BC02.cladeReads.."	"centrifuge_classification_april_BC03.cladeReads.."	"centrifuge_classification_april_BC04.cladeReads.."	"centrifuge_classification_april_BC05.cladeReads.."	"centrifuge_classification_april_BC06.cladeReads.."	"centrifuge_classification_april_BC07.cladeReads.."	"centrifuge_classification_april_BC08.cladeReads.."	"centrifuge_classification_april_BC09.cladeReads.."	"centrifuge_classification_april_BC10.cladeReads.."	"centrifuge_classification_april_BC11.cladeReads.."	"centrifuge_classification_april_BC12.cladeReads.."	"lineage"
"Limnohabitans sp. 103DPR2"	"S"	1678129	9284	317	641	3364	3289	33	3957	7505	128	4520	9284	4571	8	3.348	1.985	3.348	1.267	0.8451	1.39	1.599	2.698	0.03175	1.688	2.545	1.842	1.421	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax"	"G"	28065	29712	1107	2496	10646	7987	97	10045	20896	397	9190	29712	12400	25	13.04	6.932	13.04	4.009	2.052	4.086	4.059	7.513	0.09847	3.432	8.146	4.997	4.44	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax ferrireducens"	"S"	192843	13034	470	1059	4376	3404	37	4236	9072	178	3938	13034	5403	9	5.531	2.943	5.531	1.648	0.8746	1.559	1.712	3.262	0.04415	1.471	3.573	2.177	1.599	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	13034	470	1059	4376	3404	37	4236	9072	178	3938	13034	5403	9	5.531	2.943	5.531	1.648	0.8746	1.559	1.712	3.262	0.04415	1.471	3.573	2.177	1.599	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax saidenbachensis"	"S"	1484693	8575	379	805	3343	2518	37	3233	6584	124	2803	8575	3637	8	4.205	2.373	4.205	1.259	0.647	1.559	1.306	2.367	0.03076	1.047	2.351	1.466	1.421	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax antarcticus"	"S"	81479	4171	127	310	1490	983	10	1331	2672	43	1168	4171	1746	5	1.619	0.7952	1.619	0.5611	0.2526	0.4212	0.5379	0.9606	0.01067	0.4362	1.144	0.7035	0.8881	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	2317	73	188	846	646	5	700	1506	23	752	2317	923	2	0.9819	0.4571	0.9819	0.3186	0.166	0.2106	0.2829	0.5414	0.005705	0.2808	0.6352	0.3719	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Acidovorax"	"G"	12916	19560	530	865	5576	3062	46	3535	6806	175	3858	19560	5022	8	5.363	3.319	4.518	2.1	0.7868	1.938	1.429	2.447	0.0434	1.441	5.363	2.024	1.421	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	7390	187	275	1939	939	13	1124	2143	58	1304	7390	1679	3	2.026	1.171	1.436	0.7302	0.2413	0.5476	0.4542	0.7705	0.01439	0.487	2.026	0.6765	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. RAC01"	"S"	1842533	2239	69	150	739	494	8	593	1265	23	607	2239	763	NA	0.7835	0.4321	0.7835	0.2783	0.1269	0.337	0.2396	0.4548	0.005705	0.2267	0.6139	0.3074	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. T1"	"S"	1858609	2915	59	49	685	303	2	340	692	22	367	2915	551	2	0.7992	0.3694	0.2559	0.258	0.07785	0.08425	0.1374	0.2488	0.005457	0.1371	0.7992	0.222	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	1189	56	92	453	322	2	375	690	19	399	1189	464	1	0.4805	0.3507	0.4805	0.1706	0.08274	0.08425	0.1515	0.2481	0.004712	0.149	0.326	0.187	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. 1608163"	"S"	2478662	594	13	41	148	128	6	114	251	4	135	594	181	NA	0.2527	0.0814	0.2141	0.05574	0.03289	0.2527	0.04607	0.09024	0.0009921	0.05042	0.1629	0.07293	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	19	1	1	14	9	NA	5	3	NA	2	19	7	NA	0.006262	0.006262	0.005223	0.005272	0.002313	NA	0.002021	0.001079	NA	0.0007469	0.005209	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	19	1	1	14	9	NA	5	3	NA	2	19	7	NA	0.006262	0.006262	0.005223	0.005272	0.002313	NA	0.002021	0.001079	NA	0.0007469	0.005209	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	19	1	1	14	9	NA	5	3	NA	2	19	7	NA	0.006262	0.006262	0.005223	0.005272	0.002313	NA	0.002021	0.001079	NA	0.0007469	0.005209	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
"Variovorax"	"G"	34072	9770	335	751	3581	2529	33	3128	5984	122	3277	9770	3765	7	3.922	2.098	3.922	1.349	0.6498	1.39	1.264	2.151	0.03026	1.224	2.679	1.517	1.243	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	2424	86	170	809	621	8	795	1443	19	773	2424	937	2	0.8879	0.5385	0.8879	0.3047	0.1596	0.337	0.3213	0.5188	0.004712	0.2887	0.6646	0.3776	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	2224	70	151	949	595	15	686	1379	26	772	2224	876	1	0.7887	0.4383	0.7887	0.3574	0.1529	0.6318	0.2772	0.4958	0.006449	0.2883	0.6097	0.353	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	714	29	69	278	195	3	225	490	16	247	714	299	1	0.3604	0.1816	0.3604	0.1047	0.0501	0.1264	0.09092	0.1762	0.003968	0.09224	0.1958	0.1205	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus EPS"	"-"	595537	322	12	30	117	74	2	92	218	9	115	322	151	1	0.1776	0.07514	0.1567	0.04406	0.01901	0.08425	0.03718	0.07838	0.002232	0.04295	0.08828	0.06084	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax paradoxus S110"	"-"	543728	31	1	2	10	4	NA	6	17	NA	7	31	11	NA	0.01045	0.006262	0.01045	0.003766	0.001028	NA	0.002425	0.006112	NA	0.002614	0.008499	0.004432	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax paradoxus B4"	"-"	1246301	21	1	4	16	12	1	9	14	NA	6	21	13	NA	0.04212	0.006262	0.02089	0.006026	0.003083	0.04212	0.003637	0.005033	NA	0.002241	0.005757	0.005238	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax sp. PMC12"	"S"	2126319	174	7	9	81	31	NA	45	63	2	42	174	57	NA	0.0477	0.04383	0.04701	0.0305	0.007965	NA	0.01818	0.02265	0.000496	0.01568	0.0477	0.02297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Hydrogenophaga"	"G"	47420	7945	264	482	1996	1915	22	2080	3590	71	2217	7945	2714	5	2.517	1.653	2.517	0.7517	0.4921	0.9267	0.8406	1.291	0.01761	0.8279	2.178	1.094	0.8881	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga crassostreae"	"S"	1763535	3206	117	205	735	793	8	902	1577	26	935	3206	1110	3	1.071	0.7326	1.071	0.2768	0.2038	0.337	0.3645	0.567	0.006449	0.3492	0.879	0.4473	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	3736	112	220	981	871	9	958	1649	38	1037	3736	1248	2	1.149	0.7013	1.149	0.3694	0.2238	0.3791	0.3871	0.5929	0.009425	0.3873	1.024	0.5029	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. PBC"	"S"	795665	884	32	50	248	220	5	193	320	6	213	884	305	NA	0.2612	0.2004	0.2612	0.0934	0.05653	0.2106	0.07799	0.115	0.001488	0.07954	0.2424	0.1229	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Polaromonas"	"G"	52972	9307	262	577	2657	3568	19	3001	6316	106	3737	9307	3810	7	3.014	1.641	3.014	1.001	0.9168	0.8003	1.213	2.271	0.02629	1.396	2.552	1.535	1.243	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas sp. JS666"	"S"	296591	4217	120	249	1234	1751	5	1445	3054	63	1768	4217	1773	4	1.301	0.7514	1.301	0.4647	0.4499	0.2106	0.5839	1.098	0.01563	0.6603	1.156	0.7144	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. SP1"	"S"	2268087	2504	75	152	778	1087	6	856	1802	25	1212	2504	1145	3	0.7939	0.4696	0.7939	0.293	0.2793	0.2527	0.3459	0.6479	0.006201	0.4526	0.6865	0.4614	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans"	"S"	216465	2208	55	144	515	581	6	564	1217	15	593	2208	722	NA	0.7521	0.3444	0.7521	0.1939	0.1493	0.2527	0.2279	0.4375	0.00372	0.2215	0.6054	0.2909	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	2208	55	144	515	581	6	564	1217	15	593	2208	722	NA	0.7521	0.3444	0.7521	0.1939	0.1493	0.2527	0.2279	0.4375	0.00372	0.2215	0.6054	0.2909	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Serpentinomonas"	"G"	2490452	3357	119	164	564	689	6	951	1310	30	902	3357	1017	NA	0.9204	0.7451	0.8566	0.2124	0.177	0.2527	0.3843	0.471	0.007441	0.3369	0.9204	0.4098	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	2598	72	119	420	507	5	701	974	23	679	2598	795	NA	0.7123	0.4508	0.6215	0.1582	0.1303	0.2106	0.2833	0.3502	0.005705	0.2536	0.7123	0.3203	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	241	14	8	30	59	1	94	123	1	65	241	77	NA	0.08766	0.08766	0.04178	0.0113	0.01516	0.04212	0.03799	0.04422	0.000248	0.02427	0.06607	0.03103	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Simplicispira"	"G"	352450	2943	112	136	2169	559	4	662	952	21	562	2943	771	4	0.8168	0.7013	0.7103	0.8168	0.1436	0.1685	0.2675	0.3423	0.005209	0.2099	0.8069	0.3107	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	2943	112	136	2169	559	4	662	952	21	562	2943	771	4	0.8168	0.7013	0.7103	0.8168	0.1436	0.1685	0.2675	0.3423	0.005209	0.2099	0.8069	0.3107	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Comamonas"	"G"	283	2921	105	210	952	723	14	801	1418	31	915	2921	1054	2	1.097	0.6575	1.097	0.3585	0.1858	0.5897	0.3237	0.5098	0.007689	0.3417	0.8008	0.4247	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas kerstersii"	"S"	225992	534	26	42	206	156	4	139	236	2	153	534	200	NA	0.2194	0.1628	0.2194	0.07758	0.04008	0.1685	0.05617	0.08485	0.000496	0.05714	0.1464	0.08059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	630	22	46	229	161	2	222	367	8	261	630	284	NA	0.2403	0.1378	0.2403	0.08624	0.04137	0.08425	0.08971	0.1319	0.001984	0.09747	0.1727	0.1144	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni"	"S"	285	54	1	3	21	16	NA	8	15	1	15	54	25	NA	0.01567	0.006262	0.01567	0.007909	0.004111	NA	0.003233	0.005393	0.000248	0.005602	0.0148	0.01007	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni TK102"	"-"	1392005	54	1	3	21	16	NA	8	15	1	15	54	25	NA	0.01567	0.006262	0.01567	0.007909	0.004111	NA	0.003233	0.005393	0.000248	0.005602	0.0148	0.01007	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>Comamonas&nbsp;testosteroni"
"Ottowia"	"G"	219181	1449	64	96	529	427	6	513	827	13	553	1449	584	2	0.5014	0.4008	0.5014	0.1992	0.1097	0.2527	0.2073	0.2973	0.003224	0.2065	0.3973	0.2353	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia oryzae"	"S"	2109914	857	35	61	304	252	4	324	556	8	367	857	381	2	0.3552	0.2192	0.3186	0.1145	0.06475	0.1685	0.1309	0.1999	0.001984	0.1371	0.235	0.1535	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. oral taxon 894"	"S"	1658672	588	29	35	225	175	2	189	271	5	186	588	203	NA	0.1828	0.1816	0.1828	0.08473	0.04497	0.08425	0.07638	0.09743	0.00124	0.06946	0.1612	0.0818	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ramlibacter"	"G"	174951	1235	44	80	464	368	3	405	668	19	415	1235	481	2	0.4178	0.2755	0.4178	0.1747	0.09456	0.1264	0.1637	0.2402	0.004712	0.155	0.3386	0.1938	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	1235	44	80	464	368	3	405	668	19	415	1235	481	2	0.4178	0.2755	0.4178	0.1747	0.09456	0.1264	0.1637	0.2402	0.004712	0.155	0.3386	0.1938	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ramlibacter tataouinensis TTB310"	"-"	365046	462	22	28	177	156	2	173	267	8	170	462	203	2	0.3552	0.1378	0.1462	0.06666	0.04008	0.08425	0.06991	0.09599	0.001984	0.06349	0.1267	0.0818	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter>Ramlibacter&nbsp;tataouinensis"
"Delftia"	"G"	80865	995	36	91	308	254	4	279	538	14	309	995	365	NA	0.4753	0.2254	0.4753	0.116	0.06526	0.1685	0.1127	0.1934	0.003472	0.1154	0.2728	0.1471	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia acidovorans"	"S"	80866	137	7	16	38	32	1	43	90	3	42	137	48	NA	0.08357	0.04383	0.08357	0.01431	0.008222	0.04212	0.01738	0.03236	0.0007441	0.01568	0.03756	0.01934	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia acidovorans SPH-1"	"-"	398578	137	7	16	38	32	1	43	90	3	42	137	48	NA	0.08357	0.04383	0.08357	0.01431	0.008222	0.04212	0.01738	0.03236	0.0007441	0.01568	0.03756	0.01934	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia>Delftia&nbsp;acidovorans"
"Delftia sp. Cs1-4"	"S"	742013	164	7	10	43	30	1	37	64	3	49	164	56	NA	0.05223	0.04383	0.05223	0.01619	0.007708	0.04212	0.01495	0.02301	0.0007441	0.0183	0.04496	0.02256	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	85	4	7	22	20	NA	34	50	NA	25	85	41	NA	0.03656	0.02505	0.03656	0.008285	0.005139	NA	0.01374	0.01798	NA	0.009336	0.0233	0.01652	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Verminephrobacter"	"G"	364316	442	13	30	366	128	1	134	213	6	129	442	150	NA	0.1567	0.0814	0.1567	0.1378	0.03289	0.04212	0.05415	0.07658	0.001488	0.04817	0.1212	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	442	13	30	366	128	1	134	213	6	129	442	150	NA	0.1567	0.0814	0.1567	0.1378	0.03289	0.04212	0.05415	0.07658	0.001488	0.04817	0.1212	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Verminephrobacter eiseniae EF01-2"	"-"	391735	442	13	30	366	128	1	134	213	6	129	442	150	NA	0.1567	0.0814	0.1567	0.1378	0.03289	0.04212	0.05415	0.07658	0.001488	0.04817	0.1212	0.06044	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>Verminephrobacter&nbsp;eiseniae"
"Melaminivora"	"G"	1649468	297	13	21	138	89	NA	71	114	1	85	297	92	2	0.3552	0.0814	0.1097	0.05197	0.02287	NA	0.02869	0.04099	0.000248	0.03174	0.08143	0.03707	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	176	8	17	77	53	NA	34	68	NA	49	176	58	2	0.3552	0.05009	0.08879	0.029	0.01362	NA	0.01374	0.02445	NA	0.0183	0.04825	0.02337	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	101	4	3	49	28	NA	33	42	1	25	101	29	NA	0.02769	0.02505	0.01567	0.01845	0.007194	NA	0.01334	0.0151	0.000248	0.009336	0.02769	0.01169	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Candidatus Symbiobacter"	"G"	1436289	266	7	20	92	87	2	88	168	3	87	266	122	NA	0.1045	0.04383	0.1045	0.03465	0.02235	0.08425	0.03556	0.0604	0.0007441	0.03249	0.07293	0.04916	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	266	7	20	92	87	2	88	168	3	87	266	122	NA	0.1045	0.04383	0.1045	0.03465	0.02235	0.08425	0.03556	0.0604	0.0007441	0.03249	0.07293	0.04916	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Candidatus Symbiobacter mobilis CR"	"-"	946483	266	7	20	92	87	2	88	168	3	87	266	122	NA	0.1045	0.04383	0.1045	0.03465	0.02235	0.08425	0.03556	0.0604	0.0007441	0.03249	0.07293	0.04916	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter>Candidatus&nbsp;Symbiobacter&nbsp;mobilis"
"Alicycliphilus"	"G"	201096	210	6	12	94	43	NA	49	68	1	38	210	50	2	0.3552	0.03757	0.06268	0.0354	0.01105	NA	0.0198	0.02445	0.000248	0.01419	0.05757	0.02015	0.3552	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
