"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Betaproteobacteria"	"C"	28216	1278	47	61	630	678	1	374	527	50	366	1278	479	NA	0.369	0.3078	0.3401	0.2489	0.1818	0.08237	0.1588	0.2007	0.01293	0.1385	0.369	0.208	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	741	28	32	428	376	1	230	344	16	228	741	317	NA	0.2139	0.1834	0.1784	0.1691	0.1008	0.08237	0.09767	0.131	0.004138	0.08628	0.2139	0.1376	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Oxalobacteraceae"	"F"	75682	189	7	9	73	114	NA	81	107	3	93	189	119	NA	0.05457	0.04584	0.05018	0.02884	0.03056	NA	0.0344	0.04074	0.000776	0.03519	0.05457	0.05167	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Herbaspirillum"	"G"	963	131	5	6	50	87	NA	66	68	NA	71	131	90	NA	0.03908	0.03275	0.03345	0.01975	0.02332	NA	0.02803	0.02589	NA	0.02687	0.03782	0.03908	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"environmental samples"	"-"	75669	122	4	6	42	79	NA	61	64	NA	62	122	84	NA	0.03647	0.0262	0.03345	0.01659	0.02118	NA	0.0259	0.02437	NA	0.02346	0.03522	0.03647	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"uncultured Herbaspirillum sp."	"S"	160236	122	4	6	42	79	NA	61	64	NA	62	122	84	NA	0.03647	0.0262	0.03345	0.01659	0.02118	NA	0.0259	0.02437	NA	0.02346	0.03522	0.03647	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum>environmental&nbsp;samples"
"Herbaspirillum sp. B601"	"S"	321700	5	1	NA	2	3	NA	3	2	NA	2	5	3	NA	0.006549	0.006549	NA	0.0007901	0.0008043	NA	0.001274	0.0007616	NA	0.0007568	0.001444	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Oxalobacter"	"G"	846	1	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	0.006549	0.006549	NA	NA	0.0002681	NA	NA	NA	NA	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Oxalobacter sp. P-154"	"S"	413566	1	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	0.006549	0.006549	NA	NA	0.0002681	NA	NA	NA	NA	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Oxalobacter"
"unclassified Oxalobacteraceae"	"-"	119059	20	1	NA	9	4	NA	3	11	NA	4	20	8	NA	0.006549	0.006549	NA	0.003556	0.001072	NA	0.001274	0.004189	NA	0.001514	0.005774	0.003474	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Aquaspirillum arcticum"	"S"	87645	20	1	NA	9	4	NA	3	11	NA	4	20	8	NA	0.006549	0.006549	NA	0.003556	0.001072	NA	0.001274	0.004189	NA	0.001514	0.005774	0.003474	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>unclassified&nbsp;Oxalobacteraceae"
"Burkholderiaceae"	"F"	119060	255	7	10	174	88	NA	61	92	4	47	255	72	NA	0.07362	0.04584	0.05575	0.06874	0.02359	NA	0.0259	0.03503	0.001035	0.01779	0.07362	0.03126	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderia"	"G"	32008	212	4	5	111	71	NA	47	68	4	33	212	61	NA	0.06121	0.0262	0.02788	0.04385	0.01903	NA	0.01996	0.02589	0.001035	0.01249	0.06121	0.02649	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Burkholderia sp. A110B2"	"S"	1502832	132	3	1	58	41	NA	24	32	NA	14	132	38	NA	0.03811	0.01965	0.005575	0.02291	0.01099	NA	0.01019	0.01219	NA	0.005298	0.03811	0.0165	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"environmental samples"	"-"	77118	4	1	NA	3	2	NA	1	3	NA	2	4	NA	NA	0.006549	0.006549	NA	0.001185	0.0005362	NA	0.0004247	0.001142	NA	0.0007568	0.001155	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"uncultured Burkholderia sp."	"S"	188058	3	1	NA	3	2	NA	NA	3	NA	1	2	NA	NA	0.006549	0.006549	NA	0.001185	0.0005362	NA	NA	0.001142	NA	0.0003784	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>environmental&nbsp;samples"
"Pandoraea"	"G"	93217	11	1	1	6	4	NA	4	5	NA	1	11	5	NA	0.006549	0.006549	0.005575	0.00237	0.001072	NA	0.001699	0.001904	NA	0.0003784	0.003176	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Pandoraea sp. KBA2RM2"	"S"	474406	11	1	1	6	4	NA	4	5	NA	1	11	5	NA	0.006549	0.006549	0.005575	0.00237	0.001072	NA	0.001699	0.001904	NA	0.0003784	0.003176	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Pandoraea"
"Comamonadaceae"	"F"	80864	110	5	3	79	62	1	31	49	3	23	110	35	NA	0.08237	0.03275	0.01673	0.03121	0.01662	0.08237	0.01316	0.01866	0.000776	0.008703	0.03176	0.0152	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Acidovorax"	"G"	12916	9	2	NA	4	2	NA	2	6	NA	2	9	2	NA	0.0131	0.0131	NA	0.00158	0.0005362	NA	0.0008493	0.002285	NA	0.0007568	0.002599	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	158750	6	2	NA	3	1	NA	2	3	NA	NA	6	NA	NA	0.0131	0.0131	NA	0.001185	0.0002681	NA	0.0008493	0.001142	NA	NA	0.001732	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"uncultured Acidovorax sp."	"S"	158751	6	2	NA	3	1	NA	2	3	NA	NA	6	NA	NA	0.0131	0.0131	NA	0.001185	0.0002681	NA	0.0008493	0.001142	NA	NA	0.001732	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>environmental&nbsp;samples"
"Curvibacter"	"G"	281915	9	1	1	2	9	NA	2	4	NA	1	5	3	NA	0.006549	0.006549	0.005575	0.0007901	0.002413	NA	0.0008493	0.001523	NA	0.0003784	0.001444	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	326293	9	1	1	2	9	NA	2	4	NA	1	5	3	NA	0.006549	0.006549	0.005575	0.0007901	0.002413	NA	0.0008493	0.001523	NA	0.0003784	0.001444	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"uncultured Curvibacter sp."	"S"	326294	9	1	1	2	9	NA	2	4	NA	1	5	3	NA	0.006549	0.006549	0.005575	0.0007901	0.002413	NA	0.0008493	0.001523	NA	0.0003784	0.001444	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter>environmental&nbsp;samples"
"Simplicispira"	"G"	352450	3	1	NA	1	NA	NA	3	1	NA	1	2	1	NA	0.006549	0.006549	NA	0.0003951	NA	NA	0.001274	0.0003808	NA	0.0003784	0.0005774	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira sp. b29"	"S"	503959	2	1	NA	1	NA	NA	2	1	NA	1	2	NA	NA	0.006549	0.006549	NA	0.0003951	NA	NA	0.0008493	0.0003808	NA	0.0003784	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"environmental samples"	"-"	208545	16	3	NA	16	1	NA	1	4	NA	7	6	NA	NA	0.01965	0.01965	NA	0.006321	0.0002681	NA	0.0004247	0.001523	NA	0.002649	0.001732	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"uncultured Burkholderiales bacterium"	"S"	208544	16	3	NA	16	1	NA	1	4	NA	7	6	NA	NA	0.01965	0.01965	NA	0.006321	0.0002681	NA	0.0004247	0.001523	NA	0.002649	0.001732	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>environmental&nbsp;samples"
"Alcaligenaceae"	"F"	506	95	1	6	49	58	NA	26	40	5	23	95	28	NA	0.03345	0.006549	0.03345	0.01936	0.01555	NA	0.01104	0.01523	0.001293	0.008703	0.02743	0.01216	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Achromobacter"	"G"	222	47	1	3	23	28	NA	15	19	2	12	47	12	NA	0.01673	0.006549	0.01673	0.009087	0.007506	NA	0.00637	0.007235	0.0005173	0.004541	0.01357	0.005211	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae"
"Achromobacter sp. PYD-5"	"S"	551300	4	1	NA	NA	NA	NA	4	3	NA	2	2	NA	NA	0.006549	0.006549	NA	NA	NA	NA	0.001699	0.001142	NA	0.0007568	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"environmental samples"	"-"	47926	217	10	6	61	150	NA	59	71	22	56	217	51	NA	0.06549	0.06549	0.03345	0.0241	0.04021	NA	0.02505	0.02704	0.00569	0.02119	0.06265	0.02215	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"uncultured beta proteobacterium"	"S"	86027	214	9	6	61	150	NA	57	65	22	52	214	51	NA	0.06179	0.05894	0.03345	0.0241	0.04021	NA	0.02421	0.02475	0.00569	0.01968	0.06179	0.02215	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured bacterium SJA-155"	"S"	78977	3	1	NA	NA	NA	NA	1	3	NA	2	1	NA	NA	0.006549	0.006549	NA	NA	NA	NA	0.0004247	0.001142	NA	0.0007568	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"Nitrosomonadales"	"O"	32003	9	1	1	4	2	NA	1	4	1	2	9	5	NA	0.006549	0.006549	0.005575	0.00158	0.0005362	NA	0.0004247	0.001523	0.0002587	0.0007568	0.002599	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Nitrosomonadaceae"	"F"	206379	5	1	1	3	1	NA	1	3	NA	1	5	5	NA	0.006549	0.006549	0.005575	0.001185	0.0002681	NA	0.0004247	0.001142	NA	0.0003784	0.001444	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales"
"environmental samples"	"-"	47949	3	1	1	2	1	NA	NA	NA	NA	NA	NA	3	NA	0.006549	0.006549	0.005575	0.0007901	0.0002681	NA	NA	NA	NA	NA	NA	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae"
"uncultured Nitrosomonadaceae bacterium"	"S"	207829	3	1	1	2	NA	NA	NA	NA	NA	NA	NA	3	NA	0.006549	0.006549	0.005575	0.0007901	NA	NA	NA	NA	NA	NA	NA	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae>environmental&nbsp;samples"
"unclassified Betaproteobacteria"	"-"	119066	7	1	1	5	7	NA	4	2	NA	NA	7	7	NA	0.006549	0.006549	0.005575	0.001975	0.001877	NA	0.001699	0.0007616	NA	NA	0.002021	0.00304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"unclassified Betaproteobacteria (miscellaneous)"	"-"	33809	7	1	1	5	7	NA	4	2	NA	NA	7	7	NA	0.006549	0.006549	0.005575	0.001975	0.001877	NA	0.001699	0.0007616	NA	NA	0.002021	0.00304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria"
"beta proteobacterium TW2"	"S"	194431	5	1	NA	3	5	NA	3	1	NA	NA	4	4	NA	0.006549	0.006549	NA	0.001185	0.00134	NA	0.001274	0.0003808	NA	NA	0.001155	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>unclassified&nbsp;Betaproteobacteria&nbsp;(miscellaneous)"
"Gammaproteobacteria"	"C"	1236	5419	25	21	335	664	3	172	243	5419	160	464	206	2	1.402	0.1637	0.1171	0.1323	0.178	0.2471	0.07304	0.09253	1.402	0.06055	0.134	0.08945	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Pseudomonadales"	"O"	72274	110	5	NA	61	110	NA	38	34	99	28	65	30	NA	0.03275	0.03275	NA	0.0241	0.02949	NA	0.01614	0.01295	0.02561	0.0106	0.01877	0.01303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudomonadaceae"	"F"	135621	97	3	NA	50	97	NA	30	26	89	26	55	26	NA	0.026	0.01965	NA	0.01975	0.026	NA	0.01274	0.009901	0.02302	0.009839	0.01588	0.01129	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Pseudomonas"	"G"	286	95	3	NA	49	95	NA	30	26	88	26	54	26	NA	0.02547	0.01965	NA	0.01936	0.02547	NA	0.01274	0.009901	0.02276	0.009839	0.01559	0.01129	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Pseudomonas sp."	"S"	306	3	1	NA	2	2	NA	2	1	3	1	1	NA	NA	0.006549	0.006549	NA	0.0007901	0.0005362	NA	0.0008493	0.0003808	0.000776	0.0003784	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"environmental samples"	"-"	62104	10	1	NA	9	10	NA	5	6	3	2	9	NA	NA	0.006549	0.006549	NA	0.003556	0.002681	NA	0.002123	0.002285	0.000776	0.0007568	0.002599	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"uncultured Pseudomonas sp."	"S"	114707	10	1	NA	9	10	NA	5	6	3	2	9	NA	NA	0.006549	0.006549	NA	0.003556	0.002681	NA	0.002123	0.002285	0.000776	0.0007568	0.002599	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>environmental&nbsp;samples"
"Pseudomonas sp. 4-40"	"S"	697434	3	1	NA	NA	1	NA	NA	NA	NA	NA	3	1	NA	0.006549	0.006549	NA	NA	0.0002681	NA	NA	NA	NA	NA	0.0008662	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Moraxellaceae"	"F"	468	13	2	NA	11	13	NA	8	8	10	2	10	4	NA	0.0131	0.0131	NA	0.004346	0.003485	NA	0.003397	0.003046	0.002587	0.0007568	0.002887	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Acinetobacter"	"G"	469	11	2	NA	5	11	NA	8	6	5	1	8	3	NA	0.0131	0.0131	NA	0.001975	0.002949	NA	0.003397	0.002285	0.001293	0.0003784	0.00231	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"environmental samples"	"-"	75661	1	1	NA	1	1	NA	1	1	1	NA	1	1	NA	0.006549	0.006549	NA	0.0003951	0.0002681	NA	0.0004247	0.0003808	0.0002587	NA	0.0002887	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"uncultured Acinetobacter sp."	"S"	165433	1	1	NA	NA	1	NA	1	1	NA	NA	1	NA	NA	0.006549	0.006549	NA	NA	0.0002681	NA	0.0004247	0.0003808	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter>environmental&nbsp;samples"
"Acinetobacter sp. UIWRF0134"	"S"	1644156	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006549	0.006549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Enterobacterales"	"O"	91347	4294	4	11	76	109	1	67	94	4294	50	123	69	1	1.111	0.0262	0.06133	0.03003	0.02922	0.08237	0.02845	0.03579	1.111	0.01892	0.03551	0.02996	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Enterobacteriaceae"	"F"	543	1438	2	5	37	70	1	35	59	1438	23	83	36	1	0.3719	0.0131	0.02788	0.01462	0.01877	0.08237	0.01486	0.02247	0.3719	0.008703	0.02396	0.01563	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Enterobacter"	"G"	547	251	2	3	27	52	NA	26	45	251	18	63	24	NA	0.06492	0.0131	0.01673	0.01067	0.01394	NA	0.01104	0.01714	0.06492	0.006811	0.01819	0.01042	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Enterobacter cloacae complex"	"S"	354276	179	2	3	24	46	NA	26	44	179	17	63	23	NA	0.0463	0.0131	0.01673	0.009482	0.01233	NA	0.01104	0.01675	0.0463	0.006433	0.01819	0.009987	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Enterobacter ludwigii"	"S"	299767	120	2	3	23	45	NA	24	42	120	17	62	22	NA	0.03104	0.0131	0.01673	0.009087	0.01206	NA	0.01019	0.01599	0.03104	0.006433	0.0179	0.009553	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"environmental samples"	"-"	50423	57	2	2	33	56	NA	12	21	57	10	33	14	NA	0.01501	0.0131	0.01115	0.01304	0.01501	NA	0.005096	0.007997	0.01474	0.003784	0.009528	0.006079	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"uncultured gamma proteobacterium"	"S"	86473	57	2	2	33	56	NA	12	21	57	10	33	14	NA	0.01501	0.0131	0.01115	0.01304	0.01501	NA	0.005096	0.007997	0.01474	0.003784	0.009528	0.006079	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>environmental&nbsp;samples"
"Legionellales"	"O"	118969	49	2	NA	6	49	NA	6	3	3	1	8	4	NA	0.01314	0.0131	NA	0.00237	0.01314	NA	0.002548	0.001142	0.000776	0.0003784	0.00231	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	118968	43	1	NA	5	43	NA	6	3	1	1	7	2	NA	0.01153	0.006549	NA	0.001975	0.01153	NA	0.002548	0.001142	0.0002587	0.0003784	0.002021	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"environmental samples"	"-"	351056	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006549	0.006549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"uncultured Legionellales bacterium"	"S"	351057	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006549	0.006549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>environmental&nbsp;samples"
"Aeromonadales"	"O"	135624	17	1	NA	4	8	NA	3	4	17	3	4	4	NA	0.006549	0.006549	NA	0.00158	0.002145	NA	0.001274	0.001523	0.004397	0.001135	0.001155	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Aeromonadaceae"	"F"	84642	17	1	NA	4	8	NA	3	4	17	3	4	4	NA	0.006549	0.006549	NA	0.00158	0.002145	NA	0.001274	0.001523	0.004397	0.001135	0.001155	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
