"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"Oscillatoria PCC-6304"	"G"	25417	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Xenococcaceae"	"F"	25451	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Gloeocapsaceae"	"F"	25315	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Synechococcales"	"O"	25510	7	3	NA	2	NA	1	NA	NA	NA	NA	NA	7	NA	0.007839	0.001497	NA	0.001232	NA	0.0005199	NA	NA	NA	NA	NA	0.007839	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Cyanobiaceae"	"F"	25511	7	3	NA	1	NA	1	NA	NA	NA	NA	NA	7	NA	0.007839	0.001497	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.007839	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Cyanobium PCC-6307"	"G"	25512	6	2	NA	NA	NA	1	NA	NA	NA	NA	NA	6	NA	0.006719	0.0009982	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	0.006719	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Leptolyngbyales"	"O"	25243	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001497	0.001497	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001497	0.001497	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"uncultured"	"G"	25266	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001497	0.001497	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"SepB-3"	"O"	25509	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005599	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005599	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Oxyphotobacteria Incertae Sedis"	"O"	25462	14	1	NA	2	NA	3	NA	NA	NA	NA	NA	14	NA	0.01568	0.0004991	NA	0.001232	NA	0.00156	NA	NA	NA	NA	NA	0.01568	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Unknown Family"	"F"	25463	14	1	NA	2	NA	3	NA	NA	NA	NA	NA	14	NA	0.01568	0.0004991	NA	0.001232	NA	0.00156	NA	NA	NA	NA	NA	0.01568	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis"
"Calothrix KVSF5"	"G"	25467	12	1	NA	2	NA	3	NA	NA	NA	NA	NA	12	NA	0.01344	0.0004991	NA	0.001232	NA	0.00156	NA	NA	NA	NA	NA	0.01344	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Phormidesmiales"	"O"	25483	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidesmiaceae"	"F"	25492	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales"
"Phormidesmis ANT.LACV5.1"	"G"	25494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales>Phormidesmiaceae"
"Pseudanabaenales"	"O"	25499	28	1	NA	NA	NA	NA	NA	NA	1	NA	NA	28	NA	0.03136	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	0.03136	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Pseudanabaenaceae"	"F"	25500	28	1	NA	NA	NA	NA	NA	NA	1	NA	NA	28	NA	0.03136	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	0.03136	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Pseudanabaenales"
"Pseudanabaena PCC-7429"	"G"	25504	28	1	NA	NA	NA	NA	NA	NA	1	NA	NA	28	NA	0.03136	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	0.03136	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Pseudanabaenales>Pseudanabaenaceae"
"Melainabacteria"	"C"	1589	11	7	NA	8	NA	7	NA	NA	NA	NA	NA	11	NA	0.01232	0.003494	NA	0.004926	NA	0.003639	NA	NA	NA	NA	NA	0.01232	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	10	4	NA	5	NA	7	NA	NA	NA	NA	NA	10	NA	0.0112	0.001996	NA	0.003079	NA	0.003639	NA	NA	NA	NA	NA	0.0112	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	6	6	NA	2	NA	2	NA	NA	NA	NA	NA	3	NA	0.00336	0.002994	NA	0.001232	NA	0.00104	NA	NA	NA	NA	NA	0.00336	NA	"Bacteria>Cyanobacteria"
"Proteobacteria"	"P"	2375	107770	15784	1964	5888	13	68648	16	10	107773	17	3	47835	11	59.28	7.877	27.98	3.626	14.13	35.69	14.29	15.62	59.28	14.17	5.357	53.57	6.548	"Bacteria"
"Gammaproteobacteria"	"C"	3303	107690	8866	1146	3471	13	56705	11	5	107686	16	3	39447	11	59.24	4.425	16.32	2.137	14.13	29.48	9.821	7.812	59.24	13.33	5.357	44.18	6.548	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	54814	8224	1110	2994	6	54814	10	3	260	1	1	36837	7	41.25	4.104	15.81	1.844	6.522	28.5	8.929	4.688	0.143	0.8333	1.786	41.25	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	53261	7623	1075	2478	6	53261	10	3	238	1	1	34617	7	38.77	3.804	15.31	1.526	6.522	27.69	8.929	4.688	0.1309	0.8333	1.786	38.77	4.167	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Limnohabitans"	"G"	26410	11367	1387	254	365	2	11367	1	NA	42	NA	NA	6512	NA	7.293	0.6922	3.618	0.2248	2.174	5.909	0.8929	NA	0.0231	NA	NA	7.293	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	8526	1083	168	282	NA	8526	3	2	24	NA	NA	4658	NA	5.216	0.5405	2.393	0.1736	NA	4.432	2.679	3.125	0.0132	NA	NA	5.216	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	5688	747	123	220	1	5688	1	NA	17	NA	NA	3224	1	3.61	0.3728	1.752	0.1355	1.087	2.957	0.8929	NA	0.009352	NA	NA	3.61	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	2739	354	51	99	1	2739	NA	NA	8	NA	NA	1536	1	1.72	0.1767	0.7265	0.06096	1.087	1.424	NA	NA	0.004401	NA	NA	1.72	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	2432	328	49	113	NA	2432	NA	NA	10	NA	NA	1646	NA	1.843	0.1637	0.698	0.06958	NA	1.264	NA	NA	0.005501	NA	NA	1.843	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	1435	237	25	89	1	1435	NA	NA	7	NA	NA	950	NA	1.087	0.1183	0.3561	0.0548	1.087	0.746	NA	NA	0.003851	NA	NA	1.064	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	1058	211	14	111	1	1058	NA	NA	7	NA	NA	872	1	1.087	0.1053	0.1994	0.06835	1.087	0.55	NA	NA	0.003851	NA	NA	0.9765	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	1058	208	21	68	NA	1058	NA	NA	7	NA	NA	756	1	0.8466	0.1038	0.2991	0.04187	NA	0.55	NA	NA	0.003851	NA	NA	0.8466	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	1435	198	28	53	NA	1435	NA	NA	8	NA	NA	788	NA	0.8825	0.09882	0.3989	0.03264	NA	0.746	NA	NA	0.004401	NA	NA	0.8825	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	1461	197	26	67	NA	1461	NA	NA	1	NA	NA	918	NA	1.028	0.09832	0.3704	0.04126	NA	0.7595	NA	NA	0.0005501	NA	NA	1.028	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1410	183	30	52	NA	1410	1	NA	6	NA	NA	817	NA	0.9149	0.09133	0.4274	0.03202	NA	0.733	0.8929	NA	0.003301	NA	NA	0.9149	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	1854	168	20	77	NA	846	1	NA	9	NA	NA	1854	1	2.076	0.08384	0.2849	0.04741	NA	0.4398	0.8929	NA	0.004951	NA	NA	2.076	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	889	167	33	46	NA	889	1	NA	6	NA	1	645	1	1.786	0.08335	0.4701	0.02833	NA	0.4622	0.8929	NA	0.003301	NA	1.786	0.7223	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	880	165	11	75	NA	516	1	NA	10	NA	NA	880	NA	0.9855	0.08235	0.1567	0.04618	NA	0.2683	0.8929	NA	0.005501	NA	NA	0.9855	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	835	160	15	69	NA	835	NA	NA	7	NA	NA	762	1	0.8533	0.07985	0.2137	0.04249	NA	0.4341	NA	NA	0.003851	NA	NA	0.8533	0.5952	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	874	109	16	34	NA	874	NA	NA	6	NA	NA	456	NA	0.5107	0.0544	0.2279	0.02094	NA	0.4544	NA	NA	0.003301	NA	NA	0.5107	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	667	87	9	26	NA	667	NA	NA	4	NA	NA	376	NA	0.4211	0.04342	0.1282	0.01601	NA	0.3468	NA	NA	0.0022	NA	NA	0.4211	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	136	55	4	37	NA	136	NA	NA	4	NA	NA	70	NA	0.07839	0.02745	0.05698	0.02278	NA	0.0707	NA	NA	0.0022	NA	NA	0.07839	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	387	54	5	13	NA	387	NA	NA	1	NA	NA	229	NA	0.2565	0.02695	0.07123	0.008005	NA	0.2012	NA	NA	0.0005501	NA	NA	0.2565	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	395	49	10	16	NA	395	NA	NA	1	NA	NA	308	NA	0.3449	0.02445	0.1425	0.009852	NA	0.2053	NA	NA	0.0005501	NA	NA	0.3449	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	238	48	8	23	NA	238	NA	NA	NA	NA	NA	138	NA	0.1545	0.02396	0.114	0.01416	NA	0.1237	NA	NA	NA	NA	NA	0.1545	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	353	47	7	22	NA	353	NA	NA	3	NA	NA	243	NA	0.2721	0.02346	0.09972	0.01355	NA	0.1835	NA	NA	0.00165	NA	NA	0.2721	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	202	38	3	12	NA	202	NA	NA	1	NA	NA	148	NA	0.1657	0.01896	0.04274	0.007389	NA	0.105	NA	NA	0.0005501	NA	NA	0.1657	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	216	35	5	24	NA	216	NA	NA	NA	1	NA	204	NA	0.8333	0.01747	0.07123	0.01478	NA	0.1123	NA	NA	NA	0.8333	NA	0.2285	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	254	35	2	20	NA	142	NA	NA	2	NA	NA	254	NA	0.2844	0.01747	0.02849	0.01232	NA	0.07382	NA	NA	0.0011	NA	NA	0.2844	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	196	34	3	19	NA	196	NA	NA	4	NA	NA	130	NA	0.1456	0.01697	0.04274	0.0117	NA	0.1019	NA	NA	0.0022	NA	NA	0.1456	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	275	32	2	22	NA	275	NA	NA	3	NA	NA	167	NA	0.187	0.01597	0.02849	0.01355	NA	0.143	NA	NA	0.00165	NA	NA	0.187	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	106	32	3	7	NA	106	NA	NA	NA	NA	NA	70	NA	0.07839	0.01597	0.04274	0.00431	NA	0.05511	NA	NA	NA	NA	NA	0.07839	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	170	32	3	12	NA	170	NA	NA	NA	NA	NA	132	NA	0.1478	0.01597	0.04274	0.007389	NA	0.08838	NA	NA	NA	NA	NA	0.1478	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	252	31	5	11	NA	252	NA	NA	NA	NA	NA	169	NA	0.1893	0.01547	0.07123	0.006773	NA	0.131	NA	NA	NA	NA	NA	0.1893	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	99	25	NA	6	NA	99	NA	NA	NA	NA	NA	93	NA	0.1041	0.01248	NA	0.003695	NA	0.05147	NA	NA	NA	NA	NA	0.1041	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	170	25	2	12	NA	170	NA	NA	NA	NA	NA	154	NA	0.1725	0.01248	0.02849	0.007389	NA	0.08838	NA	NA	NA	NA	NA	0.1725	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	92	25	4	9	NA	92	NA	NA	NA	NA	NA	63	NA	0.07055	0.01248	0.05698	0.005542	NA	0.04783	NA	NA	NA	NA	NA	0.07055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	112	24	1	14	NA	104	NA	NA	NA	NA	NA	112	NA	0.1254	0.01198	0.01425	0.008621	NA	0.05407	NA	NA	NA	NA	NA	0.1254	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	182	19	2	5	NA	182	NA	NA	3	NA	NA	101	NA	0.1131	0.009482	0.02849	0.003079	NA	0.09462	NA	NA	0.00165	NA	NA	0.1131	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	93	18	2	7	NA	93	NA	NA	NA	NA	NA	71	NA	0.07951	0.008983	0.02849	0.00431	NA	0.04835	NA	NA	NA	NA	NA	0.07951	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	134	14	1	4	NA	134	NA	NA	NA	NA	NA	96	NA	0.1075	0.006987	0.01425	0.002463	NA	0.06966	NA	NA	NA	NA	NA	0.1075	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	40	13	NA	4	NA	40	NA	NA	NA	NA	NA	34	NA	0.03808	0.006488	NA	0.002463	NA	0.02079	NA	NA	NA	NA	NA	0.03808	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
