"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"iron-reducing bacterium enrichment culture clone FeC_1_D4"	"S"	631646	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Proteobacteria"	"P"	1224	2265	430	36	218	1	601	1	NA	2265	NA	511	NA	1.246	0.2146	0.5128	0.1342	1.087	0.3124	0.8929	NA	1.246	NA	0.5723	NA	"cellular&nbsp;organisms>Bacteria"
"Alphaproteobacteria"	"C"	28211	291	225	21	80	NA	291	NA	NA	42	NA	209	NA	0.2991	0.1123	0.2991	0.04926	NA	0.1513	NA	NA	0.0231	NA	0.2341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	204455	130	130	10	41	NA	117	NA	NA	2	NA	93	NA	0.1425	0.06488	0.1425	0.02525	NA	0.06083	NA	NA	0.0011	NA	0.1041	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	31989	129	129	10	38	NA	116	NA	NA	2	NA	91	NA	0.1425	0.06438	0.1425	0.0234	NA	0.06031	NA	NA	0.0011	NA	0.1019	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Sulfitobacter"	"G"	60136	13	8	NA	1	NA	10	NA	NA	NA	NA	13	NA	0.01456	0.003993	NA	0.0006158	NA	0.005199	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"environmental samples"	"-"	111737	13	8	NA	1	NA	10	NA	NA	NA	NA	13	NA	0.01456	0.003993	NA	0.0006158	NA	0.005199	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"uncultured Sulfitobacter sp."	"S"	191468	13	8	NA	1	NA	10	NA	NA	NA	NA	13	NA	0.01456	0.003993	NA	0.0006158	NA	0.005199	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter>environmental&nbsp;samples"
"Rhodobacter"	"G"	1060	8	6	NA	1	NA	8	NA	NA	1	NA	7	NA	0.007839	0.002994	NA	0.0006158	NA	0.004159	NA	NA	0.0005501	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"environmental samples"	"-"	126073	7	4	NA	1	NA	7	NA	NA	NA	NA	4	NA	0.004479	0.001996	NA	0.0006158	NA	0.003639	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"uncultured Rhodobacter sp."	"S"	204728	7	4	NA	1	NA	7	NA	NA	NA	NA	4	NA	0.004479	0.001996	NA	0.0006158	NA	0.003639	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter>environmental&nbsp;samples"
"Rhodobacter capsulatus"	"S"	1061	2	1	NA	NA	NA	NA	NA	NA	1	NA	2	NA	0.00224	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sphaeroides"	"S"	1063	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Roseobacter"	"G"	2433	2	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00224	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"environmental samples"	"-"	98187	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter"
"uncultured Roseobacter sp."	"S"	114847	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseobacter>environmental&nbsp;samples"
"environmental samples"	"-"	58841	2	2	1	1	NA	1	NA	NA	NA	NA	1	NA	0.01425	0.0009982	0.01425	0.0006158	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"uncultured Rhodobacteraceae bacterium"	"S"	157276	2	2	1	1	NA	1	NA	NA	NA	NA	1	NA	0.01425	0.0009982	0.01425	0.0006158	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>environmental&nbsp;samples"
"Paracoccus"	"G"	265	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus kondratievae"	"S"	135740	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Hyphomonadaceae"	"F"	69657	3	1	NA	3	NA	1	NA	NA	NA	NA	1	NA	0.001847	0.0004991	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Hyphomonas"	"G"	85	3	1	NA	3	NA	1	NA	NA	NA	NA	1	NA	0.001847	0.0004991	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae"
"Hyphomonas taiwanensis"	"S"	342464	3	1	NA	3	NA	1	NA	NA	NA	NA	1	NA	0.001847	0.0004991	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Hyphomonas"
"Rhizobiales"	"O"	356	42	17	2	13	NA	42	NA	NA	13	NA	33	NA	0.03696	0.008484	0.02849	0.008005	NA	0.02183	NA	NA	0.007151	NA	0.03696	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhizobiaceae"	"F"	82115	9	3	NA	6	NA	9	NA	NA	1	NA	3	NA	0.004679	0.001497	NA	0.003695	NA	0.004679	NA	NA	0.0005501	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Kaistia"	"G"	166953	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Kaistia sp."	"S"	1873500	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Kaistia"
"Rhizobium/Agrobacterium group"	"-"	227290	6	1	NA	4	NA	6	NA	NA	1	NA	2	NA	0.003119	0.0004991	NA	0.002463	NA	0.003119	NA	NA	0.0005501	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Rhizobium"	"G"	379	4	1	NA	4	NA	4	NA	NA	1	NA	1	NA	0.002463	0.0004991	NA	0.002463	NA	0.002079	NA	NA	0.0005501	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Rhizobium sp. Hue-4"	"S"	441611	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Sinorhizobium/Ensifer group"	"-"	227292	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Sinorhizobium"	"G"	28105	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group"
"Sinorhizobium sp. Gs656"	"S"	1777457	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Aurantimonadaceae"	"F"	255475	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Aurantimonas"	"G"	182269	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae"
"Aurantimonas sp. M71_W05x"	"S"	592912	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae>Aurantimonas"
"Aurantimonas coralicida"	"S"	182270	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae>Aurantimonas"
"Bradyrhizobiaceae"	"F"	41294	7	1	NA	2	NA	4	NA	NA	7	NA	7	NA	0.007839	0.0004991	NA	0.001232	NA	0.002079	NA	NA	0.003851	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Phyllobacteriaceae"	"F"	69277	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Mesorhizobium"	"G"	68287	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Mesorhizobium loti"	"S"	381	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Methylobacteriaceae"	"F"	119045	4	1	NA	3	NA	4	NA	NA	4	NA	2	NA	0.00224	0.0004991	NA	0.001847	NA	0.002079	NA	NA	0.0022	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Methylobacterium"	"G"	407	4	1	NA	3	NA	4	NA	NA	4	NA	2	NA	0.00224	0.0004991	NA	0.001847	NA	0.002079	NA	NA	0.0022	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae"
"Methylobacterium sp. MOB-10/DRDE-10/BT/ MAGS/PTN/TNVR"	"S"	1708791	2	1	NA	2	NA	1	NA	NA	2	NA	1	NA	0.001232	0.0004991	NA	0.001232	NA	0.0005199	NA	NA	0.0011	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae>Methylobacterium"
"Sphingomonadales"	"O"	204457	23	8	1	1	NA	23	NA	NA	7	NA	9	NA	0.01425	0.003993	0.01425	0.0006158	NA	0.01196	NA	NA	0.003851	NA	0.01008	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Sphingomonadaceae"	"F"	41297	21	6	1	1	NA	21	NA	NA	7	NA	9	NA	0.01425	0.002994	0.01425	0.0006158	NA	0.01092	NA	NA	0.003851	NA	0.01008	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Sphingomonas"	"G"	13687	14	5	1	1	NA	14	NA	NA	1	NA	7	NA	0.01425	0.002495	0.01425	0.0006158	NA	0.007278	NA	NA	0.0005501	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Novosphingobium"	"G"	165696	2	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Novosphingobium resinovorum"	"S"	158500	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Novosphingobium"
"Erythrobacteraceae"	"F"	335929	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Erythrobacter"	"G"	1041	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Erythrobacter sp. JAM-AL09"	"S"	685097	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter"
"Rhodospirillales"	"O"	204441	16	4	NA	3	NA	9	NA	NA	16	NA	8	NA	0.008959	0.001996	NA	0.001847	NA	0.004679	NA	NA	0.008801	NA	0.008959	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodospirillaceae"	"F"	41295	16	4	NA	2	NA	6	NA	NA	16	NA	7	NA	0.008801	0.001996	NA	0.001232	NA	0.003119	NA	NA	0.008801	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Azospirillum"	"G"	191	16	4	NA	NA	NA	6	NA	NA	16	NA	3	NA	0.008801	0.001996	NA	NA	NA	0.003119	NA	NA	0.008801	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Azospirillum brasilense"	"S"	192	4	4	NA	NA	NA	4	NA	NA	NA	NA	2	NA	0.00224	0.001996	NA	NA	NA	0.002079	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Azospirillum"
"environmental samples"	"-"	47925	6	3	NA	4	NA	6	NA	NA	2	NA	6	NA	0.006719	0.001497	NA	0.002463	NA	0.003119	NA	NA	0.0011	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured Alphaproteobacteria bacterium"	"S"	91750	5	3	NA	3	NA	5	NA	NA	2	NA	5	NA	0.005599	0.001497	NA	0.001847	NA	0.002599	NA	NA	0.0011	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"Rickettsiales"	"O"	766	2	2	1	1	NA	1	NA	NA	NA	NA	NA	NA	0.01425	0.0009982	0.01425	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Anaplasmataceae"	"F"	942	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.01425	0.0004991	0.01425	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Anaplasma"	"G"	768	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.01425	0.0004991	0.01425	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Anaplasma marginale"	"S"	770	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.01425	0.0004991	0.01425	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Anaplasma"
"Caulobacterales"	"O"	204458	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Caulobacteraceae"	"F"	76892	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"Brevundimonas"	"G"	41275	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Brevundimonas diminuta"	"S"	293	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae>Brevundimonas"
"Gammaproteobacteria"	"C"	1236	1617	69	4	64	1	91	1	NA	1617	NA	75	NA	1.087	0.03444	0.05698	0.03941	1.087	0.04731	0.8929	NA	0.8895	NA	0.08399	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Xanthomonadales"	"O"	135614	35	28	1	35	NA	25	NA	NA	30	NA	8	NA	0.02155	0.01397	0.01425	0.02155	NA	0.013	NA	NA	0.0165	NA	0.008959	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Xanthomonadaceae"	"F"	32033	30	23	NA	30	NA	18	NA	NA	22	NA	3	NA	0.01847	0.01148	NA	0.01847	NA	0.009358	NA	NA	0.0121	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"unclassified Xanthomonadaceae"	"-"	191676	29	23	NA	29	NA	17	NA	NA	19	NA	2	NA	0.01786	0.01148	NA	0.01786	NA	0.008838	NA	NA	0.01045	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"[Pseudomonas] geniculata"	"S"	86188	29	23	NA	29	NA	17	NA	NA	19	NA	2	NA	0.01786	0.01148	NA	0.01786	NA	0.008838	NA	NA	0.01045	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae>unclassified&nbsp;Xanthomonadaceae"
"Rhodanobacteraceae"	"F"	1775411	8	5	1	4	NA	6	NA	NA	8	NA	2	NA	0.01425	0.002495	0.01425	0.002463	NA	0.003119	NA	NA	0.004401	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Rhodanobacter"	"G"	75309	8	5	1	4	NA	4	NA	NA	8	NA	2	NA	0.01425	0.002495	0.01425	0.002463	NA	0.002079	NA	NA	0.004401	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Rhodanobacter sp. PON8"	"S"	650090	8	5	1	4	NA	4	NA	NA	8	NA	2	NA	0.01425	0.002495	0.01425	0.002463	NA	0.002079	NA	NA	0.004401	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae>Rhodanobacter"
