"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"Chroococcales"	"O"	1118	4875	4875	109	4178	NA	3251	NA	NA	4	NA	NA	223	NA	2.573	2.433	1.553	2.573	NA	1.69	NA	NA	0.0022	NA	NA	0.2497	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Microcystaceae"	"F"	1890449	1781	1781	38	1514	NA	1271	NA	NA	2	NA	NA	99	NA	0.9323	0.8889	0.5413	0.9323	NA	0.6608	NA	NA	0.0011	NA	NA	0.1109	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Microcystis"	"G"	1125	1781	1781	38	1514	NA	1271	NA	NA	2	NA	NA	99	NA	0.9323	0.8889	0.5413	0.9323	NA	0.6608	NA	NA	0.0011	NA	NA	0.1109	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae"
"Microcystis sp. MC19"	"S"	1967666	279	279	3	245	NA	191	NA	NA	1	NA	NA	18	NA	0.1509	0.1392	0.04274	0.1509	NA	0.0993	NA	NA	0.0005501	NA	NA	0.02016	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis aeruginosa"	"S"	1126	26	26	NA	20	NA	10	NA	NA	NA	NA	NA	1	NA	0.01298	0.01298	NA	0.01232	NA	0.005199	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis viridis"	"S"	44822	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis viridis NIES-102"	"-"	213615	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis>Microcystis&nbsp;viridis"
"Aphanothecaceae"	"F"	1890450	1407	1407	28	1207	NA	854	NA	NA	1	NA	NA	65	NA	0.7432	0.7022	0.3989	0.7432	NA	0.444	NA	NA	0.0005501	NA	NA	0.07279	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Candidatus Atelocyanobacterium"	"G"	1453359	1401	1401	28	1204	NA	853	NA	NA	1	NA	NA	65	NA	0.7414	0.6992	0.3989	0.7414	NA	0.4435	NA	NA	0.0005501	NA	NA	0.07279	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Candidatus Atelocyanobacterium thalassa"	"S"	713887	1401	1401	28	1204	NA	853	NA	NA	1	NA	NA	65	NA	0.7414	0.6992	0.3989	0.7414	NA	0.4435	NA	NA	0.0005501	NA	NA	0.07279	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium"
"Candidatus Atelocyanobacterium thalassa isolate ALOHA"	"-"	1453429	1401	1401	28	1204	NA	853	NA	NA	1	NA	NA	65	NA	0.7414	0.6992	0.3989	0.7414	NA	0.4435	NA	NA	0.0005501	NA	NA	0.07279	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium>Candidatus&nbsp;Atelocyanobacterium&nbsp;thalassa"
"Halothece cluster"	"-"	92682	6	6	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002994	0.002994	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Halothece"	"G"	76023	6	6	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002994	0.002994	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster"
"Halothece sp. PCC 7418"	"S"	65093	6	6	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002994	0.002994	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster>Halothece"
"Chroococcaceae"	"F"	1890464	1181	1181	29	996	NA	784	NA	NA	NA	NA	NA	42	NA	0.6133	0.5894	0.4131	0.6133	NA	0.4076	NA	NA	NA	NA	NA	0.04703	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Gloeocapsa"	"G"	102231	845	845	20	711	NA	568	NA	NA	NA	NA	NA	29	NA	0.4378	0.4217	0.2849	0.4378	NA	0.2953	NA	NA	NA	NA	NA	0.03248	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Gloeocapsa sp. PCC 7428"	"S"	1173026	845	845	20	711	NA	568	NA	NA	NA	NA	NA	29	NA	0.4378	0.4217	0.2849	0.4378	NA	0.2953	NA	NA	NA	NA	NA	0.03248	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsa"
"Chondrocystis"	"G"	268175	317	317	7	267	NA	201	NA	NA	NA	NA	NA	13	NA	0.1644	0.1582	0.09972	0.1644	NA	0.1045	NA	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Chondrocystis sp. NIES-4102"	"S"	2005460	317	317	7	267	NA	201	NA	NA	NA	NA	NA	13	NA	0.1644	0.1582	0.09972	0.1644	NA	0.1045	NA	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Chondrocystis"
"Geminocystis"	"G"	669357	19	19	2	17	NA	14	NA	NA	NA	NA	NA	NA	NA	0.02849	0.009482	0.02849	0.01047	NA	0.007278	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Geminocystis sp. NIES-3709"	"S"	1617448	16	16	2	16	NA	12	NA	NA	NA	NA	NA	NA	NA	0.02849	0.007985	0.02849	0.009852	NA	0.006238	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
