"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Rivularia sp. PCC 7116"	"S"	373994	31	31	1	19	NA	13	NA	NA	NA	NA	NA	NA	NA	0.01773	0.01594	0.01773	0.01534	NA	0.008117	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Rivularia"
"Microchaete"	"G"	188910	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000514	0.000514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Microchaete diplosiphon"	"S"	1197	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000514	0.000514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Microchaete"
"Aphanizomenonaceae"	"F"	1892259	30950	30950	733	27266	NA	16988	1	1	1	1	NA	956	NA	22.02	15.91	13	22.02	NA	10.61	0.9804	1.754	0.0005504	0.8929	NA	1.184	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Dolichospermum"	"G"	748770	30881	30881	731	27173	NA	16911	1	1	NA	1	NA	889	NA	21.94	15.87	12.96	21.94	NA	10.56	0.9804	1.754	NA	0.8929	NA	1.101	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Dolichospermum compactum"	"S"	136073	30881	30881	731	27173	NA	16911	1	1	NA	1	NA	889	NA	21.94	15.87	12.96	21.94	NA	10.56	0.9804	1.754	NA	0.8929	NA	1.101	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Dolichospermum"
"Nodularia"	"G"	159191	88	63	2	88	NA	70	NA	NA	1	NA	NA	67	NA	0.08295	0.03238	0.03546	0.07106	NA	0.04371	NA	NA	0.0005504	NA	NA	0.08295	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Nodularia spumigena"	"S"	70799	88	63	2	88	NA	70	NA	NA	1	NA	NA	67	NA	0.08295	0.03238	0.03546	0.07106	NA	0.04371	NA	NA	0.0005504	NA	NA	0.08295	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Nodularia"
"Raphidiopsis"	"G"	244599	6	5	NA	4	NA	6	NA	NA	NA	NA	NA	NA	NA	0.003746	0.00257	NA	0.00323	NA	0.003746	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Raphidiopsis curvata"	"S"	312883	6	5	NA	4	NA	6	NA	NA	NA	NA	NA	NA	NA	0.003746	0.00257	NA	0.00323	NA	0.003746	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Raphidiopsis"
"Scytonemataceae"	"F"	1182	713	713	18	614	NA	451	NA	NA	NA	NA	NA	42	NA	0.4958	0.3665	0.3191	0.4958	NA	0.2816	NA	NA	NA	NA	NA	0.052	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Scytonema"	"G"	1203	713	713	18	614	NA	451	NA	NA	NA	NA	NA	42	NA	0.4958	0.3665	0.3191	0.4958	NA	0.2816	NA	NA	NA	NA	NA	0.052	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae"
"Scytonema sp. HK-05"	"S"	1137095	632	632	18	569	NA	431	NA	NA	NA	NA	NA	42	NA	0.4595	0.3249	0.3191	0.4595	NA	0.2691	NA	NA	NA	NA	NA	0.052	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae>Scytonema"
"Scytonema sp. NIES-4073"	"S"	2005464	81	81	NA	45	NA	19	NA	NA	NA	NA	NA	NA	NA	0.04164	0.04164	NA	0.03634	NA	0.01186	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae>Scytonema"
"Nostocaceae"	"F"	1162	1352	1270	54	1352	NA	991	NA	NA	NA	NA	NA	212	NA	1.092	0.6528	0.9574	1.092	NA	0.6188	NA	NA	NA	NA	NA	0.2625	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Cylindrospermum"	"G"	56106	325	325	4	315	NA	244	NA	NA	NA	NA	NA	13	NA	0.2544	0.1671	0.07092	0.2544	NA	0.1524	NA	NA	NA	NA	NA	0.01609	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Cylindrospermum stagnale"	"S"	142864	325	325	4	315	NA	244	NA	NA	NA	NA	NA	13	NA	0.2544	0.1671	0.07092	0.2544	NA	0.1524	NA	NA	NA	NA	NA	0.01609	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Cylindrospermum"
"Anabaena"	"G"	1163	895	840	41	895	NA	663	NA	NA	NA	NA	NA	176	NA	0.727	0.4318	0.727	0.7227	NA	0.414	NA	NA	NA	NA	NA	0.2179	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Anabaena cylindrica"	"S"	1165	874	824	40	874	NA	645	NA	NA	NA	NA	NA	90	NA	0.7092	0.4236	0.7092	0.7057	NA	0.4027	NA	NA	NA	NA	NA	0.1114	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
