"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_april_BC01.cladeReads"	"centrifuge_classification_april_BC02.cladeReads"	"centrifuge_classification_april_BC03.cladeReads"	"centrifuge_classification_april_BC04.cladeReads"	"centrifuge_classification_april_BC05.cladeReads"	"centrifuge_classification_april_BC06.cladeReads"	"centrifuge_classification_april_BC07.cladeReads"	"centrifuge_classification_april_BC08.cladeReads"	"centrifuge_classification_april_BC09.cladeReads"	"centrifuge_classification_april_BC10.cladeReads"	"centrifuge_classification_april_BC11.cladeReads"	"centrifuge_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_classification_april_BC01.cladeReads.."	"centrifuge_classification_april_BC02.cladeReads.."	"centrifuge_classification_april_BC03.cladeReads.."	"centrifuge_classification_april_BC04.cladeReads.."	"centrifuge_classification_april_BC05.cladeReads.."	"centrifuge_classification_april_BC06.cladeReads.."	"centrifuge_classification_april_BC07.cladeReads.."	"centrifuge_classification_april_BC08.cladeReads.."	"centrifuge_classification_april_BC09.cladeReads.."	"centrifuge_classification_april_BC10.cladeReads.."	"centrifuge_classification_april_BC11.cladeReads.."	"centrifuge_classification_april_BC12.cladeReads.."	"lineage"
"Ketogulonicigenium vulgare"	"S"	92945	164	2	NA	17	164	NA	5	35	1	9	31	3	NA	0.04397	0.0131	NA	0.006716	0.04397	NA	0.002123	0.01333	0.0002587	0.003406	0.00895	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium robustum"	"S"	92947	432	1	1	60	432	NA	22	84	1	36	298	42	NA	0.1158	0.006549	0.005575	0.0237	0.1158	NA	0.009342	0.03199	0.0002587	0.01362	0.08604	0.01824	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"unclassified Rhodobacteraceae"	"-"	58840	531	3	1	467	531	2	26	76	NA	20	192	15	NA	0.1845	0.01965	0.005575	0.1845	0.1424	0.1647	0.01104	0.02894	NA	0.007568	0.05543	0.006513	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacteraceae bacterium QY30"	"S"	2033435	480	3	NA	442	480	2	24	66	NA	17	165	11	NA	0.1746	0.01965	NA	0.1746	0.1287	0.1647	0.01019	0.02513	NA	0.006433	0.04764	0.004776	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Sedimentitalea"	"G"	1541818	114	2	NA	36	114	NA	9	12	11	3	55	2	NA	0.03056	0.0131	NA	0.01422	0.03056	NA	0.003822	0.00457	0.002845	0.001135	0.01588	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sedimentitalea sp. W43"	"S"	2483033	114	2	NA	36	114	NA	9	12	11	3	55	2	NA	0.03056	0.0131	NA	0.01422	0.03056	NA	0.003822	0.00457	0.002845	0.001135	0.01588	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sedimentitalea"
"Octadecabacter"	"G"	53945	75	1	NA	18	75	NA	3	7	NA	2	23	3	NA	0.02011	0.006549	NA	0.007111	0.02011	NA	0.001274	0.002666	NA	0.0007568	0.006641	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Octadecabacter antarcticus"	"S"	1217908	49	1	NA	10	49	NA	3	4	NA	2	14	3	NA	0.01314	0.006549	NA	0.003951	0.01314	NA	0.001274	0.001523	NA	0.0007568	0.004042	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
"Octadecabacter antarcticus 307"	"-"	391626	49	1	NA	10	49	NA	3	4	NA	2	14	3	NA	0.01314	0.006549	NA	0.003951	0.01314	NA	0.001274	0.001523	NA	0.0007568	0.004042	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter>Octadecabacter&nbsp;antarcticus"
"Rhodobaca"	"G"	119541	80	1	NA	38	80	NA	4	19	NA	5	35	5	NA	0.02145	0.006549	NA	0.01501	0.02145	NA	0.001699	0.007235	NA	0.001892	0.01011	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobaca barguzinensis"	"S"	441209	80	1	NA	38	80	NA	4	19	NA	5	35	5	NA	0.02145	0.006549	NA	0.01501	0.02145	NA	0.001699	0.007235	NA	0.001892	0.01011	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobaca"
"Leisingera"	"G"	191028	22	1	NA	20	15	NA	2	5	NA	1	22	3	NA	0.007901	0.006549	NA	0.007901	0.004021	NA	0.0008493	0.001904	NA	0.0003784	0.006352	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Leisingera methylohalidivorans"	"S"	133924	20	1	NA	20	14	NA	1	5	NA	1	20	3	NA	0.007901	0.006549	NA	0.007901	0.003753	NA	0.0004247	0.001904	NA	0.0003784	0.005774	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Leisingera"
"Leisingera methylohalidivorans DSM 14336"	"-"	999552	20	1	NA	20	14	NA	1	5	NA	1	20	3	NA	0.007901	0.006549	NA	0.007901	0.003753	NA	0.0004247	0.001904	NA	0.0003784	0.005774	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Leisingera>Leisingera&nbsp;methylohalidivorans"
"Dinoroseobacter"	"G"	309512	156	1	2	31	156	NA	5	30	NA	14	66	7	NA	0.04182	0.006549	0.01115	0.01225	0.04182	NA	0.002123	0.01142	NA	0.005298	0.01906	0.00304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter shibae"	"S"	215813	156	1	2	31	156	NA	5	30	NA	14	66	7	NA	0.04182	0.006549	0.01115	0.01225	0.04182	NA	0.002123	0.01142	NA	0.005298	0.01906	0.00304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter"
"Dinoroseobacter shibae DFL 12 = DSM 16493"	"-"	398580	156	1	2	31	156	NA	5	30	NA	14	66	7	NA	0.04182	0.006549	0.01115	0.01225	0.04182	NA	0.002123	0.01142	NA	0.005298	0.01906	0.00304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter>Dinoroseobacter&nbsp;shibae"
"Pelagibaca"	"G"	360528	70	1	NA	14	70	NA	1	13	NA	1	20	NA	NA	0.01877	0.006549	NA	0.005531	0.01877	NA	0.0004247	0.00495	NA	0.0003784	0.005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pelagibaca abyssi"	"S"	1250539	70	1	NA	14	70	NA	1	13	NA	1	20	NA	NA	0.01877	0.006549	NA	0.005531	0.01877	NA	0.0004247	0.00495	NA	0.0003784	0.005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Pelagibaca"
"Hyphomonadaceae"	"F"	69657	323	2	1	110	323	NA	24	39	9	16	97	37	NA	0.08659	0.0131	0.005575	0.04346	0.08659	NA	0.01019	0.01485	0.002328	0.006055	0.02801	0.01607	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Maricaulis"	"G"	74317	34	2	NA	14	34	NA	3	10	NA	NA	16	NA	NA	0.0131	0.0131	NA	0.005531	0.009115	NA	0.001274	0.003808	NA	NA	0.00462	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae"
"Maricaulis maris"	"S"	74318	34	2	NA	14	34	NA	3	10	NA	NA	16	NA	NA	0.0131	0.0131	NA	0.005531	0.009115	NA	0.001274	0.003808	NA	NA	0.00462	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Maricaulis"
"Maricaulis maris MCS10"	"-"	394221	34	2	NA	14	34	NA	3	10	NA	NA	16	NA	NA	0.0131	0.0131	NA	0.005531	0.009115	NA	0.001274	0.003808	NA	NA	0.00462	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Maricaulis>Maricaulis&nbsp;maris"
"Rhizobiales"	"O"	356	22815	133	37	5162	22815	26	1172	2182	228	977	6880	721	3	6.116	0.871	0.2063	2.039	6.116	2.142	0.4977	0.8309	0.05897	0.3697	1.986	0.3131	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Hyphomicrobiaceae"	"F"	45401	5455	32	8	1606	5455	6	237	592	29	250	2178	147	2	1.462	0.2096	0.0446	0.6345	1.462	0.4942	0.1006	0.2254	0.007501	0.0946	0.6288	0.06383	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Devosia"	"G"	46913	2684	17	6	520	2684	4	104	315	4	155	959	93	2	0.7195	0.1113	0.03345	0.2054	0.7195	0.3295	0.04416	0.1199	0.001035	0.05865	0.2769	0.04038	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Devosia sp. I507"	"S"	2083786	588	6	1	83	588	NA	25	72	2	39	217	26	1	0.2584	0.0393	0.005575	0.03279	0.1576	NA	0.01062	0.02742	0.0005173	0.01476	0.06265	0.01129	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Devosia"
"Devosia sp. A16"	"S"	1736675	848	5	NA	240	848	4	33	94	1	38	303	23	NA	0.3295	0.03275	NA	0.09482	0.2273	0.3295	0.01401	0.03579	0.0002587	0.01438	0.08748	0.009987	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Devosia"
"Devosia sp. H5989"	"S"	1643450	393	3	NA	69	393	NA	21	41	NA	23	152	14	1	0.2584	0.01965	NA	0.02726	0.1054	NA	0.008918	0.01561	NA	0.008703	0.04389	0.006079	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Devosia"
"Devosia sp. 1566"	"S"	2499144	725	3	5	103	725	NA	22	88	1	52	241	26	NA	0.1944	0.01965	0.02788	0.04069	0.1944	NA	0.009342	0.03351	0.0002587	0.01968	0.06958	0.01129	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Devosia"
"Hyphomicrobium"	"G"	81	1554	8	NA	819	1554	NA	71	171	4	47	737	29	NA	0.4166	0.05239	NA	0.3236	0.4166	NA	0.03015	0.06512	0.001035	0.01779	0.2128	0.01259	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Hyphomicrobium denitrificans"	"S"	53399	423	5	NA	423	384	NA	24	40	1	17	170	10	NA	0.1671	0.03275	NA	0.1671	0.1029	NA	0.01019	0.01523	0.0002587	0.006433	0.04908	0.004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Hyphomicrobium"
"Hyphomicrobium denitrificans ATCC 51888"	"-"	582899	119	1	NA	119	36	NA	1	2	NA	1	3	NA	NA	0.04701	0.006549	NA	0.04701	0.009651	NA	0.0004247	0.0007616	NA	0.0003784	0.0008662	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Hyphomicrobium>Hyphomicrobium&nbsp;denitrificans"
"Hyphomicrobium denitrificans 1NES1"	"-"	670307	158	1	NA	158	91	NA	11	10	1	2	32	3	NA	0.06242	0.006549	NA	0.06242	0.0244	NA	0.004671	0.003808	0.0002587	0.0007568	0.009239	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Hyphomicrobium>Hyphomicrobium&nbsp;denitrificans"
"Hyphomicrobium nitrativorans"	"S"	1427356	724	2	NA	194	724	NA	29	77	3	19	354	11	NA	0.1941	0.0131	NA	0.07664	0.1941	NA	0.01232	0.02932	0.000776	0.00719	0.1022	0.004776	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Hyphomicrobium"
"Hyphomicrobium nitrativorans NL23"	"-"	1029756	724	2	NA	194	724	NA	29	77	3	19	354	11	NA	0.1941	0.0131	NA	0.07664	0.1941	NA	0.01232	0.02932	0.000776	0.00719	0.1022	0.004776	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Hyphomicrobium>Hyphomicrobium&nbsp;nitrativorans"
"Hyphomicrobium sp. MC1"	"S"	717785	352	1	NA	140	352	NA	14	33	NA	9	168	6	NA	0.09437	0.006549	NA	0.05531	0.09437	NA	0.005945	0.01257	NA	0.003406	0.04851	0.002605	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Hyphomicrobium"
"Filomicrobium"	"G"	119044	202	4	1	85	202	1	11	18	NA	5	92	2	NA	0.08237	0.0262	0.005575	0.03358	0.05415	0.08237	0.004671	0.006854	NA	0.001892	0.02656	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Candidatus Filomicrobium marinum"	"S"	1608628	202	4	1	85	202	1	11	18	NA	5	92	2	NA	0.08237	0.0262	0.005575	0.03358	0.05415	0.08237	0.004671	0.006854	NA	0.001892	0.02656	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Filomicrobium"
"Rhodoplanes"	"G"	29407	515	1	NA	71	515	NA	29	41	2	26	196	8	NA	0.1381	0.006549	NA	0.02805	0.1381	NA	0.01232	0.01561	0.0005173	0.009839	0.05659	0.003474	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Rhodoplanes sp. Z2-YC6860"	"S"	674703	515	1	NA	71	515	NA	29	41	2	26	196	8	NA	0.1381	0.006549	NA	0.02805	0.1381	NA	0.01232	0.01561	0.0005173	0.009839	0.05659	0.003474	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Rhodoplanes"
"Blastochloris"	"G"	59282	183	1	1	33	183	NA	12	20	5	4	60	6	NA	0.04906	0.006549	0.005575	0.01304	0.04906	NA	0.005096	0.007616	0.001293	0.001514	0.01732	0.002605	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Blastochloris viridis"	"S"	1079	133	1	1	27	133	NA	6	10	5	3	48	4	NA	0.03566	0.006549	0.005575	0.01067	0.03566	NA	0.002548	0.003808	0.001293	0.001135	0.01386	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Blastochloris"
"Maritalea"	"G"	623276	21	1	NA	3	21	NA	1	2	12	1	8	1	NA	0.006549	0.006549	NA	0.001185	0.00563	NA	0.0004247	0.0007616	0.003104	0.0003784	0.00231	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Maritalea myrionectae"	"S"	454601	21	1	NA	3	21	NA	1	2	12	1	8	1	NA	0.006549	0.006549	NA	0.001185	0.00563	NA	0.0004247	0.0007616	0.003104	0.0003784	0.00231	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Maritalea"
"Rhizobiaceae"	"F"	82115	2975	27	7	499	2975	9	167	429	11	149	843	144	1	0.7975	0.1768	0.03903	0.1971	0.7975	0.7414	0.07092	0.1634	0.002845	0.05638	0.2434	0.06253	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Rhizobium/Agrobacterium group"	"-"	227290	1942	15	4	181	1942	5	72	227	2	65	498	59	NA	0.5206	0.09824	0.0223	0.07151	0.5206	0.4119	0.03058	0.08644	0.0005173	0.0246	0.1438	0.02562	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Agrobacterium"	"G"	357	509	10	3	66	509	1	29	100	NA	25	221	22	NA	0.1365	0.06549	0.01673	0.02607	0.1365	0.08237	0.01232	0.03808	NA	0.00946	0.06381	0.009553	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Agrobacterium vitis"	"S"	373	129	5	1	12	129	NA	5	30	NA	7	58	6	NA	0.03458	0.03275	0.005575	0.004741	0.03458	NA	0.002123	0.01142	NA	0.002649	0.01675	0.002605	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium vitis S4"	"-"	311402	129	5	1	12	129	NA	5	30	NA	7	58	6	NA	0.03458	0.03275	0.005575	0.004741	0.03458	NA	0.002123	0.01142	NA	0.002649	0.01675	0.002605	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;vitis"
"Agrobacterium sp. RAC06"	"S"	1842536	103	2	NA	17	103	1	5	19	NA	4	36	2	NA	0.08237	0.0131	NA	0.006716	0.02761	0.08237	0.002123	0.007235	NA	0.001514	0.01039	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Rhizobium"	"G"	379	278	2	NA	43	278	2	16	44	1	13	106	15	NA	0.1647	0.0131	NA	0.01699	0.07453	0.1647	0.006795	0.01675	0.0002587	0.004919	0.0306	0.006513	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Rhizobium sp. ACO-34A"	"S"	1571470	161	2	NA	25	161	1	9	31	1	10	72	10	NA	0.08237	0.0131	NA	0.009877	0.04316	0.08237	0.003822	0.0118	0.0002587	0.003784	0.02079	0.004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Neorhizobium"	"G"	1525371	268	2	NA	45	268	1	10	43	NA	18	94	10	NA	0.08237	0.0131	NA	0.01778	0.07185	0.08237	0.004247	0.01637	NA	0.006811	0.02714	0.004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Neorhizobium galegae"	"S"	399	94	1	NA	27	94	1	6	17	NA	10	48	7	NA	0.08237	0.006549	NA	0.01067	0.0252	0.08237	0.002548	0.006473	NA	0.003784	0.01386	0.00304	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Neorhizobium sp. NCHU2750"	"S"	1825976	71	1	NA	9	71	NA	3	10	NA	3	18	NA	NA	0.01903	0.006549	NA	0.003556	0.01903	NA	0.001274	0.003808	NA	0.001135	0.005197	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Liberibacter"	"G"	34019	370	6	2	160	370	2	56	97	7	48	124	45	NA	0.1647	0.0393	0.01115	0.06321	0.09919	0.1647	0.02378	0.03694	0.001811	0.01816	0.0358	0.01954	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Liberibacter crescens"	"S"	1273132	175	3	NA	92	175	NA	32	63	NA	24	73	23	NA	0.04691	0.01965	NA	0.03635	0.04691	NA	0.01359	0.02399	NA	0.009082	0.02108	0.009987	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
"Candidatus Liberibacter asiaticus"	"S"	34021	21	1	NA	18	21	NA	4	5	3	2	8	5	NA	0.007111	0.006549	NA	0.007111	0.00563	NA	0.001699	0.001904	0.000776	0.0007568	0.00231	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
"Candidatus Liberibacter solanacearum"	"S"	556287	56	1	1	21	56	1	6	12	NA	10	18	3	NA	0.08237	0.006549	0.005575	0.008296	0.01501	0.08237	0.002548	0.00457	NA	0.003784	0.005197	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
"Candidatus Liberibacter solanacearum CLso-ZC1"	"-"	658172	56	1	1	21	56	1	6	12	NA	10	18	3	NA	0.08237	0.006549	0.005575	0.008296	0.01501	0.08237	0.002548	0.00457	NA	0.003784	0.005197	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter>Candidatus&nbsp;Liberibacter&nbsp;solanacearum"
"Sinorhizobium/Ensifer group"	"-"	227292	374	3	1	76	374	NA	23	67	1	22	136	25	1	0.2584	0.01965	0.005575	0.03003	0.1003	NA	0.009767	0.02551	0.0002587	0.008325	0.03927	0.01086	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Sinorhizobium"	"G"	28105	267	1	1	64	267	NA	21	55	1	13	95	19	1	0.2584	0.006549	0.005575	0.02528	0.07158	NA	0.008918	0.02094	0.0002587	0.004919	0.02743	0.00825	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group"
"Sinorhizobium sp. RAC02"	"S"	1842534	201	1	1	46	201	NA	7	37	1	5	68	10	NA	0.05388	0.006549	0.005575	0.01817	0.05388	NA	0.002973	0.01409	0.0002587	0.001892	0.01963	0.004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Ensifer"	"G"	106591	73	1	NA	5	73	NA	2	6	NA	7	22	4	NA	0.01957	0.006549	NA	0.001975	0.01957	NA	0.0008493	0.002285	NA	0.002649	0.006352	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group"
"Ensifer sojae"	"S"	716925	40	1	NA	4	40	NA	1	3	NA	5	5	2	NA	0.01072	0.006549	NA	0.00158	0.01072	NA	0.0004247	0.001142	NA	0.001892	0.001444	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Ensifer"
"Ensifer sojae CCBAU 05684"	"-"	716928	40	1	NA	4	40	NA	1	3	NA	5	5	2	NA	0.01072	0.006549	NA	0.00158	0.01072	NA	0.0004247	0.001142	NA	0.001892	0.001444	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Ensifer>Ensifer&nbsp;sojae"
"Phyllobacteriaceae"	"F"	69277	1496	15	5	522	1496	3	86	179	6	69	642	46	NA	0.4011	0.09824	0.02788	0.2062	0.4011	0.2471	0.03652	0.06816	0.001552	0.02611	0.1854	0.01997	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Mesorhizobium"	"G"	68287	809	8	2	291	809	2	30	89	2	28	333	13	NA	0.2169	0.05239	0.01115	0.115	0.2169	0.1647	0.01274	0.03389	0.0005173	0.0106	0.09614	0.005645	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1"	"S"	2493671	241	4	1	108	241	NA	5	20	2	9	95	5	NA	0.06461	0.0262	0.005575	0.04267	0.06461	NA	0.002123	0.007616	0.0005173	0.003406	0.02743	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium oceanicum"	"S"	1670800	64	1	1	28	64	NA	4	6	NA	4	30	NA	NA	0.01716	0.006549	0.005575	0.01106	0.01716	NA	0.001699	0.002285	NA	0.001514	0.008662	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium sp. Pch-S"	"S"	2082387	37	1	NA	14	37	NA	1	5	NA	1	10	2	NA	0.009919	0.006549	NA	0.005531	0.009919	NA	0.0004247	0.001904	NA	0.0003784	0.002887	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Phyllobacterium"	"G"	28100	136	3	2	83	136	NA	6	12	1	6	64	3	NA	0.03646	0.01965	0.01115	0.03279	0.03646	NA	0.002548	0.00457	0.0002587	0.00227	0.01848	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
