"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"Planctomycetes"	"P"	203682	153	53	7	NA	NA	129	153	135	9	1	22	93	3	0.13	0.01512	0.01338	NA	NA	0.01329	0.01589	0.0168	0.0005106	0.13	0.01433	0.009914	0.006068	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Planctomycetia"	"C"	203683	150	53	7	NA	NA	128	150	130	9	1	22	93	3	0.13	0.01512	0.01338	NA	NA	0.01319	0.01558	0.01618	0.0005106	0.13	0.01433	0.009914	0.006068	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes"
"Planctomycetales"	"O"	112	149	53	7	NA	NA	128	149	129	9	1	22	93	3	0.13	0.01512	0.01338	NA	NA	0.01319	0.01548	0.01605	0.0005106	0.13	0.01433	0.009914	0.006068	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia"
"Planctomycetaceae"	"F"	126	36	12	2	NA	NA	18	12	36	1	NA	6	19	NA	0.00448	0.003423	0.003822	NA	NA	0.001855	0.001246	0.00448	5.673e-05	NA	0.003907	0.002025	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales"
"Planctomyces"	"G"	118	7	7	1	NA	NA	6	2	3	NA	NA	1	1	NA	0.001997	0.001997	0.001911	NA	NA	0.0006182	0.0002077	0.0003733	NA	NA	0.0006512	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"environmental samples"	"-"	70746	7	7	1	NA	NA	6	1	3	NA	NA	NA	1	NA	0.001997	0.001997	0.001911	NA	NA	0.0006182	0.0001039	0.0003733	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Planctomyces"
"uncultured Planctomyces sp."	"S"	179110	7	7	1	NA	NA	6	1	3	NA	NA	NA	1	NA	0.001997	0.001997	0.001911	NA	NA	0.0006182	0.0001039	0.0003733	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Planctomyces>environmental&nbsp;samples"
"environmental samples"	"-"	69409	9	3	NA	NA	NA	6	3	9	NA	NA	NA	4	NA	0.00112	0.0008557	NA	NA	NA	0.0006182	0.0003116	0.00112	NA	NA	NA	0.0004264	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"uncultured Planctomycetaceae bacterium"	"S"	100233	9	3	NA	NA	NA	6	3	9	NA	NA	NA	4	NA	0.00112	0.0008557	NA	NA	NA	0.0006182	0.0003116	0.00112	NA	NA	NA	0.0004264	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>environmental&nbsp;samples"
"Thermostilla"	"G"	1755820	12	1	1	NA	NA	2	3	12	NA	NA	5	7	NA	0.003256	0.0002852	0.001911	NA	NA	0.0002061	0.0003116	0.001493	NA	NA	0.003256	0.0007462	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"Thermostilla marina"	"S"	1742923	12	1	1	NA	NA	2	3	12	NA	NA	5	7	NA	0.003256	0.0002852	0.001911	NA	NA	0.0002061	0.0003116	0.001493	NA	NA	0.003256	0.0007462	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Thermostilla"
"environmental samples"	"-"	40903	18	10	1	NA	NA	10	18	14	5	NA	4	13	NA	0.002852	0.002852	0.001911	NA	NA	0.00103	0.00187	0.001742	0.0002836	NA	0.002605	0.001386	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales"
"uncultured planctomycete"	"S"	120965	18	6	1	NA	NA	8	18	13	5	NA	3	11	NA	0.001954	0.001711	0.001911	NA	NA	0.0008242	0.00187	0.001618	0.0002836	NA	0.001954	0.001173	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>environmental&nbsp;samples"
"uncultured Planctomycetales bacterium"	"S"	100371	4	4	NA	NA	NA	1	NA	NA	NA	NA	1	2	NA	0.001141	0.001141	NA	NA	NA	0.000103	NA	NA	NA	NA	0.0006512	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>environmental&nbsp;samples"
"Candidatus Omnitrophica"	"P"	67812	10	1	NA	NA	NA	10	6	5	1	NA	NA	1	NA	0.00103	0.0002852	NA	NA	NA	0.00103	0.0006232	0.0006222	5.673e-05	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"environmental samples"	"-"	96501	4	1	NA	NA	NA	4	3	3	NA	NA	NA	1	NA	0.0004121	0.0002852	NA	NA	NA	0.0004121	0.0003116	0.0003733	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Candidatus&nbsp;Omnitrophica"
"uncultured Omnitrophica bacterium"	"S"	174292	4	1	NA	NA	NA	4	3	3	NA	NA	NA	1	NA	0.0004121	0.0002852	NA	NA	NA	0.0004121	0.0003116	0.0003733	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Candidatus&nbsp;Omnitrophica>environmental&nbsp;samples"
"environmental samples"	"-"	48479	9103	3241	456	3	3	8374	9103	8652	8649	NA	1038	4999	352	1.077	0.9244	0.8714	0.4298	0.2634	0.8628	0.9454	1.077	0.4907	NA	0.676	0.5329	0.7119	"cellular&nbsp;organisms>Bacteria"
"uncultured bacterium"	"S"	77133	8108	2919	421	3	3	7521	8065	7678	8108	NA	972	4623	332	0.9555	0.8326	0.8045	0.4298	0.2634	0.7749	0.8376	0.9555	0.46	NA	0.633	0.4928	0.6715	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium"	"S"	136703	322	20	5	NA	NA	45	42	42	322	NA	5	26	2	0.01827	0.005704	0.009555	NA	NA	0.004636	0.004362	0.005227	0.01827	NA	0.003256	0.002772	0.004045	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured soil bacterium"	"S"	164851	74	20	1	NA	NA	74	62	64	12	NA	7	59	1	0.007964	0.005704	0.001911	NA	NA	0.007624	0.006439	0.007964	0.0006808	NA	0.004559	0.00629	0.002023	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured marine bacterium"	"S"	56765	52	12	1	NA	NA	37	49	52	13	NA	4	22	1	0.006471	0.003423	0.001911	NA	NA	0.003812	0.005089	0.006471	0.0007375	NA	0.002605	0.002345	0.002023	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured forest soil bacterium"	"S"	169009	9	5	NA	NA	NA	1	3	9	NA	NA	2	3	NA	0.001426	0.001426	NA	NA	NA	0.000103	0.0003116	0.00112	NA	NA	0.001302	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"denitrifying bacterium enrichment culture clone NOB_2_C8"	"S"	631533	5	2	NA	NA	NA	3	5	5	NA	NA	NA	4	NA	0.0006222	0.0005704	NA	NA	NA	0.0003091	0.0005193	0.0006222	NA	NA	NA	0.0004264	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured deep-sea bacterium"	"S"	759664	27	2	1	NA	NA	8	14	27	4	NA	1	9	NA	0.00336	0.0005704	0.001911	NA	NA	0.0008242	0.001454	0.00336	0.0002269	NA	0.0006512	0.0009594	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured compost bacterium"	"S"	155098	3	1	NA	NA	NA	2	1	2	1	NA	1	3	NA	0.0006512	0.0002852	NA	NA	NA	0.0002061	0.0001039	0.0002489	5.673e-05	NA	0.0006512	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing enrichment clone Cl-W3"	"S"	393759	4	1	NA	NA	NA	1	2	4	4	NA	NA	1	NA	0.0004978	0.0002852	NA	NA	NA	0.000103	0.0002077	0.0004978	0.0002269	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_A1"	"S"	631577	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002852	0.0002852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FeC_1_D4"	"S"	631646	2	1	NA	NA	NA	2	1	1	NA	NA	1	2	NA	0.0006512	0.0002852	NA	NA	NA	0.0002061	0.0001039	0.0001244	NA	NA	0.0006512	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone JCA3"	"S"	1114892	6	1	NA	NA	NA	6	5	2	NA	NA	NA	3	NA	0.0006182	0.0002852	NA	NA	NA	0.0006182	0.0005193	0.0002489	NA	NA	NA	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone Anammox_26"	"S"	1565742	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002852	0.0002852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Proteobacteria"	"P"	1224	21828	2282	346	3	5	4749	3779	5643	21828	1	1064	3689	470	1.238	0.6509	0.6612	0.4298	0.439	0.4893	0.3925	0.7022	1.238	0.13	0.6929	0.3933	0.9506	"cellular&nbsp;organisms>Bacteria"
"Alphaproteobacteria"	"C"	28211	2543	1365	181	NA	4	1641	1031	2543	255	NA	653	939	326	0.6594	0.3893	0.3459	NA	0.3512	0.1691	0.1071	0.3165	0.01447	NA	0.4253	0.1001	0.6594	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	204455	689	689	102	NA	4	484	247	498	35	NA	185	254	6	0.3512	0.1965	0.1949	NA	0.3512	0.04987	0.02565	0.06197	0.001986	NA	0.1205	0.02708	0.01214	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	31989	687	687	101	NA	4	479	243	491	23	NA	182	250	6	0.3512	0.1959	0.193	NA	0.3512	0.04935	0.02524	0.0611	0.001305	NA	0.1185	0.02665	0.01214	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Sulfitobacter"	"G"	60136	155	65	8	NA	1	90	52	155	NA	NA	41	56	2	0.0878	0.01854	0.01529	NA	0.0878	0.009273	0.005401	0.01929	NA	NA	0.0267	0.00597	0.004045	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"environmental samples"	"-"	111737	155	65	8	NA	1	89	52	155	NA	NA	41	55	2	0.0878	0.01854	0.01529	NA	0.0878	0.00917	0.005401	0.01929	NA	NA	0.0267	0.005863	0.004045	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"uncultured Sulfitobacter sp."	"S"	191468	155	65	8	NA	1	89	52	155	NA	NA	41	55	2	0.0878	0.01854	0.01529	NA	0.0878	0.00917	0.005401	0.01929	NA	NA	0.0267	0.005863	0.004045	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter>environmental&nbsp;samples"
"Rhodobacter"	"G"	1060	28	16	2	NA	NA	28	19	27	13	NA	8	8	NA	0.00521	0.004564	0.003822	NA	NA	0.002885	0.001973	0.00336	0.0007375	NA	0.00521	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacter sphaeroides"	"S"	1063	7	6	1	NA	NA	4	5	7	NA	NA	5	1	NA	0.003256	0.001711	0.001911	NA	NA	0.0004121	0.0005193	0.0008711	NA	NA	0.003256	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus"	"S"	1061	13	4	1	NA	NA	7	6	6	13	NA	NA	5	NA	0.001911	0.001141	0.001911	NA	NA	0.0007212	0.0006232	0.0007467	0.0007375	NA	NA	0.000533	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"environmental samples"	"-"	126073	16	4	NA	NA	NA	16	8	13	NA	NA	3	1	NA	0.001954	0.001141	NA	NA	NA	0.001648	0.0008309	0.001618	NA	NA	0.001954	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"uncultured Rhodobacter sp."	"S"	204728	16	4	NA	NA	NA	16	8	13	NA	NA	3	1	NA	0.001954	0.001141	NA	NA	NA	0.001648	0.0008309	0.001618	NA	NA	0.001954	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter>environmental&nbsp;samples"
"Rhodobacter sp. R077N"	"S"	1301791	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0002852	0.0002852	NA	NA	NA	0.000103	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sp. 6-2"	"S"	1324398	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002852	0.0002852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Roseovarius"	"G"	74030	12	5	NA	NA	NA	3	3	12	NA	NA	3	4	NA	0.001954	0.001426	NA	NA	NA	0.0003091	0.0003116	0.001493	NA	NA	0.001954	0.0004264	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseovarius sp. GSS14"	"S"	1864943	4	4	NA	NA	NA	2	1	1	NA	NA	3	1	NA	0.001954	0.001141	NA	NA	NA	0.0002061	0.0001039	0.0001244	NA	NA	0.001954	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Roseovarius salinarum"	"S"	1981892	10	1	NA	NA	NA	1	2	10	NA	NA	NA	3	NA	0.001244	0.0002852	NA	NA	NA	0.000103	0.0002077	0.001244	NA	NA	NA	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Paracoccus"	"G"	265	10	3	NA	NA	NA	3	2	10	NA	NA	2	3	NA	0.001302	0.0008557	NA	NA	NA	0.0003091	0.0002077	0.001244	NA	NA	0.001302	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus thiocyanatus"	"S"	34006	2	1	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	0.0002852	0.0002852	NA	NA	NA	NA	0.0002077	0.0001244	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"environmental samples"	"-"	129688	2	1	NA	NA	NA	2	NA	2	NA	NA	1	2	NA	0.0006512	0.0002852	NA	NA	NA	0.0002061	NA	0.0002489	NA	NA	0.0006512	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"uncultured Paracoccus sp."	"S"	189685	2	1	NA	NA	NA	2	NA	2	NA	NA	1	2	NA	0.0006512	0.0002852	NA	NA	NA	0.0002061	NA	0.0002489	NA	NA	0.0006512	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus>environmental&nbsp;samples"
"Paracoccus kondratievae"	"S"	135740	4	1	NA	NA	NA	1	NA	4	NA	NA	1	1	NA	0.0006512	0.0002852	NA	NA	NA	0.000103	NA	0.0004978	NA	NA	0.0006512	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
