"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"Paracoccus zhejiangensis"	"S"	1077935	27	9	2	NA	NA	27	14	18	2	NA	18	9	NA	0.01172	0.002567	0.003822	NA	NA	0.002782	0.001454	0.00224	0.0001135	NA	0.01172	0.0009594	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus denitrificans"	"S"	266	20	6	NA	NA	NA	20	3	7	NA	NA	3	7	NA	0.002061	0.001711	NA	NA	NA	0.002061	0.0003116	0.0008711	NA	NA	0.001954	0.0007462	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. BM15"	"S"	1529068	19	6	1	NA	1	11	11	19	1	NA	9	8	1	0.0878	0.001711	0.001911	NA	0.0878	0.001133	0.001142	0.002364	5.673e-05	NA	0.005861	0.0008528	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminovorans"	"S"	34004	6	3	NA	2	NA	6	2	4	NA	NA	3	6	1	0.2865	0.0008557	NA	0.2865	NA	0.0006182	0.0002077	0.0004978	NA	NA	0.001954	0.0006396	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Roseovarius"	"G"	74030	1378	565	91	NA	NA	847	570	1378	13	1	390	507	6	0.254	0.1611	0.1739	NA	NA	0.08727	0.0592	0.1715	0.0007375	0.13	0.254	0.05405	0.01214	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseovarius mucosus"	"S"	215743	1096	476	71	NA	NA	713	468	1096	11	1	297	410	6	0.1934	0.1358	0.1357	NA	NA	0.07346	0.04861	0.1364	0.000624	0.13	0.1934	0.04371	0.01214	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Roseovarius sp. TM1035"	"S"	391613	282	89	19	NA	NA	134	102	282	2	NA	92	97	NA	0.05991	0.02538	0.03631	NA	NA	0.01381	0.01059	0.03509	0.0001135	NA	0.05991	0.01034	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius"
"Roseovarius sp. AK1035"	"-"	2203213	282	89	19	NA	NA	134	102	282	2	NA	92	97	NA	0.05991	0.02538	0.03631	NA	NA	0.01381	0.01059	0.03509	0.0001135	NA	0.05991	0.01034	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseovarius>Roseovarius&nbsp;sp.&nbsp;TM1035"
"Ketogulonicigenium"	"G"	92944	824	216	39	NA	1	438	274	824	4	1	277	285	3	0.1804	0.06161	0.07453	NA	0.0878	0.04513	0.02846	0.1025	0.0002269	0.13	0.1804	0.03038	0.006068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ketogulonicigenium robustum"	"S"	92947	258	67	14	NA	1	151	74	258	3	NA	98	77	1	0.0878	0.01911	0.02675	NA	0.0878	0.01556	0.007686	0.03211	0.0001702	NA	0.06382	0.008208	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium vulgare"	"S"	92945	58	6	2	NA	NA	58	14	53	NA	1	20	27	NA	0.13	0.001711	0.003822	NA	NA	0.005976	0.001454	0.006595	NA	0.13	0.01302	0.002878	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Ketogulonicigenium"
"Celeribacter"	"G"	875170	395	100	20	2	NA	198	157	395	2	NA	107	140	2	0.2865	0.02852	0.03822	0.2865	NA	0.0204	0.01631	0.04915	0.0001135	NA	0.06968	0.01492	0.004045	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Celeribacter marinus"	"S"	1397108	347	90	16	NA	NA	155	125	347	1	NA	92	123	2	0.05991	0.02567	0.03058	NA	NA	0.01597	0.01298	0.04318	5.673e-05	NA	0.05991	0.01311	0.004045	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter manganoxidans"	"S"	1411902	39	9	4	1	NA	37	20	39	NA	NA	14	14	NA	0.1433	0.002567	0.007644	0.1433	NA	0.003812	0.002077	0.004853	NA	NA	0.009117	0.001492	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter ethanolicus"	"S"	1758178	9	1	NA	NA	NA	6	9	7	1	NA	1	3	NA	0.0009348	0.0002852	NA	NA	NA	0.0006182	0.0009348	0.0008711	5.673e-05	NA	0.0006512	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"unclassified Rhodobacteraceae"	"-"	58840	210	97	17	NA	1	180	98	210	3	NA	87	75	NA	0.0878	0.02767	0.03249	NA	0.0878	0.01855	0.01018	0.02613	0.0001702	NA	0.05666	0.007995	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacteraceae bacterium QY30"	"S"	2033435	170	86	14	NA	1	156	76	170	2	NA	73	62	NA	0.0878	0.02453	0.02675	NA	0.0878	0.01607	0.007893	0.02116	0.0001135	NA	0.04754	0.006609	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Rhodobacteraceae bacterium BAR1"	"S"	2171755	40	11	3	NA	NA	24	22	40	1	NA	14	13	NA	0.009117	0.003137	0.005733	NA	NA	0.002473	0.002285	0.004978	5.673e-05	NA	0.009117	0.001386	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>unclassified&nbsp;Rhodobacteraceae"
"Labrenzia"	"G"	478070	82	56	5	NA	NA	53	40	82	NA	NA	18	15	NA	0.01597	0.01597	0.009555	NA	NA	0.005461	0.004154	0.0102	NA	NA	0.01172	0.001599	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Labrenzia sp. VG12"	"S"	2021862	7	7	NA	NA	NA	2	NA	3	NA	NA	1	5	NA	0.001997	0.001997	NA	NA	NA	0.0002061	NA	0.0003733	NA	NA	0.0006512	0.000533	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Labrenzia"
"Rhodobaca"	"G"	119541	51	51	5	NA	NA	43	22	41	NA	NA	12	16	NA	0.01455	0.01455	0.009555	NA	NA	0.00443	0.002285	0.005102	NA	NA	0.007815	0.001706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobaca barguzinensis"	"S"	441209	51	51	5	NA	NA	43	22	41	NA	NA	12	16	NA	0.01455	0.01455	0.009555	NA	NA	0.00443	0.002285	0.005102	NA	NA	0.007815	0.001706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobaca"
"Sedimentitalea"	"G"	1541818	100	49	10	NA	NA	63	53	100	19	NA	10	22	NA	0.01911	0.01398	0.01911	NA	NA	0.006491	0.005505	0.01244	0.001078	NA	0.006512	0.002345	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sedimentitalea sp. W43"	"S"	2483033	100	49	10	NA	NA	63	53	100	19	NA	10	22	NA	0.01911	0.01398	0.01911	NA	NA	0.006491	0.005505	0.01244	0.001078	NA	0.006512	0.002345	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sedimentitalea"
"Dinoroseobacter"	"G"	309512	70	24	3	NA	NA	70	16	34	NA	NA	26	16	NA	0.01693	0.006845	0.005733	NA	NA	0.007212	0.001662	0.004231	NA	NA	0.01693	0.001706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter shibae"	"S"	215813	70	24	3	NA	NA	70	16	34	NA	NA	26	16	NA	0.01693	0.006845	0.005733	NA	NA	0.007212	0.001662	0.004231	NA	NA	0.01693	0.001706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter"
"Dinoroseobacter shibae DFL 12 = DSM 16493"	"-"	398580	70	24	3	NA	NA	70	16	34	NA	NA	26	16	NA	0.01693	0.006845	0.005733	NA	NA	0.007212	0.001662	0.004231	NA	NA	0.01693	0.001706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Dinoroseobacter>Dinoroseobacter&nbsp;shibae"
"Sulfitobacter"	"G"	60136	396	23	9	NA	NA	49	38	62	396	NA	20	23	4	0.02247	0.00656	0.0172	NA	NA	0.005048	0.003947	0.007715	0.02247	NA	0.01302	0.002452	0.00809	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sulfitobacter sp. JL08"	"S"	2070369	50	22	7	NA	NA	36	27	50	NA	NA	18	17	NA	0.01338	0.006275	0.01338	NA	NA	0.003709	0.002804	0.006222	NA	NA	0.01172	0.001812	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Sulfitobacter sp. AM1-D1"	"S"	1917485	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	0.0002852	0.0002852	NA	NA	NA	0.000103	NA	0.0001244	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sulfitobacter"
"Jannaschia"	"G"	188905	76	18	3	NA	NA	19	24	76	NA	NA	30	20	NA	0.01954	0.005134	0.005733	NA	NA	0.001958	0.002493	0.009458	NA	NA	0.01954	0.002132	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Jannaschia sp. CCS1"	"S"	290400	76	18	3	NA	NA	19	24	76	NA	NA	30	20	NA	0.01954	0.005134	0.005733	NA	NA	0.001958	0.002493	0.009458	NA	NA	0.01954	0.002132	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Jannaschia"
"Rhodovulum"	"G"	34008	81	15	1	NA	NA	47	26	81	NA	NA	22	23	1	0.01433	0.004278	0.001911	NA	NA	0.004842	0.0027	0.01008	NA	NA	0.01433	0.002452	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodovulum sp. P5"	"S"	1564506	13	7	NA	NA	NA	8	6	13	NA	NA	5	6	NA	0.003256	0.001997	NA	NA	NA	0.0008242	0.0006232	0.001618	NA	NA	0.003256	0.0006396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Rhodovulum sp. MB263"	"S"	308754	4	1	NA	NA	NA	3	NA	4	NA	NA	4	3	NA	0.002605	0.0002852	NA	NA	NA	0.0003091	NA	0.0004978	NA	NA	0.002605	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Roseibacterium"	"G"	159345	35	12	1	1	NA	18	16	35	NA	NA	2	11	NA	0.1433	0.003423	0.001911	0.1433	NA	0.001855	0.001662	0.004355	NA	NA	0.001302	0.001173	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseibacterium elongatum"	"S"	159346	35	12	1	1	NA	18	16	35	NA	NA	2	11	NA	0.1433	0.003423	0.001911	0.1433	NA	0.001855	0.001662	0.004355	NA	NA	0.001302	0.001173	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseibacterium"
"Roseibacterium elongatum DSM 19469"	"-"	1294273	35	12	1	1	NA	18	16	35	NA	NA	2	11	NA	0.1433	0.003423	0.001911	0.1433	NA	0.001855	0.001662	0.004355	NA	NA	0.001302	0.001173	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Roseibacterium>Roseibacterium&nbsp;elongatum"
"Thioclava"	"G"	285107	12	12	NA	NA	NA	7	7	7	NA	NA	7	6	1	0.004559	0.003423	NA	NA	NA	0.0007212	0.000727	0.0008711	NA	NA	0.004559	0.0006396	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thioclava nitratireducens"	"S"	1915078	12	12	NA	NA	NA	7	7	7	NA	NA	7	6	1	0.004559	0.003423	NA	NA	NA	0.0007212	0.000727	0.0008711	NA	NA	0.004559	0.0006396	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Thioclava"
"Phaeobacter"	"G"	302485	42	10	5	NA	NA	42	26	31	2	NA	13	12	NA	0.009555	0.002852	0.009555	NA	NA	0.004327	0.0027	0.003858	0.0001135	NA	0.008466	0.001279	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Phaeobacter inhibens"	"S"	221822	39	10	5	NA	NA	39	25	28	2	NA	12	11	NA	0.009555	0.002852	0.009555	NA	NA	0.004018	0.002597	0.003484	0.0001135	NA	0.007815	0.001173	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Phaeobacter"
"Octadecabacter"	"G"	53945	13	9	1	NA	NA	12	8	13	NA	NA	5	3	NA	0.003256	0.002567	0.001911	NA	NA	0.001236	0.0008309	0.001618	NA	NA	0.003256	0.0003198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Octadecabacter arcticus"	"S"	53946	4	4	NA	NA	NA	4	3	NA	NA	NA	2	NA	NA	0.001302	0.001141	NA	NA	NA	0.0004121	0.0003116	NA	NA	NA	0.001302	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Octadecabacter"
