"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"Spirosoma aerolatum"	"S"	1211326	9	3	1	NA	NA	9	6	4	NA	NA	1	7	NA	0.001911	0.0008557	0.001911	NA	NA	0.0009273	0.0006232	0.0004978	NA	NA	0.0006512	0.0007462	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Cytophaga"	"G"	978	2088	697	75	NA	NA	1548	2088	1208	4	NA	82	770	48	0.2169	0.1988	0.1433	NA	NA	0.1595	0.2169	0.1503	0.0002269	NA	0.0534	0.08208	0.09708	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	2088	697	75	NA	NA	1548	2088	1208	4	NA	82	770	48	0.2169	0.1988	0.1433	NA	NA	0.1595	0.2169	0.1503	0.0002269	NA	0.0534	0.08208	0.09708	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga hutchinsonii ATCC 33406"	"-"	269798	2088	697	75	NA	NA	1548	2088	1208	4	NA	82	770	48	0.2169	0.1988	0.1433	NA	NA	0.1595	0.2169	0.1503	0.0002269	NA	0.0534	0.08208	0.09708	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga>Cytophaga&nbsp;hutchinsonii"
"Fibrella"	"G"	861914	599	99	12	NA	NA	263	427	166	3	NA	53	599	26	0.06385	0.02824	0.02293	NA	NA	0.0271	0.04435	0.02066	0.0001702	NA	0.03452	0.06385	0.05259	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	590	89	10	NA	NA	240	386	122	3	NA	52	590	21	0.0629	0.02538	0.01911	NA	NA	0.02473	0.04009	0.01518	0.0001702	NA	0.03386	0.0629	0.04247	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina"	"S"	651143	41	2	NA	NA	NA	8	16	41	NA	NA	NA	6	1	0.005102	0.0005704	NA	NA	NA	0.0008242	0.001662	0.005102	NA	NA	NA	0.0006396	0.002023	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina BUZ 2"	"-"	1166018	41	2	NA	NA	NA	8	16	41	NA	NA	NA	6	1	0.005102	0.0005704	NA	NA	NA	0.0008242	0.001662	0.005102	NA	NA	NA	0.0006396	0.002023	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella>Fibrella&nbsp;aestuarina"
"Leadbetterella"	"G"	319458	277	49	3	NA	1	129	201	277	1	NA	14	139	55	0.1112	0.01398	0.005733	NA	0.0878	0.01329	0.02088	0.03447	5.673e-05	NA	0.009117	0.01482	0.1112	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	277	49	3	NA	1	129	201	277	1	NA	14	139	55	0.1112	0.01398	0.005733	NA	0.0878	0.01329	0.02088	0.03447	5.673e-05	NA	0.009117	0.01482	0.1112	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Leadbetterella byssophila DSM 17132"	"-"	649349	277	49	3	NA	1	129	201	277	1	NA	14	139	55	0.1112	0.01398	0.005733	NA	0.0878	0.01329	0.02088	0.03447	5.673e-05	NA	0.009117	0.01482	0.1112	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella>Leadbetterella&nbsp;byssophila"
"Runella"	"G"	105	208	41	4	NA	NA	208	125	36	2	NA	63	61	28	0.05663	0.01169	0.007644	NA	NA	0.02143	0.01298	0.00448	0.0001135	NA	0.04103	0.006503	0.05663	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella slithyformis"	"S"	106	51	16	1	NA	NA	51	23	3	NA	NA	26	17	6	0.01693	0.004564	0.001911	NA	NA	0.005254	0.002389	0.0003733	NA	NA	0.01693	0.001812	0.01214	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella slithyformis DSM 19594"	"-"	761193	51	16	1	NA	NA	51	23	3	NA	NA	26	17	6	0.01693	0.004564	0.001911	NA	NA	0.005254	0.002389	0.0003733	NA	NA	0.01693	0.001812	0.01214	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella>Runella&nbsp;slithyformis"
"Runella sp. SP2"	"S"	2268026	120	11	3	NA	NA	120	70	3	1	NA	29	13	21	0.04247	0.003137	0.005733	NA	NA	0.01236	0.00727	0.0003733	5.673e-05	NA	0.01889	0.001386	0.04247	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. HYN0085"	"S"	2259595	17	1	NA	NA	NA	12	4	4	1	NA	5	17	NA	0.003256	0.0002852	NA	NA	NA	0.001236	0.0004154	0.0004978	5.673e-05	NA	0.003256	0.001812	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Arcticibacterium"	"G"	2173039	81	18	6	NA	NA	45	81	22	NA	1	3	19	2	0.13	0.005134	0.01147	NA	NA	0.004636	0.008413	0.002738	NA	0.13	0.001954	0.002025	0.004045	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Arcticibacterium luteifluviistationis"	"S"	1784714	81	18	6	NA	NA	45	81	22	NA	1	3	19	2	0.13	0.005134	0.01147	NA	NA	0.004636	0.008413	0.002738	NA	0.13	0.001954	0.002025	0.004045	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcticibacterium"
"Dyadobacter"	"G"	120831	27	10	2	NA	1	22	27	7	NA	NA	3	17	3	0.0878	0.002852	0.003822	NA	0.0878	0.002267	0.002804	0.0008711	NA	NA	0.001954	0.001812	0.006068	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Dyadobacter fermentans"	"S"	94254	27	10	2	NA	1	22	27	7	NA	NA	3	17	3	0.0878	0.002852	0.003822	NA	0.0878	0.002267	0.002804	0.0008711	NA	NA	0.001954	0.001812	0.006068	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter"
"Dyadobacter fermentans DSM 18053"	"-"	471854	27	10	2	NA	1	22	27	7	NA	NA	3	17	3	0.0878	0.002852	0.003822	NA	0.0878	0.002267	0.002804	0.0008711	NA	NA	0.001954	0.001812	0.006068	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter>Dyadobacter&nbsp;fermentans"
"Flammeovirgaceae"	"F"	200667	14241	6083	616	1	4	10919	14241	5128	9	NA	575	4177	391	1.735	1.735	1.177	0.1433	0.3512	1.125	1.479	0.6381	0.0005106	NA	0.3745	0.4453	0.7908	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Flammeovirga"	"G"	59739	13559	5858	593	1	4	10529	13559	4823	8	NA	556	3991	372	1.671	1.671	1.133	0.1433	0.3512	1.085	1.408	0.6002	0.0004538	NA	0.3621	0.4254	0.7524	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirga sp. MY04"	"S"	1191459	13559	5858	593	1	4	10529	13559	4823	8	NA	556	3991	372	1.671	1.671	1.133	0.1433	0.3512	1.085	1.408	0.6002	0.0004538	NA	0.3621	0.4254	0.7524	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"unclassified Flammeovirgaceae"	"-"	340671	525	205	20	NA	NA	284	525	218	1	NA	14	140	19	0.05847	0.05847	0.03822	NA	NA	0.02926	0.05453	0.02713	5.673e-05	NA	0.009117	0.01492	0.03843	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Flammeovirgaceae bacterium 311"	"S"	1257021	525	205	20	NA	NA	284	525	218	1	NA	14	140	19	0.05847	0.05847	0.03822	NA	NA	0.02926	0.05453	0.02713	5.673e-05	NA	0.009117	0.01492	0.03843	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>unclassified&nbsp;Flammeovirgaceae"
"Marivirga"	"G"	869806	129	11	2	NA	NA	86	129	79	NA	NA	5	40	NA	0.0134	0.003137	0.003822	NA	NA	0.00886	0.0134	0.009831	NA	NA	0.003256	0.004264	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae"
"Marivirga tractuosa"	"S"	1006	129	11	2	NA	NA	86	129	79	NA	NA	5	40	NA	0.0134	0.003137	0.003822	NA	NA	0.00886	0.0134	0.009831	NA	NA	0.003256	0.004264	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga"
"Marivirga tractuosa DSM 4126"	"-"	643867	129	11	2	NA	NA	86	129	79	NA	NA	5	40	NA	0.0134	0.003137	0.003822	NA	NA	0.00886	0.0134	0.009831	NA	NA	0.003256	0.004264	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Marivirga>Marivirga&nbsp;tractuosa"
"Amoebophilaceae"	"F"	1501348	18085	4728	558	3	8	12357	18085	6051	12	3	519	4023	475	1.878	1.349	1.066	0.4298	0.7024	1.273	1.878	0.753	0.0006808	0.3901	0.338	0.4289	0.9607	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Candidatus Cardinium"	"G"	273135	3771	1382	125	NA	2	2935	3771	1370	3	1	134	1043	76	0.3942	0.3942	0.2389	NA	0.1756	0.3024	0.3917	0.1705	0.0001702	0.13	0.08727	0.1112	0.1537	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Cardinium endosymbiont of Sogatella furcifera"	"S"	650378	2866	1050	92	NA	1	2214	2866	1064	2	NA	106	760	53	0.2995	0.2995	0.1758	NA	0.0878	0.2281	0.2977	0.1324	0.0001135	NA	0.06903	0.08102	0.1072	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont of Encarsia pergandiella"	"S"	249402	860	320	33	NA	1	691	860	295	1	1	25	264	22	0.13	0.09127	0.06306	NA	0.0878	0.07119	0.08932	0.03671	5.673e-05	0.13	0.01628	0.02814	0.0445	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont cEper1 of Encarsia pergandiella"	"-"	1231626	860	320	33	NA	1	691	860	295	1	1	25	264	22	0.13	0.09127	0.06306	NA	0.0878	0.07119	0.08932	0.03671	5.673e-05	0.13	0.01628	0.02814	0.0445	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium>Cardinium&nbsp;endosymbiont&nbsp;of&nbsp;Encarsia&nbsp;pergandiella"
"Candidatus Cardinium hertigii"	"S"	247481	13	2	NA	NA	NA	9	13	5	NA	NA	1	7	NA	0.00135	0.0005704	NA	NA	NA	0.0009273	0.00135	0.0006222	NA	NA	0.0006512	0.0007462	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Candidatus Amoebophilus"	"G"	281119	5732	642	115	1	4	3551	5732	1889	4	1	148	1113	233	0.5953	0.1831	0.2198	0.1433	0.3512	0.3659	0.5953	0.2351	0.0002269	0.13	0.09638	0.1186	0.4713	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Candidatus Amoebophilus asiaticus"	"S"	281120	5732	642	115	1	4	3551	5732	1889	4	1	148	1113	233	0.5953	0.1831	0.2198	0.1433	0.3512	0.3659	0.5953	0.2351	0.0002269	0.13	0.09638	0.1186	0.4713	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus"
"Candidatus Amoebophilus asiaticus 5a2"	"-"	452471	5732	642	115	1	4	3551	5732	1889	4	1	148	1113	233	0.5953	0.1831	0.2198	0.1433	0.3512	0.3659	0.5953	0.2351	0.0002269	0.13	0.09638	0.1186	0.4713	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus>Candidatus&nbsp;Amoebophilus&nbsp;asiaticus"
"Cyclobacteriaceae"	"F"	563798	1210	750	145	3	2	926	1210	572	2	NA	48	347	39	0.4298	0.2139	0.2771	0.4298	0.1756	0.0954	0.1257	0.07118	0.0001135	NA	0.03126	0.03699	0.07888	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Algoriphagus"	"G"	246875	594	594	128	3	1	287	245	219	1	NA	19	64	6	0.4298	0.1694	0.2446	0.4298	0.0878	0.02957	0.02545	0.02725	5.673e-05	NA	0.01237	0.006823	0.01214	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Algoriphagus sp. M8-2"	"S"	1727163	521	521	113	1	1	255	208	183	1	NA	16	46	5	0.2159	0.1486	0.2159	0.1433	0.0878	0.02627	0.0216	0.02277	5.673e-05	NA	0.01042	0.004904	0.01011	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Algoriphagus machipongonensis"	"S"	388413	61	61	15	2	NA	31	37	35	NA	NA	3	18	1	0.2865	0.0174	0.02866	0.2865	NA	0.003194	0.003843	0.004355	NA	NA	0.001954	0.001919	0.002023	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Algoriphagus"
"Belliella"	"G"	232244	145	53	5	NA	NA	95	145	59	NA	NA	5	42	3	0.01512	0.01512	0.009555	NA	NA	0.009788	0.01506	0.007342	NA	NA	0.003256	0.004477	0.006068	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Belliella baltica"	"S"	232259	145	53	5	NA	NA	95	145	59	NA	NA	5	42	3	0.01512	0.01512	0.009555	NA	NA	0.009788	0.01506	0.007342	NA	NA	0.003256	0.004477	0.006068	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Belliella"
"Belliella baltica DSM 15883"	"-"	866536	145	53	5	NA	NA	95	145	59	NA	NA	5	42	3	0.01512	0.01512	0.009555	NA	NA	0.009788	0.01506	0.007342	NA	NA	0.003256	0.004477	0.006068	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Belliella>Belliella&nbsp;baltica"
"Cyclobacterium"	"G"	68288	584	33	4	NA	NA	396	584	199	1	NA	18	162	27	0.06066	0.009412	0.007644	NA	NA	0.0408	0.06066	0.02476	5.673e-05	NA	0.01172	0.01727	0.05461	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium amurskyense"	"S"	320787	562	31	4	NA	NA	382	562	191	1	NA	17	154	24	0.05837	0.008842	0.007644	NA	NA	0.03936	0.05837	0.02377	5.673e-05	NA	0.01107	0.01642	0.04854	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium"
