"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"Acidovorax sp. 1608163"	"S"	2478662	116	3	8	26	30	NA	26	41	NA	37	116	33	NA	0.0446	0.01965	0.0446	0.01027	0.008043	NA	0.01104	0.01561	NA	0.014	0.03349	0.01433	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	14150	555	1154	5014	3770	21	4599	9679	41	4350	14150	5924	5	6.434	3.635	6.434	1.981	1.011	1.73	1.953	3.686	0.0106	1.646	4.085	2.572	1.292	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax ferrireducens"	"S"	192843	4416	140	264	1263	1205	6	1369	3199	13	1335	4416	1890	3	1.472	0.9169	1.472	0.499	0.323	0.4942	0.5814	1.218	0.003362	0.5052	1.275	0.8207	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	4416	140	264	1263	1205	6	1369	3199	13	1335	4416	1890	3	1.472	0.9169	1.472	0.499	0.323	0.4942	0.5814	1.218	0.003362	0.5052	1.275	0.8207	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax antarcticus"	"S"	81479	3438	130	203	1172	821	4	891	1594	9	952	3438	1271	1	1.132	0.8514	1.132	0.463	0.2201	0.3295	0.3784	0.607	0.002328	0.3602	0.9926	0.5519	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	271	16	21	182	74	1	81	110	1	60	271	75	NA	0.1171	0.1048	0.1171	0.0719	0.01984	0.08237	0.0344	0.04189	0.0002587	0.0227	0.07824	0.03257	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	133	7	13	61	43	NA	50	119	2	61	133	59	NA	0.07248	0.04584	0.07248	0.0241	0.01153	NA	0.02123	0.04531	0.0005173	0.02308	0.0384	0.02562	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	15082	493	1229	4254	5161	31	4843	10692	36	5912	15082	6141	10	6.852	3.229	6.852	1.681	1.384	2.554	2.057	4.071	0.009311	2.237	4.355	2.667	2.584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	6932	248	625	1728	1800	14	2112	4854	17	1999	6932	2723	4	3.484	1.624	3.484	0.6827	0.4826	1.153	0.8969	1.848	0.004397	0.7564	2.001	1.182	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	6932	248	625	1728	1800	14	2112	4854	17	1999	6932	2723	4	3.484	1.624	3.484	0.6827	0.4826	1.153	0.8969	1.848	0.004397	0.7564	2.001	1.182	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Polaromonas sp. SP1"	"S"	2268087	3036	86	186	932	1330	5	973	2209	6	1449	3036	1293	4	1.037	0.5632	1.037	0.3682	0.3566	0.4119	0.4132	0.8412	0.001552	0.5483	0.8766	0.5615	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	255	6	25	93	133	NA	110	217	1	153	255	116	NA	0.1394	0.0393	0.1394	0.03674	0.03566	NA	0.04671	0.08263	0.0002587	0.0579	0.07362	0.05037	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	11288	405	816	5088	2891	20	3300	6364	26	3460	11288	4264	3	4.549	2.652	4.549	2.01	0.775	1.647	1.401	2.423	0.006725	1.309	3.259	1.852	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	9842	334	707	3947	2523	18	2849	5541	24	3014	9842	3718	3	3.942	2.187	3.942	1.559	0.6764	1.483	1.21	2.11	0.006208	1.141	2.842	1.614	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	453	13	19	453	44	NA	50	65	NA	27	93	51	NA	0.179	0.08514	0.1059	0.179	0.0118	NA	0.02123	0.02475	NA	0.01022	0.02685	0.02215	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HW608"	"S"	1034889	388	11	24	91	88	1	104	225	NA	126	388	150	NA	0.1338	0.07204	0.1338	0.03595	0.02359	0.08237	0.04416	0.08568	NA	0.04768	0.112	0.06513	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	139	9	6	139	20	NA	41	46	NA	21	100	40	NA	0.05894	0.05894	0.03345	0.05491	0.005362	NA	0.01741	0.01752	NA	0.007947	0.02887	0.01737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus B4"	"-"	1246301	139	9	6	139	20	NA	41	45	NA	21	98	40	NA	0.05894	0.05894	0.03345	0.05491	0.005362	NA	0.01741	0.01714	NA	0.007947	0.02829	0.01737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax sp. PMC12"	"S"	2126319	73	7	11	32	19	NA	27	57	NA	34	73	40	NA	0.06133	0.04584	0.06133	0.01264	0.005094	NA	0.01147	0.02171	NA	0.01287	0.02108	0.01737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Serpentinomonas"	"G"	2490452	6714	278	439	1773	1515	9	2169	3463	8	2084	6714	2143	3	2.447	1.821	2.447	0.7005	0.4061	0.7414	0.9211	1.319	0.002069	0.7886	1.938	0.9305	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	2492	115	115	247	443	2	775	902	2	662	2492	669	NA	0.7532	0.7532	0.6411	0.09758	0.1188	0.1647	0.3291	0.3435	0.0005173	0.2505	0.7195	0.2905	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	32	1	2	8	13	NA	14	15	NA	12	32	12	NA	0.01115	0.006549	0.01115	0.003161	0.003485	NA	0.005945	0.005712	NA	0.004541	0.009239	0.005211	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Hydrogenophaga"	"G"	47420	4788	165	303	1346	1143	6	1265	2066	8	1331	4788	1614	3	1.689	1.081	1.689	0.5318	0.3064	0.4942	0.5372	0.7867	0.002069	0.5037	1.382	0.7008	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. PBC"	"S"	795665	2028	69	157	584	440	4	521	828	5	566	2028	638	2	0.8753	0.4519	0.8753	0.2307	0.118	0.3295	0.2212	0.3153	0.001293	0.2142	0.5855	0.277	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	559	17	16	154	168	NA	149	302	NA	170	559	200	NA	0.1614	0.1113	0.0892	0.06084	0.04504	NA	0.06327	0.115	NA	0.06433	0.1614	0.08684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	492	13	35	175	123	NA	117	268	NA	132	492	189	NA	0.1951	0.08514	0.1951	0.06914	0.03297	NA	0.04968	0.1021	NA	0.04995	0.1421	0.08207	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Curvibacter"	"G"	281915	2727	117	224	947	817	7	994	1906	5	1039	2727	1194	NA	1.249	0.7663	1.249	0.3741	0.219	0.5766	0.4221	0.7258	0.001293	0.3932	0.7873	0.5185	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Curvibacter sp. AEP1-3"	"S"	1844971	2727	117	224	947	817	7	994	1906	5	1039	2727	1194	NA	1.249	0.7663	1.249	0.3741	0.219	0.5766	0.4221	0.7258	0.001293	0.3932	0.7873	0.5185	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Simplicispira"	"G"	352450	2581	81	77	2126	336	3	407	413	4	301	2581	432	NA	0.8399	0.5305	0.4293	0.8399	0.09008	0.2471	0.1728	0.1573	0.001035	0.1139	0.7452	0.1876	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	2581	81	77	2126	336	3	407	413	4	301	2581	432	NA	0.8399	0.5305	0.4293	0.8399	0.09008	0.2471	0.1728	0.1573	0.001035	0.1139	0.7452	0.1876	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Ramlibacter"	"G"	174951	2204	74	128	891	594	4	669	1234	4	711	2204	828	2	0.7136	0.4846	0.7136	0.352	0.1592	0.3295	0.2841	0.4699	0.001035	0.269	0.6363	0.3595	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	2204	74	128	891	594	4	669	1234	4	711	2204	828	2	0.7136	0.4846	0.7136	0.352	0.1592	0.3295	0.2841	0.4699	0.001035	0.269	0.6363	0.3595	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ramlibacter tataouinensis TTB310"	"-"	365046	393	13	17	185	92	1	121	222	NA	98	393	132	1	0.2584	0.08514	0.09478	0.07309	0.02466	0.08237	0.05138	0.08454	NA	0.03708	0.1135	0.05732	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter>Ramlibacter&nbsp;tataouinensis"
"Candidatus Symbiobacter"	"G"	1436289	1993	71	171	711	536	2	638	1124	10	635	1993	754	1	0.9533	0.465	0.9533	0.2809	0.1437	0.1647	0.2709	0.428	0.002587	0.2403	0.5754	0.3274	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	1993	71	171	711	536	2	638	1124	10	635	1993	754	1	0.9533	0.465	0.9533	0.2809	0.1437	0.1647	0.2709	0.428	0.002587	0.2403	0.5754	0.3274	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Candidatus Symbiobacter mobilis CR"	"-"	946483	1993	71	171	711	536	2	638	1124	10	635	1993	754	1	0.9533	0.465	0.9533	0.2809	0.1437	0.1647	0.2709	0.428	0.002587	0.2403	0.5754	0.3274	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter>Candidatus&nbsp;Symbiobacter&nbsp;mobilis"
"Delftia"	"G"	80865	1680	49	116	500	415	3	476	879	4	538	1680	552	NA	0.6467	0.3209	0.6467	0.1975	0.1113	0.2471	0.2021	0.3347	0.001035	0.2036	0.4851	0.2397	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. Cs1-4"	"S"	742013	269	15	25	110	92	NA	105	149	NA	95	269	102	NA	0.1394	0.09824	0.1394	0.04346	0.02466	NA	0.04459	0.05674	NA	0.03595	0.07767	0.04429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Ottowia"	"G"	219181	1464	48	57	580	453	1	401	524	3	322	1464	399	NA	0.4227	0.3144	0.3178	0.2291	0.1214	0.08237	0.1703	0.1995	0.000776	0.1218	0.4227	0.1733	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia sp. oral taxon 894"	"S"	1658672	802	30	24	383	261	NA	203	276	NA	134	802	156	NA	0.2316	0.1965	0.1338	0.1513	0.06997	NA	0.08621	0.1051	NA	0.05071	0.2316	0.06774	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia oryzae"	"S"	2109914	657	17	33	189	190	1	195	247	3	185	657	241	NA	0.1897	0.1113	0.184	0.07467	0.05094	0.08237	0.08281	0.09406	0.000776	0.07001	0.1897	0.1046	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Comamonas"	"G"	283	1113	39	62	438	204	3	188	384	2	242	1113	309	2	0.5168	0.2554	0.3457	0.173	0.05469	0.2471	0.07984	0.1462	0.0005173	0.09157	0.3213	0.1342	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	757	25	45	310	99	3	103	232	2	149	757	207	1	0.2584	0.1637	0.2509	0.1225	0.02654	0.2471	0.04374	0.08834	0.0005173	0.05638	0.2186	0.08988	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni TK102"	"-"	1392005	308	10	16	119	42	1	51	116	1	69	308	92	NA	0.0892	0.06549	0.0892	0.04701	0.01126	0.08237	0.02166	0.04417	0.0002587	0.02611	0.08893	0.03995	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>Comamonas&nbsp;testosteroni"
"Comamonas kerstersii"	"S"	225992	172	6	7	65	47	NA	47	85	NA	41	172	48	1	0.2584	0.0393	0.03903	0.02568	0.0126	NA	0.01996	0.03237	NA	0.01551	0.04966	0.02084	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Verminephrobacter"	"G"	364316	1001	26	78	410	261	1	318	516	4	321	1001	348	NA	0.4349	0.1703	0.4349	0.162	0.06997	0.08237	0.135	0.1965	0.001035	0.1215	0.289	0.1511	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	1001	26	78	410	261	1	318	516	4	321	1001	348	NA	0.4349	0.1703	0.4349	0.162	0.06997	0.08237	0.135	0.1965	0.001035	0.1215	0.289	0.1511	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Verminephrobacter eiseniae EF01-2"	"-"	391735	1001	26	78	410	261	1	318	516	4	321	1001	348	NA	0.4349	0.1703	0.4349	0.162	0.06997	0.08237	0.135	0.1965	0.001035	0.1215	0.289	0.1511	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>Verminephrobacter&nbsp;eiseniae"
"Melaminivora"	"G"	1649468	253	18	20	116	68	NA	72	131	NA	86	253	84	1	0.2584	0.1179	0.1115	0.04583	0.01823	NA	0.03058	0.04988	NA	0.03254	0.07305	0.03647	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	106	8	8	42	32	NA	38	61	NA	44	106	42	1	0.2584	0.05239	0.0446	0.01659	0.008579	NA	0.01614	0.02323	NA	0.01665	0.0306	0.01824	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	128	7	10	58	36	NA	26	60	NA	24	128	35	NA	0.05575	0.04584	0.05575	0.02291	0.009651	NA	0.01104	0.02285	NA	0.009082	0.03696	0.0152	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Alicycliphilus"	"G"	201096	108	3	4	26	17	NA	33	52	3	22	108	40	NA	0.03118	0.01965	0.0223	0.01027	0.004557	NA	0.01401	0.0198	0.000776	0.008325	0.03118	0.01737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	108	3	4	26	17	NA	33	52	3	22	108	40	NA	0.03118	0.01965	0.0223	0.01027	0.004557	NA	0.01401	0.0198	0.000776	0.008325	0.03118	0.01737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Burkholderiaceae"	"F"	119060	7464	455	256	7464	4206	23	2835	3427	19	2285	6343	3858	6	2.98	2.98	1.427	2.949	1.128	1.895	1.204	1.305	0.004914	0.8647	1.831	1.675	1.55	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderia"	"G"	32008	4574	247	139	4574	2391	14	1510	1552	7	1127	3296	1645	4	1.807	1.618	0.7749	1.807	0.641	1.153	0.6412	0.591	0.001811	0.4265	0.9516	0.7143	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"pseudomallei group"	"-"	111527	1337	89	42	1337	837	6	462	541	1	329	1315	596	2	0.5829	0.5829	0.2342	0.5282	0.2244	0.4942	0.1962	0.206	0.0002587	0.1245	0.3797	0.2588	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia pseudomallei"	"S"	28450	751	50	17	751	417	2	206	234	NA	120	673	227	1	0.3275	0.3275	0.09478	0.2967	0.1118	0.1647	0.08748	0.08911	NA	0.04541	0.1943	0.09857	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia pseudomallei MSHR491"	"-"	1249473	225	18	3	225	90	1	60	61	NA	35	174	57	NA	0.1179	0.1179	0.01673	0.08889	0.02413	0.08237	0.02548	0.02323	NA	0.01324	0.05024	0.02475	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group>Burkholderia&nbsp;pseudomallei"
