"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"Nostocaceae"	"F"	25335	58	5	NA	1	NA	1	NA	NA	NA	NA	NA	58	NA	0.06871	0.002516	NA	0.000618	NA	0.0005384	NA	NA	NA	NA	NA	0.06871	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Aphanizomenon NIES81"	"G"	25346	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	0.02962	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02962	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003554	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003554	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Desmonostoc PCC-7422"	"G"	25365	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001185	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"uncultured"	"G"	25404	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Cyanobacteriaceae"	"F"	25300	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001509	0.001509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001509	0.001509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Chroococcidiopsaceae"	"F"	25276	3	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001509	0.001509	NA	0.000618	NA	0.0005384	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25286	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005384	0.0005032	NA	NA	NA	0.0005384	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Crinalium SAG 22.89"	"G"	25282	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Chroococcidiopsis PCC 7203"	"G"	25280	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000618	0.0005032	NA	0.000618	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Xenococcaceae"	"F"	25451	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001185	0.001006	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001185	0.001006	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Oscillatoriaceae"	"F"	25415	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001006	0.001006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Oscillatoria PCC-6304"	"G"	25417	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001006	0.001006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Gloeocapsaceae"	"F"	25315	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Leptolyngbyales"	"O"	25243	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001509	0.001509	NA	NA	NA	0.001077	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001509	0.001509	NA	NA	NA	0.001077	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"uncultured"	"G"	25266	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001509	0.001509	NA	NA	NA	0.001077	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"Synechococcales"	"O"	25510	7	3	NA	2	NA	1	NA	NA	NA	NA	NA	7	NA	0.008292	0.001509	NA	0.001236	NA	0.0005384	NA	NA	NA	NA	NA	0.008292	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Cyanobiaceae"	"F"	25511	7	3	NA	1	NA	1	NA	NA	NA	NA	NA	7	NA	0.008292	0.001509	NA	0.000618	NA	0.0005384	NA	NA	NA	NA	NA	0.008292	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Cyanobium PCC-6307"	"G"	25512	6	2	NA	NA	NA	1	NA	NA	NA	NA	NA	6	NA	0.007108	0.001006	NA	NA	NA	0.0005384	NA	NA	NA	NA	NA	0.007108	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"SepB-3"	"O"	25509	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005923	0.001006	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005923	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Pseudanabaenales"	"O"	25499	28	1	NA	NA	NA	NA	NA	NA	1	NA	NA	28	NA	0.03317	0.0005032	NA	NA	NA	NA	NA	NA	0.000556	NA	NA	0.03317	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Pseudanabaenaceae"	"F"	25500	28	1	NA	NA	NA	NA	NA	NA	1	NA	NA	28	NA	0.03317	0.0005032	NA	NA	NA	NA	NA	NA	0.000556	NA	NA	0.03317	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Pseudanabaenales"
"Pseudanabaena PCC-7429"	"G"	25504	28	1	NA	NA	NA	NA	NA	NA	1	NA	NA	28	NA	0.03317	0.0005032	NA	NA	NA	NA	NA	NA	0.000556	NA	NA	0.03317	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Pseudanabaenales>Pseudanabaenaceae"
"Phormidesmiales"	"O"	25483	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidesmiaceae"	"F"	25492	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales"
"Phormidesmis ANT.LACV5.1"	"G"	25494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005032	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales>Phormidesmiaceae"
"Oxyphotobacteria Incertae Sedis"	"O"	25462	14	1	NA	2	NA	3	NA	NA	NA	NA	NA	14	NA	0.01658	0.0005032	NA	0.001236	NA	0.001615	NA	NA	NA	NA	NA	0.01658	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Unknown Family"	"F"	25463	14	1	NA	2	NA	3	NA	NA	NA	NA	NA	14	NA	0.01658	0.0005032	NA	0.001236	NA	0.001615	NA	NA	NA	NA	NA	0.01658	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis"
"Calothrix KVSF5"	"G"	25467	12	1	NA	2	NA	3	NA	NA	NA	NA	NA	12	NA	0.01422	0.0005032	NA	0.001236	NA	0.001615	NA	NA	NA	NA	NA	0.01422	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Melainabacteria"	"C"	1589	11	7	NA	8	NA	7	NA	NA	NA	NA	NA	11	NA	0.01303	0.003522	NA	0.004944	NA	0.003769	NA	NA	NA	NA	NA	0.01303	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	10	4	NA	5	NA	7	NA	NA	NA	NA	NA	10	NA	0.01185	0.002013	NA	0.00309	NA	0.003769	NA	NA	NA	NA	NA	0.01185	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001509	0.001509	NA	0.000618	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	6	6	NA	2	NA	2	NA	NA	NA	NA	NA	3	NA	0.003554	0.003019	NA	0.001236	NA	0.001077	NA	NA	NA	NA	NA	0.003554	NA	"Bacteria>Cyanobacteria"
"Proteobacteria"	"P"	2375	107770	15784	1964	5888	13	68648	16	10	107773	17	3	47835	11	59.93	7.942	28.73	3.639	14.29	36.96	14.41	15.62	59.93	14.29	5.357	56.67	6.587	"Bacteria"
"Gammaproteobacteria"	"C"	3303	107690	8866	1146	3471	13	56705	11	5	107686	16	3	39447	11	59.88	4.461	16.76	2.145	14.29	30.53	9.91	7.812	59.88	13.45	5.357	46.73	6.587	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	54814	8224	1110	2994	6	54814	10	3	260	1	1	36837	7	43.64	4.138	16.24	1.85	6.593	29.51	9.009	4.688	0.1446	0.8403	1.786	43.64	4.192	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	53261	7623	1075	2478	6	53261	10	3	238	1	1	34617	7	41.01	3.836	15.72	1.531	6.593	28.67	9.009	4.688	0.1323	0.8403	1.786	41.01	4.192	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Limnohabitans"	"G"	26410	11367	1387	254	365	2	11367	1	NA	42	NA	NA	6512	NA	7.714	0.6979	3.715	0.2256	2.198	6.12	0.9009	NA	0.02335	NA	NA	7.714	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	8526	1083	168	282	NA	8526	3	2	24	NA	NA	4658	NA	5.518	0.5449	2.457	0.1743	NA	4.59	2.703	3.125	0.01334	NA	NA	5.518	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	5688	747	123	220	1	5688	1	NA	17	NA	NA	3224	1	3.819	0.3759	1.799	0.136	1.099	3.062	0.9009	NA	0.009453	NA	NA	3.819	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	2739	354	51	99	1	2739	NA	NA	8	NA	NA	1536	1	1.82	0.1781	0.7459	0.06118	1.099	1.475	NA	NA	0.004448	NA	NA	1.82	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	2432	328	49	113	NA	2432	NA	NA	10	NA	NA	1646	NA	1.95	0.165	0.7167	0.06983	NA	1.309	NA	NA	0.00556	NA	NA	1.95	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	1435	237	25	89	1	1435	NA	NA	7	NA	NA	950	NA	1.125	0.1192	0.3657	0.055	1.099	0.7726	NA	NA	0.003892	NA	NA	1.125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	1058	211	14	111	1	1058	NA	NA	7	NA	NA	872	1	1.099	0.1062	0.2048	0.0686	1.099	0.5696	NA	NA	0.003892	NA	NA	1.033	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	1058	208	21	68	NA	1058	NA	NA	7	NA	NA	756	1	0.8956	0.1047	0.3072	0.04202	NA	0.5696	NA	NA	0.003892	NA	NA	0.8956	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	1435	198	28	53	NA	1435	NA	NA	8	NA	NA	788	NA	0.9335	0.09962	0.4095	0.03275	NA	0.7726	NA	NA	0.004448	NA	NA	0.9335	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	1461	197	26	67	NA	1461	NA	NA	1	NA	NA	918	NA	1.087	0.09912	0.3803	0.0414	NA	0.7866	NA	NA	0.000556	NA	NA	1.087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	1410	183	30	52	NA	1410	1	NA	6	NA	NA	817	NA	0.9678	0.09208	0.4388	0.03214	NA	0.7591	0.9009	NA	0.003336	NA	NA	0.9678	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	1854	168	20	77	NA	846	1	NA	9	NA	NA	1854	1	2.196	0.08453	0.2925	0.04758	NA	0.4555	0.9009	NA	0.005004	NA	NA	2.196	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	889	167	33	46	NA	889	1	NA	6	NA	1	645	1	1.786	0.08403	0.4827	0.02843	NA	0.4786	0.9009	NA	0.003336	NA	1.786	0.7641	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	880	165	11	75	NA	516	1	NA	10	NA	NA	880	NA	1.042	0.08302	0.1609	0.04635	NA	0.2778	0.9009	NA	0.00556	NA	NA	1.042	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	835	160	15	69	NA	835	NA	NA	7	NA	NA	762	1	0.9027	0.0805	0.2194	0.04264	NA	0.4495	NA	NA	0.003892	NA	NA	0.9027	0.5988	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	874	109	16	34	NA	874	NA	NA	6	NA	NA	456	NA	0.5402	0.05484	0.234	0.02101	NA	0.4705	NA	NA	0.003336	NA	NA	0.5402	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	667	87	9	26	NA	667	NA	NA	4	NA	NA	376	NA	0.4454	0.04377	0.1316	0.01607	NA	0.3591	NA	NA	0.002224	NA	NA	0.4454	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	136	55	4	37	NA	136	NA	NA	4	NA	NA	70	NA	0.08292	0.02767	0.05851	0.02287	NA	0.07322	NA	NA	0.002224	NA	NA	0.08292	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	387	54	5	13	NA	387	NA	NA	1	NA	NA	229	NA	0.2713	0.02717	0.07313	0.008034	NA	0.2084	NA	NA	0.000556	NA	NA	0.2713	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	395	49	10	16	NA	395	NA	NA	1	NA	NA	308	NA	0.3649	0.02465	0.1463	0.009888	NA	0.2127	NA	NA	0.000556	NA	NA	0.3649	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	238	48	8	23	NA	238	NA	NA	NA	NA	NA	138	NA	0.1635	0.02415	0.117	0.01421	NA	0.1281	NA	NA	NA	NA	NA	0.1635	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	353	47	7	22	NA	353	NA	NA	3	NA	NA	243	NA	0.2879	0.02365	0.1024	0.0136	NA	0.19	NA	NA	0.001668	NA	NA	0.2879	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	202	38	3	12	NA	202	NA	NA	1	NA	NA	148	NA	0.1753	0.01912	0.04388	0.007416	NA	0.1088	NA	NA	0.000556	NA	NA	0.1753	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	254	35	2	20	NA	142	NA	NA	2	NA	NA	254	NA	0.3009	0.01761	0.02925	0.01236	NA	0.07645	NA	NA	0.001112	NA	NA	0.3009	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	216	35	5	24	NA	216	NA	NA	NA	1	NA	204	NA	0.8403	0.01761	0.07313	0.01483	NA	0.1163	NA	NA	NA	0.8403	NA	0.2417	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	196	34	3	19	NA	196	NA	NA	4	NA	NA	130	NA	0.154	0.01711	0.04388	0.01174	NA	0.1055	NA	NA	0.002224	NA	NA	0.154	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	170	32	3	12	NA	170	NA	NA	NA	NA	NA	132	NA	0.1564	0.0161	0.04388	0.007416	NA	0.09152	NA	NA	NA	NA	NA	0.1564	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	106	32	3	7	NA	106	NA	NA	NA	NA	NA	70	NA	0.08292	0.0161	0.04388	0.004326	NA	0.05707	NA	NA	NA	NA	NA	0.08292	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	275	32	2	22	NA	275	NA	NA	3	NA	NA	167	NA	0.1978	0.0161	0.02925	0.0136	NA	0.1481	NA	NA	0.001668	NA	NA	0.1978	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	252	31	5	11	NA	252	NA	NA	NA	NA	NA	169	NA	0.2002	0.0156	0.07313	0.006798	NA	0.1357	NA	NA	NA	NA	NA	0.2002	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	92	25	4	9	NA	92	NA	NA	NA	NA	NA	63	NA	0.07463	0.01258	0.05851	0.005562	NA	0.04953	NA	NA	NA	NA	NA	0.07463	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	170	25	2	12	NA	170	NA	NA	NA	NA	NA	154	NA	0.1824	0.01258	0.02925	0.007416	NA	0.09152	NA	NA	NA	NA	NA	0.1824	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	99	25	NA	6	NA	99	NA	NA	NA	NA	NA	93	NA	0.1102	0.01258	NA	0.003708	NA	0.0533	NA	NA	NA	NA	NA	0.1102	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	112	24	1	14	NA	104	NA	NA	NA	NA	NA	112	NA	0.1327	0.01208	0.01463	0.008652	NA	0.05599	NA	NA	NA	NA	NA	0.1327	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	182	19	2	5	NA	182	NA	NA	3	NA	NA	101	NA	0.1196	0.00956	0.02925	0.00309	NA	0.09799	NA	NA	0.001668	NA	NA	0.1196	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	93	18	2	7	NA	93	NA	NA	NA	NA	NA	71	NA	0.08411	0.009057	0.02925	0.004326	NA	0.05007	NA	NA	NA	NA	NA	0.08411	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	134	14	1	4	NA	134	NA	NA	NA	NA	NA	96	NA	0.1137	0.007044	0.01463	0.002472	NA	0.07214	NA	NA	NA	NA	NA	0.1137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	40	13	NA	4	NA	40	NA	NA	NA	NA	NA	34	NA	0.04028	0.006541	NA	0.002472	NA	0.02154	NA	NA	NA	NA	NA	0.04028	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
